PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
1	PERSON	L. FRANK BAUM				5.0	5.0	5.0	By L. FRANK BAUM
4	LOCATION	ETC.	goose;wizard;book;father;oz	wonderful		6.708	3.752	5.646	FATHER GOOSE; HIS BOOK, THE WONDERFUL WIZARD OF OZ, ETC.
10	PERSON	Emeline	house;girl;nature	little;restless	look;have;stay	5.957	4.037	5.424	As for Emeline, she certainly should have stayed in the house and looked after the little girl; but Emeline had a restless nature.
10	PERSON	Emeline	house;girl;nature	little;restless	look;have;stay	5.957	4.037	5.424	As for Emeline, she certainly should have stayed in the house and looked after the little girl; but Emeline had a restless nature.
11	PERSON	Martha			ask	5.95	3.48	6.29	she asked Martha.
13	PERSON	Martha	maid;house;ll;bargain;course;friend	big;delighted	do;run;lock;leave;say;miss;spend	5.805	4.245	5.7075	"Oh, I"ll do that, of course, miss," said the delighted maid, and ran away to spend the afternoon with her friend, leaving Martha quite alone in the big house, and locked in, into the bargain.
16	PERSON	Martha	search;doll;house;s;corner;chimney	big	be;move;find;have	5.57153846154	3.93692307692	5.41	The doll"s house had been moved, but after a search Martha found it away over in a corner near the big chimney.
17	PERSON	Mamma	hunt;hunter;uncle;key;elephant;home	unopened;mighty	be;return;wish;wander;remain;hear;have;go;tell	6.05416666667	3.8175	5.67458333333	Mamma had told her about it one day; how there was no key to it, because Uncle Walter wished it to remain unopened until he returned home; and how this wandering uncle, who was a mighty hunter, had gone into Africa to hunt elephants and had never been heard from afterwards.
17	PERSON	Walter	hunt;hunter;uncle;key;elephant;home	unopened;mighty	be;return;wish;wander;remain;hear;have;go;tell	6.05416666667	3.8175	5.67458333333	Mamma had told her about it one day; how there was no key to it, because Uncle Walter wished it to remain unopened until he returned home; and how this wandering uncle, who was a mighty hunter, had gone into Africa to hunt elephants and had never been heard from afterwards.
17	LOCATION	Africa	hunt;hunter;uncle;key;elephant;home	unopened;mighty	be;return;wish;wander;remain;hear;have;go;tell	6.05416666667	3.8175	5.67458333333	Mamma had told her about it one day; how there was no key to it, because Uncle Walter wished it to remain unopened until he returned home; and how this wandering uncle, who was a mighty hunter, had gone into Africa to hunt elephants and had never been heard from afterwards.
22	PERSON	Martha	lid;accord;joy;cry;hand;moment	heavy;sharp;own;key;next	fly;turn;hear;click	5.672	4.21	5.472	With a cry of joy Martha turned the key with both hands; then she heard a sharp "click," and the next moment the heavy lid flew up of its own accord!
36	PERSON	Martha		astonished	ask;be;have;frighten	5.50666666667	4.2	5.155	asked Martha, who until now had been too astonished to be frightened.
38	PERSON	Martha	horror;look		cry	4.3875	5.085	4.2325	cried Martha, with a look of horror.
39	PERSON	Victor	bandit;world	fierce;other;terrible	be;say	4.92125	4.3175	5.3525	Perhaps in all the world there are not three other bandits so terrible and fierce as ourselves," said Victor, proudly.
41	PERSON	Martha			exclaim	5.0	5.0	5.0	exclaimed Martha.
45	PERSON	Victor	eye		cast;blush	6.07	3.82333333333	5.08	Victor cast down his eyes and blushed.
46	PERSON	Beni	look	horrified	gasp	5.15	4.79	5.18666666667	gasped Beni, with a horrified look.
47	PERSON	Luigi	face;word;hand;tis	hard	say;bury	5.03428571429	4.57857142857	5.67	""Tis a hard word," said Luigi, sadly, and buried his face in his hands.
50	LOCATION	America	bandit;t	longer	be;remain;say	5.51	4.06333333333	5.86166666667	"You can"t remain bandits any longer," said she, "because you are now in America."
52	PERSON	Walter	chest;uncle		send	5.95333333333	4.14333333333	5.92	Uncle Walter sent you here from Italy in this chest."
52	LOCATION	Italy	chest;uncle		send	5.95333333333	4.14333333333	5.92	Uncle Walter sent you here from Italy in this chest."
53	PERSON	Beni	chest;eye;face	pale	stare;look;fall	5.15875	3.89625	5.49625	Beni and Victor fell back upon the chest and looked at her with pale faces and staring eyes.
53	PERSON	Victor	chest;eye;face	pale	stare;look;fall	5.15875	3.89625	5.49625	Beni and Victor fell back upon the chest and looked at her with pale faces and staring eyes.
54	PERSON	Victor			recover;have;speak	6.05666666667	4.04333333333	5.84	When he had somewhat recovered himself Victor spoke.
55	LOCATION	Italy	bandit;country;rob;ransom	much;strange;beloved	be;bring;know;have;ask;respect;take	5.28125	4.255	5.39	"He has taken us from our beloved Italy, where bandits are highly respected, and brought us to a strange country where we shall not know whom to rob or how much to ask for a ransom."
57	PERSON	Beni	regretfully		say	5.91	4.43	6.88	said Beni, regretfully.
58	PERSON	Walter	uncle		suggest;want;reform	5.775	4.4675	5.51	"Perhaps Uncle Walter wanted to reform you," suggested Martha.
58	PERSON	Martha	uncle		suggest;want;reform	5.775	4.4675	5.51	"Perhaps Uncle Walter wanted to reform you," suggested Martha.
59	PERSON	Victor			ask	5.95	3.48	6.29	asked Victor.
61	PERSON	Beni			inquire	5.32	3.73	6.25	inquired Beni, despairingly.
63	LOCATION	Italy	need;police		be;inspect	5.37	4.275	4.695	The police need to be inspected, especially in Italy."
64	PERSON	Beni			add	6.23	4.0	6.79	added Beni.
68	PERSON	Martha			try;think	6.16	3.875	6.22	Martha tried to think.
72	LOCATION	Chicago	rob;cheerfulness;people		be;remark	4.896	3.968	5.166	"Even in Chicago there must be people to rob," remarked Victor, with cheerfulness.
72	PERSON	Victor	rob;cheerfulness;people		be;remark	4.896	3.968	5.166	"Even in Chicago there must be people to rob," remarked Victor, with cheerfulness.
73	PERSON	Martha		distressed	be	4.78	4.855	4.83	Martha was distressed.
75	PERSON	Beni	talent;experience;robber	ordinary	rob;say;have	5.1775	4.375	5.68375	"Then we can rob the robbers, for we have experience and talent beyond the ordinary," said Beni.
76	PERSON	Walter	girl;uncle;chest		moan;send;do	5.745	4.475	5.90333333333	moaned the girl; "why did Uncle Walter ever send you here in this chest?"
78	PERSON	Victor			declare;be;like;know	6.465	3.8675	5.9225	"That is what we should like to know," declared Victor, eagerly.
79	PERSON	Walter	uncle;conviction;hunting;elephant		be;continue;know;lose	5.386	3.691	5.432	"But no one will ever know, for Uncle Walter was lost while hunting elephants in Africa," she continued, with conviction.
79	LOCATION	Africa	uncle;conviction;hunting;elephant		be;continue;know;lose	5.386	3.691	5.432	"But no one will ever know, for Uncle Walter was lost while hunting elephants in Africa," she continued, with conviction.
84	PERSON	Beni	child		turn	6.325	4.405	5.54	Beni turned threateningly upon the child.
86	PERSON	Victor	course		say	5.91	4.43	6.88	"Of course not," said Victor.
89	PERSON	Beni	voice	terrible	cry	4.205	4.5225	4.295	cried Beni, in a terrible voice.
90	PERSON	Victor			hiss	3.65	4.29	3.32	hissed Victor.
91	PERSON	Martha	stairway;help;tooth;hand;fear;pistol;knife	double;bent;cocked	glitter;cry;leave;horrify;tremble;creep	4.71714285714	4.56785714286	4.99857142857	And then the three bent themselves nearly double and crept stealthily down the stairway with cocked pistols in their hands and glittering knives between their teeth, leaving Martha trembling with fear and too horrified to even cry for help.
93	PERSON	Beni	copper;sideboard;bible;fur;family;kettle;papa;silverware;overcoat;s;basket		have	5.80166666667	3.77833333333	5.61583333333	Beni had the family Bible, the basket of silverware from the sideboard, a copper kettle and papa"s fur overcoat.
94	PERSON	Victor	load;rob	pleasant	put;be;say	5.15833333333	4.12	5.87833333333	said Victor, putting down his load; "it is pleasant to rob once more."
95	PERSON	Beni	kettle;word;language;drop;queer;anguish;toe		dance;say;let;begin;mutter	5.42833333333	3.9225	5.70083333333	said Beni; but he let the kettle drop on his toe and immediately began dancing around in anguish, while he muttered queer words in the Italian language.
96	LOCATION	America	place	rich	be	5.864	4.572	5.784	This America must be a rich place."
97	PERSON	Martha	whereupon;pie;floor		look;consume;sit	5.71166666667	3.61833333333	6.04166666667	Whereupon all three sat upon the floor and consumed the pie while Martha looked on sadly.
98	PERSON	Martha			ask	5.95	3.48	6.29	he asked Martha.
101	PERSON	Victor	foot;voice;dagger	hoarse	draw;scramble;demand	5.03555555556	4.06666666667	5.40666666667	demanded Victor, in a hoarse voice, as the three scrambled to their feet with drawn daggers.
104	PERSON	Lugui	alarm;robber	genuine	ask;look	5.31	4.53833333333	5.955	The robbers looked at one another with genuine alarm, and Lugui asked, tremblingly:
106	PERSON	Martha			count;exclaim;pretend	5.255	3.3	5.375	exclaimed Martha, after pretending to count them.
107	PERSON	Beni		many;live	declare;fight	5.63666666667	5.14666666667	5.77	declared Beni; "for we could never fight so many and live."
108	PERSON	Victor		cold	inquire;be;shiver	4.8575	3.84	4.99	inquired Victor, who was shivering as if cold.
110	PERSON	Lugui			demand	4.1	5.85	5.14	demanded Lugui.
112	PERSON	Beni	voice;one	hollow;wicked	say;groan	5.01625	4.02125	5.36625	The three wicked ones groaned aloud and Beni said, in a hollow voice:
115	PERSON	Martha	window		turn	5.96	3.375	5.635	Suddenly Martha turned from the window.
117	PERSON	Victor			answer	6.1	4.0	5.95	answered Victor.
118	PERSON	Beni			cry	3.22	5.45	2.56	cried Beni.
119	PERSON	Lugui			be;add;think;die	5.19	4.52	5.5175	added Lugui, thinking he was about to die anyway.
125	PERSON	Victor	girl;manner;kiss;hand	graceful	follow;pause	6.12375	4.26375	5.725	Victor followed after pausing to kiss her hand to the girl in a graceful manner.
126	PERSON	Martha	lid		press;catch;make;run	5.734	3.724	5.648	Then Martha ran up to press down the lid, but could not make it catch.
128	PERSON	Lugui			groan	3.9	4.17	5.5	Lugui groaned.
129	PERSON	Victor	top;chest	small;nearest;best	be;fit;do;say;seem;miss	5.58636363636	4.01454545455	5.66818181818	"I am doing my best, miss," said Victor, who was nearest the top; "but although we fitted in very nicely before, the chest now seems rather small for us."
131	PERSON	Beni	room		say;know;take	5.62	4.058	5.64	"I know what takes up the room," said Beni.
132	PERSON	Victor			inquire	5.32	3.73	6.25	inquired Victor, anxiously.
133	PERSON	Beni	pie		return	6.2	3.67	6.0	"The pie," returned Beni.
137	PERSON	Martha	attic;chest;plunder;s;uncle;downstairs;robber	mysterious	be;oblige;refrain;bring;have;carry;open	5.41411764706	4.20705882353	5.38823529412	For had Martha refrained from opening Uncle Walter"s mysterious chest she would not have been obliged to carry downstairs all the plunder the robbers had brought into the attic.
137	PERSON	Walter	attic;chest;plunder;s;uncle;downstairs;robber	mysterious	be;oblige;refrain;bring;have;carry;open	5.41411764706	4.20705882353	5.38823529412	For had Martha refrained from opening Uncle Walter"s mysterious chest she would not have been obliged to carry downstairs all the plunder the robbers had brought into the attic.
174	PERSON	Mydas	mansion;miss;street;door	wealthy;grand	go;lock;reside;walk	5.709	3.896	5.62	Next he locked his door, went downstairs and walked through the streets to the grand mansion where the wealthy Miss Mydas resided.
193	PERSON	Mydas	life;patient;drop;glass-blower;water;miss	little;magic	be;come;have;pour;give	5.93666666667	4.09666666667	5.346	So the glass-blower came, poured the magic drop into a little water, gave it to the patient, and the next minute Miss Mydas was as well as she had ever been in her life.
201	PERSON	Miss Mydas	life;cream;chocolate	novel;eating	read;be;call;have	6.00153846154	3.96846153846	5.53307692308	The following day he called upon Miss Mydas, who was reading a novel and eating chocolate creams as happily as if she had never been ill in her life.
209	PERSON	Miss Mydas	wife;man		try;promise;marry;please;have	5.672	4.274	5.514	For a man should always try to please his wife, and Miss Mydas has promised to marry him within a week.
211	PERSON	Miss Mydas	gratitude;boy;dog;sack;person;messenger;compliment	sure	desire;be;feel;send;receive;call;steal	6.014	4.271	5.841	The next day he sent the sack by a messenger boy to Miss Mydas, with his compliments, and later in the afternoon he called upon her in person, feeling quite sure he would be received with gratitude for stealing the dog she so greatly desired.
218	PERSON	Miss Mydas	glass-blower		say;want;speak	5.384	4.562	5.656	"I want to speak with Miss Mydas," said the glass-blower.
249	PERSON
	Prince	dogblowers;prince		answer;be	5.52666666667	4.62166666667	5.03833333333	"But I am a prince," he answered; "the Prince of Dogblowers."
276	PERSON	Quok	queen	highest	become;advertise;bid;decide;have	5.90625	3.6975	5.885	So we have decided to advertise that the one who bids the highest shall become the queen of Quok."
277	LOCATION	Nyana	king;moment;armorer;daughter;s		marry;prefer;say;think	5.83928571429	4.77714285714	5.565	"If I must marry at all," said the king, after a moment"s thought, "I prefer to marry Nyana, the armorer"s daughter."
280	LOCATION	Nyana	pearl;head;eye;amethyst;tooth	golden	pluck;pull;shave;look;have	5.76181818182	3.78545454545	5.83818181818	How would Nyana look after you have pulled her teeth of pearls, plucked out her amethyst eyes and shaved her golden head?"
283	PERSON	Quok	kingdom;boy;counselor;king;wife	chief;best	go;do;advertise;return;neighbor	5.88230769231	4.01923076923	5.53923076923	"We shall do our best," returned the chief counselor, and went away to advertise throughout the neighboring kingdoms for a wife for the boy king of Quok.
284	LOCATION	Bilkon	kingdom;republic;lady;palace		appoint;gather;surround	6.0	3.91125	5.62625	So, on the day appointed, the ladies gathered at the palace from all the surrounding kingdoms--from Bilkon, Mulgravia, Junkum and even as far away as the republic of Macvelt.
284	LOCATION	Mulgravia	kingdom;republic;lady;palace		appoint;gather;surround	6.0	3.91125	5.62625	So, on the day appointed, the ladies gathered at the palace from all the surrounding kingdoms--from Bilkon, Mulgravia, Junkum and even as far away as the republic of Macvelt.
284	PERSON	Junkum	kingdom;republic;lady;palace		appoint;gather;surround	6.0	3.91125	5.62625	So, on the day appointed, the ladies gathered at the palace from all the surrounding kingdoms--from Bilkon, Mulgravia, Junkum and even as far away as the republic of Macvelt.
284	LOCATION	Macvelt	kingdom;republic;lady;palace		appoint;gather;surround	6.0	3.91125	5.62625	So, on the day appointed, the ladies gathered at the palace from all the surrounding kingdoms--from Bilkon, Mulgravia, Junkum and even as far away as the republic of Macvelt.
319	PERSON	Mary Ann Brodjinski	counselor;return;million	chief	go;be;live	6.31125	4.17125	5.4575	How am I going to live if the chief counselor returns to Mary Ann Brodjinski her millions?"
340	PERSON	Mary Ann Brodjinski	executioner;head;counselor	chief	answer;fear;cut;marry;order	5.08363636364	4.61454545455	5.01363636364	"I fear you must marry Mary Ann Brodjinski," answered the chief counselor; "unless, indeed, you order the executioner to cut her head off."
353	PERSON	Mary Ann Brodjinski de la Porkus	king;queen;order;coronet		be;marry;wish;wear;punish	5.915	4.263	5.583	And this is how Mary Ann Brodjinski de la Porkus was also punished for wishing to marry a ten-year-old king in order that she might wear the coronet of the queen of Quok.
353	PERSON	Quok	king;queen;order;coronet		be;marry;wish;wear;punish	5.915	4.263	5.583	And this is how Mary Ann Brodjinski de la Porkus was also punished for wishing to marry a ten-year-old king in order that she might wear the coronet of the queen of Quok.
356	PERSON	Jane Gladys	silver;pantry;upstairs	big;sitting-room	leave;be;amuse;stay;polish	5.913	3.939	5.887	But it was her afternoon for polishing the silver, so she stayed in the pantry and left Jane Gladys to amuse herself alone in the big sitting-room upstairs.
360	PERSON	Jane Gladys Brown			be	5.85	3.375	5.075	"Are you Jane Gladys Brown?"
363	PERSON	Jane Gladys	visitor		inquire;distrust;grow	4.964	3.876	5.072	inquired Jane Gladys, with a growing distrust of her visitor.
368	PERSON	Jane Gladys	door;window;sill;finger	small	point;get	5.71428571429	3.56142857143	5.52428571429	Jane Gladys got off the window sill and pointed her small finger at the door.
370	PERSON	Peter Smith	works	complete	ask;do;buy;call;suppose	5.831	3.64	6.025	Now, I called on him the other day and asked him to buy the "Complete Works of Peter Smith," and what do you suppose he did?"
373	PERSON	Jane Gladys		right	be;say;think	6.218	4.322	6.208	"I think he was quite right," said Jane Gladys.
375	PERSON	Jane Gladys			shiver	3.61	4.65	3.04	Jane Gladys shivered.
378	PERSON	Gladys			do;spell	5.795	3.91	6.465	"How do you spell Gladys?"
381	PERSON	Jane Gladys	door;room;bow	much	be;give;amuse;walk;leave;see;laugh	6.268	4.065	5.96	He walked to the door, gave her another bow, and left the room, and Jane Gladys could see that he was laughing to himself as if very much amused.
388	PERSON	Jane Gladys	book;clown	startled	stare;be;leap;have;imagine	5.76	4.10777777778	5.61222222222	Perhaps you can imagine how startled Jane Gladys was, and how she stared at the clown who had just leaped out of the book.
389	PERSON	Jane Gladys	astonishment;look;spite;room		turn;take;laugh	5.72166666667	4.41333333333	5.78166666667	Then he turned around to take a look at the room and Jane Gladys laughed in spite of her astonishment.
393	PERSON	Jane Gladys	tear;eye	moist	be;say;laugh	5.815	4.44333333333	5.98166666667	said Jane Gladys, laughing until her eyes were moist with tears.
398	PERSON	Jane Gladys	monkey;talk;t	real	say	6.145	4.19166666667	6.065	"Real monkeys can"t talk," said Jane Gladys, reprovingly.
403	PERSON	Jane Gladys			ask	5.95	3.48	6.29	asked Jane Gladys.
407	PERSON	Don	hasn;everyone;monkey;artist;globe;mind;s;clown;tail;chandelier;t;ear	big;same;less	knock;draw;make;say;know;have;swing;fear;speak	5.8025	4.32321428571	5.66107142857	"Don"t mind that," said the monkey, making a spring at the chandelier and swinging from it by his tail until Jane Gladys feared he would knock all the globes off; "the same artist has made my ears as big as that clown"s and everyone knows a monkey hasn"t any ears to speak of--much less to draw."
407	PERSON	Jane Gladys	hasn;everyone;monkey;artist;globe;mind;s;clown;tail;chandelier;t;ear	big;same;less	knock;draw;make;say;know;have;swing;fear;speak	5.8025	4.32321428571	5.66107142857	"Don"t mind that," said the monkey, making a spring at the chandelier and swinging from it by his tail until Jane Gladys feared he would knock all the globes off; "the same artist has made my ears as big as that clown"s and everyone knows a monkey hasn"t any ears to speak of--much less to draw."
409	PERSON	Jane Gladys	book;expression;page;face	sweet;other	turn;puzzle;look	5.99272727273	3.86	5.89727272727	Jane Gladys looked from one to the other with a puzzled expression upon her sweet face, and turned another page of the book.
410	PERSON	Swift	shoulder;leather;armchair;flash;leopard;back;tawney;other;movement	fierce;big	spring;land;spot;turn	5.55842105263	4.25684210526	5.39105263158	Swift as a flash there sprang over her shoulder a tawney, spotted leopard, which landed upon the back of a big leather armchair and turned upon the others with a fierce movement.
