PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
1	PERSON	BROWN	fairy;book			6.42666666667	3.83	5.81333333333	THE BROWN FAIRY BOOK
4	PERSON	Andrew Lang				5.0	5.0	5.0	Andrew Lang
8	PERSON	Diana Scott Lang				5.0	5.0	5.0	Diana Scott Lang
11	LOCATION	Europe	sort;beast;story;grub;language;people;crow;skin;school;hand;tale;thing;lizard;part;black;child;nothing;serpent;hawk;clothes	brown;little;many;yellow;other;various;same;black;white;red	be;live;wear;go;tell;mean	5.77609756098	3.98243902439	5.5112195122	Other tales are told in various parts of Europe, and in many languages; but all people, black, white, brown, red, and yellow, are like each other when they tell stories; for these are meant for children, who like the same sort of thing, whether they go to school and wear clothes, or, on the other hand, wear skins of beasts, or even nothing at all, and live on grubs and lizards and hawks and crows and serpents, like the little Australian blacks.
12	PERSON	Fairy	entertainment		be;make	6.63333333333	4.18666666667	5.97833333333	That is how this Fairy Book was made up for your entertainment.
17	PERSON	Rose	cypress		do	6.26	3.235	6.285	What the Rose did to the Cypress
25	PERSON	Coward	geirald		be;punish	3.82	4.45666666667	4.46666666667	How Geirald the Coward was Punished
26	PERSON	Habogi				5.0	5.0	5.0	Habogi
28	LOCATION	Koumongoe	milk	sacred		6.845	3.665	5.715	The Sacred Milk of Koumongoe
31	PERSON	the Boy	mermaid			6.445	4.845	4.915	The Mermaid and the Boy
32	PERSON	Pivi				5.0	5.0	5.0	Pivi and Kabo
38	PERSON	Prince	fate			5.41666666667	4.57666666667	5.12333333333	The Prince and the Three Fates
40	PERSON	Kisa	cat			6.95	4.5	5.48	Kisa the Cat
43	PERSON	Signy	asmund			5.0	5.0	5.0	Asmund and Signy
44	PERSON	Rubezahl				5.0	5.0	5.0	Rubezahl
45	PERSON	the King	story;fate	stronger	be	6.148	4.082	5.566	Story of the King who would be Stronger then Fate
46	PERSON	Wali	dad;story			7.205	3.785	5.725	Story of Wali Dad the Simple-hearted
53	PERSON	Fairy	brown;book			6.42666666667	3.83	5.81333333333	The Brown Fairy Book
55	PERSON	Rose	cypress		do	5.84	3.82333333333	5.85666666667	What the Rose did to the Cypress [1]
59	PERSON	the prince	face	thoughtful;wise	be;come;speak	6.49875	3.89125	6.0975	His face was kind, and wise and thoughtful, and he came on and spoke to the prince.
62	PERSON	The prince	nothing	hard;last	be;do;hear;plead;let;tell	5.49	3.812	5.333	The prince, however, pleaded so hard to be told, that at last there was nothing to be done but to let him hear.
66	PERSON	King Saman	leave;stuff;string;gold;camel;courtier;jewel;preparation;journey	raven-eyed;costly;two-humped;laden	be;set;accompany;make;take;order	5.53578947368	4.14210526316	5.49210526316	So King Saman ordered all preparations for the journey to be made, and then Prince Tahmasp took his leave and set out, accompanied by some of the courtiers, and taking with him a string of two-humped and raven-eyed camels laden with jewels, and gold, and costly stuffs.
66	PERSON	Prince Tahmasp	leave;stuff;string;gold;camel;courtier;jewel;preparation;journey	raven-eyed;costly;two-humped;laden	be;set;accompany;make;take;order	5.53578947368	4.14210526316	5.49210526316	So King Saman ordered all preparations for the journey to be made, and then Prince Tahmasp took his leave and set out, accompanied by some of the courtiers, and taking with him a string of two-humped and raven-eyed camels laden with jewels, and gold, and costly stuffs.
67	PERSON	King	drum;officer;quimus		strike;take;summon	5.06	4.74428571429	4.96285714286	So he struck upon the drums, and at once summoned an officer who took him to King Quimus.
68	PERSON	the prince	station;quarter	own	go;be;treat;become	6.03	4.10285714286	5.53	Then the prince went to his own quarters and was treated as became his station.
71	PERSON	The prince	hesitation;knowledge;secret;hair;verse;tongue;man;omnipotent	eloquent	do;say;split;have;reply;believe;know	5.73	4.24	5.80333333333	The prince had an eloquent tongue, which could split a hair, and without hesitation he replied to her with a verse: "Only the Omnipotent has knowledge of secrets; if any man says, "I know" do not believe him."
72	PERSON	the prince	body;head;battlements;cloth;hearted;execution;arm	stony;merciless	hang;cut;place;take	4.72357142857	4.455	5.19785714286	took the prince by the arm, placed him upon the cloth of execution, and then, all merciless and stony hearted, cut his head from his body and hung it on the battlements.
74	PERSON	the prince	foot;pride;beauty		lower;set;sit;settle;have;plead	5.55846153846	4.04153846154	5.47076923077	pleaded the prince, "until I have lowered the pride of that beauty, and have set her here before you, I cannot settle down or indeed sit down off my feet."
75	LOCATION	the city	nothing;riddle;land;service;mihr-afruz		understand;be;hear;wander	6.503	3.763	5.597	He wandered about the city, but heard nothing of service, for there was no one in all that land who understood the riddle of Princess Mihr-afruz.
75	PERSON	Princess	nothing;riddle;land;service;mihr-afruz		understand;be;hear;wander	6.503	3.763	5.597	He wandered about the city, but heard nothing of service, for there was no one in all that land who understood the riddle of Princess Mihr-afruz.
77	PERSON	the princess	matter;girl	other	ask;be;come;take	6.24	4.135	5.795	Then some of the other girls came and took her to the princess who asked: "What is the matter, pretty one?"
78	PERSON	The prince	word;nurse;mind;garden;man	civil;mixed;random;hungry;rude	be;get;cry;question;misplace;say;persuade;let;behave;have;go;smile	5.67964285714	4.26964285714	5.51785714286	The prince let himself be persuaded to go with the nurse, but when the princess questioned him as to who he was and how he had got into her garden, he behaved like a man out of his mind--sometimes smiling, sometimes crying, and saying: "I am hungry,"Or words misplaced and random, civil mixed with the rude.
78	PERSON	the princess	word;nurse;mind;garden;man	civil;mixed;random;hungry;rude	be;get;cry;question;misplace;say;persuade;let;behave;have;go;smile	5.67964285714	4.26964285714	5.51785714286	The prince let himself be persuaded to go with the nurse, but when the princess questioned him as to who he was and how he had got into her garden, he behaved like a man out of his mind--sometimes smiling, sometimes crying, and saying: "I am hungry,"Or words misplaced and random, civil mixed with the rude.
79	PERSON	The prince	riddle;death;pain;house;thought;answer	very;silent;excellent	be;get	5.511875	4.39625	5.3525	The prince thought, "It would be excellent if here, in her very house, I could get the answer to her riddle; but I must be silent, on pain of death."
86	PERSON	The prince	goods;journey;man	anxious;safe;old;long	be;set;beg;keep;have;go;entrust;tell	5.55210526316	4.00631578947	5.36736842105	The prince now went back to the village, and told the old man that he was setting out on a long journey, and begged him not to be anxious, and to keep safe the goods which had been entrusted to him.
86	LOCATION	the village	goods;journey;man	anxious;safe;old;long	be;set;beg;keep;have;go;entrust;tell	5.55210526316	4.00631578947	5.36736842105	The prince now went back to the village, and told the old man that he was setting out on a long journey, and begged him not to be anxious, and to keep safe the goods which had been entrusted to him.
89	LOCATION	the way	god;s;name		go;pray;tell	5.54909090909	4.32454545455	5.17090909091	I must go; I pray you, ill God"s name, tell me the way."
90	PERSON	the prince	wish;blessing;good-bye;journey;thanks;foot	good	say;take;kiss;give	6.43692307692	4.22846153846	5.99846153846	Then he gave his good wishes for the journey and his blessing, and the prince kissed his feet, said good-bye, and, with thanks to the Causer of Causes, took the road.
90	LOCATION	the road	wish;blessing;good-bye;journey;thanks;foot	good	say;take;kiss;give	6.43692307692	4.22846153846	5.99846153846	Then he gave his good wishes for the journey and his blessing, and the prince kissed his feet, said good-bye, and, with thanks to the Causer of Causes, took the road.
94	PERSON	King	daughter;qulmus		do;bring;deal;wish	5.78916666667	3.8775	5.9625	I will do whatever you wish; I will bring here King Qulmus and his daughter, and you can deal with them as you will."
98	LOCATION	the wall	garden;palace;deer;leap;time;change		be;start;leap;have;go;find	5.78681818182	3.91136363636	5.43909090909	Eight times he leaped over the wall and eight times found himself where he had started from; but after the ninth leap there was a change, there was a palace and there was a garden, but the deer were gone.
99	LOCATION	the palace	foot;cord;s;seat	able	be;raise;jump;bring;take;tie;order	5.81058823529	3.98235294118	5.58058823529	It was taken to the palace and tied at the foot of the Lady Jamila"s raised seat, but she ordered a longer cord to be brought so that it might be able to jump up beside her.
99	PERSON	Lady Jamila	foot;cord;s;seat	able	be;raise;jump;bring;take;tie;order	5.81058823529	3.98235294118	5.58058823529	It was taken to the palace and tied at the foot of the Lady Jamila"s raised seat, but she ordered a longer cord to be brought so that it might be able to jump up beside her.
100	PERSON	Prince Almas	deer		strike;become;pirouett	5.212	4.51	4.74	She struck the deer hard, it pirouetted and became Prince Almas.
104	LOCATION	the way	king;sea;qaf;wazir;waq;man	such;able;wise	be;consider;get;cross;favour;take	5.98454545455	3.62136363636	5.61863636364	If he favours you, he will take you to Waq of Qaf; if not, you will never get there, for seven seas are on the way, and they are such seas that if all the kings of the earth, and all their wazirs, and all their wise men considered for a thousand years, they would not be able to cross them."
104	LOCATION	the earth	king;sea;qaf;wazir;waq;man	such;able;wise	be;consider;get;cross;favour;take	5.98454545455	3.62136363636	5.61863636364	If he favours you, he will take you to Waq of Qaf; if not, you will never get there, for seven seas are on the way, and they are such seas that if all the kings of the earth, and all their wazirs, and all their wise men considered for a thousand years, they would not be able to cross them."
107	LOCATION	the home	simurgh		be	6.83	3.605	6.135	[11] Further on than this is the home of the Simurgh."
110	PERSON	the prince	upright;while;word;life;hand	little	seize;mutter;stand;fall;put;surrender	5.16285714286	4.14642857143	5.28642857143	He stood upright for a little while, muttered some words, put out his hand to seize the prince, then fell in two and surrendered his life.
115	LOCATION	the road	s;horse;chief;goodbye	fresh;stable	say;choose;take	5.607	3.923	5.775	He said goodbye, chose a fresh horse from the chief"s stable and once again took the road.
116	PERSON	Jamila	food;horse	loose	give;drink;turn;graze;dismount;sleep;lay;have;eat	6.27	4.08461538462	5.86461538462	he dismounted, turned his horse loose to graze, ate some of the food Jamila had given him, drank of the stream and lay down to sleep.
116	LOCATION	the stream	food;horse	loose	give;drink;turn;graze;dismount;sleep;lay;have;eat	6.27	4.08461538462	5.86461538462	he dismounted, turned his horse loose to graze, ate some of the food Jamila had given him, drank of the stream and lay down to sleep.
119	LOCATION	the earth		middle	sink	5.55666666667	3.86333333333	4.96666666667	It sank down to the very middle of the earth.
122	LOCATION	Farrukhfal	stranger;presence;afar;traveller;s;shadow;sinaubar;meeting		be;sit;introduce;take;have;come;arrange	5.365	4.15375	5.498125	A meeting was arranged between Farrukhfal and Almas, and then the amir took him to the king"s presence and introduced him as a stranger and traveller who had come from afar to sit in the shadow of King Sinaubar.
122	PERSON	Almas	stranger;presence;afar;traveller;s;shadow;sinaubar;meeting		be;sit;introduce;take;have;come;arrange	5.365	4.15375	5.498125	A meeting was arranged between Farrukhfal and Almas, and then the amir took him to the king"s presence and introduced him as a stranger and traveller who had come from afar to sit in the shadow of King Sinaubar.
122	PERSON	amir	stranger;presence;afar;traveller;s;shadow;sinaubar;meeting		be;sit;introduce;take;have;come;arrange	5.365	4.15375	5.498125	A meeting was arranged between Farrukhfal and Almas, and then the amir took him to the king"s presence and introduced him as a stranger and traveller who had come from afar to sit in the shadow of King Sinaubar.
122	PERSON	the king	stranger;presence;afar;traveller;s;shadow;sinaubar;meeting		be;sit;introduce;take;have;come;arrange	5.365	4.15375	5.498125	A meeting was arranged between Farrukhfal and Almas, and then the amir took him to the king"s presence and introduced him as a stranger and traveller who had come from afar to sit in the shadow of King Sinaubar.
122	PERSON	King	stranger;presence;afar;traveller;s;shadow;sinaubar;meeting		be;sit;introduce;take;have;come;arrange	5.365	4.15375	5.498125	A meeting was arranged between Farrukhfal and Almas, and then the amir took him to the king"s presence and introduced him as a stranger and traveller who had come from afar to sit in the shadow of King Sinaubar.
123	PERSON	The prince	talk;silence	pleasant;impossible	kill;beguile;hear;be	5.41555555556	4.19444444444	5.40444444444	The prince heard this in silence, and presently so beguiled the king with pleasant talk that to kill him was impossible.
