PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
0	PERSON	BROWN	wolf			5.89	4.285	4.62	BROWN WOLF
3	PERSON	Brown Wolf				5.89	4.285	4.62	Brown Wolf
7	PERSON	Franklin K. Mathiews				5.0	5.0	5.0	Franklin K. Mathiews
8	LOCATION	America	librarian;chief;scout;boy			6.01	3.63	5.206	Chief Scout Librarian, Boy Scouts of America
11	PERSON	BROWN	wolf			5.89	4.285	4.62	BROWN WOLF
18	PERSON	WESTING			make	6.09	3.67	6.22	MAKE WESTING
26	PERSON	the boy	conscience;boy;story;nature;color;mind;life;withal;thing;s;window;imagination;escape;infinite;line;muscle;spirit;ideal	emotional;worst;human;new;such;best	be;develop;feel;serve;add;exercise;see;hope;have;open;present	6.18142857143	4.19333333333	5.83166666667	It is hoped the stories presented will serve to exercise both the boy"s mind and conscience; that seeing and feeling life and nature as Jack London saw and felt it--the best and the worst in human nature, with the Infinite always near and from whom there is no escape--seeing and feeling such things boys will develop the emotional muscles of the spirit, have opened up new windows to their imaginations, and withal add some line or color to their life"s ideals.
26	PERSON	Jack London	conscience;boy;story;nature;color;mind;life;withal;thing;s;window;imagination;escape;infinite;line;muscle;spirit;ideal	emotional;worst;human;new;such;best	be;develop;feel;serve;add;exercise;see;hope;have;open;present	6.18142857143	4.19333333333	5.83166666667	It is hoped the stories presented will serve to exercise both the boy"s mind and conscience; that seeing and feeling life and nature as Jack London saw and felt it--the best and the worst in human nature, with the Infinite always near and from whom there is no escape--seeing and feeling such things boys will develop the emotional muscles of the spirit, have opened up new windows to their imaginations, and withal add some line or color to their life"s ideals.
27	PERSON	FRANKLIN K. MATHIEWS	librarian;chief;scout;boy			6.01	3.63	5.206	FRANKLIN K. MATHIEWS, Chief Scout Librarian, Boy Scouts of America.
27	LOCATION	America	librarian;chief;scout;boy			6.01	3.63	5.206	FRANKLIN K. MATHIEWS, Chief Scout Librarian, Boy Scouts of America.
30	PERSON	BROWN	wolf			5.89	4.285	4.62	BROWN WOLF
31	LOCATION	the orchard	glance;grass;tree	tall;questing	send	6.25857142857	3.54714285714	5.66857142857	She sent a questing glance across the tall grass and in and out among the orchard trees.
34	LOCATION	the trail	manzanita;clearing;jungle;road	waxen-belled	leave;call;take;lead	5.4825	3.93875	5.50625	she called, as they left the clearing and took the trail that led down through the waxen-belled manzanita jungle to the county road.
34	LOCATION	the county	manzanita;clearing;jungle;road	waxen-belled	leave;call;take;lead	5.4825	3.93875	5.50625	she called, as they left the clearing and took the trail that led down through the waxen-belled manzanita jungle to the county road.
35	LOCATION	Irvine	whistling;hand;lip;finger;thrust;effort	little;shrill	lend	5.49888888889	4.50111111111	5.45555555556	Irvine thrust between his lips the little finger of each hand and lent to her efforts a shrill whistling.
47	PERSON	Madge	t;milk		interrupt;didn;give	5.6825	4.065	5.24	"But she didn"t give milk," Madge interrupted.
52	PERSON	the man	fashion;pat;rub;caressing;front;ear;ground	wolf;true;prolonged	be;glide	5.832	4.28066666667	5.64866666667	A pat and a rub around the ears from the man, and a more prolonged caressing from the woman, and he was away down the trail in front of them, gliding effortlessly over the ground in true wolf fashion.
52	PERSON	the woman	fashion;pat;rub;caressing;front;ear;ground	wolf;true;prolonged	be;glide	5.832	4.28066666667	5.64866666667	A pat and a rub around the ears from the man, and a more prolonged caressing from the woman, and he was away down the trail in front of them, gliding effortlessly over the ground in true wolf fashion.
52	LOCATION	the trail	fashion;pat;rub;caressing;front;ear;ground	wolf;true;prolonged	be;glide	5.832	4.28066666667	5.64866666667	A pat and a rub around the ears from the man, and a more prolonged caressing from the woman, and he was away down the trail in front of them, gliding effortlessly over the ground in true wolf fashion.
54	PERSON	Walt Irvine	pain;peace-offering;intruder;milk;pan;bread	large	go;be;snarl;inspect	5.040625	4.60375	5.153125	When Walt Irvine went down to inspect the intruder, he was snarled at for his pains, and Madge likewise was snarled at when she went down to present, as a peace-offering, a large pan of bread and milk.
54	PERSON	Madge	pain;peace-offering;intruder;milk;pan;bread	large	go;be;snarl;inspect	5.040625	4.60375	5.153125	When Walt Irvine went down to inspect the intruder, he was snarled at for his pains, and Madge likewise was snarled at when she went down to present, as a peace-offering, a large pan of bread and milk.
56	LOCATION	California	wagon;guest;train;mile;line;travel;road	brown;wolfish;unsociable;tired;dust-covered;tireless	look;see;soil;chance;slide;bide	5.6	3.73368421053	5.52421052632	Biding along on the train, near to the line between California and Oregon, he chanced to look out of the window and saw his unsociable guest sliding along the wagon road, brown and wolfish, tired yet tireless, dust-covered and soiled with two hundred miles of travel.
56	LOCATION	Oregon	wagon;guest;train;mile;line;travel;road	brown;wolfish;unsociable;tired;dust-covered;tireless	look;see;soil;chance;slide;bide	5.6	3.73368421053	5.52421052632	Biding along on the train, near to the line between California and Oregon, he chanced to look out of the window and saw his unsociable guest sliding along the wagon road, brown and wolfish, tired yet tireless, dust-covered and soiled with two hundred miles of travel.
56	LOCATION	the window	wagon;guest;train;mile;line;travel;road	brown;wolfish;unsociable;tired;dust-covered;tireless	look;see;soil;chance;slide;bide	5.6	3.73368421053	5.52421052632	Biding along on the train, near to the line between California and Oregon, he chanced to look out of the window and saw his unsociable guest sliding along the wagon road, brown and wolfish, tired yet tireless, dust-covered and soiled with two hundred miles of travel.
59	LOCATION	Irvine	instinct;sonnet;price;selling;animal	northern;homing	expend;call;have;get	5.64727272727	3.68545454545	5.42454545455	The homing instinct, Irvine called it, after he had expended the selling price of a sonnet in getting the animal back from northern Oregon.
59	LOCATION	Oregon	instinct;sonnet;price;selling;animal	northern;homing	expend;call;have;get	5.64727272727	3.68545454545	5.42454545455	The homing instinct, Irvine called it, after he had expended the selling price of a sonnet in getting the animal back from northern Oregon.
65	PERSON	Walt	end;redwood;taste;energy;brook;mile;victory;wind;judgment;song-transmutation;fact;man	west;natural;due;least;unbiased	be;devote;win;leave;exercise;have;sigh;aver;gurgle	5.74727272727	4.16909090909	5.53181818182	Walt won in the end, and his victory was most probably due to the fact that he was a man, though Madge averred that they would have had another quarter of a mile of gurgling brook, and at least two west winds sighing through their redwoods, had Walt properly devoted his energies to song-transmutation and left Wolf alone to exercise a natural taste and an unbiased judgment.
65	PERSON	Madge	end;redwood;taste;energy;brook;mile;victory;wind;judgment;song-transmutation;fact;man	west;natural;due;least;unbiased	be;devote;win;leave;exercise;have;sigh;aver;gurgle	5.74727272727	4.16909090909	5.53181818182	Walt won in the end, and his victory was most probably due to the fact that he was a man, though Madge averred that they would have had another quarter of a mile of gurgling brook, and at least two west winds sighing through their redwoods, had Walt properly devoted his energies to song-transmutation and left Wolf alone to exercise a natural taste and an unbiased judgment.
65	PERSON	Walt	end;redwood;taste;energy;brook;mile;victory;wind;judgment;song-transmutation;fact;man	west;natural;due;least;unbiased	be;devote;win;leave;exercise;have;sigh;aver;gurgle	5.74727272727	4.16909090909	5.53181818182	Walt won in the end, and his victory was most probably due to the fact that he was a man, though Madge averred that they would have had another quarter of a mile of gurgling brook, and at least two west winds sighing through their redwoods, had Walt properly devoted his energies to song-transmutation and left Wolf alone to exercise a natural taste and an unbiased judgment.
65	PERSON	Wolf	end;redwood;taste;energy;brook;mile;victory;wind;judgment;song-transmutation;fact;man	west;natural;due;least;unbiased	be;devote;win;leave;exercise;have;sigh;aver;gurgle	5.74727272727	4.16909090909	5.53181818182	Walt won in the end, and his victory was most probably due to the fact that he was a man, though Madge averred that they would have had another quarter of a mile of gurgling brook, and at least two west winds sighing through their redwoods, had Walt properly devoted his energies to song-transmutation and left Wolf alone to exercise a natural taste and an unbiased judgment.
68	PERSON	Walt	pocket;hand;breast;face		scowl;clap;brighten	5.89	4.78428571429	5.84428571429	Walt scowled unconsciously; then his face brightened, and he clapped his hand to his breast pocket.
69	LOCATION	California	milker;cow	beautiful;new;best;nice	have	6.21714285714	4.40714285714	5.54571428571	I have here a nice, beautiful, new cow, the best milker in California."
71	LOCATION	the way	log;office;spot;hand;post;wave	dry	read;answer;save;sit;indicate	5.63842105263	3.92842105263	5.60315789474	"I saved it to read to you on the way to the post office, in a spot remarkably like this one," he answered, indicating, with a wave of his hand, a dry log on which to sit.
72	LOCATION	the valley	butterfly;meadow;song;sunshine;lark;shadow	mellow;great;yellow	flutter;arise	6.57333333333	3.78833333333	5.81416666667	From the valley arose the mellow song of meadow larks, while about them, in and out, through sunshine and shadow, fluttered great yellow butterflies.
74	PERSON	Walt	country;opportunity;democracy		practice;believe;miss	5.89571428571	4.14142857143	5.97571428571	Walt believed in country democracy, and never missed an opportunity to practice it.
75	PERSON	The man			nod;pause	5.33333333333	3.28333333333	5.96333333333	The man paused and nodded.
77	PERSON	Walt	country;t		don;find;laugh	6.2875	4.7125	6.245	"You don"t find any of that in this country," Walt laughed.
78	PERSON	Johnson	s;name;mrs.			5.31	4.02	5.07	Her name"s Johnson, Mrs. William Johnson."
78	PERSON	William Johnson	s;name;mrs.			5.31	4.02	5.07	Her name"s Johnson, Mrs. William Johnson."
79	PERSON	Madge	eye;interest	bright	cry;hear	5.994	4.322	5.58	Madge cried, her eyes bright with interest, "about whom we"ve heard so much?"
87	PERSON	Walt	something;juncture;strain;brush;time;view	wolf-like	be;have;relieve;say;nose;decide;trot	5.88058823529	3.78764705882	5.60705882353	It was at this juncture, when Walt had just decided it was time for him to be saying something to relieve the strain, that Wolf, who had been away nosing through the brush, trotted wolf-like into view.
87	PERSON	Wolf	something;juncture;strain;brush;time;view	wolf-like	be;have;relieve;say;nose;decide;trot	5.88058823529	3.78764705882	5.60705882353	It was at this juncture, when Walt had just decided it was time for him to be saying something to relieve the strain, that Wolf, who had been away nosing through the brush, trotted wolf-like into view.
91	PERSON	Skiff Miller	head;ll;dog		be;s;repeat;pat;hang	5.25428571429	4.55285714286	5.37285714286	Skiff Miller patted the dog"s head, and slowly and solemnly repeated, "Well, I"ll be hanged!"
93	PERSON	Wolf	stranger		see;make	5.12	4.78	5.064	"We never saw Wolf make up to a stranger before."
94	PERSON	the man			ask	5.685	3.92	5.865	the man asked.
97	PERSON	Walt		remarkable	break;be;say;let;handle	5.87	3.87	5.55125	"I say," Walt broke in, "it is remarkable the way he lets you handle him."
97	LOCATION	the way		remarkable	break;be;say;let;handle	5.87	3.87	5.55125	"I say," Walt broke in, "it is remarkable the way he lets you handle him."
98	PERSON	Skiff Miller	admiration;manner	sharp;longer;awkward;businesslike	ask;have;arise	5.60777777778	4.43	5.48111111111	Skiff Miller arose, no longer awkward with admiration of Madge, and in a sharp, businesslike manner asked, "How long have you had him?"
98	PERSON	Madge	admiration;manner	sharp;longer;awkward;businesslike	ask;have;arise	5.60777777778	4.43	5.48111111111	Skiff Miller arose, no longer awkward with admiration of Madge, and in a sharp, businesslike manner asked, "How long have you had him?"
100	PERSON	Skiff Miller		new	s;remark	5.63666666667	4.30166666667	5.34666666667	"That"s a new one on me," Skiff Miller remarked.
101	PERSON	Wolf			bark;have	5.66	4.05666666667	5.04333333333	Wolf had barked.
102	PERSON	Madge	time		s;bark;say	5.74	4.228	5.488	"It"s the first time he ever barked," Madge said.
103	PERSON	Miller	time		hear;volunteer	6.392	4.176	5.826	"First time I ever heard him, too," Miller volunteered.
104	PERSON	The man	humorist		be	5.53333333333	4.26333333333	5.31333333333	The man was evidently a humorist.
106	PERSON	Skiff Miller	word;guile;face		suspect;seek;look;have;lead	5.44857142857	4.04142857143	5.48285714286	Skiff Miller looked at her sharply, seeking in her face the guile her words had led him to suspect.
107	PERSON	Brown	s			5.26	4.16	4.825	It"s Brown."
108	PERSON	Madge	s;cry;husband	instinctive	be	5.524	4.46	4.932	was Madge"s instinctive cry to her husband.
109	PERSON	Walt	defensive		be	5.415	3.855	4.79	Walt was on the defensive at once.
112	PERSON	Walt	assertion	mere	say	5.295	4.07	6.045	"Mere assertion," Walt said sharply.
113	PERSON	Skiff Miller	nod;head;way	slow	ask;ponder;look	5.42125	3.66875	5.58375	In his slow and pondering way, Skiff Miller looked at him, then asked, with a nod of his head toward Madge:
113	PERSON	Madge	nod;head;way	slow	ask;ponder;look	5.42125	3.66875	5.58375	In his slow and pondering way, Skiff Miller looked at him, then asked, with a nod of his head toward Madge:
117	PERSON	Madge			ask	5.95	3.48	6.29	Madge asked tremulously.
118	PERSON	The man			nod	5.235	3.64	5.77	The man nodded.
123	PERSON	Madge			cry	3.22	5.45	2.56	Madge cried.
126	PERSON	Skiff Miller	s;beggin;pardon	hot;all-fired	laugh	6.258	4.932	5.8	"But it"s all-fired hot in summer, beggin" your pardon," Skiff Miller laughed.
134	PERSON	Skiff Miller	forehead;brow;blood;flush	big;obstinate	lower;redden;demand	4.60625	4.51125	5.125	Skiff Miller demanded, big brows lowering and an obstinate flush of blood reddening his forehead.
