PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
2	PERSON	KATHARINE CAMERON	picture			7.22	4.29	6.72	WITH PICTURES BY KATHARINE CAMERON
4	PERSON	CHRISTOPHER				5.0	5.0	5.0	TO CHRISTOPHER
7	PERSON	Joyce	duibhne;retelling;variant;diarmud;o;romance;book;pursuit;dr.;daughter;translation;laughter	other;little;several;old;celtic	write;be;read;have	5.77842105263	4.2	5.46842105263	This little book was written after several variants of the Tales had been read:--"Old Celtic Romances," by Dr. Joyce; "Reliquae Celticae," by Dr. Cameron; "The Pursuit after Diarmud O"Duibhne and Grainne the daughter of Cormac Mac Airt," by Standish Hayes O"Grady; "The Three Sorrows of Story-telling," by Dr. Douglas Hyde; "The Laughter of Peterkin," by Fiona Macleod, and other translations and retellings.
7	PERSON	Cameron	duibhne;retelling;variant;diarmud;o;romance;book;pursuit;dr.;daughter;translation;laughter	other;little;several;old;celtic	write;be;read;have	5.77842105263	4.2	5.46842105263	This little book was written after several variants of the Tales had been read:--"Old Celtic Romances," by Dr. Joyce; "Reliquae Celticae," by Dr. Cameron; "The Pursuit after Diarmud O"Duibhne and Grainne the daughter of Cormac Mac Airt," by Standish Hayes O"Grady; "The Three Sorrows of Story-telling," by Dr. Douglas Hyde; "The Laughter of Peterkin," by Fiona Macleod, and other translations and retellings.
7	PERSON	Grainne	duibhne;retelling;variant;diarmud;o;romance;book;pursuit;dr.;daughter;translation;laughter	other;little;several;old;celtic	write;be;read;have	5.77842105263	4.2	5.46842105263	This little book was written after several variants of the Tales had been read:--"Old Celtic Romances," by Dr. Joyce; "Reliquae Celticae," by Dr. Cameron; "The Pursuit after Diarmud O"Duibhne and Grainne the daughter of Cormac Mac Airt," by Standish Hayes O"Grady; "The Three Sorrows of Story-telling," by Dr. Douglas Hyde; "The Laughter of Peterkin," by Fiona Macleod, and other translations and retellings.
7	PERSON	Standish Hayes O `` Grady	duibhne;retelling;variant;diarmud;o;romance;book;pursuit;dr.;daughter;translation;laughter	other;little;several;old;celtic	write;be;read;have	5.77842105263	4.2	5.46842105263	This little book was written after several variants of the Tales had been read:--"Old Celtic Romances," by Dr. Joyce; "Reliquae Celticae," by Dr. Cameron; "The Pursuit after Diarmud O"Duibhne and Grainne the daughter of Cormac Mac Airt," by Standish Hayes O"Grady; "The Three Sorrows of Story-telling," by Dr. Douglas Hyde; "The Laughter of Peterkin," by Fiona Macleod, and other translations and retellings.
7	PERSON	Douglas Hyde	duibhne;retelling;variant;diarmud;o;romance;book;pursuit;dr.;daughter;translation;laughter	other;little;several;old;celtic	write;be;read;have	5.77842105263	4.2	5.46842105263	This little book was written after several variants of the Tales had been read:--"Old Celtic Romances," by Dr. Joyce; "Reliquae Celticae," by Dr. Cameron; "The Pursuit after Diarmud O"Duibhne and Grainne the daughter of Cormac Mac Airt," by Standish Hayes O"Grady; "The Three Sorrows of Story-telling," by Dr. Douglas Hyde; "The Laughter of Peterkin," by Fiona Macleod, and other translations and retellings.
7	PERSON	Peterkin	duibhne;retelling;variant;diarmud;o;romance;book;pursuit;dr.;daughter;translation;laughter	other;little;several;old;celtic	write;be;read;have	5.77842105263	4.2	5.46842105263	This little book was written after several variants of the Tales had been read:--"Old Celtic Romances," by Dr. Joyce; "Reliquae Celticae," by Dr. Cameron; "The Pursuit after Diarmud O"Duibhne and Grainne the daughter of Cormac Mac Airt," by Standish Hayes O"Grady; "The Three Sorrows of Story-telling," by Dr. Douglas Hyde; "The Laughter of Peterkin," by Fiona Macleod, and other translations and retellings.
7	PERSON	Fiona Macleod	duibhne;retelling;variant;diarmud;o;romance;book;pursuit;dr.;daughter;translation;laughter	other;little;several;old;celtic	write;be;read;have	5.77842105263	4.2	5.46842105263	This little book was written after several variants of the Tales had been read:--"Old Celtic Romances," by Dr. Joyce; "Reliquae Celticae," by Dr. Cameron; "The Pursuit after Diarmud O"Duibhne and Grainne the daughter of Cormac Mac Airt," by Standish Hayes O"Grady; "The Three Sorrows of Story-telling," by Dr. Douglas Hyde; "The Laughter of Peterkin," by Fiona Macleod, and other translations and retellings.
13	PERSON	CHISHOLM	louey			5.0	5.0	5.0	LOUEY CHISHOLM.
