PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
3	PERSON	JOSEPH JACOBS				5.0	5.0	5.0	JOSEPH JACOBS
10	PERSON	ALFRED NUTT	_		_	5.0	5.0	5.0	_TO ALFRED NUTT_
13	LOCATION	Wales	tale;tongue	content;extinct	be;contribute;have;represent	5.82153846154	3.67538461538	5.75692307692	Meanwhile Wales must be content to be somewhat scantily represented among the Fairy Tales of the Celts, while the extinct Cornish tongue has only contributed one tale.
13	PERSON	Fairy	tale;tongue	content;extinct	be;contribute;have;represent	5.82153846154	3.67538461538	5.75692307692	Meanwhile Wales must be content to be somewhat scantily represented among the Fairy Tales of the Celts, while the extinct Cornish tongue has only contributed one tale.
13	PERSON	Cornish	tale;tongue	content;extinct	be;contribute;have;represent	5.82153846154	3.67538461538	5.75692307692	Meanwhile Wales must be content to be somewhat scantily represented among the Fairy Tales of the Celts, while the extinct Cornish tongue has only contributed one tale.
16	PERSON	Beth Gellert	origin;study;attention;legend		settle;believe;call;have	5.84416666667	3.98166666667	5.73833333333	Among these, I would call attention to the study of the legend of Beth Gellert, the origin of which, I believe, I have settled.
17	PERSON	Kipling	word;colour;reader;mr.;narrative;effectiveness	few;local;unknown	add;know	6.018	4.238	5.801	A few words unknown to the reader only add effectiveness and local colour to a narrative, as Mr. Kipling well knows.
18	PERSON	Finn	story;hero;volume;adventure;to-day;peasantry		deserve;tell;fill	6.245	4.7425	5.81375	But the story of Finn, as told by the Gaelic peasantry of to-day, deserves a volume by itself, while the adventures of the Ultonian hero, Cuchulain, could easily fill another.
18	PERSON	Cuchulain	story;hero;volume;adventure;to-day;peasantry		deserve;tell;fill	6.245	4.7425	5.81375	But the story of Finn, as told by the Gaelic peasantry of to-day, deserves a volume by itself, while the adventures of the Ultonian hero, Cuchulain, could easily fill another.
19	PERSON	Lady Wilde	use;right;mr.;horned;fiction;tale;s;version;messrs.;women	legendary;effective	use;thank;have;grant	5.75684210526	4.24157894737	5.56263157895	Lady Wilde has kindly granted me the use of her effective version of "The Horned Women;" and I have specially to thank Messrs. Macmillan for right to use Kennedy"s "Legendary Fictions," and Messrs. Sampson Low &amp; Co., for the use of Mr. Curtin"s Tales.
19	PERSON	Macmillan	use;right;mr.;horned;fiction;tale;s;version;messrs.;women	legendary;effective	use;thank;have;grant	5.75684210526	4.24157894737	5.56263157895	Lady Wilde has kindly granted me the use of her effective version of "The Horned Women;" and I have specially to thank Messrs. Macmillan for right to use Kennedy"s "Legendary Fictions," and Messrs. Sampson Low &amp; Co., for the use of Mr. Curtin"s Tales.
19	PERSON	Kennedy	use;right;mr.;horned;fiction;tale;s;version;messrs.;women	legendary;effective	use;thank;have;grant	5.75684210526	4.24157894737	5.56263157895	Lady Wilde has kindly granted me the use of her effective version of "The Horned Women;" and I have specially to thank Messrs. Macmillan for right to use Kennedy"s "Legendary Fictions," and Messrs. Sampson Low &amp; Co., for the use of Mr. Curtin"s Tales.
19	PERSON	Curtin	use;right;mr.;horned;fiction;tale;s;version;messrs.;women	legendary;effective	use;thank;have;grant	5.75684210526	4.24157894737	5.56263157895	Lady Wilde has kindly granted me the use of her effective version of "The Horned Women;" and I have specially to thank Messrs. Macmillan for right to use Kennedy"s "Legendary Fictions," and Messrs. Sampson Low &amp; Co., for the use of Mr. Curtin"s Tales.
21	PERSON	Saxon	heart;celtic;wealth;union;fund;child;politics;isle	imaginative;true;common;more	do;succeed;give	6.22533333333	4.55066666667	5.72066666667	If it could succeed in giving a common fund of imaginative wealth to the Celtic and the Saxon children of these isles, it might do more for a true union of hearts than all your politics.
22	PERSON	JOSEPH JACOBS				5.0	5.0	5.0	JOSEPH JACOBS.
31	PERSON	DONALD O	dudden;neary;hudden			5.0	5.0	5.0	HUDDEN AND DUDDEN AND DONALD O"NEARY
33	PERSON	DEIRDRE	story			7.27	3.52	5.33	THE STORY OF DEIRDRE
37	PERSON	JACK	comrade			7.3	4.25	5.68	JACK AND HIS COMRADES
38	PERSON	GANNON	shee;gaire	gruagach		5.0	5.0	5.0	THE SHEE AN GANNON AND THE GRUAGACH GAIRE
40	PERSON	BROWN			tremble	5.28	3.97666666667	4.85333333333	FAIR, BROWN, AND TREMBLING
41	PERSON	JACK	master			5.72	4.4	4.17	JACK AND HIS MASTER
47	PERSON	Usna	attire;father;side;height	clad;strange;maiden	see;come;stand	5.59	3.6925	5.41333333333	One day as he stood by the side of his father on the height of Usna, he saw a maiden clad in strange attire coming towards him.
48	PERSON	Connla			say	5.91	4.43	6.88	said Connla.
49	LOCATION	Hill Folk	home;man;round;hill	green	call;have	6.01222222222	3.36333333333	5.98444444444	And because we have our homes in the round green hills, men call us the Hill Folk."
50	PERSON	Fairy	connla;none;maiden		see;save	5.526	4.378	5.514	For save Connla alone, none saw the Fairy Maiden.
51	PERSON	the king	conn		say	5.955	4.44	6.205	said Conn the king.
53	PERSON	The king	fear;name;maiden		call;say;hear;see	5.655	4.115	5.60875	The king in fear at what the maiden said, which he heard though he could not see her, called aloud to his Druid, Coran by name.
53	PERSON	Coran	fear;name;maiden		call;say;hear;see	5.655	4.115	5.60875	The king in fear at what the maiden said, which he heard though he could not see her, called aloud to his Druid, Coran by name.
55	LOCATION	Connla	s;spell;druid;apple	mighty	vanish;throw	5.52285714286	4.66714285714	5.76	Only as she vanished before the Druid"s mighty spell, she threw an apple to Connla.
57	PERSON	Connla	plain;father;side	maiden	see;speak;come;stand;wait	5.55692307692	3.65307692308	5.54307692308	But when the last day of the month of waiting came, Connla stood by the side of the king his father on the Plain of Arcomin, and again he saw the maiden come towards him, and again she spoke to him.
57	PERSON	the king	plain;father;side	maiden	see;speak;come;stand;wait	5.55692307692	3.65307692308	5.54307692308	But when the last day of the month of waiting came, Connla stood by the side of the king his father on the Plain of Arcomin, and again he saw the maiden come towards him, and again she spoke to him.
57	LOCATION	Arcomin	plain;father;side	maiden	see;speak;come;stand;wait	5.55692307692	3.65307692308	5.54307692308	But when the last day of the month of waiting came, Connla stood by the side of the king his father on the Plain of Arcomin, and again he saw the maiden come towards him, and again she spoke to him.
58	PERSON	Moy Mell	home;life;folk;one	ever-living	bid;beg;see;know;have;learn;come	6.12214285714	3.88	5.84285714286	But now the folk of life, the ever-living ones, beg and bid thee come to Moy Mell, the Plain of Pleasure, for they have learnt to know thee, seeing thee in thy home among thy dear ones."
59	PERSON	the king	s;voice;conn;man	maiden	call;say;hear	5.9175	4.05625	5.88375	When Conn the king heard the maiden"s voice he called to his men aloud and said:
60	PERSON	Druid Coran	speech;power	swift	see;have;summon	5.81125	4.3875	5.93	"Summon swift my Druid Coran, for I see she has again this day the power of speech."
62	PERSON	the woman	son;mind;conn;fight		be;say	6.0925	4.45	5.82875	So Conn of the hundred fights said to him, "Is it to thy mind what the woman says, my son?"
63	PERSON	Connla	thing;longing;maiden;folk;tis	own	say;love;seize	5.40181818182	4.38909090909	5.45727272727	""Tis hard upon me," then said Connla; "I love my own folk above all things; but yet, but yet a longing seizes me for the maiden."
65	PERSON	Connla	eye;way;maiden		be;do;see;know;go;come	6.16	3.77583333333	5.7275	Away and away, till eye could see it no longer, and Connla and the Fairy Maiden went their way on the sea, and were no more seen, nor did any know where they came.
