PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
16	PERSON	Fairy	tale			6.33	4.065	6.285	Fairy Tales
20	PERSON	JOSEPH JACOBS				5.0	5.0	5.0	JOSEPH JACOBS
26	PERSON	JOHN D. BATTEN				5.0	5.0	5.0	JOHN D. BATTEN
30	PERSON	G. P. PUTNAM	s;son			5.955	4.715	5.0	G. P. PUTNAM"S SONS
32	LOCATION	NEW YORK				7.68	5.14	5.22	NEW YORK  AND  LONDON
32	LOCATION	LONDON				7.68	5.14	5.22	NEW YORK  AND  LONDON
50	LOCATION	Wales	tale;tongue	content;extinct	be;contribute;have;represent	5.82153846154	3.67538461538	5.75692307692	Meanwhile Wales must be content to be somewhat scantily represented among the Fairy Tales of the Celts, while the extinct Cornish tongue has only contributed one tale.
50	PERSON	Fairy	tale;tongue	content;extinct	be;contribute;have;represent	5.82153846154	3.67538461538	5.75692307692	Meanwhile Wales must be content to be somewhat scantily represented among the Fairy Tales of the Celts, while the extinct Cornish tongue has only contributed one tale.
50	PERSON	Cornish	tale;tongue	content;extinct	be;contribute;have;represent	5.82153846154	3.67538461538	5.75692307692	Meanwhile Wales must be content to be somewhat scantily represented among the Fairy Tales of the Celts, while the extinct Cornish tongue has only contributed one tale.
51	PERSON	Beth Gellert	origin;study;attention;legend		settle;believe;call;have	5.84416666667	3.98166666667	5.73833333333	Among these, I would call attention to the study of the legend of Beth Gellert, the origin of which, I believe, I have settled.
52	PERSON	Kipling	word;colour;reader;mr.;narrative;effectiveness	few;local;unknown	add;know	6.018	4.238	5.801	A few words unknown to the reader only add effectiveness and local colour to a narrative, as Mr. Kipling well knows.
53	PERSON	Finn	story;hero;volume;adventure;to-day;peasantry		deserve;tell;fill	6.245	4.7425	5.81375	But the story of Finn, as told by the Gaelic peasantry of to-day, deserves a volume by itself, while the adventures of the Ultonian hero, Cuchulain, could easily fill another.
53	PERSON	Cuchulain	story;hero;volume;adventure;to-day;peasantry		deserve;tell;fill	6.245	4.7425	5.81375	But the story of Finn, as told by the Gaelic peasantry of to-day, deserves a volume by itself, while the adventures of the Ultonian hero, Cuchulain, could easily fill another.
54	PERSON	Lady Wilde	use;right;mr.;horned;fiction;tale;s;version;messrs.;women	legendary;effective	_;use;thank;have;grant	5.75684210526	4.24157894737	5.56263157895	Lady Wilde has kindly granted me the use of her effective version of "The Horned Women"; and I have specially to thank Messrs. Macmillan for right to use Kennedy"s _Legendary Fictions_, and Messrs. Sampson Low &amp; Co., for the use of Mr. Curtin"s Tales.
54	PERSON	Macmillan	use;right;mr.;horned;fiction;tale;s;version;messrs.;women	legendary;effective	_;use;thank;have;grant	5.75684210526	4.24157894737	5.56263157895	Lady Wilde has kindly granted me the use of her effective version of "The Horned Women"; and I have specially to thank Messrs. Macmillan for right to use Kennedy"s _Legendary Fictions_, and Messrs. Sampson Low &amp; Co., for the use of Mr. Curtin"s Tales.
54	PERSON	Kennedy	use;right;mr.;horned;fiction;tale;s;version;messrs.;women	legendary;effective	_;use;thank;have;grant	5.75684210526	4.24157894737	5.56263157895	Lady Wilde has kindly granted me the use of her effective version of "The Horned Women"; and I have specially to thank Messrs. Macmillan for right to use Kennedy"s _Legendary Fictions_, and Messrs. Sampson Low &amp; Co., for the use of Mr. Curtin"s Tales.
54	PERSON	Curtin	use;right;mr.;horned;fiction;tale;s;version;messrs.;women	legendary;effective	_;use;thank;have;grant	5.75684210526	4.24157894737	5.56263157895	Lady Wilde has kindly granted me the use of her effective version of "The Horned Women"; and I have specially to thank Messrs. Macmillan for right to use Kennedy"s _Legendary Fictions_, and Messrs. Sampson Low &amp; Co., for the use of Mr. Curtin"s Tales.
57	PERSON	JOSEPH JACOBS				5.0	5.0	5.0	JOSEPH JACOBS.
