PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
2	PERSON	Andrew Lang			edit	4.95	4.1	6.64	Edited by Andrew Lang
6	PERSON	Jason	homer;tale;story;set;somebody;samoyeds;taste;hindoos;granddaughter;feature;alteration;grandmother;turn;incident;samoans;teller;world;enchantress;change	savage;last;civilised;plain;other;various;popular	wander;be;compose;make;omit;grow;add;suit;tell	5.76608695652	3.96891304348	5.55456521739	It is only plain that, perhaps a hundred thousand years ago, some savage grandmother told a tale to a savage granddaughter; that the granddaughter told it in her turn; that various tellers made changes to suit their taste, adding or omitting features and incidents; that, as the world grew civilised, other alterations were made, and that, at last, Homer composed the "Odyssey," and somebody else composed the Story of Jason and the Fleece of Gold, and the enchantress Medea, out of a set of wandering popular tales, which are still told among Samoyeds and Samoans, Hindoos and Japanese.
6	PERSON	Medea	homer;tale;story;set;somebody;samoyeds;taste;hindoos;granddaughter;feature;alteration;grandmother;turn;incident;samoans;teller;world;enchantress;change	savage;last;civilised;plain;other;various;popular	wander;be;compose;make;omit;grow;add;suit;tell	5.76608695652	3.96891304348	5.55456521739	It is only plain that, perhaps a hundred thousand years ago, some savage grandmother told a tale to a savage granddaughter; that the granddaughter told it in her turn; that various tellers made changes to suit their taste, adding or omitting features and incidents; that, as the world grew civilised, other alterations were made, and that, at last, Homer composed the "Odyssey," and somebody else composed the Story of Jason and the Fleece of Gold, and the enchantress Medea, out of a set of wandering popular tales, which are still told among Samoyeds and Samoans, Hindoos and Japanese.
7	PERSON	Lang	story;miss;mrs.	few	be;translate;adapt;have	5.5025	3.74	5.38625	The stories have mainly been adapted or translated by Mrs. Lang, a few by Miss Lang and Miss Blackley.
7	PERSON	Lang	story;miss;mrs.	few	be;translate;adapt;have	5.5025	3.74	5.38625	The stories have mainly been adapted or translated by Mrs. Lang, a few by Miss Lang and Miss Blackley.
7	PERSON	Blackley	story;miss;mrs.	few	be;translate;adapt;have	5.5025	3.74	5.38625	The stories have mainly been adapted or translated by Mrs. Lang, a few by Miss Lang and Miss Blackley.
11	PERSON	Ilonka		lovely		7.55	3.95	6.38	Lovely Ilonka
15	PERSON	Simons	story			6.085	3.66	5.485	The Story of the Seven Simons
17	PERSON	The Boy		secret	keep	5.6225	4.17	5.405	The Boy who could keep a Secret
18	PERSON	Prince	dragon			6.06	5.3	4.78	The Prince and the Dragon
