PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
2	PERSON	FLORA ANNIE	steel			4.95	3.86	5.68	FLORA ANNIE STEEL
3	PERSON	Arthur Rackham	illustrated			5.0	5.0	5.0	Illustrated by Arthur Rackham
13	LOCATION	ENGLAND	st.;merrie;george			5.0	5.0	5.0	ST. GEORGE OF MERRIE ENGLAND
27	PERSON	JACK	giant-killer			5.0	5.0	5.0	JACK THE GIANT-KILLER
39	PERSON	JACK	beanstalk			5.0	5.0	5.0	JACK AND THE BEANSTALK
57	PERSON	MR. FOX				5.52	4.36	5.5	MR. FOX
59	PERSON	DICK WHITTINGTON	cat			5.005	5.05	4.46	DICK WHITTINGTON AND HIS CAT
65	PERSON	JACK	how;fortune;out		go;seek	6.60333333333	4.85333333333	6.05666666667	HOW JACK WENT OUT TO SEEK HIS FORTUNE
71	PERSON	CHILDE ROWLAND				5.0	5.0	5.0	CHILDE ROWLAND
87	PERSON	MOLLY WHUPPIE	giant	double-faced		5.41	5.1	6.68	MOLLY WHUPPIE AND THE DOUBLE-FACED GIANT
106	PERSON	The giant	terror;cormoran;country-side		be	4.78	4.96	5.04333333333	The giant Cormoran was the terror of all the country-side
108	LOCATION	the castle	door;key		unlock;take	5.688	3.906	6.152	Taking the keys of the castle, Jack unlocked all the doors
108	PERSON	Jack	door;key		unlock;take	5.688	3.906	6.152	Taking the keys of the castle, Jack unlocked all the doors
110	PERSON	The giant	magician;galligantua	old;wicked	transform	4.592	5.006	4.98	The giant Galligantua and the wicked old magician transform the
138	PERSON	George	st.;headpiece			5.0	5.0	5.0	Headpiece--St. George of Merrie England
138	LOCATION	Merrie England	st.;headpiece			5.0	5.0	5.0	Headpiece--St. George of Merrie England
140	PERSON	George	st.;hand		start;come;lay	6.0325	4.015	5.91	When she came to St. George she started and laid her hand on
153	PERSON	Jack	shoulder;donkey	hard	hoist;find	5.438	3.734	5.16	Jack found it hard to hoist the donkey on his shoulders
155	PERSON	the giant			be;outdo;cry	4.94	4.8525	5.41	cried the giant, not to be outdone.
160	LOCATION	the entrance	block;timber	dark;huge	seat	5.18125	4.12625	5.3175	Seated on a huge block of timber near the entrance to a dark
165	LOCATION	The country	chaff;wind;folk		fly	6.296	3.832	5.682	The country folk flying before him like chaff before the wind
171	LOCATION	the bed	bogle		hear;strive	6.72	3.74666666667	6.59666666667	He heard the bogles striving under the bed
179	PERSON	Jack	beanstalk;axe	great	chop;give;seize	5.35	4.64	5.64333333333	Jack seized the axe and gave a great chop at the beanstalk
181	LOCATION	the house			blow;huff;puff	5.785	4.0275	5.53	So he huffed and he puffed and he blew the house in
183	LOCATION	the house			blow;huff;puff	5.785	4.0275	5.53	So he huffed and he puffed and he blew the house in
186	LOCATION	the house	blow			6.645	4.215	5.705	blow the house down
201	PERSON	Dick	street;gold		be;find;pave	5.60833333333	4.18166666667	5.23833333333	Dick finds that the streets of London are not paved with gold
201	LOCATION	London	street;gold		be;find;pave	5.60833333333	4.18166666667	5.23833333333	Dick finds that the streets of London are not paved with gold
203	PERSON	Dick Whittington	bells;bow		hear	5.06666666667	4.35666666667	5.36666666667	Dick Whittington hears Bow Bells
207	PERSON	Jack	fortune;headpiece		go;seek	6.60333333333	4.85333333333	6.05666666667	Headpiece--How Jack went out to seek his Fortune
218	LOCATION	the country	hare;way		run	6.2675	3.6475	5.415	The hare ran on along the country way
230	LOCATION	St. George of Merrie England	headpiece;illustration			6.37	4.0	6.26	[Illustration: Headpiece--St. George of Merrie England]
232	LOCATION	ENGLAND	st.;merrie;george			5.0	5.0	5.0	ST. GEORGE OF MERRIE ENGLAND
233	LOCATION	Kalyb	thing;deed;death;babe	new-born;terrible;innocent	delight;be;put;carry	5.352	4.076	5.346	Terrible were the deeds of Kalyb; but above all things she delighted in carrying off innocent new-born babes, and putting them to death.
234	PERSON	Kalyb	child;babe;spell;father;s;charm;birth;mother;nurse	certain;wicked;careless;absent	be;manage;steal;die	5.34444444444	4.52611111111	5.18111111111	Certain it is that the babe"s father being absent, and his mother dying at his birth, the wicked Kalyb, with spells and charms, managed to steal the child from his careless nurses.
236	PERSON	the boy	adventure;thirst;enchantress	own;honourable;wicked	wish;begin;keep;have;pass	5.66416666667	4.10333333333	5.58583333333	Now, when twice seven years had passed the boy began to thirst for honourable adventures, though the wicked enchantress wished to keep him as her own.
