PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
3	LOCATION	IRELAND				5.0	5.0	5.0	OF IRELAND
11	LOCATION	SYDNEY	richmond		illustrate	6.24	3.78	5.73	ILLUSTRATED BY SYDNEY RICHMOND BURLEIGH
11	PERSON	BURLEIGH	richmond		illustrate	6.24	3.78	5.73	ILLUSTRATED BY SYDNEY RICHMOND BURLEIGH
14	LOCATION	NEW YORK				7.68	5.14	5.22	NEW YORK
16	PERSON	CHARLES SCRIBNER	s;son			5.955	4.715	5.0	CHARLES SCRIBNER"S SONS
23	PERSON	CHARLES SCRIBNER	s;son			5.955	4.715	5.0	CHARLES SCRIBNER"S SONS
31	PERSON	Jane Grey				5.0	5.0	5.0	Jane Grey Allen and Elizabeth Allen
31	LOCATION	Allen				5.0	5.0	5.0	Jane Grey Allen and Elizabeth Allen
31	PERSON	Elizabeth				5.0	5.0	5.0	Jane Grey Allen and Elizabeth Allen
31	LOCATION	Allen				5.0	5.0	5.0	Jane Grey Allen and Elizabeth Allen
50	PERSON	KATHLEEN	little;terence			5.91	4.2	5.18	LITTLE KATHLEEN AND LITTLE TERENCE
74	PERSON	DONALD	home		go	6.9	4.32	6.05	"AND THEN DONALD WENT HOME"
91	LOCATION	Guleesh	ghost;chapter;story;substance;wife;vii	latter;former	borrow;have	5.54777777778	4.20444444444	5.59444444444	From the former of these I have borrowed the substance of the story of Guleesh na Guss Dhu, in Chapter IV., and from the latter that of the ghost and his wives, in Chapter VII.
91	PERSON	Guss Dhu	ghost;chapter;story;substance;wife;vii	latter;former	borrow;have	5.54777777778	4.20444444444	5.59444444444	From the former of these I have borrowed the substance of the story of Guleesh na Guss Dhu, in Chapter IV., and from the latter that of the ghost and his wives, in Chapter VII.
96	LOCATION	NEW YORK				6.34	5.07	5.11	NEW YORK, September 1, 1900.
104	LOCATION	IRELAND	fairy;folk			6.44	3.745	6.19	FAIRIES AND FOLK OF IRELAND
108	LOCATION	The floor			be;sweep;expect	5.87333333333	3.99833333333	5.68	The floor was as carefully swept as if the Queen were expected.
108	PERSON	Queen			be;sweep;expect	5.87333333333	3.99833333333	5.68	The floor was as carefully swept as if the Queen were expected.
110	PERSON	John	wife;son;young-woman;man	young	be	6.28333333333	3.99166666667	5.42333333333	The young man was her son, John, and the young-woman was his wife, Kitty.
110	PERSON	Kitty	wife;son;young-woman;man	young	be	6.28333333333	3.99166666667	5.42333333333	The young man was her son, John, and the young-woman was his wife, Kitty.
119	LOCATION	Ireland	everything;trouble;end		end;have	4.60333333333	4.15	5.09666666667	"Everything has an end, and so these troubles of ours will end, and all the troubles of Ireland will end, too."
120	LOCATION	Ireland	people;country;agent;t;landlord;wasn	poor;better;unhappy	be;think	4.926	3.971	5.336	"Wasn"t Ireland always the poor, unhappy country, and all the people in it, only the landlords and the agents, and why should we think it will ever be better?"
121	PERSON	King Brian	country;t;wasn	poor;unhappy	ask;be;descend	4.93125	4.12625	5.2225	And you, that are descended from King Brian, ask if Ireland wasn"t always the poor, unhappy country."
121	LOCATION	Ireland	country;t;wasn	poor;unhappy	ask;be;descend	4.93125	4.12625	5.2225	And you, that are descended from King Brian, ask if Ireland wasn"t always the poor, unhappy country."
136	PERSON	the King	thing;o;donoghue		breathe;do;be;move;see;know;have;pass;seem;speak	5.6625	4.024	5.4055	Then I could move and speak and breathe again, for it had seemed to me that I could not do any one of these things while the King was passing, and I knew that I had seen O"Donoghue."
138	LOCATION	London	life;people;time	grander	see;take	5.3375	4.32875	5.295	Three times they took me to London with them, and I saw still grander people and grander life.
142	PERSON	John	work;place;soul	enough;old	be;die;work;rest;leave;let;know;take	5.46066666667	4.0	5.45	And then, John, you know that when you were hardly old enough to take his place with the work, let alone knowing how to work as well as he, he died and left us--Heaven rest his soul!"
142	LOCATION	Heaven	work;place;soul	enough;old	be;die;work;rest;leave;let;know;take	5.46066666667	4.0	5.45	And then, John, you know that when you were hardly old enough to take his place with the work, let alone knowing how to work as well as he, he died and left us--Heaven rest his soul!"
149	PERSON	John			answer	6.1	4.0	5.95	John answered.
150	PERSON	Pether	rose;hearty;s;avenin;lookin;fine	good	re;say	6.5125	4.1075	5.99625	"Good avenin" to you, Pether," said John; "you"re lookin" fine and hearty, and it"s like a rose you"re lookin", Ellen."
150	PERSON	John	rose;hearty;s;avenin;lookin;fine	good	re;say	6.5125	4.1075	5.99625	"Good avenin" to you, Pether," said John; "you"re lookin" fine and hearty, and it"s like a rose you"re lookin", Ellen."
150	PERSON	Ellen	rose;hearty;s;avenin;lookin;fine	good	re;say	6.5125	4.1075	5.99625	"Good avenin" to you, Pether," said John; "you"re lookin" fine and hearty, and it"s like a rose you"re lookin", Ellen."
151	PERSON	Ellen	rose;prickle;nettle;s;something;feelin		answer;re;bother;wid;have	6.08375	3.895	5.57125	"It"s more like nettles than roses we"re feelin"," Ellen answered, "but something with prickles anyway, wid the bother we have every day and all day."
155	PERSON	Brien	ll;o;states;thing;other;mrs.;need;trouble	more;older	do;make;leave;say;have;go	5.32272727273	4.16363636364	5.61727272727	"Leave off the things you do that make you all these troubles," said the older Mrs. O"Brien, "and you"ll have no more need to go to the States than others."
156	PERSON	Ellen			ask	5.95	3.48	6.29	Ellen asked.
158	PERSON	Don	t;talk			5.54666666667	4.46	5.48	Don"t talk to me."
161	PERSON	Ellen	water;didn;t;care	other;dirty	see;throw;say;take	5.82166666667	4.09083333333	5.74166666667	Didn"t I see Ellen the other evening throwing out some dirty water and never saying "Take care of the water?""
164	PERSON	O `` Brien	s;fairy;mrs.		dunno;say;throuble;be	5.54285714286	4.7	5.53714285714	Mrs. O"Brien," said Peter; "I dunno what it is that"s throubling us, but there"s no fairies at all."
164	PERSON	Peter	s;fairy;mrs.		dunno;say;throuble;be	5.54285714286	4.7	5.53714285714	Mrs. O"Brien," said Peter; "I dunno what it is that"s throubling us, but there"s no fairies at all."
166	PERSON	O `` Brien	god;avil;blessing;mrs.;cat;t;bit;spirit	avil;confused	be;put;add;re;say;call;answer;mustn;save;tell	5.96	4.3224	5.7068	"Why, sure, Mrs. O"Brien," Peter answered, just a bit confused, "sure, we"re told that cats is avil spirits, so we mustn"t put blessings on them, and when we say "God save all here," we add onto it "except the cat," so as not to be calling down a blessing on an avil spirit."
166	PERSON	Peter	god;avil;blessing;mrs.;cat;t;bit;spirit	avil;confused	be;put;add;re;say;call;answer;mustn;save;tell	5.96	4.3224	5.7068	"Why, sure, Mrs. O"Brien," Peter answered, just a bit confused, "sure, we"re told that cats is avil spirits, so we mustn"t put blessings on them, and when we say "God save all here," we add onto it "except the cat," so as not to be calling down a blessing on an avil spirit."
167	LOCATION	the house	everybody;name;people;blessing;cat;water;everything;s;t;fear;superstition;spirit	poor;good;dirty;evil	be;ld;don;re;call;pass;put;trouble;throw;wonder	5.56866666667	4.43433333333	5.42866666667	You can"t put a blessing on the poor cat, when you"re blessing everybody and everything else in the house, for fear you"ld be putting it on an evil spirit; but you"re not superstitions, and so you throw dirty water on the Good People as they"re passing, and you call them by names that they don"t like, and then you wonder what it is that"s troubling you."
169	PERSON	Peter	sort;woman;monster;anything;people;s;t	good;old;strange	run;say;believe;don;want	5.5425	4.42083333333	5.5425	"That"s you, Peter," said the old woman; "you don"t believe in the Good People or strange monsters or anything of the sort, but you want to run away from them."
170	PERSON	O `` Brien	states;s;street;goold;mrs.	true	do;say;think;pick	5.881	4.147	6.14	"Mrs. O"Brien," he said, "do you think it"s true, what they say, that in the States you can pick up goold everywhere in the streets?"
172	LOCATION	the street	country;goold;couldn;t		pickin;do;be	5.46666666667	4.04333333333	5.60166666667	What couldn"t you do in a country where ye could be pickin" up goold in the street?"
173	LOCATION	the street	stone;gold	worth;more	be;find	6.02142857143	3.90428571429	6.05571428571	If you could find gold in the street, it would be worth no more than the stones that you find there."
174	PERSON	Brien	o;goold;t;mrs.;wouldn		be;don;goold;see;say;know;find	5.70923076923	4.23769230769	5.56461538462	"I don"t know how that is, Mrs. O"Brien," said Peter, "but I can"t see why goold wouldn"t be goold, wherever you could find it."
174	PERSON	Peter	o;goold;t;mrs.;wouldn		be;don;goold;see;say;know;find	5.70923076923	4.23769230769	5.56461538462	"I don"t know how that is, Mrs. O"Brien," said Peter, "but I can"t see why goold wouldn"t be goold, wherever you could find it."
184	PERSON	Earl Gerald			see	4.655	3.91	5.215	She never saw Earl Gerald again.
185	LOCATION	the wall	horse;stall;man;row		be	5.45555555556	3.34888888889	5.39	Against the wall there are rows of stalls, and behind each man, in one of the stalls, is his horse.
186	PERSON	Kildare	ride;curragh		sleep	5.675	3.80166666667	5.28333333333	He rides around the Curragh of Kildare and then back into the cave, to sleep again for seven years.
186	LOCATION	the cave	ride;curragh		sleep	5.675	3.80166666667	5.28333333333	He rides around the Curragh of Kildare and then back into the cave, to sleep again for seven years.
187	LOCATION	the table	steel;helmet;horse;saddle;armor;light;lamp;bridle;row;rider;man	ready;bright	shine;be;bow;glisten;sit	5.87052631579	3.82842105263	5.84578947368	And the light of the lamps shone down and glistened on the bright armor of rows of men who sat with their steel helmets bowed upon the table, and behind them were rows of horses, with their saddles and their bridles on, ready for their riders.
189	PERSON	The man			go;find	5.754	4.064	5.512	The man went out of the cave as quickly as he could, and he never could find the door of it again.
189	LOCATION	the cave			go;find	5.754	4.064	5.512	The man went out of the cave as quickly as he could, and he never could find the door of it again.
189	LOCATION	the door			go;find	5.754	4.064	5.512	The man went out of the cave as quickly as he could, and he never could find the door of it again.
190	LOCATION	the country		happy;prosperous;peaceful	be	6.32	3.99090909091	6.23727272727	Then the country will be peaceful and prosperous and happy, and Gerald will be its King for forty years."
190	PERSON	Gerald		happy;prosperous;peaceful	be	6.32	3.99090909091	6.23727272727	Then the country will be peaceful and prosperous and happy, and Gerald will be its King for forty years."
190	PERSON	King		happy;prosperous;peaceful	be	6.32	3.99090909091	6.23727272727	Then the country will be peaceful and prosperous and happy, and Gerald will be its King for forty years."
191	PERSON	O `` Brien	tale;prophecy;woman;thrue;mrs.	old;comin	ask;do;s;know;tell	5.52333333333	3.98733333333	5.54266666667	Did you ever know, now, Mrs. O"Brien--I ask you--will you tell me this--did ye ever know of any of the prophecies in any of thim old woman"s tales comin" thrue?"
