PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
8	PERSON	ANTHONY R. MONTALBA				5.0	5.0	5.0	ANTHONY R. MONTALBA.
11	PERSON	RICHARD DOYLE	illustration			6.37	4.0	6.26	WITH TWENTY-FOUR ILLUSTRATIONS BY RICHARD DOYLE.
14	LOCATION	LONDON				5.0	5.0	5.0	LONDON:
28	LOCATION	FITZWILLIAM	earl;right;hon.			6.235	4.32	6.46	THE RIGHT HON. THE EARL FITZWILLIAM,
33	PERSON	A. R. MONTALBA				5.0	5.0	5.0	A. R. MONTALBA.
46	PERSON	the fairy	none;material;collection;nation;volume;editor;lore	aware;more	follow;translate;choose;have;be	5.96	3.93666666667	5.77944444444	The materials of the following Collection have been carefully chosen from more than a hundred volumes of the fairy lore of all nations; and none of them, so far as the Editor is aware, have been previously translated into English.
47	PERSON	Richard Doyle	acknowledgment;work;s;attraction;mr.;editor;preface;illustrations	little;admirable;brief;grateful	close;express;impart;enhance	5.98785714286	4.12428571429	5.74642857143	The Editor cannot close this brief Preface without expressing his grateful acknowledgments of the enhanced attraction imparted to his little work by Mr. Richard Doyle"s admirable Illustrations.
65	PERSON	G. WEIL	dr.			5.0	5.0	5.0	DR. G. WEIL
69	PERSON	FRIEDRICH VON SALLET				5.0	5.0	5.0	FRIEDRICH VON SALLET  41
73	PERSON	CHAFFINCH	prince			5.44	5.15	4.39	PRINCE CHAFFINCH
78	PERSON	E. M. ANNDT				5.0	5.0	5.0	E. M. ANNDT
82	PERSON	K. W. WOYCICKY				5.0	5.0	5.0	K. W. WOYCICKY
86	PERSON	O. L. B. WOLFF				5.0	5.0	5.0	O. L. B. WOLFF
88	PERSON	MADHAVA	story;siva			7.27	3.52	5.33	THE STORY OF SIVA AND MADHAVA
101	PERSON	LEOPOLD HAUSST				5.0	5.0	5.0	LEOPOLD HAUSST AND
102	PERSON	J. E. SCHMALER				5.0	5.0	5.0	J. E. SCHMALER
134	PERSON	L. BECKSTEIN				5.0	5.0	5.0	L. BECKSTEIN
144	LOCATION	Bohemian	_			6.05	4.79	4.25	_Bohemian_
147	PERSON	GOLDY				5.0	5.0	5.0	GOLDY
149	PERSON	KERNER	justinus			5.0	5.0	5.0	JUSTINUS KERNER
153	PERSON	BASILE				5.0	5.0	5.0	BASILE
157	PERSON	RICHARD DOYLE			draw;engrave	6.28	3.89	6.09	The Illustrations drawn by RICHARD DOYLE, and engraved by G. DALZIEL, E. DALZIEL, ISABEL THOMPSON, C. T. THOMPSON, RICHARD THOMPSON, and W. T. GREEN.
157	PERSON	G. DALZIEL			draw;engrave	6.28	3.89	6.09	The Illustrations drawn by RICHARD DOYLE, and engraved by G. DALZIEL, E. DALZIEL, ISABEL THOMPSON, C. T. THOMPSON, RICHARD THOMPSON, and W. T. GREEN.
157	PERSON	E. DALZIEL			draw;engrave	6.28	3.89	6.09	The Illustrations drawn by RICHARD DOYLE, and engraved by G. DALZIEL, E. DALZIEL, ISABEL THOMPSON, C. T. THOMPSON, RICHARD THOMPSON, and W. T. GREEN.
157	PERSON	ISABEL THOMPSON			draw;engrave	6.28	3.89	6.09	The Illustrations drawn by RICHARD DOYLE, and engraved by G. DALZIEL, E. DALZIEL, ISABEL THOMPSON, C. T. THOMPSON, RICHARD THOMPSON, and W. T. GREEN.
157	PERSON	C. T. THOMPSON			draw;engrave	6.28	3.89	6.09	The Illustrations drawn by RICHARD DOYLE, and engraved by G. DALZIEL, E. DALZIEL, ISABEL THOMPSON, C. T. THOMPSON, RICHARD THOMPSON, and W. T. GREEN.
157	PERSON	RICHARD THOMPSON			draw;engrave	6.28	3.89	6.09	The Illustrations drawn by RICHARD DOYLE, and engraved by G. DALZIEL, E. DALZIEL, ISABEL THOMPSON, C. T. THOMPSON, RICHARD THOMPSON, and W. T. GREEN.
157	PERSON	W. T. GREEN			draw;engrave	6.28	3.89	6.09	The Illustrations drawn by RICHARD DOYLE, and engraved by G. DALZIEL, E. DALZIEL, ISABEL THOMPSON, C. T. THOMPSON, RICHARD THOMPSON, and W. T. GREEN.
164	LOCATION	the heaven	heart;childhood;providence;thanks;child	all-good;bright;sorrowful;cloudless;happy	be;care;think;know	6.46294117647	4.03823529412	5.65882352941	Her heart was sorrowful because her children were not happy as she thought they ought to be, for as yet they knew not care; and, thanks to an all-good Providence, the heaven of childhood is usually bright and cloudless.
165	PERSON	the girl			say	6.53	4.83	6.075	said the girl.
166	PERSON	the queen	tear;eye;soul;goodness		beam;fill;demand	5.62444444444	4.48	6.11666666667	demanded the queen, whilst tears filled her eyes, through which beamed a soul of goodness.
167	PERSON	the boy	something		wish;add;know;be	6.442	3.632	6.014	--"We wish for something else, but we know not what it is," added the boy.
172	LOCATION	The grave	toil-worn;recollection;relation;birth;dwell;ear;charm	fond;wonderful;aged;pleased;golden	listen	6.23857142857	4.16357142857	5.88928571429	The grave, the toil-worn, and the aged, would listen with pleased ear to their wonderful relations, and dwell with fond recollection on the golden birth of those Fairy charms.
172	PERSON	Fairy	toil-worn;recollection;relation;birth;dwell;ear;charm	fond;wonderful;aged;pleased;golden	listen	6.23857142857	4.16357142857	5.88928571429	The grave, the toil-worn, and the aged, would listen with pleased ear to their wonderful relations, and dwell with fond recollection on the golden birth of those Fairy charms.
177	PERSON	The princess	thought;matter	beautiful;melancholy;own	wrap;become;guess;grow;be	6.11416666667	3.895	5.54833333333	The princess, however, grew up, and became wonderfully beautiful; but she was always wrapped in her own thoughts, and so melancholy, that no one could guess what was the matter with her.
180	PERSON	the queen	order;daughter;brother;son		relate;say;occur;have;give	6.054375	4.11625	5.62	"My daughter," said the queen, "you also once had brothers, for I had twelve sons, but I gave them all up in order to have you;" and thereupon she related to her all that had occurred.
181	LOCATION	the moss	hut;path	wooden;little;beaten;thickest	follow;see;awake;dream;have	5.68066666667	4.22666666667	5.36066666667	When she awoke, she saw before her a little beaten path through the moss, and she followed it till in the thickest of the forest she saw a little wooden hut, just like that she had dreamed of.
181	LOCATION	the forest	hut;path	wooden;little;beaten;thickest	follow;see;awake;dream;have	5.68066666667	4.22666666667	5.36066666667	When she awoke, she saw before her a little beaten path through the moss, and she followed it till in the thickest of the forest she saw a little wooden hut, just like that she had dreamed of.
182	LOCATION	the table	everything;spoon;cooking;brother;something	youngest	finish;prepare;sit;belong;lay;have;eat;creep	5.97866666667	3.79266666667	6.05266666667	And when she had finished her cooking and had prepared everything for her brothers, she sat down and ate something for herself, laid her spoon on the table, and crept under the bed belonging to her youngest brother.
182	LOCATION	the bed	everything;spoon;cooking;brother;something	youngest	finish;prepare;sit;belong;lay;have;eat;creep	5.97866666667	3.79266666667	6.05266666667	And when she had finished her cooking and had prepared everything for her brothers, she sat down and ate something for herself, laid her spoon on the table, and crept under the bed belonging to her youngest brother.
189	LOCATION	the bed	prince;bed	high;youngest;last;low	draw;look;search;begin;come;find	6.14833333333	3.66916666667	5.63416666667	Then they all began to search high and low, and at last they looked under all the beds, and when they came to the bed of the youngest prince, they found the princess, and drew her from under it.
189	PERSON	the princess	prince;bed	high;youngest;last;low	draw;look;search;begin;come;find	6.14833333333	3.66916666667	5.63416666667	Then they all began to search high and low, and at last they looked under all the beds, and when they came to the bed of the youngest prince, they found the princess, and drew her from under it.
192	PERSON	the princess	anything		be;say;wish;tell;do	5.75272727273	4.16	5.80636363636	"Indeed; only tell me then what I am to do, for I will do anything you wish," said the princess.
197	PERSON	The king	s;eye;distress	own;greater;more	be;do;see;say;spare;imagine	5.67888888889	3.93722222222	5.74277777778	The king"s distress was greater than can be imagined, and he said:--"Yes, it must be so, since I see it with my own eyes; but surely she will never do so again; I will spare her this once more."
198	LOCATION	the wood	cap;shirt;rustling;cravat;air;duck;beak	wild;great	fly;do;be;hear;take;have;come;flutter	5.7635	3.979	5.606	No sooner had she done this than a great rustling and fluttering was heard in the air, and twelve wild ducks came flying from the wood, and each took a shirt, cap, and cravat in his beak, and flew off with them.
199	PERSON	the king	flame;haste;step-mother	burnt;wicked	say;make;have;consume	5.31222222222	4.51222222222	5.58777777778	said the wicked step-mother to the king: "make haste and have her burnt before the flames consume all the wood."
199	LOCATION	the wood	flame;haste;step-mother	burnt;wicked	say;make;have;consume	5.31222222222	4.51222222222	5.58777777778	said the wicked step-mother to the king: "make haste and have her burnt before the flames consume all the wood."
200	PERSON	the king	need;end;wood;haste	desirous;such	be;say;see;have	5.61692307692	3.86076923077	5.63230769231	"There is no need of such haste," said the king; "we have plenty more wood, and I am very desirous to see what will be the end of all this."
203	PERSON	the king	sorceress;child;wife	burnt	go;be;say;devour;have	5.99090909091	4.35545454545	5.57818181818	"My wife is going to be burnt," said the king, "because she is a sorceress, and has devoured her children."
206	PERSON	the king	person;queen;step-mother;child	such;lovely;innocent	desire;deserve;ask;betray;have;carry	5.95214285714	4.395	5.67642857143	Then the king carried them with him to his step-mother, and asked her what the person deserved who had desired to betray an innocent queen, and three such lovely children.
208	PERSON	the king	parent;rejoicing;brother;child;home;husband		be;set;disenchant;have;go;happen;save;tell	6.2119047619	4.01952380952	5.71142857143	But Snow-white and Rosy-red set off with the king, her husband, and her three children, and her twelve brothers, and went home to her parents, and told them all that had happened to her; and there were rejoicings throughout the kingdom, because the princess was saved, and that she had disenchanted her twelve brothers.
208	LOCATION	the kingdom	parent;rejoicing;brother;child;home;husband		be;set;disenchant;have;go;happen;save;tell	6.2119047619	4.01952380952	5.71142857143	But Snow-white and Rosy-red set off with the king, her husband, and her three children, and her twelve brothers, and went home to her parents, and told them all that had happened to her; and there were rejoicings throughout the kingdom, because the princess was saved, and that she had disenchanted her twelve brothers.
