PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
0	LOCATION	SCOTLAND	folk-lore;legends			5.0	5.0	5.0	FOLK-LORE AND LEGENDS SCOTLAND
1	LOCATION	LONDON	w.;st.;gibbings;bury;w.c.			1.95	5.55	4.79	W. W. GIBBINGS 18 BURY ST., LONDON, W.C. 1889
5	PERSON	Canobie Dick				3.06	5.6	3.44	Canobie Dick and Thomas of Ercildoun.
5	PERSON	Thomas of Ercildoun				3.06	5.6	3.44	Canobie Dick and Thomas of Ercildoun.
7	PERSON	Elphin Irving				5.0	5.0	5.0	Elphin Irving.
10	PERSON	Whippety Stourie				5.0	5.0	5.0	Whippety Stourie.
12	PERSON	Balmachie	laird;s		wife	5.85	4.605	5.25	The Laird of Balmachie"s Wife.
13	PERSON	Michael Scott				5.0	5.0	5.0	Michael Scott.
14	PERSON	Fairy	minister			5.855	4.445	6.015	The Minister and the Fairy.
15	PERSON	Merman				5.42	4.06	5.47	The Fisherman and the Merman.
17	PERSON	Ewen	head	little		5.885	4.325	5.37	Ewen of the Little Head.
18	PERSON	Jock	mother			7.53	4.73	6.11	Jock and his Mother.
19	PERSON	Columba	saint			6.4	3.48	5.82	Saint Columba.
21	PERSON	Bogle	fiddler			5.62	3.87	5.94	The Fiddler and the Bogle of Bogandoran.
21	LOCATION	Bogandoran	fiddler			5.62	3.87	5.94	The Fiddler and the Bogle of Bogandoran.
22	PERSON	Thomas	rhymer			5.0	5.0	5.0	Thomas the Rhymer.
23	PERSON	Fairy	friends			6.71	5.04	6.38	Fairy Friends.
25	PERSON	Merlin	s;fairies			5.0	5.0	5.0	The Fairies of Merlin"s Craig.
25	PERSON	Craig	s;fairies			5.0	5.0	5.0	The Fairies of Merlin"s Craig.
26	PERSON	Rory Macgillivray				5.0	5.0	5.0	Rory Macgillivray.
29	PERSON	Stane	maun			5.0	5.0	5.0	Mauns" Stane.
32	PERSON	Fairy	boy			6.275	4.575	5.94	The Fairy Boy of Leith.
32	PERSON	Leith	boy			6.275	4.575	5.94	The Fairy Boy of Leith.
