PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
3	LOCATION	Colour	black-and-white;_	numerous		5.35	3.39	6.25	_With numerous Drawings in Colour and Black-and-White_
5	PERSON	L. LESLIE BROOKE				5.0	5.0	5.0	L. LESLIE BROOKE
6	LOCATION	LONDON				5.0	5.0	5.0	LONDON
7	PERSON	FREDERICK WARNE	ltd.;co.			5.0	5.0	5.0	FREDERICK WARNE AND CO., LTD.
8	LOCATION	NEW YORK				7.68	5.14	5.22	AND NEW YORK
10	LOCATION	LONDON				5.0	5.0	5.0	LONDON, ENGLAND
10	LOCATION	ENGLAND				5.0	5.0	5.0	LONDON, ENGLAND
13	PERSON	WILLIAM CLOWES	publisher;breccle;ltd.;son		print	5.87	3.52	5.73666666667	PRINTED FOR THE PUBLISHERS BY WILLIAM CLOWES AND SONS, LTD., LONDON AND BRECCLES
13	LOCATION	LONDON	publisher;breccle;ltd.;son		print	5.87	3.52	5.73666666667	PRINTED FOR THE PUBLISHERS BY WILLIAM CLOWES AND SONS, LTD., LONDON AND BRECCLES
28	PERSON	The man	mountain	whole	work;set;disappear;have	5.644	3.705	5.845	The man from the wood set to work on it, and in one day the whole mountain had disappeared.
28	LOCATION	the wood	mountain	whole	work;set;disappear;have	5.644	3.705	5.845	The man from the wood set to work on it, and in one day the whole mountain had disappeared.
29	PERSON	Simpleton	water;bride;ship;land;time		try;bring;say;go;demand;put	5.69294117647	4.06352941176	5.56117647059	For the third time the Simpleton demanded his bride, but yet again the King tried to put him off, and said that he must bring him a ship that would go both on land and water.
29	PERSON	the King	water;bride;ship;land;time		try;bring;say;go;demand;put	5.69294117647	4.06352941176	5.56117647059	For the third time the Simpleton demanded his bride, but yet again the King tried to put him off, and said that he must bring him a ship that would go both on land and water.
31	LOCATION	the wood	cake;man	little;old;grey	go;give;have;sit	5.818	4.119	5.403	The Simpleton went into the wood, and there sat the little old grey man to whom he had given his cake.
33	PERSON	the King	kingdom;s;death;wife;wedding		be;live;inherit;celebrate	6.11727272727	4.64636363636	5.29727272727	The wedding was celebrated, and after the King"s death, the Simpleton inherited the Kingdom, and lived very happily ever after with his wife.
33	PERSON	Simpleton	kingdom;s;death;wife;wedding		be;live;inherit;celebrate	6.11727272727	4.64636363636	5.29727272727	The wedding was celebrated, and after the King"s death, the Simpleton inherited the Kingdom, and lived very happily ever after with his wife.
40	LOCATION	the chair	ground;bottom	plump	sit;come;seat	5.25625	3.27	5.42875	So she seated herself in it, and there she sat till the bottom of the chair came out, and down she came plump upon the ground.
42	PERSON	Goldenlocks	standing;porridge;spoon;great;bear	huge	leave;have	5.71285714286	4.0	5.14571428571	Now Goldenlocks had left the spoon of the Great, Huge Bear standing in his porridge.
46	PERSON	Goldenlocks	great;bear;cushion	huge;hard	put;rise;have	5.86111111111	3.68666666667	5.52111111111	Now Goldenlocks had not put the hard cushion straight when she rose from the chair of the Great, Huge Bear.
46	LOCATION	the chair	great;bear;cushion	huge;hard	put;rise;have	5.86111111111	3.68666666667	5.52111111111	Now Goldenlocks had not put the hard cushion straight when she rose from the chair of the Great, Huge Bear.
