PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
2	PERSON	Andrew Lang			edit	4.95	4.1	6.64	Edited by Andrew Lang
5	PERSON	Stella Margaret Alleyne				5.0	5.0	5.0	Stella Margaret Alleyne
7	PERSON	Fairy	book;green			6.68333333333	4.08	6.14333333333	Green Fairy Book
13	LOCATION	Heaven	tale;none;story;fairy;people	own;many;good;wittier	be;want;do;make;please;write;have;believe	6.50882352941	3.78117647059	5.89588235294	There are not many people now, perhaps there are none, who can write really good fairy tales, because they do not believe enough in their own stories, and because they want to be wittier than it has pleased Heaven to make them.
14	PERSON	Brothers Grimm	picture;story;woman;language;people;miss;mrs.;tale;mr.;lady	own;old;many;other;grateful;last	draw;like;give;feel;lend;take;have;translate;tell;hope	5.72387096774	3.84129032258	5.75580645161	So here we give you the last of the old stories, for the present, and hope you will like them, and feel grateful to the Brothers Grimm, who took them down from the telling of old women, and to M. Sebillot and M. Charles Marelles, who have lent us some tales from their own French people, and to Mr. Ford, who drew the pictures, and to the ladies, Miss Blackley, Miss Alma Alleyne, Miss Eleanor Sellar, Miss May Sellar, Miss Wright, and Mrs. Lang, who translated many of the tales out of French, German, and other languages.
14	PERSON	M. Sebillot	picture;story;woman;language;people;miss;mrs.;tale;mr.;lady	own;old;many;other;grateful;last	draw;like;give;feel;lend;take;have;translate;tell;hope	5.72387096774	3.84129032258	5.75580645161	So here we give you the last of the old stories, for the present, and hope you will like them, and feel grateful to the Brothers Grimm, who took them down from the telling of old women, and to M. Sebillot and M. Charles Marelles, who have lent us some tales from their own French people, and to Mr. Ford, who drew the pictures, and to the ladies, Miss Blackley, Miss Alma Alleyne, Miss Eleanor Sellar, Miss May Sellar, Miss Wright, and Mrs. Lang, who translated many of the tales out of French, German, and other languages.
14	PERSON	M. Charles Marelles	picture;story;woman;language;people;miss;mrs.;tale;mr.;lady	own;old;many;other;grateful;last	draw;like;give;feel;lend;take;have;translate;tell;hope	5.72387096774	3.84129032258	5.75580645161	So here we give you the last of the old stories, for the present, and hope you will like them, and feel grateful to the Brothers Grimm, who took them down from the telling of old women, and to M. Sebillot and M. Charles Marelles, who have lent us some tales from their own French people, and to Mr. Ford, who drew the pictures, and to the ladies, Miss Blackley, Miss Alma Alleyne, Miss Eleanor Sellar, Miss May Sellar, Miss Wright, and Mrs. Lang, who translated many of the tales out of French, German, and other languages.
14	PERSON	Ford	picture;story;woman;language;people;miss;mrs.;tale;mr.;lady	own;old;many;other;grateful;last	draw;like;give;feel;lend;take;have;translate;tell;hope	5.72387096774	3.84129032258	5.75580645161	So here we give you the last of the old stories, for the present, and hope you will like them, and feel grateful to the Brothers Grimm, who took them down from the telling of old women, and to M. Sebillot and M. Charles Marelles, who have lent us some tales from their own French people, and to Mr. Ford, who drew the pictures, and to the ladies, Miss Blackley, Miss Alma Alleyne, Miss Eleanor Sellar, Miss May Sellar, Miss Wright, and Mrs. Lang, who translated many of the tales out of French, German, and other languages.
14	PERSON	Blackley	picture;story;woman;language;people;miss;mrs.;tale;mr.;lady	own;old;many;other;grateful;last	draw;like;give;feel;lend;take;have;translate;tell;hope	5.72387096774	3.84129032258	5.75580645161	So here we give you the last of the old stories, for the present, and hope you will like them, and feel grateful to the Brothers Grimm, who took them down from the telling of old women, and to M. Sebillot and M. Charles Marelles, who have lent us some tales from their own French people, and to Mr. Ford, who drew the pictures, and to the ladies, Miss Blackley, Miss Alma Alleyne, Miss Eleanor Sellar, Miss May Sellar, Miss Wright, and Mrs. Lang, who translated many of the tales out of French, German, and other languages.
14	PERSON	Alma Alleyne	picture;story;woman;language;people;miss;mrs.;tale;mr.;lady	own;old;many;other;grateful;last	draw;like;give;feel;lend;take;have;translate;tell;hope	5.72387096774	3.84129032258	5.75580645161	So here we give you the last of the old stories, for the present, and hope you will like them, and feel grateful to the Brothers Grimm, who took them down from the telling of old women, and to M. Sebillot and M. Charles Marelles, who have lent us some tales from their own French people, and to Mr. Ford, who drew the pictures, and to the ladies, Miss Blackley, Miss Alma Alleyne, Miss Eleanor Sellar, Miss May Sellar, Miss Wright, and Mrs. Lang, who translated many of the tales out of French, German, and other languages.
