PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
2	PERSON	Andrew Lang			edit	4.95	4.1	6.64	Edited by Andrew Lang
5	PERSON	John Stuart Mill	combination;number;matter;mr.;music;child;fairy	sensitive;unlimited;possible;musical	be;regard	6.32421052632	3.94631578947	5.88947368421	Probably the possible combinations, like possible musical combinations, are not unlimited in number, but children may be less sensitive in the matter of fairies than Mr. John Stuart Mill was as regards music.
11	LOCATION	Dachemila	story;dschemil			7.27	3.52	5.33	The Story of Dschemil and Dachemila
12	PERSON	Janni	draken			5.0	5.0	5.0	Janni and the Draken
14	PERSON	Fortunatus	purse			5.95	3.21	5.68	Fortunatus and his Purse
17	LOCATION	Bensurdatu	story			7.27	3.52	5.33	The Story of Bensurdatu
20	PERSON	Herr Lazarus	draken			5.0	5.0	5.0	Herr Lazarus and the Draken
21	PERSON	Queen	story			7.08666666667	4.12666666667	5.64666666667	The Story of the Queen of the Flowery Isles
21	LOCATION	Flowery Isles	story			7.08666666667	4.12666666667	5.64666666667	The Story of the Queen of the Flowery Isles
22	PERSON	Udea	brother			5.54	4.14	5.55	Udea and her Seven Brothers
24	PERSON	Mohammed				6.485	5.1	5.325	Mohammed with the Magic Finger
25	PERSON	Bobino				5.0	5.0	5.0	Bobino
27	PERSON	Hali	story;son			6.53666666667	3.77666666667	5.26	The Story of the Three Sons of Hali
32	PERSON	Prince	unlooked			5.44	5.15	4.39	The Unlooked for Prince
38	PERSON	Fairy	s;blunder			5.165	4.795	5.005	A Fairy"s Blunder
46	PERSON	the queen	strength;happiness		die;say;gather;think;have	6.10888888889	4.94	6.12	But before she died, the queen, who had always thought first of his happiness, gathered all her strength, and said to him:
48	PERSON	the queen	pillow		smile;die;turn	5.706	4.59	5.852	But the queen only smiled faintly, and turned over on her pillow and died.
52	PERSON	The girl	home		return;thank	7.012	4.134	6.204	The girl thanked the fairy and returned home again.
52	PERSON	the fairy	home		return;thank	7.012	4.134	6.204	The girl thanked the fairy and returned home again.
54	PERSON	The king	moonbeam;dress	cleverer	be;say;think;have;tell	5.9775	4.35333333333	5.635	"The king is cleverer than I thought," said the fairy; "but tell him you must have a dress of moonbeams."
54	PERSON	the fairy	moonbeam;dress	cleverer	be;say;think;have;tell	5.9775	4.35333333333	5.635	"The king is cleverer than I thought," said the fairy; "but tell him you must have a dress of moonbeams."
55	PERSON	the king	presence		tell;want;summon	6.01571428571	4.38857142857	5.47857142857	And the next day, when the king summoned her into his presence, the girl told him what she wanted.
55	PERSON	the girl	presence		tell;want;summon	6.01571428571	4.38857142857	5.47857142857	And the next day, when the king summoned her into his presence, the girl told him what she wanted.
