PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
5	PERSON	M. I. EBBUTT M. A.				5.0	5.0	5.0	M. I. EBBUTT M. A.
8	PERSON	J. H. F. BACON	byam;a.r.a.;shaw			7.52	4.16	6.11	J. H. F. BACON A.R.A. BYAM SHAW
9	PERSON	W. H. MARGETSON	r.i.			5.0	5.0	5.0	W. H. MARGETSON R.I. GERTRUDE
9	PERSON	GERTRUDE	r.i.			5.0	5.0	5.0	W. H. MARGETSON R.I. GERTRUDE
10	PERSON	DEMAIN HAMMOND	other			5.41	3.48	6.0	DEMAIN HAMMOND AND OTHERS
14	PERSON	GEORGE G. HARRAP	company;ltd.			5.64	3.29	5.0	GEORGE G. HARRAP &amp; COMPANY LTD.
15	LOCATION	LONDON				5.0	5.0	5.0	LONDON  CALCUTTA  SYDNEY
17	PERSON	Robin Hood	monk;illustration	black		5.65	3.232	5.198	[Illustration: Robin Hood and the Black Monk
18	PERSON	William Sewell				5.0	5.0	5.0	William Sewell
21	LOCATION	Parker Street	w.c.;_		publish	5.8275	4.255	5.8075	_First published August 1910_ _by GEORGE G. HARRAP &amp; CO._ _39-41 Parker Street, Kingsway, London, W.C.2_
21	LOCATION	London	w.c.;_		publish	5.8275	4.255	5.8075	_First published August 1910_ _by GEORGE G. HARRAP &amp; CO._ _39-41 Parker Street, Kingsway, London, W.C.2_
29	LOCATION	Great Britain	press;spottiswoode;printed;_			6.445	3.47	5.715	_Printed in Great Britain at THE BALLANTYNE PRESS by_ SPOTTISWOODE, BALLANTYNE &amp; CO. LTD. _Colchester, London &amp; Eton_
29	LOCATION	THE BALLANTYNE	press;spottiswoode;printed;_			6.445	3.47	5.715	_Printed in Great Britain at THE BALLANTYNE PRESS by_ SPOTTISWOODE, BALLANTYNE &amp; CO. LTD. _Colchester, London &amp; Eton_
29	LOCATION	Colchester	press;spottiswoode;printed;_			6.445	3.47	5.715	_Printed in Great Britain at THE BALLANTYNE PRESS by_ SPOTTISWOODE, BALLANTYNE &amp; CO. LTD. _Colchester, London &amp; Eton_
34	PERSON	JULIA KENNEDY	miss			4.1	3.9	5.12	MISS JULIA KENNEDY
42	PERSON	W. B. Yeats	play;permission;story;mr.;prose;countess;quotation	beautiful;generous	write;adorn;give;have;acknowledge	6.52142857143	4.19	5.78357142857	I have also to acknowledge the generous permission given me by Mr. W. B. Yeats to write in prose the story of his beautiful play, "The Countess Cathleen," and to adorn it with quotations from that play.
42	PERSON	Cathleen	play;permission;story;mr.;prose;countess;quotation	beautiful;generous	write;adorn;give;have;acknowledge	6.52142857143	4.19	5.78357142857	I have also to acknowledge the generous permission given me by Mr. W. B. Yeats to write in prose the story of his beautiful play, "The Countess Cathleen," and to adorn it with quotations from that play.
44	PERSON	M. I. EBBUTT				5.0	5.0	5.0	M. I. EBBUTT
63	PERSON	ELENE	story;constantine			7.27	3.52	5.33	THE STORY OF CONSTANTINE AND ELENE
75	LOCATION	ROLAND	early;hero			7.44	6.35	5.78	ROLAND, THE HERO OF EARLY FRANCE
75	LOCATION	FRANCE	early;hero			7.44	6.35	5.78	ROLAND, THE HERO OF EARLY FRANCE
78	PERSON	CATHLEEN	countess			5.85	3.55	6.41	THE COUNTESS CATHLEEN
81	LOCATION	CUCHULAIN	champion			7.33	4.74	5.88	CUCHULAIN, THE CHAMPION OF IRELAND
81	LOCATION	IRELAND	champion			7.33	4.74	5.88	CUCHULAIN, THE CHAMPION OF IRELAND
99	PERSON	ROBIN HOOD				5.79	2.985	4.605	ROBIN HOOD
110	PERSON	Robin Hood	page;monk	black		5.594	3.122	5.22	PAGE   Robin Hood and the Black Monk
111	PERSON	William Sewell	_			5.0	5.0	5.0	(_William Sewell_)
116	PERSON	J. H. F. Bacon	a.r.a.			7.52	4.16	6.11	(_J. H. F. Bacon, A.R.A._)
118	PERSON	Beowulf			reply	6.15	3.44	6.79	Beowulf replies haughtily to Hunferth
118	PERSON	Hunferth			reply	6.15	3.44	6.79	Beowulf replies haughtily to Hunferth
119	PERSON	J. H. F. Bacon	a.r.a.			7.52	4.16	6.11	(_J. H. F. Bacon, A.R.A._)
121	PERSON	Beowulf	head;aschere		find	6.155	3.985	5.9	Beowulf finds the head of Aschere
122	PERSON	J. H. F. Bacon	a.r.a.			7.52	4.16	6.11	(_J. H. F. Bacon, A.R.A._)
124	LOCATION	Grendel	head;beowulf		shear	5.535	4.01	5.355	Beowulf shears off the head of Grendel
125	PERSON	J. H. F. Bacon	a.r.a.			7.52	4.16	6.11	(_J. H. F. Bacon, A.R.A._)
127	PERSON	Beowulf	death			1.89	5.53	3.42	The death of Beowulf
128	PERSON	J. H. F. Bacon	a.r.a.			7.52	4.16	6.11	(_J. H. F. Bacon, A.R.A._)
133	PERSON	Queen	s;dilemma			5.25333333333	5.08	4.66666666667	The Queen"s dilemma
140	PERSON	J. H. F. Bacon	a.r.a.			7.52	4.16	6.11	(_J. H. F. Bacon, A.R.A._)
143	PERSON	J. H. F. Bacon	a.r.a.			7.52	4.16	6.11	(_J. H. F. Bacon, A.R.A._)
146	PERSON	J. H. F. Bacon	a.r.a.			7.52	4.16	6.11	(_J. H. F. Bacon, A.R.A._)
148	PERSON	Olaf				5.0	5.0	5.0	Olaf and Sigrid
148	PERSON	Sigrid				5.0	5.0	5.0	Olaf and Sigrid
149	PERSON	J. H. F. Bacon	a.r.a.			7.52	4.16	6.11	(_J. H. F. Bacon, A.R.A._)
151	PERSON	Howard			leave	5.935	4.215	5.94	Howard leaves the house of Thorbiorn
151	LOCATION	the house			leave	5.935	4.215	5.94	Howard leaves the house of Thorbiorn
151	LOCATION	Thorbiorn			leave	5.935	4.215	5.94	Howard leaves the house of Thorbiorn
152	PERSON	J. H. F. Bacon	a.r.a.			7.52	4.16	6.11	(_J. H. F. Bacon, A.R.A._)
155	PERSON	J. H. F. Bacon	a.r.a.			7.52	4.16	6.11	(_J. H. F. Bacon, A.R.A._)
158	PERSON	J. H. F. Bacon	a.r.a.			7.52	4.16	6.11	(_J. H. F. Bacon, A.R.A._)
160	PERSON	Charlemagne				5.0	5.0	5.0	Charlemagne
161	PERSON	Stella Langdale	_			5.0	5.0	5.0	(_Stella Langdale_)
163	PERSON	the King	charles		sit	5.91	3.82	5.795	"Here sits Charles the King"
173	PERSON	Evelyn Paul	_			5.0	5.0	5.0	(_Evelyn Paul_)
175	PERSON	Cathleen			go	6.34666666667	4.03333333333	5.50333333333	"Day by day Cathleen went among them"
176	PERSON	W. H. Margetson				5.0	5.0	5.0	(_W. H. Margetson, R.I._)
176	LOCATION	R.I.				5.0	5.0	5.0	(_W. H. Margetson, R.I._)
179	PERSON	W. H. Margetson				5.0	5.0	5.0	(_W. H. Margetson, R.I._)
179	LOCATION	R.I.				5.0	5.0	5.0	(_W. H. Margetson, R.I._)
182	PERSON	W. H. Margetson				5.0	5.0	5.0	(_W. H. Margetson, R.I._)
182	LOCATION	R.I.				5.0	5.0	5.0	(_W. H. Margetson, R.I._)
184	PERSON	Cathleen	bond		sign	5.27	3.19	5.38	"Cathleen signed the bond"
185	PERSON	W. H. Margetson				5.0	5.0	5.0	(_W. H. Margetson, R.I._)
