PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
1	PERSON	James Stephens				5.0	5.0	5.0	By James Stephens
9	LOCATION	ALLEN	brawl;little			4.775	4.79	4.955	THE LITTLE BRAWL AT ALLEN
13	PERSON	MONGAN	s;frenzy			4.6	5.48	4.5	MONGAN"S FRENZY
19	LOCATION	Donegal	province;news;man;god;people	saintly;own	be;do;approve;treat;have;believe;come	5.974375	4.061875	5.85	News had come to him in Donegal that there were yet people in his own province who believed in gods that he did not approve of, and the gods that we do not approve of are treated scurvily, even by saintly men.
29	LOCATION	the stronghold	god;memory;gentleman;admittance;beggarman;way;time;order	ruthless;new;great;ancient;old	be;prove;demand;exorcise;follow;banish;come;grow;terrify;preach	5.41433333333	4.15133333333	5.10633333333	In no great time he came to the stronghold of the gentleman who followed ancient ways, and he demanded admittance in order that he might preach and prove the new God, and exorcise and terrify and banish even the memory of the old one; for to a god grown old Time is as ruthless as to a beggarman grown old.
30	LOCATION	the window	gloom;door;house;practice;protest;window;time;indignation		knock;shutter;continue;call;hearken;barricade	5.42263157895	3.59	5.38157894737	He barricaded his house, he shuttered his windows, and in a gloom of indignation and protest he continued the practices of ten thousand years, and would not hearken to Finnian calling at the window or to Time knocking at his door.
32	PERSON	Tuan	disdain;god;chance;son;scythe;foster-brother;occasion	disdainful;bitter;sole	dodge;be;leap;laugh;do	5.5575	4.238125	5.19375	Indeed he was the foster-brother of Time, and so disdainful of the bitter god that he did not even disdain him; he leaped over the scythe, he dodged under it, and the sole occasions on which Time laughs is when he chances on Tuan, the son of Cairill, the son of Muredac Red-neck.
32	PERSON	Cairill	disdain;god;chance;son;scythe;foster-brother;occasion	disdainful;bitter;sole	dodge;be;leap;laugh;do	5.5575	4.238125	5.19375	Indeed he was the foster-brother of Time, and so disdainful of the bitter god that he did not even disdain him; he leaped over the scythe, he dodged under it, and the sole occasions on which Time laughs is when he chances on Tuan, the son of Cairill, the son of Muredac Red-neck.
37	PERSON	the servant	servitor;door;deserter;god;gentleman;time		reply;spy;send;be	5.53692307692	4.02461538462	5.31153846154	Often the gentleman would send a servitor to spy if that deserter of the gods was still before his door, and each time the servant replied that he was still there.
52	LOCATION	the house	siege;intelligence;conversion;master;thing	re-established;such;interested;notable;long	be;lay;undertake;speak	5.95857142857	4.19571428571	5.66928571429	Being quite re-established he undertook the conversion of the master of the house, and the siege he laid against that notable intelligence was long spoken of among those who are interested in such things.
53	LOCATION	Mugain	heart;door;stranger;god;disease;will;s;pupil	great;own;latter;persistent	beat;march;open;have;do	5.342	4.4525	5.6535	He had beaten the disease of Mugain; he had beaten his own pupil the great Colm Cille; he beat Tuan also, and just as the latter"s door had opened to the persistent stranger, so his heart opened, and Finnian marched there to do the will of God, and his own will.
53	PERSON	Colm Cille	heart;door;stranger;god;disease;will;s;pupil	great;own;latter;persistent	beat;march;open;have;do	5.342	4.4525	5.6535	He had beaten the disease of Mugain; he had beaten his own pupil the great Colm Cille; he beat Tuan also, and just as the latter"s door had opened to the persistent stranger, so his heart opened, and Finnian marched there to do the will of God, and his own will.
53	PERSON	Tuan	heart;door;stranger;god;disease;will;s;pupil	great;own;latter;persistent	beat;march;open;have;do	5.342	4.4525	5.6535	He had beaten the disease of Mugain; he had beaten his own pupil the great Colm Cille; he beat Tuan also, and just as the latter"s door had opened to the persistent stranger, so his heart opened, and Finnian marched there to do the will of God, and his own will.
60	PERSON	Tuan	forgetfulness;memory;man	content	need;be;let;plead	5.38111111111	3.88888888889	5.16888888889	But Tuan pleaded: "Let the past be content with itself, for man needs forgetfulness as well as memory."
62	PERSON	Tuan	land;father;son	hereditary	reply;know;be	6.289	3.818	5.37	Tuan replied obediently: "I am known as Tuan, son of Cairill, son of Muredac Red-neck, and these are the hereditary lands of my father."
62	PERSON	Tuan	land;father;son	hereditary	reply;know;be	6.289	3.818	5.37	Tuan replied obediently: "I am known as Tuan, son of Cairill, son of Muredac Red-neck, and these are the hereditary lands of my father."
62	PERSON	Cairill	land;father;son	hereditary	reply;know;be	6.289	3.818	5.37	Tuan replied obediently: "I am known as Tuan, son of Cairill, son of Muredac Red-neck, and these are the hereditary lands of my father."
65	PERSON	Tuan	mine;pedigree	long	be;murmur	5.52	4.15	5.1125	"Mine is a long pedigree," Tuan murmured.
68	PERSON	Tuan	host;brother;son		be;continue	6.08375	3.91375	5.4225	His host continued: "I am indeed Tuan, the son of Starn, the son of Sera, who was brother to Partholon."
68	PERSON	Starn	host;brother;son		be;continue	6.08375	3.91375	5.4225	His host continued: "I am indeed Tuan, the son of Starn, the son of Sera, who was brother to Partholon."
68	PERSON	Sera	host;brother;son		be;continue	6.08375	3.91375	5.4225	His host continued: "I am indeed Tuan, the son of Starn, the son of Sera, who was brother to Partholon."
68	PERSON	Partholon	host;brother;son		be;continue	6.08375	3.91375	5.4225	His host continued: "I am indeed Tuan, the son of Starn, the son of Sera, who was brother to Partholon."
70	PERSON	Tuan	genealogy	different	reply;be	5.988	3.74	5.736	"Different genealogies, indeed," replied Tuan thoughtfully, "but they are my genealogies."
72	PERSON	Tuan mac Cairill	mac;sera	other;old	be;know;reply	5.711	3.836	5.516	"I am now known as Tuan mac Cairill," the other replied, "but in the days of old I was known as Tuan mac Starn, mac Sera."
72	PERSON	Tuan mac Starn	mac;sera	other;old	be;know;reply	5.711	3.836	5.516	"I am now known as Tuan mac Cairill," the other replied, "but in the days of old I was known as Tuan mac Starn, mac Sera."
74	PERSON	Tuan	pedigree		be;say	6.14	3.98333333333	5.99	"That is my pedigree," Tuan said.
75	PERSON	Partholon	flood;bewilderment		object;come	4.64	4.32	5.00333333333	"But," Finnian objected in bewilderment, "Partholon came to Ireland not long after the Flood."
75	LOCATION	Ireland	flood;bewilderment		object;come	4.64	4.32	5.00333333333	"But," Finnian objected in bewilderment, "Partholon came to Ireland not long after the Flood."
76	PERSON	Tuan			say;come	5.51666666667	4.33333333333	5.94	"I came with him," said Tuan mildly.
81	LOCATION	Ireland	heart;person;god;mind;sympathy;theme;interest	great	be;instruct;love;give	6.55923076923	4.19692307692	5.92076923077	He was one who loved God and Ireland, and to the person who could instruct him in these great themes he gave all the interest of his mind and the sympathy of his heart.
83	PERSON	Tuan			ask	5.95	3.48	6.29	asked Tuan resignedly.
84	LOCATION	Ireland	bearing;s;son;beginning;time		tell	5.86857142857	4.16142857143	5.00285714286	"Tell me of the beginning of time in Ireland, and of the bearing of Partholon, the son of Noah"s son."
