PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
22	LOCATION	Britain	part	western	serve	5.16	3.84666666667	5.65666666667	in those Western Parts of Britain served by the
28	PERSON	FELIX J. C. POLE	railway;manager;general	great;western		5.66833333333	3.79666666667	5.655	THE GREAT WESTERN RAILWAY   [FELIX J. C. POLE, GENERAL MANAGER]
29	LOCATION	LONDON	paddington;station			5.5	3.0	4.61	PADDINGTON STATION, LONDON
34	LOCATION	Cornwall	st.;piran;came			5.0	5.0	5.0	8   How St. Piran Came to Cornwall
35	LOCATION	St. Allen	lost;child			4.865	5.22	4.525	12   The Lost Child of St. Allen
37	LOCATION	Tregeagle	task			6.05	3.83	6.18	20   The Tasks of Tregeagle
38	PERSON	Lady				6.91	4.05	5.87	24   The Lady of Llyn-y-Fan Fach
38	LOCATION	Llyn-y-Fan Fach				6.91	4.05	5.87	24   The Lady of Llyn-y-Fan Fach
39	PERSON	David	st.;mother			7.53	4.73	6.11	28   St. David and His Mother
43	PERSON	Bala Lake Began				7.13	2.64	5.36	44   How Bala Lake Began
53	PERSON	Cornish	map;story;locality;back;guide;beginning;legend		provide	6.03615384615	3.81230769231	5.73153846154	The Map at the beginning provides a guide to the localities   of the six Cornish legends and the "Furry Day Song"; that at   the back to the six stories of Wales.
53	LOCATION	Wales	map;story;locality;back;guide;beginning;legend		provide	6.03615384615	3.81230769231	5.73153846154	The Map at the beginning provides a guide to the localities   of the six Cornish legends and the "Furry Day Song"; that at   the back to the six stories of Wales.
60	PERSON	BALLANTYNE	spottiswoode;limited;company;printed;_			5.64	3.29	5.0	_Printed by_ SPOTTISWOODE, BALLANTYNE &amp; COMPANY LIMITED,
61	LOCATION	New Street Square	_			5.79	3.918	5.298	_One New Street Square, London, E.C.4_
61	LOCATION	London	_			5.79	3.918	5.298	_One New Street Square, London, E.C.4_
78	LOCATION	the village	youth;singer;love;neighbourhood;man	handsome;attractive;best;young	be;discover;determine;fall	6.23352941176	4.18588235294	5.71470588235	So attractive was she that half the young men of the village fell in love with her, and one of them, Mathey Trewella, a handsome youth and one of the best singers in the neighbourhood, determined that he would discover who she was.
78	PERSON	Mathey Trewella	youth;singer;love;neighbourhood;man	handsome;attractive;best;young	be;discover;determine;fall	6.23352941176	4.18588235294	5.71470588235	So attractive was she that half the young men of the village fell in love with her, and one of them, Mathey Trewella, a handsome youth and one of the best singers in the neighbourhood, determined that he would discover who she was.
79	LOCATION	the cliffs	service;stranger;church	beautiful	smile;walk;have;follow	5.994	4.108	5.511	The beautiful stranger had smiled at him in church one Sunday, and after service he followed her as she walked away towards the cliffs.
80	PERSON	Mathey Trewella	stranger;church	lovely	do;return;attend	5.60166666667	3.97333333333	5.83666666667	Mathey Trewella never returned to Zennor, nor did the lovely stranger ever attend church again.
80	PERSON	Zennor	stranger;church	lovely	do;return;attend	5.60166666667	3.97333333333	5.83666666667	Mathey Trewella never returned to Zennor, nor did the lovely stranger ever attend church again.
81	PERSON	the mermaid	hair;side	yellow;long	see;float;look	5.88142857143	3.9	5.66428571429	Looking over the side he saw the mermaid, her long yellow hair floating all around her.
82	LOCATION	the sea	house;doorway;anchor;husband;child	anxious	ask;be;get;rest;pull	6.170625	3.6875	5.71125	She asked him to be so kind as to pull up his anchor, for it was resting upon the doorway of her house under the sea and she was anxious to get back to Mathey, her husband, and her children.
82	PERSON	Mathey	house;doorway;anchor;husband;child	anxious	ask;be;get;rest;pull	6.170625	3.6875	5.71125	She asked him to be so kind as to pull up his anchor, for it was resting upon the doorway of her house under the sea and she was anxious to get back to Mathey, her husband, and her children.
83	PERSON	Mathey	wiles;zennor;fate;s;merrymaid;figure;event;folk;man	strange;other;young	warn;return;commemorate;have;carve;tell	5.57529411765	4.01588235294	5.42764705882	But later he returned and told the Zennor folk of Mathey"s fate, and they, to commemorate the strange event, and to warn other young men against the wiles of the merrymaids, had the mermaid figure carved in the church.
83	PERSON	the mermaid	wiles;zennor;fate;s;merrymaid;figure;event;folk;man	strange;other;young	warn;return;commemorate;have;carve;tell	5.57529411765	4.01588235294	5.42764705882	But later he returned and told the Zennor folk of Mathey"s fate, and they, to commemorate the strange event, and to warn other young men against the wiles of the merrymaids, had the mermaid figure carved in the church.
