PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
5	PERSON	WILHELM RULAND				5.0	5.0	5.0	WILHELM RULAND
21	LOCATION	Longfellow				5.0	5.0	5.0	Longfellow.
25	LOCATION	Rhine	testimonial;contingent;beauty;people;traveller;place;birth	pleasant;fine;largest	receive;be;form	6.175	4.0275	5.72083333333	The English-speaking people undoubtedly form by far the largest contingent of our Rhine travellers, and it was pleasant indeed to receive so fine a testimonial to the beauties of my birth place.
26	LOCATION	Bonn	daughter;number;thought;chap;interest;voice	little;old;golden-haired;charming;large;famous;native	reside;be;travel;have;touch;come;listen	5.9656	4.1344	5.6572	I was indeed touched, and my thoughts travelled back to the days of "long, long ago" when as a little chap in my native Bonn, I had first listened with interest to the charming voices of the golden-haired daughters of old Albion who came in large numbers to reside in the famous Beethoven-town.
30	PERSON	Wilhelm Ruland	dr.			5.0	5.0	5.0	Dr. Wilhelm Ruland.
37	LOCATION	Mainau	island			7.18	4.25	5.58	= The Island of Mainau
50	LOCATION	Speyer	bells			5.0	5.0	5.0	= The Bells of Speyer
52	LOCATION	Bergen	knave			5.0	5.0	5.0	= The Knave of Bergen
54	PERSON	Heinrich Frauenlob				5.0	5.0	5.0	= Heinrich Frauenlob
57	PERSON	Willigis	bishop			4.53	3.77	4.82	Bishop Willigis
61	PERSON	Emma	eginhard			5.0	5.0	5.0	= Eginhard and Emma
63	LOCATION	Brmserburg				5.0	5.0	5.0	= The Brmserburg
72	PERSON	St. Clement	s;chapel			5.835	3.725	4.4	= St. Clement"s Chapel
76	PERSON	Archer	blind			2.8	3.73	3.04	= The Blind Archer
80	PERSON	Burg Stahleck				5.0	5.0	5.0	= Burg Stahleck
88	PERSON	George	st.;s			5.0	5.0	5.0	= St. George"s Linden
88	PERSON	Linden	st.;s			5.0	5.0	5.0	= St. George"s Linden
92	PERSON	Wenzel	emperor			4.68	4.25	5.32	= The Emperor Wenzel
94	LOCATION	Lahneck	templars			5.0	5.0	5.0	= The Templars of Lahneck
96	PERSON	Riza				5.0	5.0	5.0	= Riza
98	LOCATION	Bernkastel	s;wine;doctor			5.59333333333	4.43	5.12	= The Doctor"s wine of Bernkastel
102	PERSON	Knight	daughter	;old		4.96	4.74	4.64	= The old Knight and his Daughters
104	PERSON	Knight		;last		5.0	5.0	5.0	= The Last Knight of Altenahr
104	LOCATION	Altenahr		;last		5.0	5.0	5.0	= The Last Knight of Altenahr
107	LOCATION	Neuenahr	minstrel			5.0	5.0	5.0	The Minstrel of Neuenahr
114	LOCATION	Fastrada	ring			7.09	4.43	5.44	The Ring of Fastrada
116	PERSON	Knight Roland				5.0	5.0	5.0	= Knight Roland
121	LOCATION	Heisterbach	monk			4.9	2.61	5.04	The Monk of Heisterbach
127	LOCATION	Nightingale Valley				6.22	2.7	5.12	The Nightingale Valley at Honnef
127	LOCATION	Honnef				6.22	2.7	5.12	The Nightingale Valley at Honnef
129	LOCATION	Godesberg	high;cross			5.72	3.575	4.88	= The High Cross at Godesberg
131	PERSON	Erich	lord;s;pledge			5.22666666667	4.25333333333	5.58333333333	= Lord Erich"s Pledge
145	LOCATION	Cologne	cathedral-builder			6.05	3.6	5.44	The Cathedral-Builder of Cologne
156	LOCATION	Rhine	quellgebiet;des;rheines;illustration;source;aus;au;du		pay	6.02666666667	4.24666666667	6.23333333333	[Illustration: Aus dem Quellgebiet des Rheines--Near the Source of the Rhine--Au pays du Rhin]
156	PERSON	Rhin	quellgebiet;des;rheines;illustration;source;aus;au;du		pay	6.02666666667	4.24666666667	6.23333333333	[Illustration: Aus dem Quellgebiet des Rheines--Near the Source of the Rhine--Au pays du Rhin]
157	LOCATION	the valley	possession;house;peasant;alp	little;neat;only;honest	belong;form	6.03	3.97636363636	5.57727272727	This Alp belonged to an honest peasant, and along with a neat little house in the valley below formed his only possession.
164	PERSON	The man	deceit;pastureland;property;impatience;time		see;acquire;master;have;recognise	5.422	4.394	5.428	The man could no longer master his impatience to see for the first time as his legally recognised property the pastureland he had acquired by deceit.
166	LOCATION	the earth	consternation;swoon;eye		stare;have;fall;horrify;arrive;overcome	5.73111111111	4.47111111111	5.71	Having arrived he stared around with horrified eyes, and fell in a swoon to the earth, overcome with consternation.
