PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
1	PERSON	Andrew Lang			edit	4.95	4.1	6.64	Edited by Andrew Lang
6	LOCATION	England	portrait		visit;come;find;do;know	5.93888888889	4.01666666667	5.82333333333	He then came to England, visited me, and found that I knew rather more about portraits of Queen Mary than he did.
6	PERSON	Queen Mary	portrait		visit;come;find;do;know	5.93888888889	4.01666666667	5.82333333333	He then came to England, visited me, and found that I knew rather more about portraits of Queen Mary than he did.
8	PERSON	The fairy	work;book;language;mrs.	other	be;translate;adapt;have	6.001	3.68	6.052	The fairy books have been almost wholly the work of Mrs. Lang, who has translated and adapted them from the French, German, Portuguese, Italian, Spanish, Catalan, and other languages.
8	PERSON	Lang	work;book;language;mrs.	other	be;translate;adapt;have	6.001	3.68	6.052	The fairy books have been almost wholly the work of Mrs. Lang, who has translated and adapted them from the French, German, Portuguese, Italian, Spanish, Catalan, and other languages.
9	PERSON	Burleigh	lord;fash;maiden;wife	much;general	peer;weigh;espouse;kill;be	5.53142857143	3.99571428571	5.47642857143	It weighs upon and is killing me, as the general fash of being the wife of the Lord of Burleigh, Burleigh House by Stamford Town, was too much for the village maiden espoused by that peer.
9	LOCATION	Stamford Town	lord;fash;maiden;wife	much;general	peer;weigh;espouse;kill;be	5.53142857143	3.99571428571	5.47642857143	It weighs upon and is killing me, as the general fash of being the wife of the Lord of Burleigh, Burleigh House by Stamford Town, was too much for the village maiden espoused by that peer.
9	LOCATION	the village	lord;fash;maiden;wife	much;general	peer;weigh;espouse;kill;be	5.53142857143	3.99571428571	5.47642857143	It weighs upon and is killing me, as the general fash of being the wife of the Lord of Burleigh, Burleigh House by Stamford Town, was too much for the village maiden espoused by that peer.
13	PERSON	Topelius	tale	modern	be;name;learn	5.94166666667	4.12666666667	5.69	There are also modern tales by a learned Scandinavian named Topelius.
14	PERSON	Lang	story;brave;gift;language;topelius;author;worm;mrs.;jogi;s;wolf;lasse;sea;raspberry;punishment;walter	little;same	hunt;be;translate;adapt;do	5.68875	4.02125	5.59333333333	All the stories were translated or adapted by Mrs. Lang, except "The Jogi"s Punishment" and "Moti," done by Major Campbell out of the Pushtoo language; "How Brave Walter hunted Wolves," which, with "Little Lasse" and "The Raspberry Worm," was done from Topelius by Miss Harding; and "The Sea King"s Gift," by Miss Christie, from the same author.
14	PERSON	Moti	story;brave;gift;language;topelius;author;worm;mrs.;jogi;s;wolf;lasse;sea;raspberry;punishment;walter	little;same	hunt;be;translate;adapt;do	5.68875	4.02125	5.59333333333	All the stories were translated or adapted by Mrs. Lang, except "The Jogi"s Punishment" and "Moti," done by Major Campbell out of the Pushtoo language; "How Brave Walter hunted Wolves," which, with "Little Lasse" and "The Raspberry Worm," was done from Topelius by Miss Harding; and "The Sea King"s Gift," by Miss Christie, from the same author.
14	PERSON	Major Campbell	story;brave;gift;language;topelius;author;worm;mrs.;jogi;s;wolf;lasse;sea;raspberry;punishment;walter	little;same	hunt;be;translate;adapt;do	5.68875	4.02125	5.59333333333	All the stories were translated or adapted by Mrs. Lang, except "The Jogi"s Punishment" and "Moti," done by Major Campbell out of the Pushtoo language; "How Brave Walter hunted Wolves," which, with "Little Lasse" and "The Raspberry Worm," was done from Topelius by Miss Harding; and "The Sea King"s Gift," by Miss Christie, from the same author.
14	PERSON	Miss Harding	story;brave;gift;language;topelius;author;worm;mrs.;jogi;s;wolf;lasse;sea;raspberry;punishment;walter	little;same	hunt;be;translate;adapt;do	5.68875	4.02125	5.59333333333	All the stories were translated or adapted by Mrs. Lang, except "The Jogi"s Punishment" and "Moti," done by Major Campbell out of the Pushtoo language; "How Brave Walter hunted Wolves," which, with "Little Lasse" and "The Raspberry Worm," was done from Topelius by Miss Harding; and "The Sea King"s Gift," by Miss Christie, from the same author.
14	PERSON	King	story;brave;gift;language;topelius;author;worm;mrs.;jogi;s;wolf;lasse;sea;raspberry;punishment;walter	little;same	hunt;be;translate;adapt;do	5.68875	4.02125	5.59333333333	All the stories were translated or adapted by Mrs. Lang, except "The Jogi"s Punishment" and "Moti," done by Major Campbell out of the Pushtoo language; "How Brave Walter hunted Wolves," which, with "Little Lasse" and "The Raspberry Worm," was done from Topelius by Miss Harding; and "The Sea King"s Gift," by Miss Christie, from the same author.
14	PERSON	Miss Christie	story;brave;gift;language;topelius;author;worm;mrs.;jogi;s;wolf;lasse;sea;raspberry;punishment;walter	little;same	hunt;be;translate;adapt;do	5.68875	4.02125	5.59333333333	All the stories were translated or adapted by Mrs. Lang, except "The Jogi"s Punishment" and "Moti," done by Major Campbell out of the Pushtoo language; "How Brave Walter hunted Wolves," which, with "Little Lasse" and "The Raspberry Worm," was done from Topelius by Miss Harding; and "The Sea King"s Gift," by Miss Christie, from the same author.
15	PERSON	Ford	reason;mr.	likely	be;illustrate	6.515	3.66875	6.04875	For this reason "The Grey True Ghost-Story Book" is never likely to be illustrated by Mr. Ford.
20	PERSON	Prince	false	true		5.40666666667	5.12	5.36333333333	The False Prince and the True
23	PERSON	Fairy	nurse			6.06	4.84	5.98	The Fairy Nurse
30	LOCATION	Norway	brown;bear			5.425	3.91	4.12	The Brown Bear of Norway
38	LOCATION	Djulung	bone			5.24	4.75	6.0	The Bones of Djulung
41	LOCATION	Plouhinec	stones			5.0	5.0	5.0	The Stones of Plouhinec
42	LOCATION	Kerglas	castle			6.42	4.72	6.35	The Castle of Kerglas
44	PERSON	Lady	fountain			6.585	3.575	5.885	The Lady of the Fountain
51	LOCATION	Olwen			win	6.97	5.61	7.86	The Winning of Olwen
56	LOCATION	the bridge	answer;end;thief	sensible;older	be;make;hang;leave;become;hope	5.385	4.08714285714	5.32428571429	So all the answer she made was that the end of thieves was hanging at the bridge of Dublin, and then she left him alone, hoping that when he was older he might become more sensible.
56	LOCATION	Dublin	answer;end;thief	sensible;older	be;make;hang;leave;become;hope	5.385	4.08714285714	5.32428571429	So all the answer she made was that the end of thieves was hanging at the bridge of Dublin, and then she left him alone, hoping that when he was older he might become more sensible.
