PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
7	PERSON	JOSEPH JACOBS	folk-lore;editor	late	edit;select	4.95	4.4525	5.555	_SELECTED AND EDITED BY_ JOSEPH JACOBS LATE EDITOR OF "FOLK-LORE"
8	PERSON	JOHN D. BATTEN			illustrate	6.24	3.78	5.73	_ILLUSTRATED BY_ JOHN D. BATTEN
10	LOCATION	NEW YORK	d.;s;nutt;son			6.53	4.85666666667	5.07333333333	NEW YORK: G. P. PUTNAM"S SONS LONDON: D. NUTT 1895
10	PERSON	G. P. PUTNAM	d.;s;nutt;son			6.53	4.85666666667	5.07333333333	NEW YORK: G. P. PUTNAM"S SONS LONDON: D. NUTT 1895
10	LOCATION	LONDON	d.;s;nutt;son			6.53	4.85666666667	5.07333333333	NEW YORK: G. P. PUTNAM"S SONS LONDON: D. NUTT 1895
16	LOCATION	Great Britain	volume;story;friend;store	many;little;last	be;win;have;hope;represent	6.18466666667	4.10266666667	5.88266666667	The story store of Great Britain and Ireland is, I hope, now adequately represented in the four volumes which have won me so many little friends, and of which this is the last.
16	LOCATION	Ireland	volume;story;friend;store	many;little;last	be;win;have;hope;represent	6.18466666667	4.10266666667	5.88266666667	The story store of Great Britain and Ireland is, I hope, now adequately represented in the four volumes which have won me so many little friends, and of which this is the last.
17	LOCATION	the field	volume;region;material;crop;aim;specimen	richer	be;offer;afford;devote;collect;exhaust;have	5.793125	3.615	5.599375	The materials already collected are far richer than those which the "English" region afford, and it has accordingly been my aim in the two volumes devoted to the Celts, rather to offer specimens of the crop than to exhaust the field.
20	PERSON	Nutt	loss;encouragement;mr.;other;aid;folk-lore	own;irreparable	replace;do;give;have;research	5.73083333333	4.34666666667	5.82833333333	Mr. Nutt, by his own researches, and by the encouragement and aid he has given to the researches of others on Celtic folk-lore, has done much to replace the otherwise irreparable loss of Campbell.
23	PERSON	JOSEPH JACOBS				5.0	5.0	5.0	JOSEPH JACOBS.
53	PERSON	MACANDREW	story;family			7.26	3.935	5.655	THE STORY OF THE MACANDREW FAMILY
117	PERSON	Lir	children;fate			5.87	5.145	5.74	The Fate of the Children of Lir
119	PERSON	Erin	daughter;maiden;form;wife;bosom-nursling;choice;repute	own;fairest;best	send	5.95	3.8	5.72888888889	Send over to him for wife the choice of the three maidens of the fairest form and best repute in Erin, the three daughters of Oilell of Aran, my own three bosom-nurslings."
119	PERSON	Oilell	daughter;maiden;form;wife;bosom-nursling;choice;repute	own;fairest;best	send	5.95	3.8	5.72888888889	Send over to him for wife the choice of the three maidens of the fairest form and best repute in Erin, the three daughters of Oilell of Aran, my own three bosom-nurslings."
120	PERSON	Lir	field;white		go;be;marry	5.95285714286	3.82	5.73142857143	So Lir and Ove were married and went back to the Hill of the White Field.
120	PERSON	Ove	field;white		go;be;marry	5.95285714286	3.82	5.73142857143	So Lir and Ove were married and went back to the Hill of the White Field.
120	PERSON	Hill	field;white		go;be;marry	5.95285714286	3.82	5.73142857143	So Lir and Ove were married and went back to the Hill of the White Field.
121	LOCATION	the lake	swan;wand;form;song;spell;druid;wizardry;s	beautiful;white	strike;be;put;sing	5.91714285714	4.18571428571	5.69857142857	As soon as they were upon the lake she struck them with a Druid"s wand of spells and wizardry and put them into the forms of four beautiful, perfectly white swans, and she sang this song over them:
123	LOCATION	the wild	child;wave			6.155	4.9075	5.67	"Out with you upon the wild waves, children of the king!
123	PERSON	the king	child;wave			6.155	4.9075	5.67	"Out with you upon the wild waves, children of the king!
131	LOCATION	the lake	body		be	6.2025	3.47	5.64	Though our bodies may be upon the lake,
137	PERSON	Lir	child			5.68	5.045	5.475	"Away from me, ye children of Lir,
138	LOCATION	the wild	henceforth;sport;wind			6.18666666667	4.76666666667	5.47666666667	Henceforth the sport of the wild winds
139	PERSON	Deoch	lairgnen		come	5.64	3.57	5.94	Until Lairgnen and Deoch come together,
140	PERSON	Erin	north-west;red		be	5.925	4.225	5.35	Until ye are on the north-west of Red Erin.
142	PERSON	Lir	heart;treachery;sword		be	5.22	4.956	5.346	"A sword of treachery is through the heart of Lir,
143	PERSON	Lir	champion	mighty		6.89	5.085	6.365	Of Lir the mighty champion,
146	PERSON	Dearg	mind;field;messenger;white;treachery;hall	own	play;send;think;have	6.02636363636	3.94818181818	5.65818181818	But Dearg thought in his own mind that the woman had played some treachery upon them, and he accordingly sent messengers to the Hall of the White Field.
146	PERSON	the woman	mind;field;messenger;white;treachery;hall	own	play;send;think;have	6.02636363636	3.94818181818	5.65818181818	But Dearg thought in his own mind that the woman had played some treachery upon them, and he accordingly sent messengers to the Hall of the White Field.
147	PERSON	Lir	wherefore;messenger		ask;be;come	5.855	3.7625	5.845	Lir asked the messengers: "Wherefore are ye come?"
148	PERSON	Lir	child		say;fetch	5.86333333333	4.52333333333	6.14333333333	"To fetch thy children, Lir," said they.
149	PERSON	Lir			say	5.91	4.43	6.88	said Lir.
151	PERSON	Oifa	messenger;child		go;be;say;let;have	6.00555555556	4.09444444444	5.99	"They have not," said the messengers; "and Oifa said it was you would not let the children go with her."
152	PERSON	Lir	child	lay	sing;see;come	5.968	4.128	5.91	And when the children of Lir saw him coming Fingula sang the lay:
152	PERSON	Fingula	child	lay	sing;see;come	5.968	4.128	5.91	And when the children of Lir saw him coming Fingula sang the lay:
159	LOCATION	the shore	aod;o		move;let	5.3	3.98333333333	5.39333333333	"Let us move to the shore, O Aod,
160	PERSON	Conn	fiachra	comely		5.0	5.0	5.0	Fiachra and comely Conn,
162	PERSON	King Lir	household	mighty		6.37333333333	4.61333333333	6.46	But King Lir with his mighty household."
163	PERSON	the woman	none;north;connaught;south		relieve;come	6.30375	3.66875	5.7425	"None can relieve us till the woman from the south and the man from the north come together, till Lairgnen of Connaught wed Deoch of Munster."
163	PERSON	the man	none;north;connaught;south		relieve;come	6.30375	3.66875	5.7425	"None can relieve us till the woman from the south and the man from the north come together, till Lairgnen of Connaught wed Deoch of Munster."
163	PERSON	Lairgnen	none;north;connaught;south		relieve;come	6.30375	3.66875	5.7425	"None can relieve us till the woman from the south and the man from the north come together, till Lairgnen of Connaught wed Deoch of Munster."
163	PERSON	Deoch	none;north;connaught;south		relieve;come	6.30375	3.66875	5.7425	"None can relieve us till the woman from the south and the man from the north come together, till Lairgnen of Connaught wed Deoch of Munster."
163	PERSON	Munster	none;north;connaught;south		relieve;come	6.30375	3.66875	5.7425	"None can relieve us till the woman from the south and the man from the north come together, till Lairgnen of Connaught wed Deoch of Munster."
165	PERSON	Lir	clan;song;time;delight;music;child;fairy	sweet	appoint;be;compare;leave;delight;continue;hear;come	6.49	4.244	5.989	But the children of Lir continued to delight the Milesian clans with the very sweet fairy music of their songs, so that no delight was ever heard in Erin to compare with their music until the time came appointed for the leaving the Lake of the Red Eye.
165	LOCATION	Milesian	clan;song;time;delight;music;child;fairy	sweet	appoint;be;compare;leave;delight;continue;hear;come	6.49	4.244	5.989	But the children of Lir continued to delight the Milesian clans with the very sweet fairy music of their songs, so that no delight was ever heard in Erin to compare with their music until the time came appointed for the leaving the Lake of the Red Eye.
165	PERSON	Erin	clan;song;time;delight;music;child;fairy	sweet	appoint;be;compare;leave;delight;continue;hear;come	6.49	4.244	5.989	But the children of Lir continued to delight the Milesian clans with the very sweet fairy music of their songs, so that no delight was ever heard in Erin to compare with their music until the time came appointed for the leaving the Lake of the Red Eye.
166	PERSON	Fingula	parting		sing;lay	5.87666666667	4.20333333333	5.96666666667	Then Fingula sang this parting lay:
168	PERSON	the king	farewell;dearg			4.715	4.325	5.1	"Farewell to thee, Dearg the king,
171	PERSON	Lir	field;white;hill			5.77333333333	3.44666666667	6.13333333333	Lir of the Hill of the White Field!
175	LOCATION	Moyle				5.53	3.25	5.9	In the current of the Moyle,
178	LOCATION	Lairgnen		deoch	come	5.64	3.57	5.94	"Until Deoch come to Lairgnen.
