PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
0	PERSON	Fairy	tale;old;illustration			5.555	4.1525	5.7625	[Illustration: Old French Fairy Tales
2	PERSON	Rosalie	_;tree;eye;beauty;illustration	marvellous	see	6.21166666667	3.98666666667	5.515	[Illustration: _Rosalie saw before her eyes a tree of marvellous beauty_]
12	PERSON	Virginia Frances Sterrett	illustrated			5.0	5.0	5.0	Illustrated by   Virginia Frances Sterrett
14	LOCATION	Philadelphia				5.0	5.0	5.0	Philadelphia
20	PERSON	BLONDINE				5.0	5.0	5.0	BLONDINE
22	PERSON	BLONDINE			lose	2.53	5.11	3.85	BLONDINE LOST
57	PERSON	ROSETTE	princess			7.64	5.42	5.74	PRINCESS ROSETTE
110	PERSON	Rosalie	tree;eye;beauty	marvellous	see	6.18	3.984	5.366	Rosalie saw before her eyes a tree of marvellous  beauty
114	PERSON	Leger	princess	wicked	meet	5.45333333333	4.99666666667	5.08	Leger meets the wicked princess, Fourbette
114	PERSON	Fourbette	princess	wicked	meet	5.45333333333	4.99666666667	5.08	Leger meets the wicked princess, Fourbette
118	PERSON	Blondine	bonne-biche;beau-minon		see	6.345	4.31	6.175	Blondine sees the castle of Bonne-Biche and Beau-Minon
118	LOCATION	the castle	bonne-biche;beau-minon		see	6.345	4.31	6.175	Blondine sees the castle of Bonne-Biche and Beau-Minon
120	LOCATION	the forest			be;pass	5.96	3.854	5.298	They were three months passing through the forest
122	LOCATION	the mountain	foot;river	large;deep	run	5.81	4.37142857143	5.35285714286	A large and deep river ran at the foot of the mountain
124	LOCATION	the wall	part;noise	terrible	crumble	4.22	4.34285714286	4.63428571429	A part of the wall crumbled with a terrible noise
126	PERSON	Henry	s		spring	5.915	4.585	5.1775	Henry sprang upon the Wolf"s back
126	PERSON	Wolf	s		spring	5.915	4.585	5.1775	Henry sprang upon the Wolf"s back
134	PERSON	The fairy	power		lose;give	5.9625	4.5875	5.57625	The fairy must give herself up to the queen and lose her  power for eight days
134	PERSON	the queen	power		lose;give	5.9625	4.5875	5.57625	The fairy must give herself up to the queen and lose her  power for eight days
136	PERSON	Rosalie	wall	high	leave;be;surround	5.685	3.48833333333	5.15666666667	Rosalie never left the park which was surrounded by high  walls
136	LOCATION	the park	wall	high	leave;be;surround	5.685	3.48833333333	5.15666666667	Rosalie never left the park which was surrounded by high  walls
140	PERSON	Agnella	passerose;cloud		dash;be	5.9075	3.335	5.235	Agnella and Passerose were dashed from cloud to cloud
144	PERSON	Violette	boar;refuge		take	5.4275	4.215	4.9925	Violette takes refuge from the wild boar
144	LOCATION	the wild	boar;refuge		take	5.4275	4.215	4.9925	Violette takes refuge from the wild boar
146	PERSON	Violette			consent;pass	6.3775	4.0675	5.5725	Violette consented willingly to pass the night in the forest
146	LOCATION	the forest			consent;pass	6.3775	4.0675	5.5725	Violette consented willingly to pass the night in the forest
