PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
5	PERSON	ANDREW LANG				5.0	5.0	5.0	ANDREW LANG
10	LOCATION	LONGMANS	green;co.			6.29	4.07	5.64	LONGMANS, GREEN, AND CO.
11	LOCATION	NEW YORK	avenue			6.71	4.22	5.2	91 AND 93 FIFTH AVENUE, NEW YORK
12	LOCATION	LONDON	and			5.0	5.0	5.0	LONDON, BOMBAY, AND CALCUTTA
12	LOCATION	BOMBAY	and			5.0	5.0	5.0	LONDON, BOMBAY, AND CALCUTTA
12	LOCATION	CALCUTTA	and			5.0	5.0	5.0	LONDON, BOMBAY, AND CALCUTTA
17	LOCATION	LONGMANS	green;co.			6.29	4.07	5.64	BY LONGMANS, GREEN, AND CO.
20	LOCATION	U.S.A.				5.0	5.0	5.0	U.S.A._
24	PERSON	ANDREW LANG			edit	4.95	4.1	6.64	EDITED BY ANDREW LANG
70	PERSON	Green				6.985	4.605	5.43	Longmans, Green, and Co., New York.
70	LOCATION	New York				6.985	4.605	5.43	Longmans, Green, and Co., New York.
82	LOCATION	Madschun	_			5.0	5.0	5.0	_Madschun_
88	PERSON	the King	daughter;s;geirlaug;_			5.91	4.81666666667	5.19666666667	_Geirlaug the King"s Daughter_
91	PERSON	King	loc;story;little			6.39333333333	4.05666666667	5.34666666667	_The Story of Little King Loc_
103	LOCATION	Wazir	_			6.79	4.95	6.25	_The Thanksgiving of the Wazir_
106	PERSON	Coward	samba;_			4.185	4.295	4.985	_Samba the Coward_
109	LOCATION	Kupti	_			5.0	5.0	5.0	_Kupti and Imani_
109	LOCATION	Imani	_			5.0	5.0	5.0	_Kupti and Imani_
112	LOCATION	Little Maia	adventure	strange		6.01	4.68666666667	5.60666666667	_The Strange Adventures of Little Maia_
118	PERSON	Knight	green			6.29	4.07	5.64	_The Green Knight_
127	LOCATION	Dorani				5.0	5.0	5.0	_Dorani_
133	PERSON	Billy Goat	_			5.65	3.695	5.35	_The Billy Goat and the King_
133	PERSON	the King	_			5.65	3.695	5.35	_The Billy Goat and the King_
136	LOCATION	Zoulvisia	story			7.27	3.52	5.33	_The Story of Zoulvisia_
145	PERSON	Prince	snake			4.735	6.195	4.02	_The Snake Prince_
148	PERSON	Prince	forest;_			6.58666666667	5.00333333333	5.28	_The Prince and Princess in the Forest_
148	PERSON	Princess	forest;_			6.58666666667	5.00333333333	5.28	_The Prince and Princess in the Forest_
154	PERSON	The Boy	fear;_	last	find	5.07333333333	4.59	5.02	_The Boy who found Fear at last_
163	PERSON	Fairy	punishment			4.735	5.055	5.245	_The Punishment of the Fairy Gangana_
163	LOCATION	Gangana	punishment			4.735	5.055	5.245	_The Punishment of the Fairy Gangana_
166	PERSON	Princess	_	silent		6.39	4.315	6.165	_The Silent Princess_
175	PERSON	King	stay		be	6.045	3.635	5.6575	"_Stay here and you shall be King_"
178	PERSON	Princess	wolf;forest;_			6.86	5.03666666667	5.34666666667	_The Princess and the Wolves in the Forest_
182	PERSON	The Boy	_			6.03	3.405	5.31	_The Boy in the Valley_
182	LOCATION	Valley	_			6.03	3.405	5.31	_The Boy in the Valley_
190	PERSON	Queen	_;snake;husband		back;give	5.90833333333	4.805	5.225	"_Queen of Snakes, give me back my Husband_"
198	PERSON	Princess			choose	6.82	4.51	6.285	_The Princess chooses_
203	LOCATION	Ismenor	_		bring	5.68	4.29	5.72	_Ismenor brings Lino to Riquette_
203	PERSON	Lino	_		bring	5.68	4.29	5.72	_Ismenor brings Lino to Riquette_
203	LOCATION	Riquette	_		bring	5.68	4.29	5.72	_Ismenor brings Lino to Riquette_
222	PERSON	King Loc	abeille;_;mother		carry	6.4	4.21666666667	5.52666666667	_King Loc carries Abeille away from her Mother_
239	PERSON	Princess	_;change;clothes			6.5	4.20333333333	5.67333333333	_The Princess changes Clothes with the Goose-girl_
248	PERSON	Prince	pity		have	5.225	4.0175	5.1775	_The Prince has pity on the Gold-headed Fish_
257	PERSON	Princess	letter		get	6.47	4.09333333333	5.78666666667	_The Princess gets her Letter_
266	PERSON	Witch	snake		_	3.585	6.27	4.22	_The Witch and her Snakes_
270	PERSON	Princess	arabia;iron		release	6.43666666667	4.40333333333	5.87333333333	_The Princess of Arabia released from the Iron
275	PERSON	The Boy	bracelet;_		secure	6.46666666667	3.89	5.83333333333	_The Boy secures the Bracelet_
295	PERSON	Lino	note;swallow		bring	5.67666666667	3.8	5.57333333333	_The Swallow brings the Note to Lino_
304	PERSON	Queen	palanquin;_;farmer		weep;find	5.4975	4.06	5.6375	_The Farmer finds the Queen weeping by the Palanquin_
310	PERSON	Ameer Ali	anklet;_		win	5.86	4.59	6.47	_Ameer Ali wins the Anklet_
313	PERSON	Princess	white;fox		save	6.65	4.4375	5.8225	_The Princess saves the White Fox_
316	PERSON	Imani	_;crippled		attend	5.4	3.5	6.7	_Imani attends to the Crippled Fakir_
316	PERSON	Fakir	_;crippled		attend	5.4	3.5	6.7	_Imani attends to the Crippled Fakir_
319	PERSON	Imani	monkey		say;listen	6.21333333333	4.44666666667	6.06	_Imani listens to what the Monkeys say_
322	PERSON	Maia	_;cockchafer		carry	5.67	3.47	4.94	_Maia carried off by the Cockchafer_
325	PERSON	Maia	spider;_			5.22	5.005	4.48	_Maia and the Spiders in the Evening_
334	PERSON	Prince	ladies;_	invisible	go	5.58666666667	4.65333333333	4.66333333333	_The Invisible Prince goes with the Ladies_
337	PERSON	The King	billygoat;_		laugh	6.78	5.535	6.46	_The King laughs at the Billygoat_
346	PERSON	Queen	_		catch	6.08	4.525	5.755	_The Robber-chief catches the Queen_
352	PERSON	Princess	_	last;silent	speak	6.23	4.27333333333	6.07333333333	_The Silent Princess speaks at last_
363	LOCATION	the palace	clothes;despair;veil;hill;son	best	do;wrap;go;torment;put;cease	5.43785714286	4.07857142857	5.33428571429	And neither day nor night did her son cease tormenting her, till, in despair, she put on her best clothes, and wrapped her veil about her, and went over the hill to the palace.
