PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
1	PERSON	Fairy	orange;book			6.85666666667	4.07	6.12333333333	The Orange Fairy Book
2	PERSON	Andrew Lang			edit	4.95	4.1	6.64	Edited by Andrew Lang
9	PERSON	Pedersen	exception;eventyr;fra;mrs.;tale;source;mr.;stories;jylland;narrative	desirable;various	be;do;modify;have;seem;translate	5.865	3.89875	5.61875	With these exceptions, and "The Magic Book," translated by Mrs. Pedersen, from "Eventyr fra Jylland," by Mr. Ewald Tang Kristensen (Stories from Jutland), all the tales have been done, from various sources, by Mrs. Lang, who has modified, where it seemed desirable, all the narratives.
9	PERSON	Ewald Tang Kristensen	exception;eventyr;fra;mrs.;tale;source;mr.;stories;jylland;narrative	desirable;various	be;do;modify;have;seem;translate	5.865	3.89875	5.61875	With these exceptions, and "The Magic Book," translated by Mrs. Pedersen, from "Eventyr fra Jylland," by Mr. Ewald Tang Kristensen (Stories from Jutland), all the tales have been done, from various sources, by Mrs. Lang, who has modified, where it seemed desirable, all the narratives.
9	LOCATION	Jutland	exception;eventyr;fra;mrs.;tale;source;mr.;stories;jylland;narrative	desirable;various	be;do;modify;have;seem;translate	5.865	3.89875	5.61875	With these exceptions, and "The Magic Book," translated by Mrs. Pedersen, from "Eventyr fra Jylland," by Mr. Ewald Tang Kristensen (Stories from Jutland), all the tales have been done, from various sources, by Mrs. Lang, who has modified, where it seemed desirable, all the narratives.
9	PERSON	Mrs. Lang	exception;eventyr;fra;mrs.;tale;source;mr.;stories;jylland;narrative	desirable;various	be;do;modify;have;seem;translate	5.865	3.89875	5.61875	With these exceptions, and "The Magic Book," translated by Mrs. Pedersen, from "Eventyr fra Jylland," by Mr. Ewald Tang Kristensen (Stories from Jutland), all the tales have been done, from various sources, by Mrs. Lang, who has modified, where it seemed desirable, all the narratives.
14	PERSON	the King	magic;mink;owl;fish;wreath;thief;son;slipper;enchanted;lion;doe;mirror;girl;jachal;jackal;blue;rover;story;casket;makoma;soldier;treasure;fox;frog;book;goldsmith;bird;eagle;clever;hero;truth;covan;eldest;white;adventure;rabbit;falcon;weaver;younger;fortune;plain;stalos;duckling;adventures;cat;ugly;s;wolf;bella-flor;the;foolish	jackal	trick;be;see;get	6.13954545455	4.61590909091	5.43621212121	The Story of the Hero Makoma The Magic Mirror Story of the King who would see Paradise How Isuro the Rabbit tricked Gudu Ian, the Soldier"s Son The Fox and the Wolf How Ian Direach got the Blue Falcon The Ugly Duckling The Two Caskets The Goldsmith"s Fortune The Enchanted Wreath The Foolish Weaver The Clever Cat The Story of Manus Pinkel the Thief The Adventures of a Jackal The Adventures of the Jachal"s Eldest Son The Adventures of the Younger Son of the Jackal The Three Treasures of the Giants The Rover of the Plain The White Doe The Girl Fish The Owl and the Eagle The Frog and the Lion Fairy The Adventures of Covan the Brown-haired The Princess Bella-Flor The Bird of Truth The Mink and the Wolf Adventures of an Indian Brave How the Stalos were Tricked Andras Baive The White Slipper The Magic Book
14	PERSON	Gudu Ian	magic;mink;owl;fish;wreath;thief;son;slipper;enchanted;lion;doe;mirror;girl;jachal;jackal;blue;rover;story;casket;makoma;soldier;treasure;fox;frog;book;goldsmith;bird;eagle;clever;hero;truth;covan;eldest;white;adventure;rabbit;falcon;weaver;younger;fortune;plain;stalos;duckling;adventures;cat;ugly;s;wolf;bella-flor;the;foolish	jackal	trick;be;see;get	6.13954545455	4.61590909091	5.43621212121	The Story of the Hero Makoma The Magic Mirror Story of the King who would see Paradise How Isuro the Rabbit tricked Gudu Ian, the Soldier"s Son The Fox and the Wolf How Ian Direach got the Blue Falcon The Ugly Duckling The Two Caskets The Goldsmith"s Fortune The Enchanted Wreath The Foolish Weaver The Clever Cat The Story of Manus Pinkel the Thief The Adventures of a Jackal The Adventures of the Jachal"s Eldest Son The Adventures of the Younger Son of the Jackal The Three Treasures of the Giants The Rover of the Plain The White Doe The Girl Fish The Owl and the Eagle The Frog and the Lion Fairy The Adventures of Covan the Brown-haired The Princess Bella-Flor The Bird of Truth The Mink and the Wolf Adventures of an Indian Brave How the Stalos were Tricked Andras Baive The White Slipper The Magic Book
14	PERSON	Ian Direach	magic;mink;owl;fish;wreath;thief;son;slipper;enchanted;lion;doe;mirror;girl;jachal;jackal;blue;rover;story;casket;makoma;soldier;treasure;fox;frog;book;goldsmith;bird;eagle;clever;hero;truth;covan;eldest;white;adventure;rabbit;falcon;weaver;younger;fortune;plain;stalos;duckling;adventures;cat;ugly;s;wolf;bella-flor;the;foolish	jackal	trick;be;see;get	6.13954545455	4.61590909091	5.43621212121	The Story of the Hero Makoma The Magic Mirror Story of the King who would see Paradise How Isuro the Rabbit tricked Gudu Ian, the Soldier"s Son The Fox and the Wolf How Ian Direach got the Blue Falcon The Ugly Duckling The Two Caskets The Goldsmith"s Fortune The Enchanted Wreath The Foolish Weaver The Clever Cat The Story of Manus Pinkel the Thief The Adventures of a Jackal The Adventures of the Jachal"s Eldest Son The Adventures of the Younger Son of the Jackal The Three Treasures of the Giants The Rover of the Plain The White Doe The Girl Fish The Owl and the Eagle The Frog and the Lion Fairy The Adventures of Covan the Brown-haired The Princess Bella-Flor The Bird of Truth The Mink and the Wolf Adventures of an Indian Brave How the Stalos were Tricked Andras Baive The White Slipper The Magic Book
14	PERSON	Manus Pinkel	magic;mink;owl;fish;wreath;thief;son;slipper;enchanted;lion;doe;mirror;girl;jachal;jackal;blue;rover;story;casket;makoma;soldier;treasure;fox;frog;book;goldsmith;bird;eagle;clever;hero;truth;covan;eldest;white;adventure;rabbit;falcon;weaver;younger;fortune;plain;stalos;duckling;adventures;cat;ugly;s;wolf;bella-flor;the;foolish	jackal	trick;be;see;get	6.13954545455	4.61590909091	5.43621212121	The Story of the Hero Makoma The Magic Mirror Story of the King who would see Paradise How Isuro the Rabbit tricked Gudu Ian, the Soldier"s Son The Fox and the Wolf How Ian Direach got the Blue Falcon The Ugly Duckling The Two Caskets The Goldsmith"s Fortune The Enchanted Wreath The Foolish Weaver The Clever Cat The Story of Manus Pinkel the Thief The Adventures of a Jackal The Adventures of the Jachal"s Eldest Son The Adventures of the Younger Son of the Jackal The Three Treasures of the Giants The Rover of the Plain The White Doe The Girl Fish The Owl and the Eagle The Frog and the Lion Fairy The Adventures of Covan the Brown-haired The Princess Bella-Flor The Bird of Truth The Mink and the Wolf Adventures of an Indian Brave How the Stalos were Tricked Andras Baive The White Slipper The Magic Book
14	PERSON	Fairy	magic;mink;owl;fish;wreath;thief;son;slipper;enchanted;lion;doe;mirror;girl;jachal;jackal;blue;rover;story;casket;makoma;soldier;treasure;fox;frog;book;goldsmith;bird;eagle;clever;hero;truth;covan;eldest;white;adventure;rabbit;falcon;weaver;younger;fortune;plain;stalos;duckling;adventures;cat;ugly;s;wolf;bella-flor;the;foolish	jackal	trick;be;see;get	6.13954545455	4.61590909091	5.43621212121	The Story of the Hero Makoma The Magic Mirror Story of the King who would see Paradise How Isuro the Rabbit tricked Gudu Ian, the Soldier"s Son The Fox and the Wolf How Ian Direach got the Blue Falcon The Ugly Duckling The Two Caskets The Goldsmith"s Fortune The Enchanted Wreath The Foolish Weaver The Clever Cat The Story of Manus Pinkel the Thief The Adventures of a Jackal The Adventures of the Jachal"s Eldest Son The Adventures of the Younger Son of the Jackal The Three Treasures of the Giants The Rover of the Plain The White Doe The Girl Fish The Owl and the Eagle The Frog and the Lion Fairy The Adventures of Covan the Brown-haired The Princess Bella-Flor The Bird of Truth The Mink and the Wolf Adventures of an Indian Brave How the Stalos were Tricked Andras Baive The White Slipper The Magic Book
14	PERSON	Princess	magic;mink;owl;fish;wreath;thief;son;slipper;enchanted;lion;doe;mirror;girl;jachal;jackal;blue;rover;story;casket;makoma;soldier;treasure;fox;frog;book;goldsmith;bird;eagle;clever;hero;truth;covan;eldest;white;adventure;rabbit;falcon;weaver;younger;fortune;plain;stalos;duckling;adventures;cat;ugly;s;wolf;bella-flor;the;foolish	jackal	trick;be;see;get	6.13954545455	4.61590909091	5.43621212121	The Story of the Hero Makoma The Magic Mirror Story of the King who would see Paradise How Isuro the Rabbit tricked Gudu Ian, the Soldier"s Son The Fox and the Wolf How Ian Direach got the Blue Falcon The Ugly Duckling The Two Caskets The Goldsmith"s Fortune The Enchanted Wreath The Foolish Weaver The Clever Cat The Story of Manus Pinkel the Thief The Adventures of a Jackal The Adventures of the Jachal"s Eldest Son The Adventures of the Younger Son of the Jackal The Three Treasures of the Giants The Rover of the Plain The White Doe The Girl Fish The Owl and the Eagle The Frog and the Lion Fairy The Adventures of Covan the Brown-haired The Princess Bella-Flor The Bird of Truth The Mink and the Wolf Adventures of an Indian Brave How the Stalos were Tricked Andras Baive The White Slipper The Magic Book
14	PERSON	Andras Baive	magic;mink;owl;fish;wreath;thief;son;slipper;enchanted;lion;doe;mirror;girl;jachal;jackal;blue;rover;story;casket;makoma;soldier;treasure;fox;frog;book;goldsmith;bird;eagle;clever;hero;truth;covan;eldest;white;adventure;rabbit;falcon;weaver;younger;fortune;plain;stalos;duckling;adventures;cat;ugly;s;wolf;bella-flor;the;foolish	jackal	trick;be;see;get	6.13954545455	4.61590909091	5.43621212121	The Story of the Hero Makoma The Magic Mirror Story of the King who would see Paradise How Isuro the Rabbit tricked Gudu Ian, the Soldier"s Son The Fox and the Wolf How Ian Direach got the Blue Falcon The Ugly Duckling The Two Caskets The Goldsmith"s Fortune The Enchanted Wreath The Foolish Weaver The Clever Cat The Story of Manus Pinkel the Thief The Adventures of a Jackal The Adventures of the Jachal"s Eldest Son The Adventures of the Younger Son of the Jackal The Three Treasures of the Giants The Rover of the Plain The White Doe The Girl Fish The Owl and the Eagle The Frog and the Lion Fairy The Adventures of Covan the Brown-haired The Princess Bella-Flor The Bird of Truth The Mink and the Wolf Adventures of an Indian Brave How the Stalos were Tricked Andras Baive The White Slipper The Magic Book
17	PERSON	Fairy	orange;book			6.85666666667	4.07	6.12333333333	The Orange Fairy Book
20	PERSON	Makoma	story;hero			7.355	4.935	5.555	The Story of the Hero Makoma
25	LOCATION	the town	crocodile;head;man;pool;mother	fierce;black;deep	come;live;call;lead;have	5.755	4.3075	5.465	And his mother called the head men of the town, and when they had come he led them down to a deep black pool in the river where all the fierce crocodiles lived.
25	LOCATION	the river	crocodile;head;man;pool;mother	fierce;black;deep	come;live;call;lead;have	5.755	4.3075	5.465	And his mother called the head men of the town, and when they had come he led them down to a deep black pool in the river where all the fierce crocodiles lived.
27	LOCATION	the pool	shore;blood;surface;ground	red	swim;tremble;rise;swirl;become;heave	5.43	4.38416666667	5.43	Then suddenly the ground trembled, and the pool, heaving and swirling, became red with blood, and presently the boy rising to the surface swam on shore.
27	PERSON	the boy	shore;blood;surface;ground	red	swim;tremble;rise;swirl;become;heave	5.43	4.38416666667	5.43	Then suddenly the ground trembled, and the pool, heaving and swirling, became red with blood, and presently the boy rising to the surface swam on shore.
29	PERSON	Makoma	crocodile;none;name;greater;hand		be;venture;slay;cry;wave;know;have	5.26571428571	4.37428571429	5.23785714286	he cried, waving his hand, "you know my name--I am Makoma, "the Greater"; for have I not slain the crocodiles into the pool where none would venture?"
29	LOCATION	the pool	crocodile;none;name;greater;hand		be;venture;slay;cry;wave;know;have	5.26571428571	4.37428571429	5.23785714286	he cried, waving his hand, "you know my name--I am Makoma, "the Greater"; for have I not slain the crocodiles into the pool where none would venture?"
31	PERSON	Makoma	mountain;giant;north;west;moon;country	many;huge;hilly	meet;make;come;cross;wander	5.87647058824	3.70176470588	5.48294117647	Makoma crossed the Zambesi, and for many moons he wandered towards the north and west until he came to a very hilly country where, one day, he met a huge giant making mountains.
31	LOCATION	Zambesi	mountain;giant;north;west;moon;country	many;huge;hilly	meet;make;come;cross;wander	5.87647058824	3.70176470588	5.48294117647	Makoma crossed the Zambesi, and for many moons he wandered towards the north and west until he came to a very hilly country where, one day, he met a huge giant making mountains.
32	PERSON	Makoma	greeting		be;shout	5.69	4.88666666667	5.88	"Greeting," shouted Makoma, "you are you?"
33	PERSON	the giant	mountain	chi-eswa-mapiri	answer;be;make	5.94428571429	4.10714285714	5.86142857143	"I am Chi-eswa-mapiri, who makes the mountains," answered the giant; "and who are you?"
34	PERSON	Makoma		greater	answer;be;signify	5.61	4.3075	5.5075	"I am Makoma, which signifies "greater,"" answered he.
35	PERSON	the giant			ask	5.68	4.29	6.485	asked the giant.
36	PERSON	Makoma			answer	6.1	4.0	5.95	answered Makoma.
37	PERSON	Makoma	nothing;head;hammer;nu-endo	great	strike;say;swing	5.69428571429	4.61428571429	5.82857142857	Makoma said nothing, but swinging his great hammer, Nu-endo, he struck the giant upon the head.
37	PERSON	the giant	nothing;head;hammer;nu-endo	great	strike;say;swing	5.69428571429	4.61428571429	5.82857142857	Makoma said nothing, but swinging his great hammer, Nu-endo, he struck the giant upon the head.
38	PERSON	Makoma	back;sack		carry;drop;pick	5.136	3.718	5.184	So Makoma picked him up and dropped him into the sack that he carried upon his back.
39	PERSON	the giant	eagle;strength;hare;difficulty;s;journey;burden	little;greater	go;be;carry;have;resume	5.47	4.25823529412	5.31941176471	He was greater than ever now, for all the giant"s strength had gone into him; and he resumed his journey, carrying his burden with as little difficulty as an eagle might carry a hare.
