PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
2	PERSON	Andrew Lang			edit	4.95	4.1	6.64	Edited by Andrew Lang
13	PERSON	Uraschimataro				6.16	2.52	5.82	Uraschimataro and the Turtle
14	LOCATION	Tanuki	slaying			5.0	5.0	5.0	The Slaying of the Tanuki
18	PERSON	Princess	chest			6.41	5.185	6.16	The Princess in the Chest
22	PERSON	Hans	s;mermaid;son			6.32	5.00333333333	4.77666666667	Hans, the Mermaid"s Son
23	PERSON	Peter Bull				3.95	4.9	6.89	Peter Bull
28	PERSON	The King	wife	beautiful	have	6.18	4.45	5.64333333333	The King who would have a Beautiful Wife
29	PERSON	Catherine	destiny			6.73	4.76	5.45	Catherine and her Destiny
30	PERSON	the King	s;daughter;hermit		win;help	5.95833333333	4.705	5.99333333333	How the Hermit helped to win the King"s Daughter
37	PERSON	Rosemary	sprig			6.37	3.59	6.19	The Sprig of Rosemary
40	PERSON	Esben				3.14	5.3	4.79	Esben and the Witch
40	PERSON	Witch				3.14	5.3	4.79	Esben and the Witch
41	PERSON	Princess Minon-Minette				7.64	5.42	5.74	Princess Minon-Minette
44	PERSON	King Lindorm				6.0	4.45	5.53	King Lindorm
48	LOCATION	Ciccu	story			7.27	3.52	5.33	The Story of Ciccu
49	PERSON	Don Giovanni de la Fortuna				5.0	5.0	5.0	Don Giovanni de la Fortuna.
52	PERSON	Sagen	japanische;von;marchen;und			5.0	5.0	5.0	[From the Japanische Marchen und Sagen, von David Brauns (Leipzig: Wilhelm Friedrich).]
52	PERSON	David Brauns	japanische;von;marchen;und			5.0	5.0	5.0	[From the Japanische Marchen und Sagen, von David Brauns (Leipzig: Wilhelm Friedrich).]
52	LOCATION	Leipzig	japanische;von;marchen;und			5.0	5.0	5.0	[From the Japanische Marchen und Sagen, von David Brauns (Leipzig: Wilhelm Friedrich).]
52	PERSON	Wilhelm Friedrich	japanische;von;marchen;und			5.0	5.0	5.0	[From the Japanische Marchen und Sagen, von David Brauns (Leipzig: Wilhelm Friedrich).]
54	LOCATION	Koma	mistress;tongue;eye;nose;supper	pink;such;little	be;finish;tire;do;blink;say;lick;have;eat	5.8205	4.125	5.7225	She was such a little dear altogether, and blinked her eyes so daintily, and ate her supper so tidily, and when she had finished she licked her pink nose so delicately with her little tongue, that her mistress was never tired of saying, "Koma, Koma, what should I do without you?"
54	PERSON	Koma	mistress;tongue;eye;nose;supper	pink;such;little	be;finish;tire;do;blink;say;lick;have;eat	5.8205	4.125	5.7225	She was such a little dear altogether, and blinked her eyes so daintily, and ate her supper so tidily, and when she had finished she licked her pink nose so delicately with her little tongue, that her mistress was never tired of saying, "Koma, Koma, what should I do without you?"
55	PERSON	Gon	master;music;suggestion;everything	such	sell;be;decline;remain;ask;listen	5.933	3.986	5.647	Then the music master was asked to sell Gon to the lady, but he declined to listen to any such suggestion, so everything remained as before.
55	PERSON	the lady	master;music;suggestion;everything	such	sell;be;decline;remain;ask;listen	5.933	3.986	5.647	Then the music master was asked to sell Gon to the lady, but he declined to listen to any such suggestion, so everything remained as before.
56	PERSON	the princess	servant;mistress;dog;arm		be;belong;drive;walk;pick;carry;tremble	5.76071428571	4.135	5.37142857143	Luckily a servant of the princess to whom the park belonged was walking by, and he drove off the dog, and picking up the trembling Gon in his arms, carried him to his mistress.
56	LOCATION	the park	servant;mistress;dog;arm		be;belong;drive;walk;pick;carry;tremble	5.76071428571	4.135	5.37142857143	Luckily a servant of the princess to whom the park belonged was walking by, and he drove off the dog, and picking up the trembling Gon in his arms, carried him to his mistress.
56	PERSON	Gon	servant;mistress;dog;arm		be;belong;drive;walk;pick;carry;tremble	5.76071428571	4.135	5.37142857143	Luckily a servant of the princess to whom the park belonged was walking by, and he drove off the dog, and picking up the trembling Gon in his arms, carried him to his mistress.
57	PERSON	the princess	use;attention;fate;way;beauty	delighted	do;console;be;pay;fight;turn;see;wait	6.11444444444	4.28611111111	5.74277777778	Even the attention paid him by the princess, who was delighted with his beauty and pretty ways, did not console him, but there was no use in fighting against fate, and he could only wait and see what would turn up.
58	PERSON	Gon	nothing;world;bit;arm;mat	nicest;softest	lie;praise;wish;see;caress;take;have;eat	5.74411764706	3.98941176471	5.74823529412	Then she took Gon in her arms, and praised and caressed him, and saw that he had the nicest bits to eat, and the softest mats to lie on; and he would have had nothing in the world to wish for if only he could have seen Koma again.
