PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
2	PERSON	GEORGE MACDONALD				5.0	5.0	5.0	GEORGE MACDONALD
6	PERSON	Princess	story		have	6.4425	4.365	5.4475	Why the Princess Has a Story About Her
7	PERSON	Princess	herself		lose	5.615	5.425	5.065	The Princess Loses Herself
8	PERSON	Princess	see;shall			6.59	4.28	5.87666666667	The Princess and--We Shall See Who
10	PERSON	Princess			let	5.81333333333	4.04333333333	5.43333333333	The Princess Lets Well Alone
17	PERSON	Princess	story		have	6.4425	4.365	5.4475	Why the Princess Has a Story About Her
18	PERSON	The princess	farmhouse;name;people;house;half;mother;half-way;mountain;base;peak;birth;country;castle;side	large;strong	be;send;bear;bring	6.24958333333	4.04625	5.65208333333	The princess, whose name was Irene, was born there, but she was sent soon after her birth, because her mother was not very strong, to be brought up by country people in a large house, half castle, half farmhouse, on the side of another mountain, about half-way between its base and its peak.
18	PERSON	Irene	farmhouse;name;people;house;half;mother;half-way;mountain;base;peak;birth;country;castle;side	large;strong	be;send;bear;bring	6.24958333333	4.04625	5.65208333333	The princess, whose name was Irene, was born there, but she was sent soon after her birth, because her mother was not very strong, to be brought up by country people in a large house, half castle, half farmhouse, on the side of another mountain, about half-way between its base and its peak.
21	LOCATION	the house	reason;company;goblin;attendant	many;good;afraid	be;see;let;have	5.67916666667	3.68916666667	5.395	They were much too afraid of the goblins to let her out of the house then, even in company with ever so many attendants; and they had good reason, as we shall see by and by.
24	PERSON	Princess	herself		lose	5.615	5.425	5.065	The Princess Loses Herself
26	LOCATION	the room	moment;nurse	next	go;see;sit	5.91166666667	3.95666666667	5.78	The next moment after you see her sitting there, her nurse goes out of the room.
29	LOCATION	the floor	sob;cry;burst		break;throw;wail	4.1575	4.86875	4.42625	She threw herself on the floor, and burst into a wailing cry broken by sobs.
33	PERSON	Princess	see;shall			6.59	4.28	5.87666666667	The Princess and--We Shall See Who
36	PERSON	the princess	wheel;head;hum;hers;voice;lady	shaky;sweet;bewildered;old	stare;say;lift;mingle;continue	5.37470588235	4.27529411765	5.59176470588	While the princess stared bewildered, with her head just inside the door, the old lady lifted hers, and said, in a sweet, but old and rather shaky voice, which mingled very pleasantly with the continued hum of her wheel:
36	LOCATION	the door	wheel;head;hum;hers;voice;lady	shaky;sweet;bewildered;old	stare;say;lift;mingle;continue	5.37470588235	4.27529411765	5.59176470588	While the princess stared bewildered, with her head just inside the door, the old lady lifted hers, and said, in a sweet, but old and rather shaky voice, which mingled very pleasantly with the continued hum of her wheel:
38	LOCATION	the door			shut;do;step;tell;be	5.41166666667	3.61333333333	5.75	She did as she was told, stepped inside the door at once, and shut it gently behind her.
42	PERSON	the princess			answer;cry	5.65333333333	4.95666666667	4.75	"Crying," answered the princess.
52	PERSON	the princess	hand	smooth;nice	be;think	6.64166666667	3.88	6.0	And the princess thought her hands were so smooth and nice!
53	PERSON	the princess	lady;thread	old	go;say;look;have;get	5.93	4.22888888889	5.64333333333	When the old lady had got her thread fairly going again, she said to the princess, but without looking at her:
55	PERSON	the princess	t		answer;don;know	6.112	4.532	5.494	"No, I don"t know it," answered the princess.
56	PERSON	Irene	name		be	5.9	3.235	5.32	"My name is Irene."
57	PERSON	the princess			cry	5.43	5.435	4.15	cried the princess.
60	PERSON	the king	objection;course;papa;pleasure		ask;let;have;hadn	5.70076923077	4.37538461538	5.60076923077	"Your papa, the king, asked me if I had any objection to your having it; and, of course, I hadn"t.  I let you have it with pleasure."
61	PERSON	the princess	kind;name		be;say;give	6.465	4.225	5.886	"It was very kind of you to give me your name--and such a pretty one," said the princess.
64	PERSON	the lady	great-great-grandmother;m		say	5.705	4.62	5.6875	"I"m your great-great-grandmother," said the lady.
65	PERSON	the princess			ask	6.795	4.45	6.015	asked the princess.
67	PERSON	the princess	t		say;understand	6.10666666667	4.41833333333	5.96166666667	I can"t understand that," said the princess.
69	PERSON	the princess			answer	6.87	4.71	5.845	answered the princess.
86	LOCATION	the house	somebody		be;know	6.73	3.54	5.89666666667	"But somebody knows that you are in the house?"
95	PERSON	the lady			ask	6.43	3.765	6.08	asked the lady.
