PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
6	PERSON	Queen	story;faerie			6.895	4.285	5.685	STORIES FROM   The Faerie Queen
7	PERSON	JEANIE LANG	child;told			6.36	5.09	5.95	TOLD TO THE CHILDREN BY   JEANIE LANG
10	LOCATION	NEW YORK				7.68	5.14	5.22	NEW YORK: E. P. DUTTON &amp; CO.
12	PERSON	DIANA				5.0	5.0	5.0	TO DIANA
13	LOCATION	BRITAIN	by;ltd.;son	great	print	6.68666666667	3.77	6.10666666667	PRINTED IN GREAT BRITAIN BY   THOMAS NELSON AND SONS, LTD.
13	PERSON	THOMAS NELSON	by;ltd.;son	great	print	6.68666666667	3.77	6.10666666667	PRINTED IN GREAT BRITAIN BY   THOMAS NELSON AND SONS, LTD.
17	LOCATION	Fairyland	thing;eye;man	beautiful;good;other	be;see;love	6.40416666667	3.89833333333	5.86666666667	He loved so dearly all things that are beautiful and all things that are good, that his eyes could see Fairyland more clearly than the eyes of other men ever could.
19	PERSON	Queen	picture;page	enough;old	read;be;write;find	5.89454545455	3.82363636364	5.72636363636	But when you are old enough to read for yourself "The Faerie Queen" that Edmund Spenser wrote, you will find that there is a picture on every page.
19	PERSON	Edmund Spenser	picture;page	enough;old	read;be;write;find	5.89454545455	3.82363636364	5.72636363636	But when you are old enough to read for yourself "The Faerie Queen" that Edmund Spenser wrote, you will find that there is a picture on every page.
20	PERSON	JEANIE LANG				5.0	5.0	5.0	JEANIE LANG.
27	PERSON	George	st.;dragon			6.68	5.45	5.17	St. George and the Dragon,
31	PERSON	Guyon	sir;quest			5.855	5.065	5.555	The Quest of Sir Guyon,
33	PERSON	Pastorella				5.0	5.0	5.0	Pastorella,
35	PERSON	Cambell	triamond			5.0	5.0	5.0	Cambell and Triamond,
37	PERSON	Marinell	s;son;sea-nymph			5.955	4.715	5.0	Marinell, the Sea-Nymph"s Son,
39	PERSON	Florimell				3.14	5.3	4.79	Florimell and the Witch,
39	PERSON	Witch				3.14	5.3	4.79	Florimell and the Witch,
55	PERSON	GUYON	sir;quest			5.855	5.065	5.555	THE QUEST OF SIR GUYON.
58	PERSON	PASTORELLA				5.0	5.0	5.0	PASTORELLA.
59	PERSON	Pastorella	middle;ring;girl		sit	6.32	3.925	5.47	In the middle of the ring of girls sat Pastorella,
64	LOCATION	MARINELL	s;son;sea-nymph			5.955	4.715	5.0	MARINELL, THE SEA-NYMPH"S SON.
65	PERSON	the knight	s;man;lady;britomart	fair	be	5.94166666667	4.18833333333	5.48833333333	But the knight was Britomart, the fair lady with a man"s
69	PERSON	Florimell	hair;s	golden	fly	6.2575	4.465	5.66	Florimell"s golden hair flew behind her,
74	LOCATION	Fairyland	king;daughter;name;country;queen;una;time		be;live	5.97636363636	4.34545454545	5.40727272727	Once upon a time, in a country not far from Fairyland, there lived a king and queen and their daughter, whose name was Una.
79	PERSON	the king	tower;queen;outside	lay;dragon	hide	5.77125	4.145	5.60125	For seven years the king and queen hid in their tower, while the dragon lay outside.
81	LOCATION	Fairyland	fairies;una;dragon;mind;knight	last	ask;make;kill;ride;send	5.81	4.52333333333	5.57777777778	At last Una made up her mind to ride to Fairyland and ask the Queen of the Fairies to send one of her knights to kill the dragon.
81	PERSON	Queen	fairies;una;dragon;mind;knight	last	ask;make;kill;ride;send	5.81	4.52333333333	5.57777777778	At last Una made up her mind to ride to Fairyland and ask the Queen of the Fairies to send one of her knights to kill the dragon.
84	LOCATION	the court	una;dragon;knight	fearless;true;young;faithful	kill;offer;come;get	5.63615384615	4.43615384615	5.60230769231	Una safely got to the court of the Faerie Queen, and a young knight, fearless and faithful and true, offered to come back with her to kill the dragon.
84	PERSON	Queen	una;dragon;knight	fearless;true;young;faithful	kill;offer;come;get	5.63615384615	4.43615384615	5.60230769231	Una safely got to the court of the Faerie Queen, and a young knight, fearless and faithful and true, offered to come back with her to kill the dragon.
85	PERSON	Knight	cross;red;people		call	5.805	3.7825	5.0525	So people called him the Red Cross Knight.
86	PERSON	Una	kingdom;land;sun;father;faerie;s;knight;bird	bright	shine;sing;ride;lay	6.56153846154	4.31076923077	5.90461538462	The sun shone bright, and the birds sang sweetly, as Una and her knight rode away through the woods that lay between her father"s kingdom and the lands of the Faerie Queen.
86	LOCATION	the woods	kingdom;land;sun;father;faerie;s;knight;bird	bright	shine;sing;ride;lay	6.56153846154	4.31076923077	5.90461538462	The sun shone bright, and the birds sang sweetly, as Una and her knight rode away through the woods that lay between her father"s kingdom and the lands of the Faerie Queen.
86	PERSON	Queen	kingdom;land;sun;father;faerie;s;knight;bird	bright	shine;sing;ride;lay	6.56153846154	4.31076923077	5.90461538462	The sun shone bright, and the birds sang sweetly, as Una and her knight rode away through the woods that lay between her father"s kingdom and the lands of the Faerie Queen.
87	PERSON	The knight	donkey;war-horse;horse;una;s;harness;foot;bit;grass;side	big;great;little;dainty	go;champ;prance;put;jingle;wonder	5.82	4.01333333333	5.69714285714	The knight"s great war-horse pranced and champed at its bit, and Una"s little donkey put down its dainty feet gently on the grass and wondered at the great big horse and his jingling harness as they went along side by side.
91	PERSON	The knight	horse;dwarf;spear;darkness		be;hide;give;spring;see;go;hold	5.90818181818	4.27363636364	5.30363636364	The knight sprang from his horse, and giving his spear to the dwarf to hold, went forward to see what might be hidden in the darkness.
98	PERSON	the knight	horse;magician;dwarf;saddle	wicked	go;leave;make	5.56454545455	4.01727272727	5.16181818182	Very early in the morning the knight made the dwarf saddle his horse, and they went off together and left Una asleep in the house of the wicked magician.
98	PERSON	Una	horse;magician;dwarf;saddle	wicked	go;leave;make	5.56454545455	4.01727272727	5.16181818182	Very early in the morning the knight made the dwarf saddle his horse, and they went off together and left Una asleep in the house of the wicked magician.
98	LOCATION	the house	horse;magician;dwarf;saddle	wicked	go;leave;make	5.56454545455	4.01727272727	5.16181818182	Very early in the morning the knight made the dwarf saddle his horse, and they went off together and left Una asleep in the house of the wicked magician.
100	PERSON	the knight	donkey;gallop;sorrow;horse;chance;anger	little	go;ride;overtake;make;have	5.40846153846	4.19076923077	5.28615384615	She rode after them as quickly as she could, but her little donkey could only go slowly, and in his anger and sorrow the knight had made his horse gallop so fast that she had no chance of overtaking them.
107	PERSON	Knight	una;cross;red		ask;meet;see;wander;have	5.9375	3.595	5.46375	Together they wandered on, but never met any one that Una could ask if he had seen the Red Cross Knight.
108	LOCATION	the mountain	hut;mother	blind;old	shut;be;live;rush;get	5.3725	4.21416666667	5.53333333333	Her old mother was blind, and they lived in a hut on the mountain, and when she got there she rushed in and shut the door.
108	LOCATION	the door	hut;mother	blind;old	shut;be;live;rush;get	5.3725	4.21416666667	5.53333333333	Her old mother was blind, and they lived in a hut on the mountain, and when she got there she rushed in and shut the door.
109	LOCATION	the door	blow;una;lion;paw	strong	follow;drive	5.87333333333	4.23333333333	5.44	Una and the lion followed her, and the lion, with one blow from his strong paw, drove the door in.
111	LOCATION	the door	lion;burst;piece;thief;rage	open	tear;do;rush	4.59	4.93272727273	5.25636363636	So the thief, in a rage, burst the door open, and when he did this, the lion rushed at him and tore him in pieces.
115	PERSON	the magician	s;cross;breast	red	see;ride	5.58428571429	4.63857142857	4.77285714286	When he saw the red cross on the magician"s breast he rode at him furiously.
116	PERSON	Sansloy	hair;helmet;s;face	grey;wicked;old;young;handsome	go;be;drag;kill;find	5.28823529412	4.51	5.20235294118	Then Sansloy dragged off his helmet and was going to kill him, when he found, instead of the Red Cross Knight"s handsome young face, the wicked old face and grey hair of the magician.
116	PERSON	the magician	hair;helmet;s;face	grey;wicked;old;young;handsome	go;be;drag;kill;find	5.28823529412	4.51	5.20235294118	Then Sansloy dragged off his helmet and was going to kill him, when he found, instead of the Red Cross Knight"s handsome young face, the wicked old face and grey hair of the magician.
120	LOCATION	the woods	fear;help;scream	rough	be;ring;echo;shrink;scream	4.789	4.773	4.971	When she shrank from him in fear, he was so rough that she screamed for help until the woods rang and echoed her screams.
122	PERSON	Sansloy	hair;horse;face;arm;leg	hairy;long;strange;wild;rough;frightened	jump;be;see;gallop	5.27357142857	4.26785714286	5.34142857143	When Sansloy saw them, with their rough long hair and hairy legs and arms and strange wild faces, he was so frightened that he jumped on his horse and galloped away.
124	LOCATION	the wood	home;chief;gladness;nymph	beautiful	welcome;lead	6.42714285714	4.18142857143	5.73714285714	And so they led her home to their chief, and he and the beautiful nymphs of the wood all welcomed her with gladness.
125	LOCATION	the wild	reach;man		run;have;get	6.045	3.94	5.643	So one day he and she ran away, and by night had got far out of reach of the wild men of the woods.
125	LOCATION	the woods	reach;man		run;have;get	6.045	3.94	5.643	So one day he and she ran away, and by night had got far out of reach of the wild men of the woods.
126	LOCATION	the forest	una;s;magician;pilgrim;knight	wicked	brave;dress;know;escape;meet;come	5.80307692308	4.47846153846	5.49153846154	When the wicked magician knew of Una"s escape, he dressed himself up like a pilgrim and came to meet her and the brave knight of the forest.
132	PERSON	Sansloy	una;s;lion	wicked	carry;be;kill;have	4.71285714286	4.76857142857	4.74857142857	It was the wicked Sansloy who had killed Una"s lion and carried her away.
