PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
1	PERSON	SPENSER	tale			5.95	3.09	6.19	TALES FROM SPENSER
7	LOCATION	GLASGOW	james;maclehose;son			6.91	4.43	5.0	JAMES MACLEHOSE AND SONS, GLASGOW,
10	PERSON	MACMILLAN	co.			7.68	5.14	5.22	MACMILLAN AND CO., LONDON AND NEW YORK.
10	LOCATION	LONDON	co.			7.68	5.14	5.22	MACMILLAN AND CO., LONDON AND NEW YORK.
10	LOCATION	NEW YORK	co.			7.68	5.14	5.22	MACMILLAN AND CO., LONDON AND NEW YORK.
12	LOCATION	London	_			5.0	5.0	5.0	_London,
14	LOCATION	Cambridge	_			5.0	5.0	5.0	_Cambridge,
16	LOCATION	Edinburgh	_			5.0	5.0	5.0	_Edinburgh,
22	PERSON	HAMISH				5.0	5.0	5.0	HAMISH AND CRAWFORD.
22	PERSON	CRAWFORD				5.0	5.0	5.0	HAMISH AND CRAWFORD.
25	PERSON	Spenser	case;hero;whole;heroine		do;pretend;tell;relate	5.62666666667	4.21777777778	5.79	In no case do the Tales pretend to relate the whole that Spenser tells of their heroes and heroines.
29	PERSON	Prince Arthur	una		help;find	6.28	4.32	5.84	Prince Arthur helps Una to find the Red-cross Knight
29	PERSON	Knight	una		help;find	6.28	4.32	5.84	Prince Arthur helps Una to find the Red-cross Knight
30	PERSON	Knight	slew;dragon			6.68	5.45	5.17	How the Red-cross Knight slew the Dragon
33	LOCATION	Marinell	story			7.27	3.52	5.33	The Story of Marinell and Florimell
33	LOCATION	Florimell	story			7.27	3.52	5.33	The Story of Marinell and Florimell
37	LOCATION	Timias	story			7.27	3.52	5.33	The Story of Timias
38	PERSON	Calidore				5.0	5.0	5.0	Calidore and Pastorella
38	PERSON	Pastorella				5.0	5.0	5.0	Calidore and Pastorella
40	PERSON	SPENSER	tale			5.95	3.09	6.19	TALES FROM SPENSER.
44	PERSON	Oberon	court;power;knight;titania;wrong;trouble;subject;creature	endowed;magic;tiny	be;brave;help;rule;redress;go	5.57357142857	4.71	5.35571428571	The subjects over whom she ruled were not tiny creatures like Oberon and Titania, but brave knights who went out from her court endowed with magic powers to redress wrongs and help those in trouble.
46	LOCATION	the court	una		appear;accoutr	4.385	3.835	4.65	Thus accoutred, Una appeared at the court of Gloriana.
46	LOCATION	Gloriana	una		appear;accoutr	4.385	3.835	4.65	Thus accoutred, Una appeared at the court of Gloriana.
47	PERSON	Gloriana	boldness;armour;enterprise;air;una;length;suit	impossible;dangerous	urge;fit;be;object;try;bring;say;succeed;have;wonder	5.54789473684	4.37052631579	5.41105263158	Gloriana wondered at his boldness, for he had not a knightly air, and Una herself objected, but he only urged his suit the more, and at length Una said he might try on the armour she had brought, but that, unless it fitted him perfectly, it was impossible he could succeed in so dangerous an enterprise.
47	PERSON	Una	boldness;armour;enterprise;air;una;length;suit	impossible;dangerous	urge;fit;be;object;try;bring;say;succeed;have;wonder	5.54789473684	4.37052631579	5.41105263158	Gloriana wondered at his boldness, for he had not a knightly air, and Una herself objected, but he only urged his suit the more, and at length Una said he might try on the armour she had brought, but that, unless it fitted him perfectly, it was impossible he could succeed in so dangerous an enterprise.
48	PERSON	the knight	word;danger;cross;una;dread;deed	right;faithful;worthy;sober;true;grave;befitting	be;love;prove;countenance;dread;hold	5.5945	4.1795	5.6	And the knight proved right worthy of his cross: he was true and faithful both in word and deed, and his countenance was grave and sober, befitting one who dreaded no danger, but was himself held in dread; so Una loved him well.
52	LOCATION	the floor	loss;tear;sigh;lion;knight;foot	sad;bitter;weary	be;sleep;lay;groan;spend	4.724375	3.845	5.349375	She was very weary and laid herself down on the floor--the lion at her feet--but she was too sad for the loss of the Red-cross knight to sleep, and so spent the long hours in sighs and groans and bitter tears.
53	PERSON	Abessa	body;assistance;piece;blood;man	wretched;powerless;dead;lay	be;do;tear;flow;resist;go;dare	4.80882352941	4.24705882353	5.10235294118	The wretched man was powerless to resist, nor did Abessa or Corceca dare to go to his assistance, and very soon Kirk-rapine lay quite dead--his body torn in pieces, and his blood flowing into the earth.
53	PERSON	Corceca	body;assistance;piece;blood;man	wretched;powerless;dead;lay	be;do;tear;flow;resist;go;dare	4.80882352941	4.24705882353	5.10235294118	The wretched man was powerless to resist, nor did Abessa or Corceca dare to go to his assistance, and very soon Kirk-rapine lay quite dead--his body torn in pieces, and his blood flowing into the earth.
53	LOCATION	the earth	body;assistance;piece;blood;man	wretched;powerless;dead;lay	be;do;tear;flow;resist;go;dare	4.80882352941	4.24705882353	5.10235294118	The wretched man was powerless to resist, nor did Abessa or Corceca dare to go to his assistance, and very soon Kirk-rapine lay quite dead--his body torn in pieces, and his blood flowing into the earth.
54	LOCATION	the way	knight;length;curse;armour	own	become;turn;clothe;tire;meet	5.25090909091	3.60909090909	5.45909090909	At length, tired out with their own curses, they turned back, and on the way met one clad in armour as became a knight.
55	PERSON	Thereupon Corceca	cursing;s;passion;way		cry;declare;renew;know;become;tell;take	5.631	4.302	5.292	Thereupon Corceca"s passion became renewed, and, crying and cursing, she declared she knew her but too well, and told him which way to take.
57	PERSON	Archimago	magic;hand;charm;amazement;war;man	little;used;old;skilful	be;gaze;know;stay	5.91	4.34142857143	5.48571428571	He stayed his hand, and gazed on the old man in amazement, for he knew him well, and knew that, skilful as Archimago was in charms and magic, he was but little used to war.
59	PERSON	Sansloy	attempt;enchanter;compassion;trance;assistance;soul;word		render;die;make;lay;have;answer	5.57857142857	4.39357142857	5.52071428571	The enchanter answered him never a word, but lay in a trance, apparently dying, and Sansloy, who had no compassion in his soul, made no attempt to render him assistance.
70	LOCATION	the way	pipe;god;queen;garland	olive;merry	play;lead;crown;echo;ring;worship	6.001875	4.235	5.5075	All the way they played on their merry pipes, until the woods rang with their echo; and, worshipping the lady as a queen, they crowned her with an olive garland and led her to Sylvanus, their god.
70	LOCATION	the woods	pipe;god;queen;garland	olive;merry	play;lead;crown;echo;ring;worship	6.001875	4.235	5.5075	All the way they played on their merry pipes, until the woods rang with their echo; and, worshipping the lady as a queen, they crowned her with an olive garland and led her to Sylvanus, their god.
70	PERSON	the lady	pipe;god;queen;garland	olive;merry	play;lead;crown;echo;ring;worship	6.001875	4.235	5.5075	All the way they played on their merry pipes, until the woods rang with their echo; and, worshipping the lady as a queen, they crowned her with an olive garland and led her to Sylvanus, their god.
70	PERSON	Sylvanus	pipe;god;queen;garland	olive;merry	play;lead;crown;echo;ring;worship	6.001875	4.235	5.5075	All the way they played on their merry pipes, until the woods rang with their echo; and, worshipping the lady as a queen, they crowned her with an olive garland and led her to Sylvanus, their god.
73	PERSON	the lady	ass;return;steed;stead;something;truth;hospitality;worship	vain;lowly;milk-white	prevent;be;worship;try;turn;teach;find	5.9375	3.756875	5.49	In return for their hospitality, she tried to teach them something of truth, and to prevent their worship of herself, but it was in vain, for when they found they might not worship the lady, they turned to the milk-white ass, her lowly steed, and worshipped it in her stead.
