PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
2	PERSON	Andrew Lang			edit	4.95	4.1	6.64	Edited by Andrew Lang
20	PERSON	FELICIA	pot;pinks			5.81	4.0	6.0	FELICIA AND THE POT OF PINKS
25	PERSON	WHITTINGTON	history			6.0	3.38	4.8	THE HISTORY OF WHITTINGTON
37	LOCATION	LILLIPUT	voyage			5.75	5.45	5.625	A VOYAGE TO LILLIPUT
39	PERSON	AHMED	paribanou;story;prince;fairy			6.47333333333	4.57	5.36666666667	THE STORY OF PRINCE AHMED AND THE FAIRY PARIBANOU
46	PERSON	King	despair;man	old;wise	be;say	5.34125	4.40625	5.435	The King was in despair about it, when a wise old man said to him:
48	PERSON	King		right	be;cry	5.68	4.5825	5.1875	"You are quite right," cried the King.
50	PERSON	King	town;forefather;hamlet;messenger;dominion;village;gardener		be;have;look;send;find	5.86823529412	3.67647058824	5.73941176471	So the King sent messengers to every town, village, and hamlet in his dominions, to look for a gardener whose forefathers had been gardeners also, and after forty days one was found.
51	PERSON	King	gardener		be;say;come	6.016	3.766	6.124	"Come with us and be gardener to the King," they said to him.
52	PERSON	King	wretch;gardener	poor	go;say	5.50090909091	4.43181818182	5.55818181818	"How can I go to the King," said the gardener, "a poor wretch like me?"
56	PERSON	King	flower;garden;gift;servant;park;difficulty;fruit;place;man	new;royal;same	be;like;make;shower;produce;find	6.09523809524	3.96047619048	5.83095238095	The man found no difficulty in making the royal garden produce flowers and fruit, and at the end of a year the park was not like the same place, and the King showered gifts upon his new servant.
57	PERSON	King	princess;time		marry;be;begin;think	6.216	4.014	5.474	Now this princess was wonderfully pretty and was just sixteen years old, and the King was beginning to think it was time that she should be married.
59	PERSON	Princess	father;minister;son		reply;marry	6.24875	4.28	5.70625	"Father," replied the Princess, "I will never marry the son of the minister."
60	PERSON	King			ask	5.975	3.965	5.91	asked the King.
61	PERSON	Princess	s;gardener;son		answer;love	6.42857142857	4.59428571429	5.62571428571	"Because I love the gardener"s son," answered the Princess.
62	PERSON	King	daughter;hearing;s;husband;son;resolution;gardener	such;angry;young;worthy	be;sigh;marry;turn;weep;declare	5.89181818182	4.28727272727	5.55545454545	On hearing this the King was at first very angry, and then he wept and sighed, and declared that such a husband was not worthy of his daughter; but the young Princess was not to be turned from her resolution to marry the gardener"s son.
62	PERSON	Princess	daughter;hearing;s;husband;son;resolution;gardener	such;angry;young;worthy	be;sigh;marry;turn;weep;declare	5.89181818182	4.28727272727	5.55545454545	On hearing this the King was at first very angry, and then he wept and sighed, and declared that such a husband was not worthy of his daughter; but the young Princess was not to be turned from her resolution to marry the gardener"s son.
64	PERSON	King	copper;horse;gold;money;advice;purse;son;thought;s;journey;minister;piece;gardener	full;old;splendid;lame	follow;come;have;present;be	5.76257142857	4.11657142857	5.56342857143	The King followed this advice, and the minister"s son was presented with a splendid horse and a purse full of gold pieces, while the gardener"s son had only an old lame horse and a purse full of copper money, and every one thought he would never come back from his journey.
65	PERSON	Princess	lover		start;say;meet	6.74333333333	4.90666666667	5.995	The day before they started the Princess met her lover and said to him:
78	PERSON	King	kind;noise;son;instrument;s;street;gardener	great	herald;blow;cry;hear;pass	5.74294117647	4.27294117647	5.52352941176	The next day the gardener"s son heard a great noise in the street, and the King"s heralds passed, blowing all kinds of instruments, and crying:
83	PERSON	King	youth;strength		cure;back;give	6.2275	4.08625	5.66	He alone can cure the King and give him back the strength of his youth."
