PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
0	PERSON	Princess	stories	light;other		6.5775	4.365	6.0025	The Light Princess and Other Fairy Stories
0	PERSON	Fairy	stories	light;other		6.5775	4.365	6.0025	The Light Princess and Other Fairy Stories
1	PERSON	George MacDonald				5.0	5.0	5.0	by George MacDonald
11	PERSON	the queen	joke	good	pretend;take	5.9775	4.49125	5.52625	But the queen pretended to take it all as a joke, and a very good one too.
13	PERSON	the queen	king	sorry	be;say	5.80444444444	4.32111111111	5.76888888889	"I am sure, dear king, I am very sorry," said the queen.
14	PERSON	the king	virtue;_		go;be;make;retort	5.93375	4.04875	5.45375	"So you ought to be," retorted the king; "you are not going to make a virtue of _that_, surely."
16	PERSON	The queen			smile	7.205	4.835	6.88	The queen smiled.
18	PERSON	the king	queen	sorry;nice	oblige;be	5.80714285714	4.26	5.61428571429	She was, indeed, a very nice queen, and heartily sorry that she could not oblige the king immediately.
19	PERSON	the queen	daughter;princess	little;lovely;last;more	be;give;cry;deserve	6.20454545455	4.68818181818	5.31818181818	It was more than he deserved, therefore, when, at last, the queen gave him a daughter--as lovely a little princess as ever cried.
24	PERSON	The king	garret		see;live	6.74	4.35333333333	6.01	The king could not see into the garret she lived in, could he?
37	LOCATION	the steps	limb;baby;tail;s;clothes	top	float;reach;stand;have;catch;climb;tremble	5.49142857143	3.76785714286	5.545	Trembling in every limb, she climbed upon the steps, and had to stand upon the very top, and reach up, before she could catch the floating tail of the baby"s long clothes.
38	PERSON	the queen	horror-struck	last	stare;be;stammer;turn;say;gasp	5.50166666667	4.44666666667	5.89333333333	At last, turning to the queen, who was just as horror-struck as himself, he said, gasping, staring, and stammering,--
40	PERSON	the queen	cause;effect	much;cleverer;defective	come;be;begin;suspect;have	5.319	3.917	5.239	Now the queen was much cleverer than the king, and had begun already to suspect that "this effect defective came by cause."
40	PERSON	the king	cause;effect	much;cleverer;defective	come;be;begin;suspect;have	5.319	3.917	5.239	Now the queen was much cleverer than the king, and had begun already to suspect that "this effect defective came by cause."
42	PERSON	Princess Makemnoit			bewitch;have	6.75	4.47	5.73	Princess Makemnoit has bewitched her."
43	PERSON	the queen	s		answer;say	5.706	4.696	5.774	"That"s just what I say," answered the queen.
44	LOCATION	the steps	throne		bring;get	5.434	4.236	5.746	bring the steps I get on my throne with."
47	PERSON	John	majesty;tong		say;hand;take;get	5.72428571429	3.93571428571	5.93428571429	"Take the tongs, John," said his Majesty; and getting up on the table, he handed them to him.
47	LOCATION	the table	majesty;tong		say;hand;take;get	5.72428571429	3.93571428571	5.93428571429	"Take the tongs, John," said his Majesty; and getting up on the table, he handed them to him.
48	PERSON	John	baby;princess;tong	little	be;reach;hand	6.15428571429	4.08571428571	5.45857142857	John could reach the baby now, and the little princess was handed down by the tongs.
52	PERSON	The queen	loss;down-stair	ignorant	go;occasion;have	5.215	4.6	5.19166666667	The queen went down-stairs, quite ignorant of the loss she had herself occasioned.
53	PERSON	the queen	nothing;length;boudoir;majesty;hearing	uneasy	go;s;grow;find	5.6875	4.2025	5.60125	But hearing nothing, she grew uneasy, and went at length to the queen"s boudoir, where she found her Majesty.
55	PERSON	the queen			ask	6.235	4.265	6.165	asked the queen.
57	PERSON	the queen	grave		say;look	5.195	4.445	5.6325	said the queen, looking grave.
65	PERSON	the king	instance;breakfast;counting-house;money		go;count	6.45	4.25142857143	5.76142857143	One day, for instance, after breakfast, the king went into his counting-house, and counted out his money.
71	PERSON	the queen	honey-pot;t		say;eat;look	5.98428571429	4.39428571429	6.07142857143	"I can"t eat it," said the queen, looking ruefully at the honey-pot.
75	PERSON	the king	sigh;cough		try;turn;say;help	5.31222222222	4.22888888889	5.59666666667	Yet the king could not help a sigh, which he tried to turn into a cough, saying--
77	PERSON	the queen	thing;soul	bad;prophetic;light-headed	answer;be;look	5.75090909091	4.24	5.42454545455	"It is a bad thing to be light-headed," answered the queen, looking with prophetic soul far into the future.
78	PERSON	the king	thing;tis	good;light-handed	be;say	6.08833333333	4.06666666667	5.78833333333	""Tis a good thing to be light-handed," said the king.
79	PERSON	the queen	thing;tis	bad;light-fingered	answer;be	5.43166666667	4.295	5.24333333333	""Tis a bad thing to be light-fingered," answered the queen.
80	PERSON	the king	thing;tis	light-footed;good	be;say	6.08833333333	4.06666666667	5.78833333333	""Tis a good thing to be light-footed," said the king.
81	PERSON	the queen	thing;tis	bad	interrupt;begin	5.14428571429	4.28571428571	5.02714285714	""Tis a bad thing--" began the queen; but the king interrupted her.
81	PERSON	the king	thing;tis	bad	interrupt;begin	5.14428571429	4.28571428571	5.02714285714	""Tis a bad thing--" began the queen; but the king interrupted her.
83	PERSON	the queen	thing;temper	bad;light-minded	be;begin;retort;lose	5.272	4.196	5.123	"But it is a bad thing altogether to be light-minded," retorted the queen, who was beginning to lose her temper.
86	PERSON	the queen	light;vowel;_	light;ex-asperated	be;aspirate;heir;hair;tell;mean	5.66333333333	3.89333333333	5.60444444444	And besides, he could not tell whether the queen meant light-_haired_ or light-_heired_; for why might she not aspirate her vowels when she was ex-asperated herself?
90	PERSON	the king	arm	rueful	consult;sit;look;take	5.57333333333	3.855	5.69166666667	She looked so rueful, that the king took her in his arms; and they sat down to consult.
91	PERSON	the king			say	5.955	4.44	6.205	said the king.
92	PERSON	the queen	t		say	5.768	4.524	5.872	"No, I can"t," said the queen.
93	PERSON	the king			say	5.955	4.44	6.205	said the king.
95	PERSON	the king			say	5.955	4.44	6.205	said the king.
96	PERSON	the queen			say	6.215	4.74	6.46	"Yes," said the queen.
97	PERSON	the king	mind;t		say;don	5.722	4.786	5.7	"Well, I don"t mind," said the king.
98	PERSON	The queen			try;comfort	6.46666666667	3.93666666667	6.38666666667	The queen tried to comfort him.
