PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
2	PERSON	Fairy				6.88	4.085	6.395	_The English Fairy Book_
3	PERSON	Fairy	welsh;book			6.09666666667	4.05666666667	5.89333333333	_The Welsh Fairy Book_
4	PERSON	Fairy	book	irish		6.88	4.085	6.395	_The Irish Fairy Book_
5	PERSON	Fairy	book	scottish		6.88	4.085	6.395	_The Scottish Fairy Book_
6	PERSON	Fairy				6.88	4.085	6.395	_The Italian Fairy Book_
7	PERSON	Fairy				6.88	4.085	6.395	_The Hungarian Fairy Book_
8	PERSON	Fairy	book	indian		6.88	4.085	6.395	_The Indian Fairy Book_
9	PERSON	Fairy				6.88	4.085	6.395	_The Spanish Fairy Book_
10	PERSON	Fairy				6.88	4.085	6.395	_The Danish Fairy Book_
11	PERSON	Fairy				6.88	4.085	6.395	_The Norwegian Fairy Book_
12	PERSON	Fairy				6.88	4.085	6.395	_The Jewish Fairy Book_
13	PERSON	Fairy				6.88	4.085	6.395	_The Swedish Fairy Book_
14	PERSON	Fairy				6.88	4.085	6.395	_The Chinese Fairy Book_
17	PERSON	ELIZABETH W.	book			7.05	3.13	6.41	BOOK  BY ELIZABETH W.
18	PERSON	GRIERSON	illustration			6.37	4.0	6.26	GRIERSON  WITH ILLUSTRATIONS
19	PERSON	MORRIS				5.0	5.0	5.0	BY MORRIS
20	PERSON	MEREDITH WILLIAMS				5.0	5.0	5.0	MEREDITH WILLIAMS
24	PERSON	J. B. LIPPINCOTT	company			5.64	3.29	5.0	J. B. LIPPINCOTT COMPANY
25	LOCATION	PHILADELPHIA				5.0	5.0	5.0	PHILADELPHIA
26	LOCATION	NEW YORK				7.68	5.14	5.22	NEW YORK
28	LOCATION	U.S.A.	printed			5.0	5.0	5.0	Printed in U.S.A.
30	PERSON	Brownys	_;buke			6.0	3.48	6.06	"Of _Brownys and of Bogillis Full this Buke_."
30	LOCATION	Bogillis Full	_;buke			6.0	3.48	6.06	"Of _Brownys and of Bogillis Full this Buke_."
32	PERSON	GAVIN DOUGLAS				5.0	5.0	5.0	--GAVIN DOUGLAS
35	PERSON	Fairy	tale;type	distinct;scottish	be;speak	6.09428571429	3.65857142857	5.67142857143	There are, roughly speaking, two distinct types of Scottish Fairy Tales.
36	LOCATION	Islands	clachan;celtic;highlands;word;entertainment;shelter;s;other;stories;mouth;story-teller	professional	be;earn;clachan;give;hand;collect;call;have;go;classify	6.02153846154	4.04807692308	5.58307692308	There are what may be called "Celtic Stories," which were handed down for centuries by word of mouth by professional story-tellers, who went about from clachan to clachan in the "Highlands and Islands," earning a night"s shelter by giving a night"s entertainment, and which have now been collected and classified for us by Campbell of Isla and others.
37	PERSON	Fairy	fascination;tale	distinct;most;ordinary;own;peculiar	be;have	5.841	3.917	5.765	Most of them are fairly long, and although they have a peculiar fascination of their own, they are quite distinct from the ordinary Fairy Tale.
38	LOCATION	Scotland	country;character;date;existence;goblin;spirit	latter;own;recent	be;believe;have	5.88714285714	4.11071428571	5.57285714286	These latter, in Scotland, have also a character of their own, for there is no country where the existence of Spirits and Goblins has been so implicitly believed in up to a comparatively recent date.
39	PERSON	Matthew	gospel;saint;dispute		weel	4.9375	3.48	4.935	Ye may as weel dispute the Gospel of Saint Matthew."
41	PERSON	Fairy Queen	league;tiend;being;kelpy;cost;witch;bogie;hell	uncanny	be;pay;compel;suppose;dread;fear;find;wonder	5.20846153846	4.27615384615	5.24730769231	Their Bogies, their Witches, their Kelpies, even their Fairy Queen herself, were supposed to be in league with the Evil One, and to be compelled, as Thomas of Ercildoune was near finding out to his cost, to pay a "Tiend to Hell" every seven years; so it was not to be wondered at, that these uncanny beings were dreaded and feared.
