PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
6	PERSON	WORDSWORTH				5.0	5.0	5.0	WORDSWORTH.
7	PERSON	Tom	town;pull;leavings;boy;beer;master;time	jolliest;good;whole	be;let;come;have	5.92	3.765	5.64	Yes, there were good times coming; and, when his master let him have a pull at the leavings of his beer, Tom was the jolliest boy in the whole town.
8	PERSON	Grimes	customer;business;s;half-brick;mr.;master;order;man	civil;good;own	put;be;proceed;take	5.668	3.816	5.5	Now, Mr. Grimes was Tom"s own master, and Tom was a good man of business, and always civil to customers, so he put the half-brick down quietly behind the wall, and proceeded to take orders.
8	PERSON	Tom	customer;business;s;half-brick;mr.;master;order;man	civil;good;own	put;be;proceed;take	5.668	3.816	5.5	Now, Mr. Grimes was Tom"s own master, and Tom was a good man of business, and always civil to customers, so he put the half-brick down quietly behind the wall, and proceeded to take orders.
8	PERSON	Tom	customer;business;s;half-brick;mr.;master;order;man	civil;good;own	put;be;proceed;take	5.668	3.816	5.5	Now, Mr. Grimes was Tom"s own master, and Tom was a good man of business, and always civil to customers, so he put the half-brick down quietly behind the wall, and proceeded to take orders.
8	LOCATION	the wall	customer;business;s;half-brick;mr.;master;order;man	civil;good;own	put;be;proceed;take	5.668	3.816	5.5	Now, Mr. Grimes was Tom"s own master, and Tom was a good man of business, and always civil to customers, so he put the half-brick down quietly behind the wall, and proceeded to take orders.
9	PERSON	Tom	truce;fellow;business;pin;people;groom;appearance;breeches;jacket;flag;ruddy;half;gaiter;tie;brick;face;round;clothes	stuck-up;other;neat;clean;drab;smart;snow-white	be;look;do;give;pay;remember;air;go;have;wear;disgust;offend;come;fetch;consider	5.7197826087	3.65586956522	5.54608695652	Moreover, the groom looked so very neat and clean, with his drab gaiters, drab breeches, drab jacket, snow-white tie with a smart pin in it, and clean round ruddy face, that Tom was offended and disgusted at his appearance, and considered him a stuck-up fellow, who gave himself airs because he wore smart clothes, and other people paid for them; and went behind the wall to fetch the half- brick after all; but did not, remembering that he had come in the way of business, and was, as it were, under a flag of truce.
9	LOCATION	the wall	truce;fellow;business;pin;people;groom;appearance;breeches;jacket;flag;ruddy;half;gaiter;tie;brick;face;round;clothes	stuck-up;other;neat;clean;drab;smart;snow-white	be;look;do;give;pay;remember;air;go;have;wear;disgust;offend;come;fetch;consider	5.7197826087	3.65586956522	5.54608695652	Moreover, the groom looked so very neat and clean, with his drab gaiters, drab breeches, drab jacket, snow-white tie with a smart pin in it, and clean round ruddy face, that Tom was offended and disgusted at his appearance, and considered him a stuck-up fellow, who gave himself airs because he wore smart clothes, and other people paid for them; and went behind the wall to fetch the half- brick after all; but did not, remembering that he had come in the way of business, and was, as it were, under a flag of truce.
9	LOCATION	the way	truce;fellow;business;pin;people;groom;appearance;breeches;jacket;flag;ruddy;half;gaiter;tie;brick;face;round;clothes	stuck-up;other;neat;clean;drab;smart;snow-white	be;look;do;give;pay;remember;air;go;have;wear;disgust;offend;come;fetch;consider	5.7197826087	3.65586956522	5.54608695652	Moreover, the groom looked so very neat and clean, with his drab gaiters, drab breeches, drab jacket, snow-white tie with a smart pin in it, and clean round ruddy face, that Tom was offended and disgusted at his appearance, and considered him a stuck-up fellow, who gave himself airs because he wore smart clothes, and other people paid for them; and went behind the wall to fetch the half- brick after all; but did not, remembering that he had come in the way of business, and was, as it were, under a flag of truce.
10	PERSON	Tom	boy;school;house;gentleman;satisfaction;thing;order	great;good;extra;young;public	be;use;give;do;make;get;knock;go;teach	6.225	3.8825	5.72125	And, when he did get up at four the next morning, he knocked Tom down again, in order to teach him (as young gentlemen used to be taught at public schools) that he must be an extra good boy that day, as they were going to a very great house, and might make a very good thing of it, if they could but give satisfaction.
11	PERSON	John	sir;gaol;place;earth;harthover;man	awful;wonderful	be;see;send;have	5.92823529412	3.96	5.69647058824	For, of all places upon earth, Harthover Place (which he had never seen) was the most wonderful, and, of all men on earth, Sir John (whom he had seen, having been sent to gaol by him twice) was the most awful.
12	PERSON	Grimes	sir;lass;pheasant;hat;chap;s;mr.;country;awd;lady;compliment	buirdly;high;north;young;properly-inspected	be;poach;ride;perceive;call;have;touch;think;make	5.79034482759	3.96793103448	5.58034482759	So Mr. Grimes touched his hat to him when he rode through the town, and called him a "buirdly awd chap," and his young ladies "gradely lasses," which are two high compliments in the North country; and thought that that made up for his poaching Sir John"s pheasants; whereby you may perceive that Mr. Grimes had not been to a properly-inspected Government National School.
12	LOCATION	the town	sir;lass;pheasant;hat;chap;s;mr.;country;awd;lady;compliment	buirdly;high;north;young;properly-inspected	be;poach;ride;perceive;call;have;touch;think;make	5.79034482759	3.96793103448	5.58034482759	So Mr. Grimes touched his hat to him when he rode through the town, and called him a "buirdly awd chap," and his young ladies "gradely lasses," which are two high compliments in the North country; and thought that that made up for his poaching Sir John"s pheasants; whereby you may perceive that Mr. Grimes had not been to a properly-inspected Government National School.
12	PERSON	John	sir;lass;pheasant;hat;chap;s;mr.;country;awd;lady;compliment	buirdly;high;north;young;properly-inspected	be;poach;ride;perceive;call;have;touch;think;make	5.79034482759	3.96793103448	5.58034482759	So Mr. Grimes touched his hat to him when he rode through the town, and called him a "buirdly awd chap," and his young ladies "gradely lasses," which are two high compliments in the North country; and thought that that made up for his poaching Sir John"s pheasants; whereby you may perceive that Mr. Grimes had not been to a properly-inspected Government National School.
12	PERSON	Grimes	sir;lass;pheasant;hat;chap;s;mr.;country;awd;lady;compliment	buirdly;high;north;young;properly-inspected	be;poach;ride;perceive;call;have;touch;think;make	5.79034482759	3.96793103448	5.58034482759	So Mr. Grimes touched his hat to him when he rode through the town, and called him a "buirdly awd chap," and his young ladies "gradely lasses," which are two high compliments in the North country; and thought that that made up for his poaching Sir John"s pheasants; whereby you may perceive that Mr. Grimes had not been to a properly-inspected Government National School.
13	PERSON	Tom	ball;game-cock;half-past;gentleman;reason;bed;pig;maid;dinner;master;piert;public-house;lady	early;ready;fine;dead	be;finish;get;sleep;go;wake	6.012	3.90571428571	5.53628571429	But Tom, instead of going out to dinner at half-past eight at night, and to a ball at ten, and finishing off somewhere between twelve and four, went to bed at seven, when his master went to the public-house, and slept like a dead pig; for which reason he was as piert as a game-cock (who always gets up early to wake the maids), and just ready to get up when the fine gentlemen and ladies were just ready to go to bed.
14	PERSON	Grimes	donkey;policeman;roof;master;brush;front;window-shutter;dawn	gray;closed;weary	shine;wink;ride;set;walk	5.17235294118	3.66058823529	5.33705882353	So he and his master set out; Grimes rode the donkey in front, and Tom and the brushes walked behind; out of the court, and up the street, past the closed window-shutters, and the winking weary policemen, and the roofs all shining gray in the gray dawn.
14	PERSON	Tom	donkey;policeman;roof;master;brush;front;window-shutter;dawn	gray;closed;weary	shine;wink;ride;set;walk	5.17235294118	3.66058823529	5.33705882353	So he and his master set out; Grimes rode the donkey in front, and Tom and the brushes walked behind; out of the court, and up the street, past the closed window-shutters, and the winking weary policemen, and the roofs all shining gray in the gray dawn.
14	LOCATION	the court	donkey;policeman;roof;master;brush;front;window-shutter;dawn	gray;closed;weary	shine;wink;ride;set;walk	5.17235294118	3.66058823529	5.33705882353	So he and his master set out; Grimes rode the donkey in front, and Tom and the brushes walked behind; out of the court, and up the street, past the closed window-shutters, and the winking weary policemen, and the roofs all shining gray in the gray dawn.
14	LOCATION	the street	donkey;policeman;roof;master;brush;front;window-shutter;dawn	gray;closed;weary	shine;wink;ride;set;walk	5.17235294118	3.66058823529	5.33705882353	So he and his master set out; Grimes rode the donkey in front, and Tom and the brushes walked behind; out of the court, and up the street, past the closed window-shutters, and the winking weary policemen, and the roofs all shining gray in the gray dawn.
15	LOCATION	the road	pit-bird;flower;groaning;wall;warbling;dew;skylark;matins;air;foot;grass;pit-engine;sedge	white;gay	drench;say;warble;s;hear;have;grow	5.91166666667	3.47611111111	5.59333333333	But soon the road grew white, and the walls likewise; and at the wall"s foot grew long grass and gay flowers, all drenched with dew; and instead of the groaning of the pit-engine, they heard the skylark saying his matins high up in the air, and the pit-bird warbling in the sedges, as he had warbled all night long.
15	LOCATION	the wall	pit-bird;flower;groaning;wall;warbling;dew;skylark;matins;air;foot;grass;pit-engine;sedge	white;gay	drench;say;warble;s;hear;have;grow	5.91166666667	3.47611111111	5.59333333333	But soon the road grew white, and the walls likewise; and at the wall"s foot grew long grass and gay flowers, all drenched with dew; and instead of the groaning of the pit-engine, they heard the skylark saying his matins high up in the air, and the pit-bird warbling in the sedges, as he had warbled all night long.
16	LOCATION	the earth	bar;meadow;cow;sun;top;elm-tree;rest;alder;business;s;overhead;flake;gold-green;nay;cloud	blue;great;tired;clear;long;few;asleep;fast;white	be;lie;bid;rise;stem;have;go;wait	5.94193548387	3.62129032258	5.44419354839	The great elm-trees in the gold-green meadows were fast asleep above, and the cows fast asleep beneath them; nay, the few clouds which were about were fast asleep likewise, and so tired that they had lain down on the earth to rest, in long white flakes and bars, among the stems of the elm-trees, and along the tops of the alders by the stream, waiting for the sun to bid them rise and go about their day"s business in the clear blue overhead.
16	LOCATION	the stream	bar;meadow;cow;sun;top;elm-tree;rest;alder;business;s;overhead;flake;gold-green;nay;cloud	blue;great;tired;clear;long;few;asleep;fast;white	be;lie;bid;rise;stem;have;go;wait	5.94193548387	3.62129032258	5.44419354839	The great elm-trees in the gold-green meadows were fast asleep above, and the cows fast asleep beneath them; nay, the few clouds which were about were fast asleep likewise, and so tired that they had lain down on the earth to rest, in long white flakes and bars, among the stems of the elm-trees, and along the tops of the alders by the stream, waiting for the sun to bid them rise and go about their day"s business in the clear blue overhead.
17	PERSON	Tom	business;nest;buttercup;mr.;gate;bird;man		be;look;get;long;hear;have;pick;go	5.88954545455	3.85636363636	5.74045454545	On they went; and Tom looked, and looked, for he never had been so far into the country before; and longed to get over a gate, and pick buttercups, and look for birds" nests in the hedge; but Mr. Grimes was a man of business, and would not have heard of that.
17	LOCATION	the country	business;nest;buttercup;mr.;gate;bird;man		be;look;get;long;hear;have;pick;go	5.88954545455	3.85636363636	5.74045454545	On they went; and Tom looked, and looked, for he never had been so far into the country before; and longed to get over a gate, and pick buttercups, and look for birds" nests in the hedge; but Mr. Grimes was a man of business, and would not have heard of that.
17	LOCATION	the hedge	business;nest;buttercup;mr.;gate;bird;man		be;look;get;long;hear;have;pick;go	5.88954545455	3.85636363636	5.74045454545	On they went; and Tom looked, and looked, for he never had been so far into the country before; and longed to get over a gate, and pick buttercups, and look for birds" nests in the hedge; but Mr. Grimes was a man of business, and would not have heard of that.
17	PERSON	Grimes	business;nest;buttercup;mr.;gate;bird;man		be;look;get;long;hear;have;pick;go	5.88954545455	3.85636363636	5.74045454545	On they went; and Tom looked, and looked, for he never had been so far into the country before; and longed to get over a gate, and pick buttercups, and look for birds" nests in the hedge; but Mr. Grimes was a man of business, and would not have heard of that.
18	PERSON	Grimes	mr.	fancy	call;come;take	6.0175	4.2	5.885	And she took Mr. Grimes" fancy so much, that when he came alongside he called out to her:
