PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
1	PERSON	ARTHUR CONAN DOYLE				5.0	5.0	5.0	ARTHUR CONAN DOYLE
2	PERSON	MR. E. L. GARDNER	illustration			6.37	4.0	6.26	[Illustration: MR. E. L. GARDNER
3	LOCATION	England	member;theosophical;executive;committee;society			5.415	3.975	5.93	Member of the Executive Committee of the Theosophical Society (England)
7	PERSON	ARTHUR CONAN DOYLE				5.0	5.0	5.0	ARTHUR CONAN DOYLE
14	LOCATION	New York	company			6.66	4.215	5.11	New York George H. Doran Company
14	PERSON	George H. Doran	company			6.66	4.215	5.11	New York George H. Doran Company
15	PERSON	George H. Doran Company	copyright			5.035	3.125	5.25	Copyright, 1921, 1922, By George H. Doran Company.
18	LOCATION	United States of America	printed			5.0	5.0	5.0	Printed in the United States of America.
24	PERSON	ARTHUR CONAN DOYLE				5.0	5.0	5.0	ARTHUR CONAN DOYLE.
57	PERSON	MR. E. L. GARDNER				5.0	5.0	5.0	MR. E. L. GARDNER
63	PERSON	ELSIE				5.0	5.0	5.0	ELSIE AND FRANCES
63	PERSON	FRANCES				5.0	5.0	5.0	ELSIE AND FRANCES
73	PERSON	ELSIE	on;fairy;bank;seated;photo		dance;be	6.548	4.548	5.798	ELSIE SEATED ON THE BANK ON WHICH THE FAIRIES   WERE DANCING IN 1917 (PHOTO 1920)
79	PERSON	ELSIE	hare-bell;fairy;offering;posy			6.71	5.04	6.38	FAIRY OFFERING POSY OF HARE-BELLS TO ELSIE
87	LOCATION	CANADA	photograph			6.61	4.57	5.8	THE PHOTOGRAPH FROM CANADA
96	PERSON	Gardner	mr.;brother		allude;say	6.045	4.455	6.17	Alluding to her brother Mr. Gardner, she says:
97	LOCATION	the country	strength;lecturing;time	more	go;devote	5.94	4.03833333333	6.18666666667	He will probably devote more and more of his time and strength to  going about the country lecturing, etc.
108	PERSON	E. BLOMFIELD				5.0	5.0	5.0	E. BLOMFIELD.
112	PERSON	ARTHUR	sir			5.45	4.33	5.11	DEAR SIR ARTHUR,
118	PERSON	E. BLOMFIELD				5.0	5.0	5.0	E. BLOMFIELD.
122	PERSON	ARTHUR	sir			5.45	4.33	5.11	DEAR SIR ARTHUR,
137	PERSON	L. GARDNER				5.0	5.0	5.0	L. GARDNER.
140	LOCATION	Denmark	description	worth	be;think;give	6.00142857143	4.11714285714	5.53714285714	I should think it was either Denmark or  Los Angeles by the description, which I give you for what it is worth.
140	LOCATION	Los Angeles	description	worth	be;think;give	6.00142857143	4.11714285714	5.53714285714	I should think it was either Denmark or  Los Angeles by the description, which I give you for what it is worth.
142	LOCATION	the table	course;document;reader	non-evidential;ordinary	be;lay	5.74375	3.7	5.91625	All this is, of course, quite non-evidential to the ordinary reader, but I am laying all the documents upon the table.
143	PERSON	Lancaster	plate;pain;truth;weight;s;mr.;examination;necessity;letter;opinion	impressed;much;possible;fresh	be;get;detail;submit;spare;have;follow	5.49052631579	4.06315789474	5.53052631579	Mr. Lancaster"s opinion had so much weight with us, and we were so impressed by the necessity of sparing no possible pains to get at truth, that we submitted the plates to fresh examination, as detailed in the following letter:
146	PERSON	ARTHUR	sir			5.45	4.33	5.11	DEAR SIR ARTHUR,
151	PERSON	S.	mr.;stake;reputation;truth;declaration	willing;above	embody;be;make	6.05285714286	3.77142857143	5.78714285714	Mr. S. is willing to make any declaration embodying the  above and stakes his reputation unhesitatingly on their truth.
152	PERSON	West	opinion;mr.;s;experience	practical;extensive;worth;direct	be;handle;send;say;take;have;think	5.75909090909	3.93045454545	5.83227272727	If you would rather not  handle them I will send them to Mr. West of Kodak"s, or have them  taken to him for his opinion, for I think, as you say, it would be  worth having, if he has had direct and extensive practical experience.
156	PERSON	L. GARDNER				5.0	5.0	5.0	L. GARDNER.
157	PERSON	B. ELSIE	gnome;illustration			6.305	4.105	5.235	[Illustration: B. ELSIE AND THE GNOME
158	PERSON	Elsie	knee;gnome		beckon;be;play;come	6.062	3.854	5.464	Elsie was playing with the gnome and beckoning it to come on to her knee.]
159	PERSON	ELSIE	illustration			6.37	4.0	6.26	[Illustration: ELSIE AND FRANCES
159	PERSON	FRANCES	illustration			6.37	4.0	6.26	[Illustration: ELSIE AND FRANCES
160	PERSON	Wright	midg;mr.;camera;snapshot		take;have;obtain	5.8975	3.99875	5.97	A snapshot taken by Mr. Wright in June, 1917, with the "Midg" camera he had just obtained--his first and only camera.]
162	LOCATION	the cottage	a;c;b;e;d;photograph;site;x.	marked	be	5.464	4.45	5.347	Sites of photographs are marked A, B, C, D, E, and the cottage with an X.]
170	PERSON	ARTHUR WRIGHT				5.0	5.0	5.0	ARTHUR WRIGHT.
