PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
19	PERSON	Spenser	fq;style;word;glory;s;sense;_	perfect;liberal;exact	reveal;make;have	6.00181818182	4.22727272727	6.27090909091	To her, the _FQ_ will have revealed Spenser"s exact and liberal style in all its glory: his words almost always make perfect sense.
24	LOCATION	Faerie Queene	work;text;copy;_;manuscript		print;be;depend;know	5.80875	3.51375	5.825	No manuscript of _The Faerie Queene_ is known; we depend for our text upon printed copies of the work.
28	PERSON	Spenser	core;advantage;text;s;supervision;reason	personal;composite;modern	do;choose;have;be	5.80076923077	3.90692307692	5.75769230769	1596 does, however, have the advantage of Spenser"s personal supervision, and for this reason it is chosen as the core of modern composite texts.
33	PERSON	Spenser	intention;justice;text;source;s;editor;order	different;modern;original	go;assemble;try;do	5.74777777778	4.26944444444	5.90944444444	A modern editor, then, must go to three different sources in order to assemble a text which tries to do justice to Spenser"s original intention.
40	PERSON	Lodovico Ariosto	term;song;canto;work;stanza;poet;_	_	influence;borrow;comprise	5.72125	4.28625	5.81625	Between 30 and 87 stanzas comprise a _canto_ (Italian, "song"), a term borrowed from Lodovico Ariosto, the Italian poet, whose work influenced Spenser.
40	PERSON	Spenser	term;song;canto;work;stanza;poet;_	_	influence;borrow;comprise	5.72125	4.28625	5.81625	Between 30 and 87 stanzas comprise a _canto_ (Italian, "song"), a term borrowed from Lodovico Ariosto, the Italian poet, whose work influenced Spenser.
48	PERSON	Spenser	word-order;passage;comma;parenthesis	contorted;latinistic;long;confusing	be;sprinkle;require;adopt;have;carry;become	5.50923076923	3.80615384615	5.33615384615	Again, the comma is often required to carry long parentheses, themselves sprinkled with commas; these passages can become very confusing, especially where Spenser has also adopted a contorted and latinistic word-order.
49	PERSON	Spenser	pun;word;language;gift;punctuation;complexity;wordplay;quicksilver;s;command;line;accomplice	immense;great;single	be;mean;choose;allow;pack	5.667	4.1815	5.8215	Spenser"s immense command of the language, and his quicksilver gift for wordplay and puns, allow him, when he chooses, to pack great complexities of meaning into a line or even a single word, and in this his punctuation is frequently his accomplice.
75	PERSON	Spenser	word;passage;s;reader;scrutiny;_;oed	close	find;allow	5.63375	3.89125	5.7125	This should allow the reader, during very close scrutiny of any passage, quickly to find any of Spenser"s words in the _OED_.
85	PERSON	the man	mask;muse		do	5.388	4.208	5.602	Lo I, the man whose Muse formerly did mask
103	LOCATION	the mill	cog	sallow		4.97	3.105	4.96	cogs of the mill (or because the sallow
117	PERSON	Spenser	chief	chief;best;>	be;address	6.256	3.576	5.31	chief &gt; chief, first; best (here Spenser is addressing either
120	LOCATION	Theogony	hesiod;s		be;_;represent	5.4025	4.3225	5.405	in Hesiod"s _Theogony_, and is usually represented with an
121	PERSON	Spenser			call	6.18	3.29	5.61	Spenser calls her
156	PERSON	Elfe		>		5.0	5.0	5.0	Elfe &gt; Elfe, _1596_
156	PERSON	Elfe		>		5.0	5.0	5.0	Elfe &gt; Elfe, _1596_
172	PERSON	Harrow	fe;_	>		5.0	5.0	5.0	Harrow &gt; Horrow _1590, 1596: FE_
172	PERSON	Horrow	fe;_	>		5.0	5.0	5.0	Harrow &gt; Horrow _1590, 1596: FE_
180	LOCATION	Faire	_;fayre	fair;>		7.14	3.29	6.12	fair &gt; fayre, _1590_; Faire _1609_
182	PERSON	Morris				5.0	5.0	5.0	Morris_
183	PERSON	Morris	text;alternative;bibliography		suggest;see;give	6.276	3.862	6.044	Morris (see Bibliography) suggested this alternative to the given text.
190	PERSON	Spenser	s;variety;survey;style;passage	brief	provide;follow	5.79333333333	4.30333333333	5.77777777778	The following passages provide a brief survey of the variety of Spenser"s style.
194	PERSON	Spenser	rendition;s;tone		be	4.655	4.345	5.1725	Spenser"s rendition of the Seven Deadly Sins is grotesquely medieval in tone.
197	PERSON	Prince Arthur	speach;s;reason	goodly	guide	5.535	4.2025	5.3125	Prince Arthur"s "goodly reason, and well guided speach".
198	LOCATION	Duessa			spoil	2.83	4.09	4.11	The spoiling of Duessa.
199	PERSON	Joseph Conrad	epitaph;stanza;context	central	be;raid;quote	5.20285714286	3.66142857143	5.34571428571	The central stanzas are often quoted out of context; 109.40 was raided by Joseph Conrad for his epitaph.
200	PERSON	Knight	dragon;redcross		slay	4.655	5.175	5.28	The Redcross Knight slays the dragon.
201	PERSON	Spenser	s;face;humour;sense	gentler;savage	show	5.67142857143	4.31428571429	5.53	Spenser"s sense of humour, at its most savage in Book III, here shows a gentler face.
202	PERSON	Spenser	s;story	old;vivid;economical	be;handle	5.63	4.195	5.30166666667	Spenser"s handling of this old story is both vivid and economical.
205	PERSON	King	lear;_	potted	see	6.00333333333	3.71666666667	5.47666666667	See the potted _King Lear_ at 210.27-32.
207	PERSON	Knight	redcross;britomart		rescue	7.04	5.0	5.94	Britomart rescues the Redcross Knight.
209	PERSON	Cymodoce	grief;s		portray;be	4.715	4.1175	4.9675	Cymodoce"s grief, 304.29-39, is wonderfully portrayed.
210	PERSON	Timias	s;belphoebe		love	6.5	5.18	5.46	Timias"s love for Belphoebe.
212	PERSON	Venus	conception;image;cupid;s;ff;sonne	different;little		5.68	4.544	5.426	The image of Cupid, quite different in conception from Venus"s "little sonne" of 306.11 ff.
214	LOCATION	Raleigh	interest;queene;faerie;journey;_;letter;landscape		be;have;read;suggest;arouse;venture	6.06416666667	4.3225	5.78166666667	If your interest has been now been aroused, I suggest you read the Letter to Raleigh before venturing on your journey through the landscape of _The Faerie Queene_.
221	PERSON	Virgil	app;aeneid;_			5.0	5.0	5.0	_Aeneid_ (Virgil) app.
223	PERSON	Christ	c.			5.0	5.0	5.0	before Christ c.
231	PERSON	Daniel	dgdg;_			5.0	5.0	5.0	_Daniel_ _DGDG_
233	LOCATION	Deuteronomy	dub;_			5.35	4.58	5.36	_Deuteronomy_ dub.
242	PERSON	Ezekiel	ff;_			5.0	5.0	5.0	_Ezekiel_ ff.
252	LOCATION	Hosea	_;hrb		_	5.0	5.0	5.0	_Hosea_ _HRB_
253	LOCATION	Historia Regum Britanniae	_			5.0	5.0	5.0	_Historia Regum Britanniae_ (Geoffrey of Monmouth) _Hubberd_
253	PERSON	Geoffrey	_			5.0	5.0	5.0	_Historia Regum Britanniae_ (Geoffrey of Monmouth) _Hubberd_
253	LOCATION	Monmouth	_			5.0	5.0	5.0	_Historia Regum Britanniae_ (Geoffrey of Monmouth) _Hubberd_
253	LOCATION	Hubberd	_			5.0	5.0	5.0	_Historia Regum Britanniae_ (Geoffrey of Monmouth) _Hubberd_
264	LOCATION	Ovid	oe;ode;_		_	5.75	2.81	4.48	_Odes_ (Ovid) OE
267	LOCATION	Orlando Furioso	ofr;_			5.0	5.0	5.0	_Orlando Furioso_ (Ariosto) OFr
267	PERSON	Ariosto	ofr;_			5.0	5.0	5.0	_Orlando Furioso_ (Ariosto) OFr
269	PERSON	Milton	ppl;lost;_;paradise			4.765	4.965	5.875	_Paradise Lost_ (Milton) ppl.
274	PERSON	Rinaldo	revelation;_			5.94	3.85	5.6	_Revelation_ _Rinaldo_
277	LOCATION	Rome	sb;ruine;_			5.0	5.0	5.0	_Ruines of Rome_ (Spenser) sb.
279	LOCATION	Solomon	spp;sp.;_;song			7.59	4.6	6.95	_ _Song of Solomon_ sp., spp.
288	PERSON	Spenser	edition;s;work;variorum		see	5.405	4.255	5.4825	the variorum edition of Spenser"s works (see
293	PERSON	Spenser	word	unique		6.545	4.0	6.325	word unique to Spenser
318	PERSON	Queen	ethelfrid;erinny;damsel;euphrates;sea;mongiball;xp;eurotas;pq;lr;esquiline;eumneste;melanion;eternity;europa;hippomenes;euxine;faery;etna;fm;estrildis;man;mm;erigone;una;mq;truth;error;gloriana;euxinus;faeries	young;etheldred;excess;<;errant;>	call	5.77615384615	4.34076923077	5.33076923077	204.41, 304.55 &lt;FM&gt;  Erigone 311.43 &lt;FM&gt;  Erinnys 202.29 &lt;FQ&gt;  Errant Damsel (Una, Truth) 201.19 &lt;NQ&gt;  Error 101.0 &lt;LR&gt;  Esquiline 209.32 &lt;LR&gt;  Estham Bruges 210.24 &lt;FM&gt;  Estrildis 210.17 &lt;MM&gt;  Eternity 204.41 &lt;MM&gt;  Ethelfrid [Etheldred] 303.35 &lt;LR&gt;  Etna (Mongiball) 111.44, 208.20, 302.32 &lt;MM&gt;  Euboean young man [Melanion, also called Hippomenes] 207.54 &lt;MQ&gt;  Eumnestes 209.58 &lt;LR&gt;  Euphrates 107.43 &lt;FM&gt;  Europa 311.30 &lt;LR&gt;  Eurotas 203.31 &lt;LR&gt;  Euxine seas [Euxinus] 212.44 &lt;PQ&gt;  Excess 212.57 &lt;XP&gt;  Faery 100.2 &lt;FQ&gt;  Faery Queen (Gloriana, Queen of Faery, Queen of Faeries)
318	PERSON	Queen	ethelfrid;erinny;damsel;euphrates;sea;mongiball;xp;eurotas;pq;lr;esquiline;eumneste;melanion;eternity;europa;hippomenes;euxine;faery;etna;fm;estrildis;man;mm;erigone;una;mq;truth;error;gloriana;euxinus;faeries	young;etheldred;excess;<;errant;>	call	5.77615384615	4.34076923077	5.33076923077	204.41, 304.55 &lt;FM&gt;  Erigone 311.43 &lt;FM&gt;  Erinnys 202.29 &lt;FQ&gt;  Errant Damsel (Una, Truth) 201.19 &lt;NQ&gt;  Error 101.0 &lt;LR&gt;  Esquiline 209.32 &lt;LR&gt;  Estham Bruges 210.24 &lt;FM&gt;  Estrildis 210.17 &lt;MM&gt;  Eternity 204.41 &lt;MM&gt;  Ethelfrid [Etheldred] 303.35 &lt;LR&gt;  Etna (Mongiball) 111.44, 208.20, 302.32 &lt;MM&gt;  Euboean young man [Melanion, also called Hippomenes] 207.54 &lt;MQ&gt;  Eumnestes 209.58 &lt;LR&gt;  Euphrates 107.43 &lt;FM&gt;  Europa 311.30 &lt;LR&gt;  Eurotas 203.31 &lt;LR&gt;  Euxine seas [Euxinus] 212.44 &lt;PQ&gt;  Excess 212.57 &lt;XP&gt;  Faery 100.2 &lt;FQ&gt;  Faery Queen (Gloriana, Queen of Faery, Queen of Faeries)
318	LOCATION	Faery	ethelfrid;erinny;damsel;euphrates;sea;mongiball;xp;eurotas;pq;lr;esquiline;eumneste;melanion;eternity;europa;hippomenes;euxine;faery;etna;fm;estrildis;man;mm;erigone;una;mq;truth;error;gloriana;euxinus;faeries	young;etheldred;excess;<;errant;>	call	5.77615384615	4.34076923077	5.33076923077	204.41, 304.55 &lt;FM&gt;  Erigone 311.43 &lt;FM&gt;  Erinnys 202.29 &lt;FQ&gt;  Errant Damsel (Una, Truth) 201.19 &lt;NQ&gt;  Error 101.0 &lt;LR&gt;  Esquiline 209.32 &lt;LR&gt;  Estham Bruges 210.24 &lt;FM&gt;  Estrildis 210.17 &lt;MM&gt;  Eternity 204.41 &lt;MM&gt;  Ethelfrid [Etheldred] 303.35 &lt;LR&gt;  Etna (Mongiball) 111.44, 208.20, 302.32 &lt;MM&gt;  Euboean young man [Melanion, also called Hippomenes] 207.54 &lt;MQ&gt;  Eumnestes 209.58 &lt;LR&gt;  Euphrates 107.43 &lt;FM&gt;  Europa 311.30 &lt;LR&gt;  Eurotas 203.31 &lt;LR&gt;  Euxine seas [Euxinus] 212.44 &lt;PQ&gt;  Excess 212.57 &lt;XP&gt;  Faery 100.2 &lt;FQ&gt;  Faery Queen (Gloriana, Queen of Faery, Queen of Faeries)
318	PERSON	Queen	ethelfrid;erinny;damsel;euphrates;sea;mongiball;xp;eurotas;pq;lr;esquiline;eumneste;melanion;eternity;europa;hippomenes;euxine;faery;etna;fm;estrildis;man;mm;erigone;una;mq;truth;error;gloriana;euxinus;faeries	young;etheldred;excess;<;errant;>	call	5.77615384615	4.34076923077	5.33076923077	204.41, 304.55 &lt;FM&gt;  Erigone 311.43 &lt;FM&gt;  Erinnys 202.29 &lt;FQ&gt;  Errant Damsel (Una, Truth) 201.19 &lt;NQ&gt;  Error 101.0 &lt;LR&gt;  Esquiline 209.32 &lt;LR&gt;  Estham Bruges 210.24 &lt;FM&gt;  Estrildis 210.17 &lt;MM&gt;  Eternity 204.41 &lt;MM&gt;  Ethelfrid [Etheldred] 303.35 &lt;LR&gt;  Etna (Mongiball) 111.44, 208.20, 302.32 &lt;MM&gt;  Euboean young man [Melanion, also called Hippomenes] 207.54 &lt;MQ&gt;  Eumnestes 209.58 &lt;LR&gt;  Euphrates 107.43 &lt;FM&gt;  Europa 311.30 &lt;LR&gt;  Eurotas 203.31 &lt;LR&gt;  Euxine seas [Euxinus] 212.44 &lt;PQ&gt;  Excess 212.57 &lt;XP&gt;  Faery 100.2 &lt;FQ&gt;  Faery Queen (Gloriana, Queen of Faery, Queen of Faeries)
