PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
2	PERSON	Andrew Lang			edit	4.95	4.1	6.64	Edited By Andrew Lang
10	PERSON	Fairy	hymn;everything;work;sermon	dramatic	be;oblige;explain;write;have;save	5.89153846154	4.01846153846	5.65076923077	He is then obliged to explain that he has NOT written the Fairy Books, but, save these, has written almost everything else, except hymns, sermons, and dramatic works.
13	PERSON	Lang	rest;mrs.		do	6.635	2.98	6.065	Mrs. Lang did the rest.
23	PERSON	Trojan	s;ear;goat;emperor			5.21	3.9225	5.5575	The Goat"s Ears of the Emperor Trojan
26	PERSON	Prince	grateful			6.47	4.72	5.695	The Grateful Prince
28	PERSON	Stan Bolovan				5.0	5.0	5.0	Stan Bolovan
30	LOCATION	Gazelle	story			6.24666666667	4.19	5.17666666667	The Story of a Gazelle
34	PERSON	Fairy	dawn			6.725	4.07	5.68	The Fairy of the Dawn
40	LOCATION	Hassebu	story			7.27	3.52	5.33	The Story of Hassebu
44	PERSON	Man	eye	young	open;have	6.035	3.89833333333	5.80166666667	The young Man who would have his Eyes opened
47	PERSON	Princess		underground	be;hide	5.855	4.1525	5.2975	The Princess who was hidden Underground
50	PERSON	Prince			see;want	6.0425	4.7225	5.225	The Prince who wanted to see the World
52	PERSON	Mogarzea	son			6.91	4.43	5.0	Mogarzea and his Son
61	PERSON	the boy	strawberry;s;other;mind		leave;make;cry;hear	5.831	4.331	5.537	Like the others, she heard the boy"s cry, but could not make up her mind to leave the strawberries.
63	PERSON	Elsa	pleasure;s;hand;dog;mother	little;black;deeper	lead;jump;let;take;go;bark;come	5.99666666667	4.358	5.65666666667	Come, let us go to my mother"; and taking Elsa"s hand she led her deeper into the wood, the little black dog jumping up beside them and barking with pleasure.
63	LOCATION	the wood	pleasure;s;hand;dog;mother	little;black;deeper	lead;jump;let;take;go;bark;come	5.99666666667	4.358	5.65666666667	Come, let us go to my mother"; and taking Elsa"s hand she led her deeper into the wood, the little black dog jumping up beside them and barking with pleasure.
64	LOCATION	the garden	stone;woman;centre;dwelling-house;s;companion;glass;doorway;garment	precious;rich	shine;be;turn;ask;sit	6.0025	3.939375	5.9025	In the centre of the garden was the dwelling-house, shining with glass and precious stones, and in the doorway sat a woman in rich garments, who turned to Elsa"s companion and asked:
64	PERSON	Elsa	stone;woman;centre;dwelling-house;s;companion;glass;doorway;garment	precious;rich	shine;be;turn;ask;sit	6.0025	3.939375	5.9025	In the centre of the garden was the dwelling-house, shining with glass and precious stones, and in the doorway sat a woman in rich garments, who turned to Elsa"s companion and asked:
67	PERSON	Elsa	face;lap;hand		sob;stoop;s;kiss;bury;kneel	5.129	4.366	5.18	Elsa stooped and kissed her hand, then, kneeling down, buried her face in the woman"s lap, and sobbed out:
67	PERSON	the woman	face;lap;hand		sob;stoop;s;kiss;bury;kneel	5.129	4.366	5.18	Elsa stooped and kissed her hand, then, kneeling down, buried her face in the woman"s lap, and sobbed out:
69	PERSON	the woman			do;rise;go;see;answer;smile	6.373	4.014	6.39	And the woman smiled and answered, "Well, we will see what we can do with you," and, rising, went into the house.
69	LOCATION	the house			do;rise;go;see;answer;smile	6.373	4.014	6.39	And the woman smiled and answered, "Well, we will see what we can do with you," and, rising, went into the house.
70	PERSON	Elsa	fear;hope		feel;be;come;toss	5.82	4.4625	5.5025	Elsa meanwhile was tossed about between hope and fear, and felt as if the girl would never come.
70	PERSON	the girl	fear;hope		feel;be;come;toss	5.82	4.4625	5.5025	Elsa meanwhile was tossed about between hope and fear, and felt as if the girl would never come.
71	PERSON	Elsa	box;grass;hand	last	see;cross	5.42166666667	3.71166666667	4.98166666667	At last Elsa saw her crossing the grass with a box in her hand.
72	LOCATION	the sea			be;have	6.2	3.25	5.48	Have you ever been on the sea?"
75	PERSON	Elsa	name		ask;reply;be;mean	5.58	3.905	5.52666666667	Elsa asked what it meant, and the girl replied that it was her name.
75	PERSON	the girl	name		ask;reply;be;mean	5.58	3.905	5.52666666667	Elsa asked what it meant, and the girl replied that it was her name.
78	LOCATION	the table	head;chair	golden	sit	6.24375	3.84375	5.71125	At the head of the table sat the lady of the house in a golden chair.
78	PERSON	the lady	head;chair	golden	sit	6.24375	3.84375	5.71125	At the head of the table sat the lady of the house in a golden chair.
78	LOCATION	the house	head;chair	golden	sit	6.24375	3.84375	5.71125	At the head of the table sat the lady of the house in a golden chair.
79	PERSON	the lady		low	stand;bow	5.492	3.28	5.384	He bowed low to the lady and then stood quietly near the door.
79	LOCATION	the door		low	stand;bow	5.492	3.28	5.384	He bowed low to the lady and then stood quietly near the door.
82	PERSON	Kisika	sort;waiting-maid;handiwork	fine	teach	6.59	3.536	5.836	My waiting-maid, who teaches Kisika all sorts of fine handiwork, shall teach you too."
84	PERSON	the lady	s;drop;blood	maiden	be;say;want	5.37333333333	4.63111111111	5.34222222222	"Now," he said to the lady, "all we want is a drop of the maiden"s blood."
85	PERSON	Elsa	horror;soul	white;evil	sell;be;hear;grow;think	5.583	4.012	5.466	When she heard this Elsa grew white with horror, for she thought she was selling her soul to the evil one.
86	PERSON	the lady	freedom;blood;happiness;purpose	bad	do;say;hasten;want;give	6.04090909091	4.88272727273	5.89818181818	the lady hastened to say; "we do not want your blood for any bad purpose, but rather to give you freedom and happiness."
88	PERSON	Elsa			start;look;meet	5.8025	3.7175	5.6225	Elsa started back when she met herself as she looked only yesterday.
91	LOCATION	the house	dish;table;number;round;person	ready;long	fly;be;cover;lay;seat	6.00466666667	3.77533333333	5.798	First a long table covered with dishes ready laid for the number of persons who would be seated round it, and this flew into the house all by itself.
95	LOCATION	the house	food;everything;stone;clothes	wonderful	want;contain	6.38571428571	3.98428571429	6.21142857143	And this wonderful stone contained not only food, but clothes and everything you could possibly want in the house.
96	PERSON	Elsa	daughter;meal;language;help	strange;able	be;begin;understand;speak	6.28444444444	3.915	5.95277777778	At first a language was often spoken at meals which was strange to Elsa, but by the help of the lady and her daughter she began slowly to understand it, though it was years before she was able to speak it herself.
96	PERSON	the lady	daughter;meal;language;help	strange;able	be;begin;understand;speak	6.28444444444	3.915	5.95277777778	At first a language was often spoken at meals which was strange to Elsa, but by the help of the lady and her daughter she began slowly to understand it, though it was years before she was able to speak it herself.
97	PERSON	The girl	mother		say;tell;have;speak	6.03	4.22	5.618	The girl must, however, have told her mother what Elsa had said, for a few days later she spoke to Elsa seriously:
97	PERSON	Elsa	mother		say;tell;have;speak	6.03	4.22	5.618	The girl must, however, have told her mother what Elsa had said, for a few days later she spoke to Elsa seriously:
97	PERSON	Elsa	mother		say;tell;have;speak	6.03	4.22	5.618	The girl must, however, have told her mother what Elsa had said, for a few days later she spoke to Elsa seriously:
99	LOCATION	the sea	box;treasure;harm;task;humour		play;fling;seize;take;go;come	5.60083333333	4.25666666667	5.4725	If the humour seized her, she would fling aside her tasks, take her treasure box, and go off to play in the sea, where no harm ever came to her.
100	PERSON	Elsa	pity	big	play;say;grow;have	5.674	3.971	5.69	"What a pity," she would often say to Elsa, "that you have grown so big, you cannot play with me any more."
107	LOCATION	the table	slice;bread	hungry	lie;be;see;sleep;go;eat	5.36090909091	4.20090909091	5.39181818182	On the table he saw a slice of bread lying, and, being hungry, he ate it before going to sleep.
108	LOCATION	the grave	nothing;daughter;wife	more	hear;be;place	5.78777777778	4.04111111111	5.45777777778	A few days later he was placed in the grave beside his wife, but nothing more was ever heard of their daughter.
109	PERSON	the lady Elsa	home;fate;talk	hard	be;love;wail;cast;have;weep	5.7325	4.19833333333	5.47916666667	All night long after her talk with the lady Elsa had wept and wailed her hard fate in being cast out from her home which she loved.
113	PERSON	Elsa	king;horse	old	receive;ride;take	5.58	4.40285714286	5.40428571429	Then he took Elsa on his horse, and rode with her to the town, where the old king received her graciously.
113	LOCATION	the town	king;horse	old	receive;ride;take	5.58	4.40285714286	5.40428571429	Then he took Elsa on his horse, and rode with her to the town, where the old king received her graciously.
118	PERSON	the boy	edge;corn;son;youth;wood;miller;mill;man;ground	beardless;sure;old	be;want;say;live;call;have;enter	5.8296	3.864	5.5292	At the edge of a wood there lived an old man who had only one son, and one day he called the boy to him and said he wanted some corn ground, but the youth must be sure never to enter any mill where the miller was beardless.
119	PERSON	The boy	standing;corn;doorway;front;mill;man	large;beardless	go;see;set;take;have	5.41846153846	4.09923076923	5.25692307692	The boy took the corn and set out, and before he had gone very far he saw a large mill in front of him, with a beardless man standing in the doorway.
121	PERSON	the man	sonny	good	reply;greet	6.3375	4.1	6.2325	"Good greeting, sonny," replied the man.
124	PERSON	the boy	corn;mind;back;sack;cross;time;mill;man	good;beardless	be;make;seem;grind;say;take;go;happen;grow	5.75826086957	3.76434782609	5.31869565217	When it happened a fourth time the boy grew cross, and said to himself, "It is no good going on; there seems to be a beardless man in every mill"; and he took his sack from his back, and made up his mind to grind his corn where he was.
125	PERSON	the boy	cake;corn;sonny;man	own;beardless	be;begin;finish;do;make;grind;say;suppose;have	5.848125	3.841875	5.643125	The beardless man finished grinding his own corn, and when he had done he said to the boy, who was beginning to grind his, "Suppose, sonny, we make a cake of what you have there."
126	PERSON	the boy	word;s;father	uneasy	do;be;undo;let;recollect;have;answer;think	5.76235294118	3.69176470588	5.68176470588	Now the boy had been rather uneasy when he recollected his father"s words, but he thought to himself, "What is done cannot be undone," and answered, "Very well, so let it be."
127	LOCATION	the wall	cupboard	big;beardless	go;be;say;lean	5.72	3.857	5.509	Then they leaned it up against the wall, for it was too big to go into a cupboard, and the beardless one said to the boy:
127	PERSON	the boy	cupboard	big;beardless	go;be;say;lean	5.72	3.857	5.509	Then they leaned it up against the wall, for it was too big to go into a cupboard, and the beardless one said to the boy:
129	PERSON	The boy	right		answer;do;begin;know	6.32166666667	3.81166666667	6.07666666667	The boy, not knowing what else to do, answered, "All right; you begin."
136	PERSON	the boy	cake;home;word;disappointment	beardless	go;swallow;remain;rise;take	5.91363636364	3.99545454545	5.69909090909	With these words the boy rose, took the cake, and went home, while the beardless one remained behind to swallow his disappointment.
141	LOCATION	the door	daughter;dog;man	poor;fierce;little;loose;old	be;beg;say;let;go;come;creep	5.2825	4.162	5.3505	One day three very poor old men came begging to the door, and just as he was going to let the fierce dogs loose on them, his little daughter, Anastasia, crept close up to him and said:
141	PERSON	Anastasia	daughter;dog;man	poor;fierce;little;loose;old	be;beg;say;let;go;come;creep	5.2825	4.162	5.3505	One day three very poor old men came begging to the door, and just as he was going to let the fierce dogs loose on them, his little daughter, Anastasia, crept close up to him and said:
143	LOCATION	the house	anastasia;everyone;father;loft;beggar	little;fast	be;refuse;get;bear;sleep;allow;climb;peep	5.75157894737	3.74	5.14947368421	Her father could not bear to refuse her, and the three beggars were allowed to sleep in a loft, and at night, when everyone in the house was fast asleep, little Anastasia got up, climbed up to the loft, and peeped in.
147	PERSON	Vassili	property;door;loft;man	hard-hearted	give;whisper;drive;call;stand;want	5.96636363636	3.9	5.71454545455	The third whispered, "Call him Vassili, and give him all the property of the hard-hearted man in whose loft we stand, and who wanted to drive us from his door."
149	PERSON	Anastasia	father;word		run;hear;tell;have	6.145	3.98666666667	5.70333333333	Anastasia, who had heard every word, ran straight to her father, and told him all.
152	PERSON	Ivan	ceremony		be;say;take	5.8225	4.0525	5.72	After the ceremony was over he took Ivan aside and said:
155	LOCATION	the way	merchant;crown;road	same;foreign	owe;pay;travel;see	5.75272727273	4.14727272727	5.50909090909	Very soon after this some foreign merchants travelled along that same road on the way to see Mark and to pay the twelve thousand crowns which they owed him.
155	PERSON	Mark	merchant;crown;road	same;foreign	owe;pay;travel;see	5.75272727273	4.14727272727	5.50909090909	Very soon after this some foreign merchants travelled along that same road on the way to see Mark and to pay the twelve thousand crowns which they owed him.
156	LOCATION	the meadow	sound;flower;meadow;snow;precipice;heap;baby	little;green;great	be;look;wedge;cry;see;hear;lay;pass	5.85217391304	4.02826086957	5.34565217391	As they were passing near the precipice they heard a sound of crying, and on looking over they saw a little green meadow wedged in between two great heaps of snow, and on the meadow lay a baby amongst the flowers.
157	PERSON	Mark	godson;child		ask;be;guess;see;say	6.02375	3.9475	5.7825	Mark guessed at once that the child must be his godson, asked to see him, and said:
159	PERSON	Mark	merchant;bargain;child	good;pleased	leave;be;make;drive	6.42	4.317	5.76	The merchants were very pleased to make so good a bargain, left the child with Mark, and drove off.
160	PERSON	the boy	news;abbot		bring;hear;name;decide	5.84333333333	3.795	5.63833333333	When the abbot heard the news, he decided to bring up the boy, and named him "Vassili."
160	PERSON	Vassili	news;abbot		bring;hear;name;decide	5.84333333333	3.795	5.63833333333	When the abbot heard the news, he decided to bring up the boy, and named him "Vassili."
162	PERSON	Vassili	godson;abbot;way	wonderful	be;try;see;kill;have;come;tell	5.43666666667	3.95916666667	5.46333333333	Then the abbot told him of the wonderful way in which Vassili had come to them, and Mark saw clearly that this must be his godson whom he had twice tried to kill.
162	PERSON	Mark	godson;abbot;way	wonderful	be;try;see;kill;have;come;tell	5.43666666667	3.95916666667	5.46333333333	Then the abbot told him of the wonderful way in which Vassili had come to them, and Mark saw clearly that this must be his godson whom he had twice tried to kill.
164	LOCATION	the way	s;fortune;abbot;deal;monk	good;last;other	hesitate;stand;decide;consult	5.81	3.78142857143	5.605	The abbot hesitated a good deal, but he consulted all the other monks, and at last they decided that they ought not to stand in the way of Vassili"s good fortune.
164	PERSON	Vassili	s;fortune;abbot;deal;monk	good;last;other	hesitate;stand;decide;consult	5.81	3.78142857143	5.605	The abbot hesitated a good deal, but he consulted all the other monks, and at last they decided that they ought not to stand in the way of Vassili"s good fortune.
166	LOCATION	the way	beggar		ask;meet;go;be	5.54285714286	3.72142857143	5.35	On the way he met three beggars, who asked him: "Where are you going, Vassili?"
166	PERSON	Vassili	beggar		ask;meet;go;be	5.54285714286	3.72142857143	5.35	On the way he met three beggars, who asked him: "Where are you going, Vassili?"
167	LOCATION	the house	merchant;letter;wife		go;be;have;reply	5.929	4.028	5.64	"I am going to the house of Mark the Merchant, and have a letter for his wife," replied Vassili.
167	PERSON	Mark	merchant;letter;wife		go;be;have;reply	5.929	4.028	5.64	"I am going to the house of Mark the Merchant, and have a letter for his wife," replied Vassili.
167	PERSON	Vassili	merchant;letter;wife		go;be;have;reply	5.929	4.028	5.64	"I am going to the house of Mark the Merchant, and have a letter for his wife," replied Vassili.
171	PERSON	Vassili	clothes	fine	be;marry;dress	6.55333333333	4.05	5.775	They dressed Vassili in fine clothes and next day he was married to Anastasia.
171	PERSON	Anastasia	clothes	fine	be;marry;dress	6.55333333333	4.05	5.775	They dressed Vassili in fine clothes and next day he was married to Anastasia.
179	PERSON	Vassili			see;call;look;speak	5.9	3.80166666667	5.65666666667	Vassili looked about him, and, seeing no one, called out: "Who spoke to me?"
181	PERSON	King	serpent		go;be;receive;rent	5.50777777778	4.20777777778	5.45444444444	"I am going to the Serpent King to receive twelve years" rent from him."
182	LOCATION	the earth			be;stand	6.09333333333	3.85666666667	5.69333333333	Is it to stand much longer on the earth?""
184	PERSON	King	serpent		go;be	5.39	4.514	4.99	"I am going to the Serpent King."
186	PERSON	Vassili	ll		ask;say	5.62	4.30333333333	6.05666666667	"Very well," said Vassili; "I"ll ask him."
188	PERSON	King	serpent		go;be	5.39	4.514	4.99	"I am going to the Serpent King."
190	PERSON	Vassili			go;say;remember	5.81	4.066	6.026	"I will remember," said Vassili, and he went on.
191	PERSON	Vassili	room;splendour		go;see;astonish;walk	5.885	3.96333333333	5.32833333333	Vassili walked in, and went from one room to another astonished at all the splendour he saw.
193	PERSON	Vassili	place	accursed	bring;see;say	4.964	4.35	5.586	As soon as she saw him she said: "Oh, Vassili, what brings you to this accursed place?"
194	PERSON	Vassili			hear;see;come;tell;have	5.92714285714	3.55571428571	5.69428571429	Vassili told her why he had come, and all he had seen and heard on the way.
194	LOCATION	the way			hear;see;come;tell;have	5.92714285714	3.55571428571	5.69428571429	Vassili told her why he had come, and all he had seen and heard on the way.
195	PERSON	The girl	rent;serpent;destruction	own	be;send;collect;say;devour;have	5.30272727273	4.28454545455	5.33909090909	The girl said: "You have not been sent here to collect rents, but for your own destruction, and that the serpent may devour you."
196	PERSON	The girl	chest;serpent		push;lock;listen;talk;whisper	5.68909090909	4.24090909091	5.27272727273	The girl quickly pushed Vassili into a chest under the bed, locked it and whispered: "Listen to what the serpent and I talk about."
