PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
0	PERSON	Fairy	welsh;tale			5.73	4.04333333333	5.82	Welsh Fairy Tales
2	PERSON	ELLIOT GRIFFIS	william			5.0	5.0	5.0	WILLIAM ELLIOT GRIFFIS
6	PERSON	JOHN GRIFFIS	dear;captain			5.71	3.86	5.0	DEAR CAPTAIN JOHN GRIFFIS:
7	LOCATION	Wales	land;thing;inheritance;imagination;cymric;world;debt	many;great;least;famous	count;be	6.04916666667	3.9575	5.465	Though our debt to Wales for many things is great, we count not least those inheritances from the world of imagination, for which the Cymric Land was famous, even before the days of either Anglo-Saxon or Norman.
7	PERSON	Norman	land;thing;inheritance;imagination;cymric;world;debt	many;great;least;famous	count;be	6.04916666667	3.9575	5.465	Though our debt to Wales for many things is great, we count not least those inheritances from the world of imagination, for which the Cymric Land was famous, even before the days of either Anglo-Saxon or Norman.
8	PERSON	W. E. G.				5.0	5.0	5.0	W. E. G.
9	PERSON	David	s;daffodil;saint			5.69	4.275	5.3525	Saint David"s and the day of the Daffodil, March 1, 1921.
39	PERSON	David	saint;people;manners;long;thing;way	early;many;good;cymric	enjoy;be;teach;name;eat	6.34615384615	3.78615384615	5.77923076923	Long, long ago, there was a good saint named David, who taught the early Cymric or Welsh people better manners and many good things to eat and ways of enjoying themselves.
40	PERSON	Taffy	rhyme;enemy;nursery;taffy	bad	be;make;learn	5.445	4.18916666667	5.105	In our nurseries we all learned that "Taffy was a Welshman," but it was their enemies who made a bad rhyme about Taffy.
42	PERSON	David	cheese;life;people;food;saint;creature	delicious	take;be;teach;make;do	6.23923076923	4.21384615385	5.73846153846	But Saint David taught the people how to make a still more delicious food out of cheese, and that this could be done without taking the life of any creature.
43	LOCATION	the fire	king;combination;fit;delicacy;anything;result;bread	known;equal	brown;spread;be	5.75142857143	4.17428571429	5.61357142857	When spread on bread, either plain, or browned over the fire, the result, in combination, was a delicacy fit for a king, and equal to anything known.
44	LOCATION	Bombay	turkey;name;potato;fish;cookery;cod;duck;cape;codfish;plum	such;fancy;funny	dry;be	6.16769230769	3.76615384615	5.77846153846	It is like "Cape Cod turkey" (codfish), or "Bombay ducks" (dried fish), or "Irish plums" (potatoes) and such funny cookery with fancy names.
47	PERSON	the prince	lady	fair	ask;amaze;turn	6.40666666667	4.23333333333	5.77666666667	Amazed at this, the prince turned to the fair lady and asked:
58	LOCATION	Grampian Hills	edge;land;whole;place;fort	big;delightful;northern	become;live;call;extend	6.11866666667	3.96133333333	5.736	The whole of Cymric land, which then extended from the northern Grampian Hills to Cornwall, and from the Irish Sea, past their big fort, afterward called London, even to the edge of the German Ocean, became a delightful place to live in.
58	LOCATION	Cornwall	edge;land;whole;place;fort	big;delightful;northern	become;live;call;extend	6.11866666667	3.96133333333	5.736	The whole of Cymric land, which then extended from the northern Grampian Hills to Cornwall, and from the Irish Sea, past their big fort, afterward called London, even to the edge of the German Ocean, became a delightful place to live in.
58	LOCATION	Irish Sea	edge;land;whole;place;fort	big;delightful;northern	become;live;call;extend	6.11866666667	3.96133333333	5.736	The whole of Cymric land, which then extended from the northern Grampian Hills to Cornwall, and from the Irish Sea, past their big fort, afterward called London, even to the edge of the German Ocean, became a delightful place to live in.
58	LOCATION	London	edge;land;whole;place;fort	big;delightful;northern	become;live;call;extend	6.11866666667	3.96133333333	5.736	The whole of Cymric land, which then extended from the northern Grampian Hills to Cornwall, and from the Irish Sea, past their big fort, afterward called London, even to the edge of the German Ocean, became a delightful place to live in.
