PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
2	PERSON	Andrew Lang			edit	4.95	4.1	6.64	Edited By Andrew Lang
6	PERSON	JOAN	toddles;tiny			5.1	4.6	6.16	JOAN, TODDLES, AND TINY
7	PERSON	Green	blue;book	good;true;yellow	s	6.60727272727	4.12	6.14181818182	Books Yellow, Red, and Green and Blue,  All true, or just as good as true,  And here"s the Yellow Book for YOU!
8	LOCATION	the path	blue;head;books;green;z;red	hard;puzzling;curly	be;lead	5.55909090909	4.35	5.22636363636	Hard is the path from A to Z,  And puzzling to a curly head,  Yet leads to Books--Green, Blue, and Red.
9	PERSON	Fairy	land;letter;child		be;understand;plan;guide	6.44	3.96111111111	6.01222222222	For every child should understand  That letters from the first were planned  To guide us into Fairy Land
14	PERSON	Father William	poem;harm;nay	ready	do;see;have;be	5.862	4.022	5.771	And, indeed, they still see no harm in what they have done; nay, like Father William in the poem, they are ready "to do it again and again."
15	PERSON	Nutt	mr.;strand		buy	5.5925	3.9375	5.7175	(1) You may buy them from Mr. Nutt, in the Strand.
20	PERSON	Ford	picture;we;child;story;mr.	pleasant;likely;true	be;do;read;mislead;say;think	6.41277777778	3.90222222222	5.99611111111	But WE say that all the stories which are pleasant to read are quite true enough for us; so here they are, with pictures by Mr. Ford, and we do not think that either the pictures or the stories are likely to mislead children.
39	PERSON	Prince		invisible		5.22	4.55	4.33	The Invisible Prince
42	PERSON	King	wizard			6.26	4.27	5.105	The Wizard King
48	PERSON	The Boy	broken;wolf;promise			5.3725	4.53	5.08	The Boy and the Wolves, or the Broken Promise
53	PERSON	Witch	servant			3.57	4.535	4.75	The Witch and her Servants
55	PERSON	Queen	s;flower;daughter			6.3875	4.68	5.6325	The Flower Queen"s Daughter
58	PERSON	King	story;frost			6.635	3.985	5.43	The Story of King Frost
60	PERSON	Witch				3.14	5.3	4.79	The Witch
62	PERSON	Little Klaus	big;story;klaus			6.27333333333	4.01666666667	5.37333333333	The Story of Big Klaus and Little Klaus
63	PERSON	Prince	ring			6.265	4.79	4.915	Prince Ring
65	PERSON	Princess		true	tell	6.355	4.815	5.67	How to tell a True Princess
68	PERSON	Witch	stone;boat			4.77	4.2	5.88	The Witch in the Stone Boat
71	PERSON	Hermod				5.0	5.0	5.0	Hermod and Hadvor
71	PERSON	Hadvor				5.0	5.0	5.0	Hermod and Hadvor
73	PERSON	Blockhead Hans				4.81	4.25	4.88	Blockhead Hans
80	LOCATION	the house	care	to-day	go;do;let;take	5.7725	3.9225	5.63	Let me go out to-day, and do you take care of the house alone."
88	PERSON	Breadthief	godchild	worse	be;call	6.18	3.38333333333	5.53666666667	"It is not worse than Breadthief, as your godchild is called."
89	LOCATION	the house	neck;godmother;time;child;ring;mouse;round	white	be;refuse;look;say;stand;have;ask	5.74851851852	3.92037037037	5.47296296296	She said to the Mouse, "You must again be kind enough to look after the house alone, for I have been asked a second time to stand godmother, and as this child has a white ring round its neck, I cannot refuse."
96	LOCATION	the house	bit;mouse;cleaning;cat	good;tidy;fat;greedy	go;be;make;eat;have	5.764	4.01466666667	5.55866666667	The Mouse had a good cleaning out while the Cat was gone, and made the house tidy; but the greedy Cat ate the fat every bit up.
101	LOCATION	the window	tongue;cat	good;thin	answer;taste;stretch	6.23555555556	4.04111111111	6.11666666667	"Yes, indeed," answered the Cat; "it will taste as good to you as if you stretched your thin tongue out of the window."
106	LOCATION	the way	world		be;see	6.205	3.695	5.3625	You see that is the way of the world.
110	LOCATION	the way	woman	good	say;show	6.2425	3.81625	5.96125	"Good woman," he said to her, "can you not show me the way out of the wood?"
110	LOCATION	the wood	woman	good	say;show	6.2425	3.81625	5.96125	"Good woman," he said to her, "can you not show me the way out of the wood?"
111	PERSON	King	sir;condition;hunger		fulfil;reply;get;die;do	5.17733333333	3.946	5.69066666667	"Oh, certainly, Sir King," she replied, "I can quite well do that, but on one condition, which if you do not fulfil you will never get out of the wood, and will die of hunger."
111	LOCATION	the wood	sir;condition;hunger		fulfil;reply;get;die;do	5.17733333333	3.946	5.69066666667	"Oh, certainly, Sir King," she replied, "I can quite well do that, but on one condition, which if you do not fulfil you will never get out of the wood, and will die of hunger."
112	PERSON	the King			ask	5.975	3.965	5.91	asked the King.
113	LOCATION	the way	world;woman;daughter;wife	beautiful;lady-queen;old;equal	be;fit;show;make;say;have	5.91608695652	4.0152173913	5.69739130435	"I have a daughter," said the old woman, "who is so beautiful that she has not her equal in the world, and is well fitted to be your wife; if you will make her lady-queen I will show you the way out of the wood."
113	LOCATION	the wood	world;woman;daughter;wife	beautiful;lady-queen;old;equal	be;fit;show;make;say;have	5.91608695652	4.0152173913	5.69739130435	"I have a daughter," said the old woman, "who is so beautiful that she has not her equal in the world, and is well fitted to be your wife; if you will make her lady-queen I will show you the way out of the wood."
114	LOCATION	the way	horse;woman;palace;maiden;wedding	old	be;show;reach;lift;have;celebrate	6.01642857143	4.27571428571	5.57928571429	As soon as he had lifted the maiden on to his horse the old woman showed him the way, and the King reached his palace, where the wedding was celebrated.
114	PERSON	the King	horse;woman;palace;maiden;wedding	old	be;show;reach;lift;have;celebrate	6.01642857143	4.27571428571	5.57928571429	As soon as he had lifted the maiden on to his horse the old woman showed him the way, and the King reached his palace, where the wedding was celebrated.
115	PERSON	the King	enchantment;witch-mother;reel;shirt;rest	little;white	sew;make;guard;have;learn;find	6.08375	3.80125	5.599375	She had no rest now till she had found out where the King guarded the reel, and then she made some little white shirts, and, as she had learnt from her witch-mother, sewed an enchantment in each of them.
116	PERSON	Queen	nothing;home;step-child;brother	rid;satisfied	run;get;know;have;go;meet;think	6.31214285714	4.19928571429	5.75285714286	The Queen went home quite satisfied, and thought she had got rid of her step-children; but the girl had not run to meet her with her brothers, and she knew nothing of her.
116	PERSON	the girl	nothing;home;step-child;brother	rid;satisfied	run;get;know;have;go;meet;think	6.31214285714	4.19928571429	5.75285714286	The Queen went home quite satisfied, and thought she had got rid of her step-children; but the girl had not run to meet her with her brothers, and she knew nothing of her.
117	PERSON	the King	child		visit;come;find	6.32625	4.00625	5.6425	The next day the King came to visit his children, but he found no one but the girl.
117	PERSON	the girl	child		visit;come;find	6.32625	4.00625	5.6425	The next day the King came to visit his children, but he found no one but the girl.
118	PERSON	the King			ask	5.975	3.965	5.91	asked the King.
124	LOCATION	the window	swan;end;brother		fly;say;come;have	5.59181818182	4.12272727273	5.57909090909	And when the brothers had said this the quarter of an hour came to an end, and they flew away out of the window as swans.
133	PERSON	Queen	astonishment;husband	dearest;great;other;innocent	be;begin;have;say;embrace;stand;kiss;go;accuse;tell;speak	6.03	4.24	5.74608695652	They embraced and kissed each other, and the Queen went to the King, who was standing by in great astonishment, and began to speak to him, saying, "Dearest husband, now I can speak and tell you openly that I am innocent and have been falsely accused."
133	PERSON	the King	astonishment;husband	dearest;great;other;innocent	be;begin;have;say;embrace;stand;kiss;go;accuse;tell;speak	6.03	4.24	5.74608695652	They embraced and kissed each other, and the Queen went to the King, who was standing by in great astonishment, and began to speak to him, saying, "Dearest husband, now I can speak and tell you openly that I am innocent and have been falsely accused."
134	PERSON	the King	joy;end;mother	great;good;wicked	be;come;fetch	6.163	4.339	5.676	Then they were fetched, to the great joy of the King, and the wicked mother came to no good end.
135	PERSON	the King	peace;brother;happiness	many	live	6.685	4.54375	6.1425	But the King and the Queen with their six brothers lived many years in happiness and peace.
135	PERSON	Queen	peace;brother;happiness	many	live	6.685	4.54375	6.1425	But the King and the Queen with their six brothers lived many years in happiness and peace.
138	PERSON	Kreutzwald				5.0	5.0	5.0	Kreutzwald.
140	PERSON	The magician			answer	5.89	4.365	5.105	The magician answered:
142	PERSON	the magician	reward;undertaking;youth;s;trouble;kindness		be;offer;repay;accept;say;succeed	5.83882352941	4.23294117647	5.64647058824	The youth thankfully accepted the magician"s offer, and said, "I cannot now offer you any reward for your kindness, but should my undertaking succeed your trouble shall be richly repaid."
