PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
13	PERSON	HABLOT K. BROWNE	illustration			6.37	4.0	6.26	WITH ILLUSTRATIONS BY HABLOT K. BROWNE.
16	LOCATION	LONDON				5.0	5.0	5.0	LONDON:  GEANT AND GRIFFITH,
16	PERSON	GEANT				5.0	5.0	5.0	LONDON:  GEANT AND GRIFFITH,
16	PERSON	GRIFFITH				5.0	5.0	5.0	LONDON:  GEANT AND GRIFFITH,
30	PERSON	JESSY CAROLINE DAVIES				5.0	5.0	5.0	JESSY CAROLINE DAVIES,
36	PERSON	ANNA ELIZA BRAY				5.0	5.0	5.0	ANNA ELIZA BRAY.
38	LOCATION	Tavistock	augtut5th;vioahaob;is3;\			5.0	5.0	5.0	The Vioahaob, Tavistock,  Augtut5th,\}iS3,
47	PERSON	HENRY DE POMEKOY				5.0	5.0	5.0	HENRY DE POMEKOY.
54	LOCATION	NORMANDY	letter			5.68	3.19	5.97	LETTERS FROM NORMANDY AND BRITTANY.
54	PERSON	BRITTANY	letter			5.68	3.19	5.97	LETTERS FROM NORMANDY AND BRITTANY.
56	PERSON	CHARLES A. STOTHARD	f.s.a.;memoirs	late		3.32	5.57	4.22	MEMOIRS OF THE LATE CHARLES A. STOTHARD, F.S.A.
60	LOCATION	SWITZERLAND	mountains;lakes			5.0	5.0	5.0	THE MOUNTAINS AND LAKES OF SWITZERLAND.
62	PERSON	R. SOUTHEY	poet;laureate;letter	late		5.28333333333	3.89	5.34333333333	LETTERS TO THE LATE R. SOUTHEY, POET LAUREATE ;
63	PERSON	COLLING	mart;account;fable;her;op			5.334	3.928	5.292	WITH AN ACCOUNT OP MART COLLING, AND HER FABLES.
65	PERSON	THOMAS STOTHARD	life;ra			6.68	5.59	5.89	LIFE OF THOMAS STOTHARD, RA.
71	PERSON	A. E. B.				5.0	5.0	5.0	A. E. B.
84	LOCATION	the rocks	moment;tail;wing;water;wagtail;feather;bird	grey;little;white;nice	dip;be;see;skim;shake	6.00473684211	3.99842105263	5.73105263158	And it is very pretty, too,  here to see the water- wagtail, a nice little bird with white  and grey feathers, skimming over the rocks, shaking his  tail up and down, dipping his wings into the stream and  off again in a moment.
84	LOCATION	the stream	moment;tail;wing;water;wagtail;feather;bird	grey;little;white;nice	dip;be;see;skim;shake	6.00473684211	3.99842105263	5.73105263158	And it is very pretty, too,  here to see the water- wagtail, a nice little bird with white  and grey feathers, skimming over the rocks, shaking his  tail up and down, dipping his wings into the stream and  off again in a moment.
85	LOCATION	the garden	flower;thyme;work;furze;bed;dartmoor;quickness;sight;rock;front;wing	golden;old;sunny;grey;yellow;pale;previous	notice;dazzle;see;settle;have;shake;meet;sport	5.93068965517	4.16551724138	5.69689655172	On Dartmoor, too, as I have noticed in a previous work,*  we meet in spring, upon a sunny morning, the pale yellow but-  terfly, usually seen in the garden among the flower beds; but  here sporting on the front of some old grey rock, or settling  on the wild thyme, or on the golden furze, as its wings shake  with a quickness that will sometimes dazzle the sight.
85	LOCATION	the wild	flower;thyme;work;furze;bed;dartmoor;quickness;sight;rock;front;wing	golden;old;sunny;grey;yellow;pale;previous	notice;dazzle;see;settle;have;shake;meet;sport	5.93068965517	4.16551724138	5.69689655172	On Dartmoor, too, as I have noticed in a previous work,*  we meet in spring, upon a sunny morning, the pale yellow but-  terfly, usually seen in the garden among the flower beds; but  here sporting on the front of some old grey rock, or settling  on the wild thyme, or on the golden furze, as its wings shake  with a quickness that will sometimes dazzle the sight.
86	LOCATION	Devon	border;goshawk;kite	rare	be;find	6.07333333333	3.99666666667	5.55	There, too, is the goshawk, so  rare in Devon; and the kite, that now is seldom found in   " Borders of the Tamar and Tavy."
86	PERSON	Tamar	border;goshawk;kite	rare	be;find	6.07333333333	3.99666666667	5.55	There, too, is the goshawk, so  rare in Devon; and the kite, that now is seldom found in   " Borders of the Tamar and Tavy."
101	LOCATION	the mountain	half;circuit;space	complete	take;find;have;walk	5.77769230769	3.93461538462	5.60076923077	He  now found that, during a space of two hours and a half,  he had walked up the mountain, taken a complete circuit
108	PERSON	Queen				6.52	5.05	6.04	Queen
112	PERSON	Victoria	way;prison;convict;law;punishment;^	many;less	break;use;have;send	4.70285714286	4.12428571429	4.94857142857	Victoria^ still uses it for a prison : and sends there no less  than twelve hundred convicts as a punishment for their  having broken the laws of the land in many ways.
112	LOCATION	the land	way;prison;convict;law;punishment;^	many;less	break;use;have;send	4.70285714286	4.12428571429	4.94857142857	Victoria^ still uses it for a prison : and sends there no less  than twelve hundred convicts as a punishment for their  having broken the laws of the land in many ways.
