PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
4	PERSON	Edwin Sidney Hartland	introduction;edited		select	5.63666666667	4.31666666667	5.27333333333	Selected and Edited,  WITH AN Introduction, by  Edwin Sidney Hartland.
6	PERSON	SCOTT	co.;publishing;ltd.;walter			5.14	2.96	5.42	THE WALTER SCOTT PUBLISHING CO., LTD.
7	LOCATION	LONDON	felling-on-tyne			5.0	5.0	5.0	LONDON AND FELLING-ON-TYNE.
8	LOCATION	NEW YORK	east;street			6.02	4.0225	5.2	NEW YORK: 3 EAST 14TH STREET.
12	PERSON	Jack	bean-stalk;tit;tot;tale;mr.;nursery;colchester	glant-klller		6.42428571429	4.55142857143	5.48857142857	NURSERY tales-  Jack THE GlANT-KlLLER  The Princess of Canterbury  The Princess of Colchester  Mr. Fox  "Tom Tit Tot"  Jack and the Bean-Stalk
12	PERSON	Princess	bean-stalk;tit;tot;tale;mr.;nursery;colchester	glant-klller		6.42428571429	4.55142857143	5.48857142857	NURSERY tales-  Jack THE GlANT-KlLLER  The Princess of Canterbury  The Princess of Colchester  Mr. Fox  "Tom Tit Tot"  Jack and the Bean-Stalk
12	PERSON	Princess	bean-stalk;tit;tot;tale;mr.;nursery;colchester	glant-klller		6.42428571429	4.55142857143	5.48857142857	NURSERY tales-  Jack THE GlANT-KlLLER  The Princess of Canterbury  The Princess of Colchester  Mr. Fox  "Tom Tit Tot"  Jack and the Bean-Stalk
12	PERSON	Fox	bean-stalk;tit;tot;tale;mr.;nursery;colchester	glant-klller		6.42428571429	4.55142857143	5.48857142857	NURSERY tales-  Jack THE GlANT-KlLLER  The Princess of Canterbury  The Princess of Colchester  Mr. Fox  "Tom Tit Tot"  Jack and the Bean-Stalk
12	PERSON	Tom	bean-stalk;tit;tot;tale;mr.;nursery;colchester	glant-klller		6.42428571429	4.55142857143	5.48857142857	NURSERY tales-  Jack THE GlANT-KlLLER  The Princess of Canterbury  The Princess of Colchester  Mr. Fox  "Tom Tit Tot"  Jack and the Bean-Stalk
12	PERSON	Jack	bean-stalk;tit;tot;tale;mr.;nursery;colchester	glant-klller		6.42428571429	4.55142857143	5.48857142857	NURSERY tales-  Jack THE GlANT-KlLLER  The Princess of Canterbury  The Princess of Colchester  Mr. Fox  "Tom Tit Tot"  Jack and the Bean-Stalk
14	PERSON	Kenelm	story;saint			6.835	3.5	5.575	The Story of Saint Kenelm
16	PERSON	Lady Godiva				6.91	4.05	5.87	Lady Godiva
18	PERSON	Becket	s;legend;parent			6.19666666667	4.75666666667	5.59333333333	The Legend of Becket"s Parents
20	PERSON	Whittington	cat			6.95	4.5	5.48	Whittington and his Cat
21	LOCATION	Swaffham	pedlar			5.0	5.0	5.0	The Pedlar of Swaffham
27	PERSON	Fairy	s;midwife			5.78666666667	4.39333333333	5.78	The Fairy"s Midwife .
29	PERSON	Fairy	funeral			4.39	4.57	4.72	The Fairy Funeral
31	PERSON	Edwin	sir			5.5	4.1	5.65	Edwin and Sir Topaz .
31	PERSON	Topaz	sir			5.5	4.1	5.65	Edwin and Sir Topaz .
35	PERSON	Fairy	caught			5.855	5.02	5.69	A Fairy Caught
36	PERSON	Colman Grey				5.0	5.0	5.0	Colman Grey ....
37	PERSON	The King	cat			6.475	4.475	5.505	The King of the Cats
38	LOCATION	Midridge	myth			5.555	4.5	5.19	A Myth of Midridge .
40	PERSON	Fairy	banquet			6.41	4.805	5.69	The Fairy Banquet
41	PERSON	Fairy	horn			5.855	4.63	6.03	The Fairy Horn
45	PERSON	Fairy	cauld;stones;lad;hilton;rollright;legend			5.52	4.955	5.325	The Cauld Lad of Hilton  The Fairy Thieves  The Boggart  Ainsel ...  Legend of the Rollright Stones
46	PERSON	Parson	devil;hare;ludgvan;well;clerk;st.;demon;tregeagle;hunted;the		outwit	4.556	4.274	4.882	The Demon Tregeagle  The Parson and Clerk  Outwitting the Devil  The Hunted Hare  The Well of St. Ludgvan  The Hedley Kow
46	LOCATION	Hedley Kow	devil;hare;ludgvan;well;clerk;st.;demon;tregeagle;hunted;the		outwit	4.556	4.274	4.882	The Demon Tregeagle  The Parson and Clerk  Outwitting the Devil  The Hunted Hare  The Well of St. Ludgvan  The Hedley Kow
48	PERSON	Betty Chidley	bell;bag;kentsham;flour			4.7775	4.1725	5.6075	Betty Chidley the Witch  The Bag of Flour  Kentsham Bell .
48	PERSON	Witch	bell;bag;kentsham;flour			4.7775	4.1725	5.6075	Betty Chidley the Witch  The Bag of Flour  Kentsham Bell .
55	PERSON	Lady	white			6.545	3.7	5.79	The White Lady of Blenkinsopp
55	LOCATION	Blenkinsopp	white			6.545	3.7	5.79	The White Lady of Blenkinsopp
57	PERSON	Rosewarne	ghost			4.23	5.7	4.47	The Ghost of Rosewarne
58	PERSON	Lady	lantern			6.14	3.63	5.555	The Lady with the Lantern
60	PERSON	Billy B	s;adventure			5.8	5.45333333333	5.45333333333	Billy B "s Adventure
62	LOCATION	Gotham	fools;wise			7.42	4.46	6.86	The Wise Fools of Gotham
67	PERSON	Vinegar	mr.			5.33	3.55	4.75	Mr. Vinegar
69	PERSON	Tom Thumb	history			5.81	3.61	5.295	The History of Tom Thumb
83	PERSON	Jack	tale;termination;cinderella;name;child	serious;supernatural;last;fortunate	be;marry;imply;deal;tell	5.84235294118	4.39352941176	5.22470588235	serious ; it usually deals with the supernatural, and  its termination is invariably fortunate : Jack must  marry the princess, and Cinderella the prince, at last  As its name implies, it is a tale told to children.
83	PERSON	the princess	tale;termination;cinderella;name;child	serious;supernatural;last;fortunate	be;marry;imply;deal;tell	5.84235294118	4.39352941176	5.22470588235	serious ; it usually deals with the supernatural, and  its termination is invariably fortunate : Jack must  marry the princess, and Cinderella the prince, at last  As its name implies, it is a tale told to children.
83	PERSON	the prince	tale;termination;cinderella;name;child	serious;supernatural;last;fortunate	be;marry;imply;deal;tell	5.84235294118	4.39352941176	5.22470588235	serious ; it usually deals with the supernatural, and  its termination is invariably fortunate : Jack must  marry the princess, and Cinderella the prince, at last  As its name implies, it is a tale told to children.
104	LOCATION	Evangeli	principality;cause	such;cal	prevail;find;have	5.53	4.17833333333	5.61833333333	I find such a cause in the Evangeli-  cal Protestantism which has so largely prevailed,  not only in the Principality, but also in Scotland and
104	LOCATION	Scotland	principality;cause	such;cal	prevail;find;have	5.53	4.17833333333	5.61833333333	I find such a cause in the Evangeli-  cal Protestantism which has so largely prevailed,  not only in the Principality, but also in Scotland and
134	PERSON	Tylor	thought;practice;man;hand	real;more	teach;have	6.40625	3.805	5.90625	In the hands of men like  Tylor, Maclennan, Lang, and Gomme, it has taught  us more about the real thoughts and practices, not
134	PERSON	Maclennan	thought;practice;man;hand	real;more	teach;have	6.40625	3.805	5.90625	In the hands of men like  Tylor, Maclennan, Lang, and Gomme, it has taught  us more about the real thoughts and practices, not
134	PERSON	Lang	thought;practice;man;hand	real;more	teach;have	6.40625	3.805	5.90625	In the hands of men like  Tylor, Maclennan, Lang, and Gomme, it has taught  us more about the real thoughts and practices, not
134	LOCATION	Gomme	thought;practice;man;hand	real;more	teach;have	6.40625	3.805	5.90625	In the hands of men like  Tylor, Maclennan, Lang, and Gomme, it has taught  us more about the real thoughts and practices, not
146	LOCATION	Gloucester	court;barnwood			3.52	4.43	3.94	Barnwood Court, Gloucester.
156	PERSON	JACK	giant-killer			5.0	5.0	5.0	JACK THE GIANT-KILLER.1
159	LOCATION	Newcastle-on-Tyne				5.0	5.0	5.0	(Newcastle-on-Tyne, 1711-183$.)
162	PERSON	Cornwall	course;depredation	many	follow;impoverish;have;be	5.008	3.736	5.028	This  course he had followed for many years, so that all Cornwall  was impoverished by his depredations.
163	PERSON	Jack	quoth		let;undertake	5.05333333333	3.97666666667	5.42333333333	Quoth Jack, " Then let me undertake it"
167	PERSON	the giant	spot;while;crown;pickaxe;head	weighty	knock;kill;tantalise;have;give	5.323	4.587	5.285	Thus having  tantalised the giant for a while, he gave him a most weighty  knock with his pickaxe on the very crown of his head, and  killed him on the spot.
168	PERSON	Jack	word;letter;gold;giant-killer;magistrate;sword;declaration;belt	embroidered	be;term;make;write;hear;present	5.75411764706	4.24941176471	5.64941176471	When the magistrates heard of this, they made a declaration  he should henceforth be termed Jack the Giant-Killer, and  presented him with a sword and an embroidered belt, on  which were written these words in letters of gold
169	PERSON	the giant	slew;man	right;valiant	s	5.872	4.872	6.09	" Here"s the right valiant Cornish man,  Who slew the giant Cormelian."
170	PERSON	the giant	chamber;living	poor;immense;giant	leave;lock;fetch;go	5.058	4.669	5.299	After this the  giant locked poor Jack in an immense chamber, leaving  him there while he went to fetch another giant living in the
170	PERSON	Jack	chamber;living	poor;immense;giant	leave;lock;fetch;go	5.058	4.669	5.299	After this the  giant locked poor Jack in an immense chamber, leaving  him there while he went to fetch another giant living in the
174	PERSON	Jack	voice;lamentation;shriek	dreadful	go;be;cry;affright	4.75285714286	4.55142857143	4.57	While he was  gone, dreadful shrieks and lamentations affrighted Jack,  especially a voice which continually cried
176	PERSON	the giant	ll;s;brother		kill;devour;prey;go;become;fetch	5.05727272727	4.75	5.24181818182	Or you"ll become the giant"s prey ;  He"s gone to fetch his brother, who  Will kill, likewise devour you too."
180	PERSON	Jack	apartment;word;dead;host;bedroom;condition		be;show;mutter;hear;have;tell	5.46133333333	3.98933333333	5.63333333333	Jack, having told his condition to the giant, was  shown into a bedroom, where, in the dead of night, he  heard his host in another apartment muttering these  words
180	PERSON	the giant	apartment;word;dead;host;bedroom;condition		be;show;mutter;hear;have;tell	5.46133333333	3.98933333333	5.63333333333	Jack, having told his condition to the giant, was  shown into a bedroom, where, in the dead of night, he  heard his host in another apartment muttering these  words
186	PERSON	Jack	uncle;ll;master		reply;live;have;do	5.94875	4.22375	5.59625	But Jack replied, "Master,  we"ll do well enough, for I have an uncle lives within
189	PERSON	the giant	vault;self;master;ground	poor;giant;merry	secure;make;lay;have;tremble;fetch	5.60666666667	4.17933333333	5.78466666667	Having secured  the giant, Jack fetched his master, when they made them-  selves heartily merry whilst the poor giant laid trembling  in a vault under the ground.
189	PERSON	Jack	vault;self;master;ground	poor;giant;merry	secure;make;lay;have;tremble;fetch	5.60666666667	4.17933333333	5.78466666667	Having secured  the giant, Jack fetched his master, when they made them-  selves heartily merry whilst the poor giant laid trembling  in a vault under the ground.
190	PERSON	Jack	mile;gold;supply;journey;master;time;smell;silver	fresh	be;return;give;send;keep;let;ask;furnish	6.10192307692	4.08884615385	5.79346153846	Early in the morning Jack furnished his master with a  fresh supply of gold and silver, and then sent him three  miles forward on his journey, at which time the prince  was pretty well out of the smell of the giant Jack  then returned, and let the giant out of the vault, who  asked what he should give him for keeping the castle
190	PERSON	the prince	mile;gold;supply;journey;master;time;smell;silver	fresh	be;return;give;send;keep;let;ask;furnish	6.10192307692	4.08884615385	5.79346153846	Early in the morning Jack furnished his master with a  fresh supply of gold and silver, and then sent him three  miles forward on his journey, at which time the prince  was pretty well out of the smell of the giant Jack  then returned, and let the giant out of the vault, who  asked what he should give him for keeping the castle
190	PERSON	the giant Jack	mile;gold;supply;journey;master;time;smell;silver	fresh	be;return;give;send;keep;let;ask;furnish	6.10192307692	4.08884615385	5.79346153846	Early in the morning Jack furnished his master with a  fresh supply of gold and silver, and then sent him three  miles forward on his journey, at which time the prince  was pretty well out of the smell of the giant Jack  then returned, and let the giant out of the vault, who  asked what he should give him for keeping the castle
190	PERSON	the giant	mile;gold;supply;journey;master;time;smell;silver	fresh	be;return;give;send;keep;let;ask;furnish	6.10192307692	4.08884615385	5.79346153846	Early in the morning Jack furnished his master with a  fresh supply of gold and silver, and then sent him three  miles forward on his journey, at which time the prince  was pretty well out of the smell of the giant Jack  then returned, and let the giant out of the vault, who  asked what he should give him for keeping the castle
