PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
6	PERSON	Knight	envy		be;fill	4.93	3.71	5.14666666667	The Knight was filled with envy.
8	LOCATION	LONDON	limited;e.;button;m.;dent;j.;sons;p.;company		^	5.58	3.9975	5.425	LONDON : J. M. DENT &amp; SONS LIMITED  NEW YORK: E. P. BUTTON ^ COMPANY
8	LOCATION	NEW YORK	limited;e.;button;m.;dent;j.;sons;p.;company		^	5.58	3.9975	5.425	LONDON : J. M. DENT &amp; SONS LIMITED  NEW YORK: E. P. BUTTON ^ COMPANY
17	LOCATION	the fire	head;tail;sea-water;sentiment	safe;moral	be;cut;sit;drown;survive;tie;find	5.62166666667	3.87777777778	5.43611111111	You may cut off its head, or drown it in  sentiment or sea-water, or tie a moral to its tail ; but  it will still survive, and be found sitting safe by the fire  some winter night.
23	PERSON	Jack	favourite;giant-killer;version;mrs.;chap-book	sundry;old	be;include;collate;have	5.01571428571	3.91285714286	5.14	That old favourite, " Jack the Giant-Killer/* has been  included in a version collated by Mrs. Grace Rhys from  sundry old chap-books.
23	PERSON	Grace Rhys	favourite;giant-killer;version;mrs.;chap-book	sundry;old	be;include;collate;have	5.01571428571	3.91285714286	5.14	That old favourite, " Jack the Giant-Killer/* has been  included in a version collated by Mrs. Grace Rhys from  sundry old chap-books.
24	PERSON	E. R.				5.0	5.0	5.0	E. R.
30	PERSON	Tom Thumb	history			5.81	3.61	5.295	The History of Tom Thumb 24
33	PERSON	Tom	tit;tot			6.06	4.64	5.18	" Tom Tit Tot " 42
35	PERSON	Fairy	horn			5.855	4.63	6.03	The Fairy Horn 54
37	PERSON	Tom Hickathrift				5.0	5.0	5.0	Tom Hickathrift 59
39	PERSON	Knight	green			6.29	4.07	5.64	The Green Knight ........ 69
40	PERSON	Robin Goodfellow				6.63	2.64	4.35	Robin Goodfellow ........ 90
43	PERSON	Michael	giant;s;saint			5.60333333333	4.52666666667	5.83333333333	The Giant of Saint Michael"s 105
44	PERSON	Jack				5.0	5.0	5.0	Jack and the Bean-stalk no
45	PERSON	Dick Whittington	cat			5.005	5.05	4.46	Dick Whittington and His Cat 119
48	PERSON	Knight	envy		be;fill	4.93	3.71	5.14666666667	The Knight was filled with Envy
53	LOCATION	Norroway	far;dear;turn;hae;duke		be;seek;bring	5.46	4.02625	5.66	" Far hae I sought Ye, near am I brought to Ye,  Dear Duke of Norroway, will Ye no turn and
55	PERSON	Knight	green;hall		enter	6.09	3.64666666667	5.55	The Green Knight entered the Hall ... ,,80
95	PERSON	JACK	giant-killer			5.0	5.0	5.0	JACK THE GIANT-KILLER
102	PERSON	Cornwall	course;robbery	poor;many	follow;have;become	5.00571428571	4.07857142857	4.98714285714	This course he had followed for many  years, so that all Cornwall had become poor through his  robberies.
104	PERSON	Jack	lob;faith;pound;word;while;diet;s;breakfast	poor;giant;other;<;wicked	be;do;get;serve;<;plague;have;broil;think;tease	5.2064	4.302	5.6012	* Oh, giant," quoth  Jack, "" where are you now &lt; Oh faith, you are gotten  now into Lob"s Pound, where I will surely plague you for  your wicked words : what do you think now of broiling  me for your breakfast &lt; Will no other diet serve you but  poor Jack &lt; " Thus having teased the giant for a while,
104	PERSON	Jack	lob;faith;pound;word;while;diet;s;breakfast	poor;giant;other;<;wicked	be;do;get;serve;<;plague;have;broil;think;tease	5.2064	4.302	5.6012	* Oh, giant," quoth  Jack, "" where are you now &lt; Oh faith, you are gotten  now into Lob"s Pound, where I will surely plague you for  your wicked words : what do you think now of broiling  me for your breakfast &lt; Will no other diet serve you but  poor Jack &lt; " Thus having teased the giant for a while,
104	PERSON	the giant	lob;faith;pound;word;while;diet;s;breakfast	poor;giant;other;<;wicked	be;do;get;serve;<;plague;have;broil;think;tease	5.2064	4.302	5.6012	* Oh, giant," quoth  Jack, "" where are you now &lt; Oh faith, you are gotten  now into Lob"s Pound, where I will surely plague you for  your wicked words : what do you think now of broiling  me for your breakfast &lt; Will no other diet serve you but  poor Jack &lt; " Thus having teased the giant for a while,
106	PERSON	JACK	giant-killer			5.0	5.0	5.0	JACK THE GIANT-KILLER ii
108	PERSON	Jack	word;sword;gold;letter;magistrate;belt	embroidered	be;give;write;say;hear;call	5.89733333333	4.21333333333	5.70933333333	When the magistrates heard of this, they said  he should henceforth be called Jack the Giant-killer, and  gave him a sword and an embroidered belt, on which were  written these words in letters of gold
109	PERSON	the giant	slew	cormelian;right;valiant	s	5.985	5.0	6.2525	*" Here"s the right valiant Cornishman,  Who slew the giant Cormelian/"
110	PERSON	the giant	chamber;wood;living	poor;immense;giant;same	help;lock;leave;go;put;fetch	5.26461538462	4.48769230769	5.55307692308	After this the giant locked poor Jack in an  immense chamber, leaving him there while he went to fetch  another giant living in the same wood to help him to put
110	PERSON	Jack	chamber;wood;living	poor;immense;giant;same	help;lock;leave;go;put;fetch	5.26461538462	4.48769230769	5.55307692308	After this the giant locked poor Jack in an  immense chamber, leaving him there while he went to fetch  another giant living in the same wood to help him to put
113	PERSON	Jack	voice;shriek;time	affrighted;dreadful;many	go;be;say;cry	5.01	4.38666666667	4.99888888889	While he was gone, dreadful shrieks and  cries affrighted Jack, especially a voice which said many  times
114	PERSON	the giant	ll;s;brother		do;get;kill;devour;prey;go;become;fetch	5.25285714286	4.48071428571	5.43571428571	"* Do what you can to get away,  Or you"ll become the giant"s prey ;  He"s gone to fetch his brother, who  Will kill, likewise devour you too."
118	PERSON	Jack	state;host;dead;bedroom		be;show;mutter;hear;have;tell	5.52615384615	3.93692307692	5.54384615385	Jack, having  told his state to the giant, was shown into a bedroom, where,  in the dead of night, he heard his host muttering
118	PERSON	the giant	state;host;dead;bedroom		be;show;mutter;hear;have;tell	5.52615384615	3.93692307692	5.54384615385	Jack, having  told his state to the giant, was shown into a bedroom, where,  in the dead of night, he heard his host muttering
124	PERSON	the king	sun;ll;son;s;mile;master;money;uncle	low	do;begin;live;say;have;lodge;reply;grow	6.0	4.02416666667	5.47375	When the sun began to grow low, the king"s son  said, ** Jack, since we have no money, where can we lodge  this night i " But Jack replied, *" Master, we"ll do well  enough, for I have an uncle lives within two miles of this
124	PERSON	Jack	sun;ll;son;s;mile;master;money;uncle	low	do;begin;live;say;have;lodge;reply;grow	6.0	4.02416666667	5.47375	When the sun began to grow low, the king"s son  said, ** Jack, since we have no money, where can we lodge  this night i " But Jack replied, *" Master, we"ll do well  enough, for I have an uncle lives within two miles of this
124	PERSON	Jack	sun;ll;son;s;mile;master;money;uncle	low	do;begin;live;say;have;lodge;reply;grow	6.0	4.02416666667	5.47375	When the sun began to grow low, the king"s son  said, ** Jack, since we have no money, where can we lodge  this night i " But Jack replied, *" Master, we"ll do well  enough, for I have an uncle lives within two miles of this
128	PERSON	JACK	giant-killer			5.0	5.0	5.0	JACK THE GIANT-KILLER 15
129	PERSON	Jack	vault;master;ground	poor;giant;lay;merry	make;tremble;fetch	5.35363636364	4.15363636364	5.42090909091	Jack fetched his master, when  they made themselves heartily merry whilst the poor giant  lay trembling in a vault under the ground.
130	PERSON	Jack				5.0	5.0	5.0	Why," quoth Jack,.
136	LOCATION	the court	knight;deed;round;table	many;great	go;be;marry;make	6.05	3.77307692308	5.59923076923	They were married the next morning,,  and soon after went to the court of King Arthur, where  Jack, for his many great deeds, was made one of the  Knights of the Round Table.
136	PERSON	King	knight;deed;round;table	many;great	go;be;marry;make	6.05	3.77307692308	5.59923076923	They were married the next morning,,  and soon after went to the court of King Arthur, where  Jack, for his many great deeds, was made one of the  Knights of the Round Table.
136	LOCATION	Arthur	knight;deed;round;table	many;great	go;be;marry;make	6.05	3.77307692308	5.59923076923	They were married the next morning,,  and soon after went to the court of King Arthur, where  Jack, for his many great deeds, was made one of the  Knights of the Round Table.
136	PERSON	Jack	knight;deed;round;table	many;great	go;be;marry;make	6.05	3.77307692308	5.59923076923	They were married the next morning,,  and soon after went to the court of King Arthur, where  Jack, for his many great deeds, was made one of the  Knights of the Round Table.
137	PERSON	the king	knowledge;coat;adventure;cap;request;ness;pursuit;sword;need;swiftness;shoe	invisible;noble;dangerous;better;sharp	start;succeed;hear;take;have;furnish;lay	5.74772727273	4.56863636364	5.71318181818	When the king had heard this noble request, he furnished  Jack with all he had need of, and Jack started on his pursuit,  taking with him the cap of knowledge, the sword of sharp-  ness, the shoes of swiftness, and the invisible coat, the  better to succeed in the dangerous adventures which now  lay before him.
137	PERSON	Jack	knowledge;coat;adventure;cap;request;ness;pursuit;sword;need;swiftness;shoe	invisible;noble;dangerous;better;sharp	start;succeed;hear;take;have;furnish;lay	5.74772727273	4.56863636364	5.71318181818	When the king had heard this noble request, he furnished  Jack with all he had need of, and Jack started on his pursuit,  taking with him the cap of knowledge, the sword of sharp-  ness, the shoes of swiftness, and the invisible coat, the  better to succeed in the dangerous adventures which now  lay before him.
137	PERSON	Jack	knowledge;coat;adventure;cap;request;ness;pursuit;sword;need;swiftness;shoe	invisible;noble;dangerous;better;sharp	start;succeed;hear;take;have;furnish;lay	5.74772727273	4.56863636364	5.71318181818	When the king had heard this noble request, he furnished  Jack with all he had need of, and Jack started on his pursuit,  taking with him the cap of knowledge, the sword of sharp-  ness, the shoes of swiftness, and the invisible coat, the  better to succeed in the dangerous adventures which now  lay before him.
145	PERSON	Jack	waggoner;head;brother;purpose		s;cut;hire;send	5.67916666667	4.76083333333	5.67666666667	Jack cut off the giant"s head, and sent it, with  his brother"s head also, to King Arthur, by a waggoner he  hired for that purpose.
145	PERSON	the giant	waggoner;head;brother;purpose		s;cut;hire;send	5.67916666667	4.76083333333	5.67666666667	Jack cut off the giant"s head, and sent it, with  his brother"s head also, to King Arthur, by a waggoner he  hired for that purpose.
