PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
2	PERSON	HENRY MORLEY				5.0	5.0	5.0	HENRY MORLEY.
7	PERSON	Cwtik Chapman	hyksb;hokime			5.0	5.0	5.0	HoKime Hyksb; Cwtik Chapman.
11	LOCATION	LONDON				5.0	5.0	5.0	LONDON:
24	PERSON	W. CLOWES	lokdom;amd;80n8;street;rrimted;by;8tamfoku			5.07	3.45	5.41	LOKDOM: rRIMTED BY W. CLOWES AMD 80N8, 8TAMFOKU STREET,
40	LOCATION	Skitzland	division		occur	5.34	3.57	4.97	Of Divisions which occur in Skitzland
48	PERSON	Fairy	chapter;madame;pidge;i.		look	6.12	4.22	6.15666666667	Chapter I.  Madame Pidge Looks in upon the Fairy
58	PERSON	Fairy	mill			6.05	3.625	5.57	The Fairy Mill.
74	PERSON	I. Ben Ody	chapter		carry;be;resolve	5.85	3.3525	5.8925	Chapter I.  Ben Ody is Resolved on Carrying his
97	PERSON	Babon Bi	hammer;tch		^	5.17	4.56	5.59	Babon Bi^tch, of the Hammer.
100	PERSON	King	lad;affliction		draw	5.5325	4.1875	5.2675	The Lad Draws his King out of Affliction,
104	PERSON	Gtold			breed	5.74	4.1	6.17	Bred upon Gtold.
105	PERSON	H. Grold	chapter;lord;the;death;pursy			5.24	4.412	5.75	Chapter H.  Grold and the Right  Chapter IIL The Death of the Lord Pursy
116	PERSON	Dick	elan;op;clouds;doll	unappreciated	drop	4.84	3.85142857143	4.77285714286	Dropped from the Clouds  Dick and Doll  Elan the Armourer  One op the Unappreciated
138	LOCATION	Sissoo		cunning		5.05	4.9	6.58	The Cunning of Sissoo.
141	PERSON	Sissoo	stop;horn		put	4.955	4.305	5.42	Sissoo puts a Stop to our Horn
146	LOCATION	the fire	fire;begiitus;^		leave;steank;begin;mn;come	5.22625	4.5175	5.33875	Whoever came near a fire  began to steank ; whoever left the fire begiiTi to mn^a^ca
148	PERSON	Fairy	tale			5.88666666667	4.37666666667	5.85666666667	2 Fairy Tales,
149	PERSON	Melilot	door;flood;lake;breath;everything;marsh;cottage	broken-roofed;wet	be;come;stand	5.58222222222	3.97166666667	5.48833333333	There was a breath  of wet on everything indoors, and a flood of wet on  everything out of doors, and Melilot was wet through  when she came to the door of a broken-roofed cottage  that stood in a marsh between two lakes.
149	LOCATION	the door	door;flood;lake;breath;everything;marsh;cottage	broken-roofed;wet	be;come;stand	5.58222222222	3.97166666667	5.48833333333	There was a breath  of wet on everything indoors, and a flood of wet on  everything out of doors, and Melilot was wet through  when she came to the door of a broken-roofed cottage  that stood in a marsh between two lakes.
150	PERSON	Melilot	grief;help;fore;hunger	human	go;ask	5.17857142857	4.33142857143	5.16857142857	In hunger and grief, there-  fore, Melilot went down to them, to ask for human  help.
151	LOCATION	the valley	defile;waste;plash;rain;rock;mist;side;bog	high;thick;gloomy;other;never-ending	brood;open;lead;fall	5.11052631579	3.58263157895	5.05263157895	A gloomy defile,  between high rocks, led out of the valley on the one  side, and on the other side it opened upon a waste of  bog, over which the thick mist brooded, and the rain  now fell with never-ending plash.
152	LOCATION	the mountain	floor;wall;foam;s;waterfall;rock;runlet;basin	ragged;great;smooth;rocky	dash;break;form	5.68	4.02647058824	5.41941176471	The runlets on the mountain formed a waterfall, that  dashing over a smooth wall of rock, broke into foam on  the ragged floor of a great rocky basin near Melilot"s
152	LOCATION	Melilot	floor;wall;foam;s;waterfall;rock;runlet;basin	ragged;great;smooth;rocky	dash;break;form	5.68	4.02647058824	5.41941176471	The runlets on the mountain formed a waterfall, that  dashing over a smooth wall of rock, broke into foam on  the ragged floor of a great rocky basin near Melilot"s
155	LOCATION	the path	lan;wateifall		be	6.03666666667	3.29	5.08	It  was partly by this wateifall that the path down into  the valley lan.
155	LOCATION	the valley	lan;wateifall		be	6.03666666667	3.29	5.08	It  was partly by this wateifall that the path down into  the valley lan.
156	PERSON	Melilot	father	alive	avoid;know;have	6.046	4.058	5.654	Melilot knew that her father, when alive, had avoided
160	PERSON	Fairy	tale			5.88666666667	4.37666666667	5.85666666667	4 Fairy Tales,
161	LOCATION	the stream	cottage;path;edge;side;rain	only;stony;pitiless	knock;shiver;come;weep	5.52571428571	3.63214285714	5.015	So by the stony side  of the stream, and by the edge of the lake, her only path  in the marsh, Melilot came down shivering and weeping  through the pitiless rain, and knocked at the door of the  lake cottage.
161	LOCATION	the lake	cottage;path;edge;side;rain	only;stony;pitiless	knock;shiver;come;weep	5.52571428571	3.63214285714	5.015	So by the stony side  of the stream, and by the edge of the lake, her only path  in the marsh, Melilot came down shivering and weeping  through the pitiless rain, and knocked at the door of the  lake cottage.
161	LOCATION	the marsh	cottage;path;edge;side;rain	only;stony;pitiless	knock;shiver;come;weep	5.52571428571	3.63214285714	5.015	So by the stony side  of the stream, and by the edge of the lake, her only path  in the marsh, Melilot came down shivering and weeping  through the pitiless rain, and knocked at the door of the  lake cottage.
161	PERSON	Melilot	cottage;path;edge;side;rain	only;stony;pitiless	knock;shiver;come;weep	5.52571428571	3.63214285714	5.015	So by the stony side  of the stream, and by the edge of the lake, her only path  in the marsh, Melilot came down shivering and weeping  through the pitiless rain, and knocked at the door of the  lake cottage.
161	LOCATION	the door	cottage;path;edge;side;rain	only;stony;pitiless	knock;shiver;come;weep	5.52571428571	3.63214285714	5.015	So by the stony side  of the stream, and by the edge of the lake, her only path  in the marsh, Melilot came down shivering and weeping  through the pitiless rain, and knocked at the door of the  lake cottage.
161	LOCATION	the lake	cottage;path;edge;side;rain	only;stony;pitiless	knock;shiver;come;weep	5.52571428571	3.63214285714	5.015	So by the stony side  of the stream, and by the edge of the lake, her only path  in the marsh, Melilot came down shivering and weeping  through the pitiless rain, and knocked at the door of the  lake cottage.
163	PERSON	Melilot	s;voice;hoarser		say	5.6025	4.42	5.775	" That"s Melilot from up above us," said a hoarser voice.
165	LOCATION	Melilot	eye;nose;face	broad;bright;brightest	be;look;spot;turn;have;come	5.87363636364	3.62181818182	5.53363636364	They had broad noses and spotted  faces, and the brightest of bright eyes, which were all  turned to look at Melilot when she came in.
166	LOCATION	the door			shut;come	5.19	3.60333333333	5.88333333333	Come in and shut the  door behind you."
167	LOCATION	the door	instant;bel		go;hesitate;shut;nd	5.18166666667	4.23166666667	5.475	She  hesitated only for an instant, then went in and shut the  door bel^nd her.
169	PERSON	Melilot	father		begin;weep;fall	5.394	3.69	4.82	*" My father, my dear father," began Melilot, and  fell to weeping bitterly.
177	PERSON	Squill	nothing;tadpole		say;eat;have;offer	6.15833333333	3.85666666667	6.17666666667	"And we have nothing to offer her but tadpoles,  which she cannot eat," said Squill.
181	PERSON	Melilot	while;eye	eager;bright;cruel	be;thank;look	6.0975	4.41625	6.03625	Melilot all the while only thanked  them, frankly looking up into their bright eyes, that  were eager, very eager, but not cruel.
188	LOCATION	the way	squill;home;arm	desolate	catch;be;climb;swoon;have	5.64888888889	3.56333333333	5.39222222222	had climbed but half the way to her desolate home when  she swooned, and was caught in the arms of Squill.
191	PERSON	Squill		right	carry;be;say	6.08	3.846	6.218	" It will not be right for us to carry her," said Squill.
195	PERSON	Melilot	piece;milk;bread		break;hold;drink;give	5.96454545455	4.07636363636	5.52090909091	Then Melilot broke the bread  into three pieces, and gave a piece to each, and held the  milk for them when they would drink.
199	PERSON	Squill			say;eat	6.15333333333	4.30333333333	6.4	" We must eat all of it up," said Squill.
204	PERSON	Melilot	squill;daughter	little;pious	be;say	5.74571428571	3.83285714286	5.35571428571	" It must be for the pious little daughter Melilot, and  no one else," said Squill.
207	PERSON	Fairy	tale			5.88666666667	4.37666666667	5.85666666667	8 Fairy Tales.
213	LOCATION	the door	sleeper;housewife;act	night-air;little;careful;good	be;shut;breed;think	6.02411764706	3.80588235294	5.8	It was her first act to shut the door, because  she was bred to be a careful little housewife, and she  thought the night-air would not be good for the sleepers.
215	PERSON	Melilot	hut;apron;frock;eye;string;thread;muslin;light;bale;neighbour;stick;corner;scissors;fairy;screen;guest	poor;little;own;old;farthest;ragged;shaded	begin;sure;make;work;pine;set;have;measure;shrink	5.37482758621	3.87793103448	5.48034482759	So Melilot began measuring her neighbours with the  string of her poor little apron ; and when she had mea-  sured them all, shrank with her scissors and thread and  the bale of fairy muslin into the farthest corner of her  hut, and set to work by the light of a pine stick, shaded  from the eyes of her guests with a screen made of her  own ragged old frock.
218	PERSON	Fairy	tale			6.33	4.065	6.285	10 Fairy Tales.
222	LOCATION	the waterfall	dodder;bro;darling;ther		say	6.585	4.125	5.6975	" She," said Dodder, " she, our darling, and our bro-  thers of the waterfall."
223	PERSON	the girl	frock;treasure;s;kiss;squill;empire	ragged	make	5.71818181818	5.04727272727	5.42454545455	But Squill"s kiss on the girl"s ragged frock made  it a treasure for an empire.
232	LOCATION	the door	sun;fairies;rain;beam;spray;lip;knee;cataract	bright;moming	be;play;quiver;rise;see;stand;go	6.01705882353	3.96352941176	5.63294117647	Then, as she rose to her knees, with quivering lips,  the three Fairies went out into the sun, and stood at the  door to see how all the rains were gone, and the bright  moming beams played in the spray of the cataract.
235	PERSON	Squill	frogbit		say	5.91	4.43	6.88	" Frogbit herself," said Squill.
237	PERSON	Fairy	tale			6.33	4.065	6.285	12 Fairy Tales.
241	LOCATION	the shelter	father;wing;angel;mother		feed;say;abide	6.23636363636	4.23272727273	5.80636363636	The angels of my father and  mother feed me still," she said ; " I must abide under  the shelter of their wings."
244	LOCATION	the hole	muslin;beat;iron;squill;net;ing;wing		be;capture;make;fold;leap;stand;have;fall;catch;seem;hold	5.58	3.9745	5.444	But Squill leapt up, and holding the net he had made  under the hole Frogbit was making, caught her as she  fell through, and held her captured in the folds of Fairy  muslin that seemed to stand like iron against the beat-  ing of her wings.
244	PERSON	Frogbit	muslin;beat;iron;squill;net;ing;wing		be;capture;make;fold;leap;stand;have;fall;catch;seem;hold	5.58	3.9745	5.444	But Squill leapt up, and holding the net he had made  under the hole Frogbit was making, caught her as she  fell through, and held her captured in the folds of Fairy  muslin that seemed to stand like iron against the beat-  ing of her wings.
244	PERSON	Fairy	muslin;beat;iron;squill;net;ing;wing		be;capture;make;fold;leap;stand;have;fall;catch;seem;hold	5.58	3.9745	5.444	But Squill leapt up, and holding the net he had made  under the hole Frogbit was making, caught her as she  fell through, and held her captured in the folds of Fairy  muslin that seemed to stand like iron against the beat-  ing of her wings.
245	PERSON	Melilot	poor;bird		say	5.3325	4.4825	5.44	" Poor bird I " said Melilot.
250	PERSON	Melilot	bill;bosom;beast;nruslin;net;man;bird;raven	great;net;strong;bent	hinder;be;love;tear;take;strike;flutter	5.34388888889	4.32833333333	5.19166666667	But Melilot, who loved man, beast, and bird, bent  over the fluttering raven, and was not hindered from  taking it, net and all, to her bosom, though it struck at  her fiercely with its great bill that, strong as it was,  could not tear through the nruslin net.
253	PERSON	Melilot	head;muslin;agony;kiss;terror;bird;raven	thin	stoop;s;struggle;escape	5.16384615385	4.99692307692	5.02153846154	When Melilot stooped to kiss through the  thin muslin the raven"s head, the bird struggled to  escape from the kiss with an agony of terror.
