PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
5	PERSON	ERNEST RHYS	tale;fairy;book	chosen;old		5.58	4.148	5.64	A BOOK OF OLD ENGLISH FAIRY  TALES CHOSEN BY ERNEST RHYS
22	LOCATION	London	j.;m.;co.;dent			3.52	3.46	4.95	London: J. M. DENT &amp; CO.
23	LOCATION	New York				7.68	5.14	5.22	New York : E. P. DUTTON &amp; CO.
53	LOCATION	NEW YORK	co;london.publishep;byj;epdutton;mdent			7.68	5.14	5.22	LONDON.PUBLISHEP  byJ"MDENT- ^CO  AND IN NEW YORK  BY EPDUTTON CO
57	LOCATION	the door	pipe;gold		do;play;come;whistle	5.96571428571	4.09142857143	6.02571428571	"When we came to the door of gold,  The pipes within did whistle and play."
58	LOCATION	the fire	head;tail;sea-water;sentiment	safe;moral	be;cut;sit;drown;survive;tie;find	5.62166666667	3.87777777778	5.43611111111	You may cut off its head, or drown it in  sentiment or sea-water, or tie a moral to its tail; but it  will still survive, and be found sitting safe by the fire some  winter night.
69	PERSON	E. R.				5.0	5.0	5.0	E. R.
79	LOCATION	Norroway	bull	black		4.675	4.24	6.185	The Black Bull of Norroway
83	LOCATION	Spindleston	laidley;worm			4.86	3.5	5.22	The Laidley Worm of Spindleston
85	PERSON	Knight	green			6.29	4.07	5.64	The Green Knight
89	PERSON	Fairy	story;horn			6.32666666667	4.26	5.79666666667	The Story of the Fairy Horn
91	PERSON	Lady	mole			5.57	3.93	5.595	The Lady Mole
95	PERSON	Fox	mr.			5.52	4.36	5.5	Mr. Fox ....
97	PERSON	Tom	tit;tot			6.06	4.64	5.18	"Tom Tit Tot"
99	PERSON	Fairy	beggar			4.815	4.665	5.27	The Fairy Beggar
101	LOCATION	Hilton	cauld;lad			6.19	3.6	5.0	The Cauld Lad of Hilton
103	PERSON	Fairy	s;dinner			6.03666666667	4.63	5.81	The Fairy"s Dinner
107	PERSON	Princess				7.64	5.42	5.74	The Princess of Colchester
107	LOCATION	Colchester				7.64	5.42	5.74	The Princess of Colchester
111	PERSON	Robin Goodfellow				6.63	2.64	4.35	Robin Goodfellow
113	PERSON	Tom Hickathrift				5.0	5.0	5.0	Tom Hickathrift
117	PERSON	Tom Thumb	history			5.81	3.61	5.295	The History of Tom Thumb
119	PERSON	Michael	giant;s;saint			5.60333333333	4.52666666667	5.83333333333	The Giant of Saint Michael"s
128	PERSON	Queen Mab	s		bed	6.22666666667	4.35	5.92333333333	Queen Mab"s Bed
130	PERSON	JACK	s;part;fairy-book;mother			5.76666666667	4.36333333333	5.44	PART II  MOTHER JACK"S FAIRY-BOOK
132	PERSON	Fairy				6.71	5.04	6.38	Fairy ....
133	PERSON	Fairy	food;leaf;the;fortune;history	little;true	leaf	6.59666666667	4.13777777778	5.86	Leaf Twenty-Four  The Little Fortunes  Leaf Twenty-Five  Fairy Food  Leaf Twenty-Six  The True History of Jack
133	PERSON	Jack	food;leaf;the;fortune;history	little;true	leaf	6.59666666667	4.13777777778	5.86	Leaf Twenty-Four  The Little Fortunes  Leaf Twenty-Five  Fairy Food  Leaf Twenty-Six  The True History of Jack
134	PERSON	Sprat	vinegar;cinderella;pixy;fair;wife;song;mr.;mrs.;cat;s;t;leaf;the;boggart;clothes	little	leaf	6.21210526316	3.92052631579	5.64157894737	Sprat, his Wife and his Cat  Leaf Twenty-Seven  The Pixy"s Clothes  Leaf Twenty-Eight  The Boggart  Leaf Thirty  Song of the Fairy Queen  Leaf Thirty-One  Mr. and Mrs. Vinegar  Leaf Thirty-Two  The Fairy Fair  t /"Leaf Thirty-Four  Cinderella, or the Little
134	PERSON	Fairy Queen	vinegar;cinderella;pixy;fair;wife;song;mr.;mrs.;cat;s;t;leaf;the;boggart;clothes	little	leaf	6.21210526316	3.92052631579	5.64157894737	Sprat, his Wife and his Cat  Leaf Twenty-Seven  The Pixy"s Clothes  Leaf Twenty-Eight  The Boggart  Leaf Thirty  Song of the Fairy Queen  Leaf Thirty-One  Mr. and Mrs. Vinegar  Leaf Thirty-Two  The Fairy Fair  t /"Leaf Thirty-Four  Cinderella, or the Little
134	PERSON	Fairy	vinegar;cinderella;pixy;fair;wife;song;mr.;mrs.;cat;s;t;leaf;the;boggart;clothes	little	leaf	6.21210526316	3.92052631579	5.64157894737	Sprat, his Wife and his Cat  Leaf Twenty-Seven  The Pixy"s Clothes  Leaf Twenty-Eight  The Boggart  Leaf Thirty  Song of the Fairy Queen  Leaf Thirty-One  Mr. and Mrs. Vinegar  Leaf Thirty-Two  The Fairy Fair  t /"Leaf Thirty-Four  Cinderella, or the Little
139	PERSON	Fairy	banquet		leaf	6.32666666667	4.22	5.64	Leaf Forty-One  The Fairy Banquet
159	PERSON	Hamelin	pied;piper			5.0	5.0	5.0	The Pied Piper of Hamelin
165	PERSON	Fairy	song			7.15	4.82	6.665	Fairy Song ....
169	LOCATION	Rylston	white;doe			6.18	3.35	5.71	The White Doe of Rylston
184	PERSON	Lady	thing;mole	black;little;funniest	set	5.53833333333	3.695	5.51166666667	"The Lady Mole"  " The funniest little black thing you ever set
186	PERSON	Robin Goodfellow				6.63	2.64	4.35	" Robin Goodfellow "
192	PERSON	Fairy	anus;teel;song	serene	hold;come;glide	5.98428571429	4.53	6.09	held up to Teel  Fairy Song  Comes gliding in serene ani
207	PERSON	The king	head;crown;silver	precious;red-gold	have	6.14857142857	4.22571428571	5.74714285714	The king had a crown on his  head, not of silver or red-gold, but all of precious
210	PERSON	Fairy	gold			6.33	5.46333333333	5.72666666667	2 Fairy Gold
211	PERSON	Heurodis	morrow;thing;death;pain;tree	safe;same	bring;bid;meet;have;show	5.48166666667	3.82666666667	5.4	When he had shown these things to Heurodis, he  brought her back safe to the Imp Tree ; but he bade her, on  pain of death, meet him under the same tree on the morrow.
213	LOCATION	the forest	story-book;orfeo	old	say	5.26	4.45	5.60333333333	And  there in the forest, Orfeo (as the old story-book says) :
220	PERSON	Heurodis	none;country;tree;faerie;imp;s;undertide		carry;be;let;dare;sleep	6.16090909091	3.89545454545	5.51727272727	But let none who would not be carried away like Heurodis  to the Faerie King"s country dare to sleep in the undertide  beneath the Imp Tree.
220	PERSON	King	none;country;tree;faerie;imp;s;undertide		carry;be;let;dare;sleep	6.16090909091	3.89545454545	5.51727272727	But let none who would not be carried away like Heurodis  to the Faerie King"s country dare to sleep in the undertide  beneath the Imp Tree.
230	PERSON	the princess	sticking;guest;pin;beast;s;surprise;prince	frightful;wild;beautiful	pull;hide;appear;espy;go;behold	5.5925	4.6705	5.4295	But as they went in among the guests, the  princess espied a pin sticking in the Black Bull"s hide,  which she pulled out, and, to the surprise of all, there  appeared not a frightful wild beast, but one of the most  beautiful princes ever beheld.
232	LOCATION	the way	heart;nut;journey;wifie;god	wearisome;old	be;set;show;bid;give;break;owre;speed	6.0380952381	4.39285714286	5.47714285714	In the morning the  old wifie gave her three nuts, that she was not to break  till her heart was " like to break and owre again like to  break " ; so, showing her the way, she bade God speed  her, and the princess once more set out on her wearisome  journey.
232	PERSON	the princess	heart;nut;journey;wifie;god	wearisome;old	be;set;show;bid;give;break;owre;speed	6.0380952381	4.39285714286	5.47714285714	In the morning the  old wifie gave her three nuts, that she was not to break  till her heart was " like to break and owre again like to  break " ; so, showing her the way, she bade God speed  her, and the princess once more set out on her wearisome  journey.
238	PERSON	Fairy	gold			6.995	5.695	6.09	Fairy Gold
