PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
4	PERSON	RICHARD DOYLE CHARLES H. BENNETT				5.0	5.0	5.0	RICHARD DOYLE  CHARLES H. BENNETT.
6	LOCATION	LONDON	bradbury;street			5.07	3.45	5.41	LONDON :  BRADBURY, EVANS, &amp; CO., ii, BOUVERIE STREET.
6	LOCATION	EVANS	bradbury;street			5.07	3.45	5.41	LONDON :  BRADBURY, EVANS, &amp; CO., ii, BOUVERIE STREET.
6	PERSON	BOUVERIE	bradbury;street			5.07	3.45	5.41	LONDON :  BRADBURY, EVANS, &amp; CO., ii, BOUVERIE STREET.
13	PERSON	CHARLES H. BENNETT			illustrate	5.62	4.39	5.365	ILLUSTRATED BY CHARLES H.  BENNETT I
15	PERSON	DOYLE	loi			5.0	5.0	5.0	DOYLE lOI
95	LOCATION	the portal		black	feed;be	5.78	4.03	5.6	"near the portal was feeding a black
135	PERSON	JACOB	pain		roar	3.685	6.21	4.675	* JACOB ROARED WITH PAIN "
173	PERSON	C. H. BENNETT				5.0	5.0	5.0	By C. H. BENNETT.
177	PERSON	C. H. BENNETT	jumttatrt			5.0	5.0	5.0	JUMttatrt  By C. H. BENNETT.
181	PERSON	BARON BARTKKS	and;how;daughter		ruin	4.595	4.415	5.155	HOW THE RUINED BARON BARTKKS AWAY HIS  THREE DAUGHTERS, WULFILDA, ADELHEID,  AND BERTHA.
181	LOCATION	WULFILDA	and;how;daughter		ruin	4.595	4.415	5.155	HOW THE RUINED BARON BARTKKS AWAY HIS  THREE DAUGHTERS, WULFILDA, ADELHEID,  AND BERTHA.
181	PERSON	ADELHEID	and;how;daughter		ruin	4.595	4.415	5.155	HOW THE RUINED BARON BARTKKS AWAY HIS  THREE DAUGHTERS, WULFILDA, ADELHEID,  AND BERTHA.
181	PERSON	BERTHA	and;how;daughter		ruin	4.595	4.415	5.155	HOW THE RUINED BARON BARTKKS AWAY HIS  THREE DAUGHTERS, WULFILDA, ADELHEID,  AND BERTHA.
206	PERSON	Wulfilda	purchase;life;daughter;baron;wife;beast;s;instant;wrath	poor;great;eldest	fare;do;growl;disdain;eat;redeem;promise;think	5.44347826087	4.38956521739	5.44391304348	But the beast disdained the Baron"s fare, and  growled again in great wrath : " Do not think to  redeem thy life at so poor a purchase ; but promise  me thy eldest daughter, Wulfilda, to wife this  instant, else I will eat you up."
212	LOCATION	the country	ransom;home;accord;ing;custom		fetch	5.48833333333	3.80666666667	5.39166666667	that you ransom and fetch her home accord-  ing to the country custom."
214	PERSON	Baron	den;peace;bear;wood;way;castle;spirit;starlight	terrible;best;weary	make;hasten;stalk;arrive;separate	5.31	4.03705882353	5.27235294118	They then separated in peace, the bear stalking  back to his den, and the Baron, hastening out of  the terrible wood, made the best of his way to  his castle, where he arrived at starlight, weary and  out of spirits.
215	PERSON	Baron	castle;son-in-law;bear;time	shaggy;able	appoint;be;get;outwit;fortify;determine;come;think	5.81846153846	3.93	5.73692307692	And the Baron, thinking to outwit his  shaggy son-in-law, determined to fortify himself so  strongly in his castle, that the bear would not be  able to get in when he came at the appointed time
222	LOCATION	the roof	hair;eye;daughter;room	azure;golden;secret	tear;shut;weep;find	5.38333333333	4.0125	5.68583333333	where he found a secret room under the roof; here  he shut up his daughter, who tore her golden hair,  and almost wept out her azure eyes.
230	LOCATION	the table	tumult;shout;lancet;window;key;dust;silver;cloud	east	look;see;hear;lay;arise;take	5.63941176471	4.04470588235	5.56941176471	But there lay on the table a silver key,  which she took up, and then looking through a  lancet window, she saw a cloud of dust arise  towards the east, and heard the tumult and shout-
233	PERSON	Baroness	apparel;sorrow;concert;mourning	live-long	put;weep;descend	4.67818181818	3.92454545455	5.14181818182	The Baroness then descended in sorrow  from the tower, put on mourning apparel, and  wept three live-long days in concert with her
233	LOCATION	the tower	apparel;sorrow;concert;mourning	live-long	put;weep;descend	4.67818181818	3.92454545455	5.14181818182	The Baroness then descended in sorrow  from the tower, put on mourning apparel, and  wept three live-long days in concert with her
239	PERSON	Baroness	field;charge;daughter;baron		traverse;take	5.443	4.021	5.331	The Baroness and her  daughters again took charge of the kitchen, while  the Baron traversed the fields day after day with
239	LOCATION	the kitchen	field;charge;daughter;baron		traverse;take	5.443	4.021	5.331	The Baroness and her  daughters again took charge of the kitchen, while  the Baron traversed the fields day after day with
244	LOCATION	the wood	eagle;wood;bird;hawk;baron	sudden;mighty;afraid;old	fly;be;arise;give;pursue;chant;lose;enter	5.43904761905	4.39095238095	5.39380952381	The bird flew towards the en-  chanted wood, which the Baron was afraid to  enter, and so gave up his old hawk for lost On  a sudden a mighty eagle arose from out of the  wood and pursued the hawk, which was no sooner
246	PERSON	Baron	enemy;monster;spear	affrighted;enraged	try;beat;thrust;strike	3.861	4.948	4.773	The affrighted Baron  tried to beat off" the enraged monster with his  spear, and struck and thrust hard at the enemy.
268	LOCATION	the castle	eagle;notice;daughter;wife;s;adventure;time;reproach	cheerful;unhappy	come;make;save;return;take	5.945	4.4675	5.500625	He returned quite cheerful to the castle, but took  no notice of the adventure, partly to save himself  the reproaches of his wife, and partly lest he should  make his daughter unhappy before the time of the  eagle"s coming.
269	PERSON	Adelheid	weaver;spinster	skilful;best	be;have	5.42333333333	3.79666666667	5.57166666667	Adelheid was the best spinster in the county ;  she was, also, a skilful weaver, and had just then
269	LOCATION	the county	weaver;spinster	skilful;best	be;have	5.42333333333	3.79666666667	5.57166666667	Adelheid was the best spinster in the county ;  she was, also, a skilful weaver, and had just then
