PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
20	LOCATION	LONDON				5.0	5.0	5.0	LONDON :
21	LOCATION	NEW YORK	beekman;street			6.375	4.295	5.315	NEW YORK: 18, BEEKMAN STREET.
34	PERSON	Prince	sprite			5.895	4.735	4.955	Prince Sprite 70
35	PERSON	Princess	printaniere			7.64	5.42	5.74	Princess Printaniere 105
36	PERSON	Princess Rosette				7.64	5.42	5.74	Princess Rosette 126"
42	PERSON	Fortun				5.0	5.0	5.0	Fortun^e 246
46	PERSON	Princess	carpillon			7.64	5.42	5.74	The Princess Carpillon 332
52	PERSON	Prince Cheri	belle-etoile;pniy			5.44	5.15	4.39	Pniy ^ Belle-Etoile and Prince Cheri 559
58	PERSON	Fairy	d;integrity;time;tale;aulnoy;reader;countess	pre;strange;old;delighted;young	be;say;sent;have	5.97388888889	3.97833333333	5.81	The Fairy Tales of the Countess d"Aulnoy, after  having delighted old and young for nearly two hundred  years, are now, strange to say, for the first time pre-  sented to the English reader in their integrity.
65	LOCATION	London	edition;writer;preface		say;pretend	5.56428571429	4.09714285714	5.56142857143	And yet the writer of the Preface to the  fifth edition (London, 1766) says, " I shall not pretend
70	LOCATION	Bevenge	omission;love;babiole;palace;au;fortunee;contes;perfect;story;le;concoction;auneuil;destroyed;^;anguilletta;knights-errant;fairies;hand;charity;tyranny;e;d;f;des;madame;place;aulnoy;countess	extraordinary;^;several;young;handsome	be;presume;compound;perpetrate;take;deceive;imagine;contain;throw;hope	5.71088235294	4.28705882353	5.53	I must,  in charity, hope not, and imagine that he was himself  deceived by the " several hands " who perpetrated the  extraordinary concoction in which " The Palace of  Bevenge,^" " Anguilletta,^^ "Young and Handsome,^^  and " Perfect Love," by the Countess de Murat, take the  places of "Fortunee," "Babiole," "Serpentin Vert,"  "Prince Marcassin," and "Le Dauphin ;^^ while "The  Knights-Errant,^^ and "The Tyranny of the Fairies  Destroyed," by the Countess d"Auneuil, are thrown in,  I presume, to compound for the omission of " La Biche  au Bois," " La Grenouille Bienfaisante,^^ and the nine  stories contained in the " Contes des F^es " of Madame  d"Aulnoy.
70	PERSON	Countess de Murat	omission;love;babiole;palace;au;fortunee;contes;perfect;story;le;concoction;auneuil;destroyed;^;anguilletta;knights-errant;fairies;hand;charity;tyranny;e;d;f;des;madame;place;aulnoy;countess	extraordinary;^;several;young;handsome	be;presume;compound;perpetrate;take;deceive;imagine;contain;throw;hope	5.71088235294	4.28705882353	5.53	I must,  in charity, hope not, and imagine that he was himself  deceived by the " several hands " who perpetrated the  extraordinary concoction in which " The Palace of  Bevenge,^" " Anguilletta,^^ "Young and Handsome,^^  and " Perfect Love," by the Countess de Murat, take the  places of "Fortunee," "Babiole," "Serpentin Vert,"  "Prince Marcassin," and "Le Dauphin ;^^ while "The  Knights-Errant,^^ and "The Tyranny of the Fairies  Destroyed," by the Countess d"Auneuil, are thrown in,  I presume, to compound for the omission of " La Biche  au Bois," " La Grenouille Bienfaisante,^^ and the nine  stories contained in the " Contes des F^es " of Madame  d"Aulnoy.
70	PERSON	Serpentin Vert	omission;love;babiole;palace;au;fortunee;contes;perfect;story;le;concoction;auneuil;destroyed;^;anguilletta;knights-errant;fairies;hand;charity;tyranny;e;d;f;des;madame;place;aulnoy;countess	extraordinary;^;several;young;handsome	be;presume;compound;perpetrate;take;deceive;imagine;contain;throw;hope	5.71088235294	4.28705882353	5.53	I must,  in charity, hope not, and imagine that he was himself  deceived by the " several hands " who perpetrated the  extraordinary concoction in which " The Palace of  Bevenge,^" " Anguilletta,^^ "Young and Handsome,^^  and " Perfect Love," by the Countess de Murat, take the  places of "Fortunee," "Babiole," "Serpentin Vert,"  "Prince Marcassin," and "Le Dauphin ;^^ while "The  Knights-Errant,^^ and "The Tyranny of the Fairies  Destroyed," by the Countess d"Auneuil, are thrown in,  I presume, to compound for the omission of " La Biche  au Bois," " La Grenouille Bienfaisante,^^ and the nine  stories contained in the " Contes des F^es " of Madame  d"Aulnoy.
70	PERSON	Prince Marcassin	omission;love;babiole;palace;au;fortunee;contes;perfect;story;le;concoction;auneuil;destroyed;^;anguilletta;knights-errant;fairies;hand;charity;tyranny;e;d;f;des;madame;place;aulnoy;countess	extraordinary;^;several;young;handsome	be;presume;compound;perpetrate;take;deceive;imagine;contain;throw;hope	5.71088235294	4.28705882353	5.53	I must,  in charity, hope not, and imagine that he was himself  deceived by the " several hands " who perpetrated the  extraordinary concoction in which " The Palace of  Bevenge,^" " Anguilletta,^^ "Young and Handsome,^^  and " Perfect Love," by the Countess de Murat, take the  places of "Fortunee," "Babiole," "Serpentin Vert,"  "Prince Marcassin," and "Le Dauphin ;^^ while "The  Knights-Errant,^^ and "The Tyranny of the Fairies  Destroyed," by the Countess d"Auneuil, are thrown in,  I presume, to compound for the omission of " La Biche  au Bois," " La Grenouille Bienfaisante,^^ and the nine  stories contained in the " Contes des F^es " of Madame  d"Aulnoy.
70	LOCATION	Dauphin	omission;love;babiole;palace;au;fortunee;contes;perfect;story;le;concoction;auneuil;destroyed;^;anguilletta;knights-errant;fairies;hand;charity;tyranny;e;d;f;des;madame;place;aulnoy;countess	extraordinary;^;several;young;handsome	be;presume;compound;perpetrate;take;deceive;imagine;contain;throw;hope	5.71088235294	4.28705882353	5.53	I must,  in charity, hope not, and imagine that he was himself  deceived by the " several hands " who perpetrated the  extraordinary concoction in which " The Palace of  Bevenge,^" " Anguilletta,^^ "Young and Handsome,^^  and " Perfect Love," by the Countess de Murat, take the  places of "Fortunee," "Babiole," "Serpentin Vert,"  "Prince Marcassin," and "Le Dauphin ;^^ while "The  Knights-Errant,^^ and "The Tyranny of the Fairies  Destroyed," by the Countess d"Auneuil, are thrown in,  I presume, to compound for the omission of " La Biche  au Bois," " La Grenouille Bienfaisante,^^ and the nine  stories contained in the " Contes des F^es " of Madame  d"Aulnoy.
70	LOCATION	La Biche	omission;love;babiole;palace;au;fortunee;contes;perfect;story;le;concoction;auneuil;destroyed;^;anguilletta;knights-errant;fairies;hand;charity;tyranny;e;d;f;des;madame;place;aulnoy;countess	extraordinary;^;several;young;handsome	be;presume;compound;perpetrate;take;deceive;imagine;contain;throw;hope	5.71088235294	4.28705882353	5.53	I must,  in charity, hope not, and imagine that he was himself  deceived by the " several hands " who perpetrated the  extraordinary concoction in which " The Palace of  Bevenge,^" " Anguilletta,^^ "Young and Handsome,^^  and " Perfect Love," by the Countess de Murat, take the  places of "Fortunee," "Babiole," "Serpentin Vert,"  "Prince Marcassin," and "Le Dauphin ;^^ while "The  Knights-Errant,^^ and "The Tyranny of the Fairies  Destroyed," by the Countess d"Auneuil, are thrown in,  I presume, to compound for the omission of " La Biche  au Bois," " La Grenouille Bienfaisante,^^ and the nine  stories contained in the " Contes des F^es " of Madame  d"Aulnoy.
70	PERSON	Bois	omission;love;babiole;palace;au;fortunee;contes;perfect;story;le;concoction;auneuil;destroyed;^;anguilletta;knights-errant;fairies;hand;charity;tyranny;e;d;f;des;madame;place;aulnoy;countess	extraordinary;^;several;young;handsome	be;presume;compound;perpetrate;take;deceive;imagine;contain;throw;hope	5.71088235294	4.28705882353	5.53	I must,  in charity, hope not, and imagine that he was himself  deceived by the " several hands " who perpetrated the  extraordinary concoction in which " The Palace of  Bevenge,^" " Anguilletta,^^ "Young and Handsome,^^  and " Perfect Love," by the Countess de Murat, take the  places of "Fortunee," "Babiole," "Serpentin Vert,"  "Prince Marcassin," and "Le Dauphin ;^^ while "The  Knights-Errant,^^ and "The Tyranny of the Fairies  Destroyed," by the Countess d"Auneuil, are thrown in,  I presume, to compound for the omission of " La Biche  au Bois," " La Grenouille Bienfaisante,^^ and the nine  stories contained in the " Contes des F^es " of Madame  d"Aulnoy.
71	PERSON	Fairy	ckkvx;story;omission;e;humour;f;series;alteiatioius;merit;tale;tl;les;mode;interest;vehicle;^;cassin	ingenious;little;unnecessary;fancy;sprightly;considerable	be;want;consist;conclude;introduce;^;entitle;concern;interlard;possess	5.6940625	3.985	5.6359375	The  omissions consist of, first, the Novels with which the  second series of her Fairy Tales, entitled, " Les F^es  ^ la Mode," were interlarded, possessing little interest  in themselves, and unnecessary as vehicles for the  sprightly and ingenious stories they introduce; and,  secondly, of the two concluding tales, " Prince Mar-  cassin," and " Le Dauphin," which, though not wanting  in merit, as far as fancy and humour are concerned,  could not, without considerable alteiatioii^ \tl ^)ckKvx
71	PERSON	Prince	ckkvx;story;omission;e;humour;f;series;alteiatioius;merit;tale;tl;les;mode;interest;vehicle;^;cassin	ingenious;little;unnecessary;fancy;sprightly;considerable	be;want;consist;conclude;introduce;^;entitle;concern;interlard;possess	5.6940625	3.985	5.6359375	The  omissions consist of, first, the Novels with which the  second series of her Fairy Tales, entitled, " Les F^es  ^ la Mode," were interlarded, possessing little interest  in themselves, and unnecessary as vehicles for the  sprightly and ingenious stories they introduce; and,  secondly, of the two concluding tales, " Prince Mar-  cassin," and " Le Dauphin," which, though not wanting  in merit, as far as fancy and humour are concerned,  could not, without considerable alteiatioii^ \tl ^)ckKvx
71	PERSON	Le Dauphin	ckkvx;story;omission;e;humour;f;series;alteiatioius;merit;tale;tl;les;mode;interest;vehicle;^;cassin	ingenious;little;unnecessary;fancy;sprightly;considerable	be;want;consist;conclude;introduce;^;entitle;concern;interlard;possess	5.6940625	3.985	5.6359375	The  omissions consist of, first, the Novels with which the  second series of her Fairy Tales, entitled, " Les F^es  ^ la Mode," were interlarded, possessing little interest  in themselves, and unnecessary as vehicles for the  sprightly and ingenious stories they introduce; and,  secondly, of the two concluding tales, " Prince Mar-  cassin," and " Le Dauphin," which, though not wanting  in merit, as far as fancy and humour are concerned,  could not, without considerable alteiatioii^ \tl ^)ckKvx
74	LOCATION	the plot	story;appendii;analysis;page;fd;woa;order	brief;complete;possible	be;find;render	5.90615384615	3.62538461538	5.90538461538	In order, however, to render the woA  as complete as possible, a brief analysis of the plot fd  each of these stories will be found in the Appendii,  page 609.
76	LOCATION	Versailles	court;favourite;manners;fiction;pastime;hope;interest;pomp;dress;flexion	new;old;amusing;curious	be;impart;describe;find;indulge	5.92391304348	4.16086956522	5.63826086957	I indulge in the hope that a new interest will be  imparted to these old favourites, when they shall be  found to be not only amusing fictions, but curious re-  flexions of the Courts of Versailles and Madrid, at the  006 of the seventeenth century ; the dress and manners  xmrately described, and the pomps and pastimes in
76	LOCATION	Madrid	court;favourite;manners;fiction;pastime;hope;interest;pomp;dress;flexion	new;old;amusing;curious	be;impart;describe;find;indulge	5.92391304348	4.16086956522	5.63826086957	I indulge in the hope that a new interest will be  imparted to these old favourites, when they shall be  found to be not only amusing fictions, but curious re-  flexions of the Courts of Versailles and Madrid, at the  006 of the seventeenth century ; the dress and manners  xmrately described, and the pomps and pastimes in
79	LOCATION	the margin	information;story;explanation;nece;remark;foot-note	such;sary;immediate;evident;additional	be;appear;incumber;have;contain;interrupt;think;append	5.5505	3.652	5.5235	This will be  evident, I think, not only from the foot-notes I have  appended, when immediate explanation appeared neces-  sary, but in the Appendix, containing such additional  information and remarks as would have incumbered  the margin or interrupted the story.
80	LOCATION	the passage	text;endea;sense;author;solete;personage;idiom;other;inconsistency;approach;pain;power;confusion;hand;aforesaid;consideration;identity;attempt;name;language;ob;consequence;tion;expression	nearest;great;untranslated;much;various;proper;obscure;several	vour;be;pervert;render;add;leave;admit;spare;attain;have;translate;come;find;result	5.57739130435	3.98152173913	5.66565217391	I have only to add here, that while I have endea-  voured to render the text as literally as the idioms of  the two languages would admit, and spared no pains,  where the passage was obscure or the expression ob-  solete, in attaining the nearest approach in my power  to the sense of the author, (which has been frequently  most ludicrously perverted by the " several hands "  aforesaid,) I have left the proper names of the various  personages untranslated, having come to that determina-  tion after much consideration, and in consequence of the  great inconsistency and confusion of identity I found  had resulted from the attempts to translate them by  others.
81	LOCATION	Lulli	parterre;colour;verse;spirit;s;period;prose;music;painting;moralit;^	incidental;true;original	be;compose;render;call;retain;trust;find	5.97	3.95545454545	6.00181818182	The incidental verse, and the "moralit^s," as they  are called, though unavoidably not so literally rendered  as the prose, will, I trust, be found as true to the spirit  of the original, and retaining the colour of the period in  which it was composed,  the period of Lulli, in music ;  and in painting, of Watteau and Parterre.
81	PERSON	Watteau	parterre;colour;verse;spirit;s;period;prose;music;painting;moralit;^	incidental;true;original	be;compose;render;call;retain;trust;find	5.97	3.95545454545	6.00181818182	The incidental verse, and the "moralit^s," as they  are called, though unavoidably not so literally rendered  as the prose, will, I trust, be found as true to the spirit  of the original, and retaining the colour of the period in  which it was composed,  the period of Lulli, in music ;  and in painting, of Watteau and Parterre.
88	PERSON	Hie	hotel;ftootn	open;t.fioir;magnificent	be;throw	6.284	4.29	5.886	Hie  ftootN of t.fioir magnificent hotels were thrown open to the
90	PERSON	the man	tlio;tho;r;t;world;man			5.46	4.654	5.2	t\r tlio man of tho world and the man
94	LOCATION	the village	table;ilu;m;mil;pastor			5.328	3.872	5.48	"M Mil ilu table of the village pastor and of the
95	LOCATION	the cottage	read;wuro;v			6.09	3.95	5.482	V wuro read of an evening by the cottage
101	PERSON	Miirat	aulnoy;tin;auneuil;d;miitmniiii			4.98333333333	4.24333333333	5.18	,miitMniiii tin Miirat, d"Aulnoy, d"Auneuil and
110	PERSON	Marquis de Gadaine	bcxa;m;mother		die;marry;be	5.32	4.90714285714	5.02285714286	(2) Her mother married secondly the Marquis de Gadaine, and died ai M^^bCxA*
113	PERSON	Monsieur	h6ere;daughter;facility;nobody;madame;anecdote;president;line;composition;conversatioa		relate;equal;leave;evince;follow;address;become	5.594375	3.7725	5.4675	Nobody could  relate an anecdote better or more seasonably, and her facility  in composition equalled that evinced in her conversatioa  She left four daughters, one of whom became Madame de  H6ere, to whom Monsieur le President de Vertron addressed  the following lines :
113	PERSON	de Vertron	h6ere;daughter;facility;nobody;madame;anecdote;president;line;composition;conversatioa		relate;equal;leave;evince;follow;address;become	5.594375	3.7725	5.4675	Nobody could  relate an anecdote better or more seasonably, and her facility  in composition equalled that evinced in her conversatioa  She left four daughters, one of whom became Madame de  H6ere, to whom Monsieur le President de Vertron addressed  the following lines :
115	LOCATION	France	account;moire;jusqu;aulnoy;profit;list;pass6;work;m;s;name;other;book;de;cour;histo;preface;observation;opportunity;public;^	own;est;mine	be;moire;give;vary;depui;see;write;call;have;print;follow;declare	5.72212121212	3.91454545455	5.55333333333	The list of her works varies in every account I have seen  of them ; but in her preface to her " M^moires de la Cour de  France," or, as it is more generally called, " M^moires Histo-  riques de ce qui s"est pass6 en Europe depuis 1672 jusqu"en  1679," Madame d"Aulnoy has given us one of her own, with  this observation ; " I profit by this opportunity to declare to  the public, that they have printed in Holland some books in  my name which are not mine, I having never written any  others than these following :
115	LOCATION	Europe	account;moire;jusqu;aulnoy;profit;list;pass6;work;m;s;name;other;book;de;cour;histo;preface;observation;opportunity;public;^	own;est;mine	be;moire;give;vary;depui;see;write;call;have;print;follow;declare	5.72212121212	3.91454545455	5.55333333333	The list of her works varies in every account I have seen  of them ; but in her preface to her " M^moires de la Cour de  France," or, as it is more generally called, " M^moires Histo-  riques de ce qui s"est pass6 en Europe depuis 1672 jusqu"en  1679," Madame d"Aulnoy has given us one of her own, with  this observation ; " I profit by this opportunity to declare to  the public, that they have printed in Holland some books in  my name which are not mine, I having never written any  others than these following :
115	LOCATION	Holland	account;moire;jusqu;aulnoy;profit;list;pass6;work;m;s;name;other;book;de;cour;histo;preface;observation;opportunity;public;^	own;est;mine	be;moire;give;vary;depui;see;write;call;have;print;follow;declare	5.72212121212	3.91454545455	5.55333333333	The list of her works varies in every account I have seen  of them ; but in her preface to her " M^moires de la Cour de  France," or, as it is more generally called, " M^moires Histo-  riques de ce qui s"est pass6 en Europe depuis 1672 jusqu"en  1679," Madame d"Aulnoy has given us one of her own, with  this observation ; " I profit by this opportunity to declare to  the public, that they have printed in Holland some books in  my name which are not mine, I having never written any  others than these following :
119	PERSON	Jean de Buurbon				5.745	3.78	4.79	Jean de Buurbon, Prince de Carency.
119	PERSON	Prince de Carency				5.745	3.78	4.79	Jean de Buurbon, Prince de Carency.
120	PERSON	Les Nouvelles Espagnoles				5.0	5.0	5.0	Les Nouvelles Espagnoles.
126	PERSON	Fairy	volume;voyage;title;espagne;hipolite;work;correction;travels;edition;s;letter;translation;ception	ingenious;much;rare	be;reach;publish;have;need;divert;reprint	5.58192307692	4.08038461538	5.605	All her works, with the ex-  ception of the Fairy Tales, are now excessively rare, both in  France and England, though a translation of " Hipolite " was  published in 1741, and of the " Voyage en Espagne," under  the title of "Ingenious and diverting Letters of a Lady"s  Travels into Spain," which had reached its eighth edition in  1717, and was reprinted in two volumes, with corrections  (much needed), in 1808.
126	LOCATION	France	volume;voyage;title;espagne;hipolite;work;correction;travels;edition;s;letter;translation;ception	ingenious;much;rare	be;reach;publish;have;need;divert;reprint	5.58192307692	4.08038461538	5.605	All her works, with the ex-  ception of the Fairy Tales, are now excessively rare, both in  France and England, though a translation of " Hipolite " was  published in 1741, and of the " Voyage en Espagne," under  the title of "Ingenious and diverting Letters of a Lady"s  Travels into Spain," which had reached its eighth edition in  1717, and was reprinted in two volumes, with corrections  (much needed), in 1808.
126	LOCATION	England	volume;voyage;title;espagne;hipolite;work;correction;travels;edition;s;letter;translation;ception	ingenious;much;rare	be;reach;publish;have;need;divert;reprint	5.58192307692	4.08038461538	5.605	All her works, with the ex-  ception of the Fairy Tales, are now excessively rare, both in  France and England, though a translation of " Hipolite " was  published in 1741, and of the " Voyage en Espagne," under  the title of "Ingenious and diverting Letters of a Lady"s  Travels into Spain," which had reached its eighth edition in  1717, and was reprinted in two volumes, with corrections  (much needed), in 1808.
126	PERSON	Lady	volume;voyage;title;espagne;hipolite;work;correction;travels;edition;s;letter;translation;ception	ingenious;much;rare	be;reach;publish;have;need;divert;reprint	5.58192307692	4.08038461538	5.605	All her works, with the ex-  ception of the Fairy Tales, are now excessively rare, both in  France and England, though a translation of " Hipolite " was  published in 1741, and of the " Voyage en Espagne," under  the title of "Ingenious and diverting Letters of a Lady"s  Travels into Spain," which had reached its eighth edition in  1717, and was reprinted in two volumes, with corrections  (much needed), in 1808.
126	LOCATION	Spain	volume;voyage;title;espagne;hipolite;work;correction;travels;edition;s;letter;translation;ception	ingenious;much;rare	be;reach;publish;have;need;divert;reprint	5.58192307692	4.08038461538	5.605	All her works, with the ex-  ception of the Fairy Tales, are now excessively rare, both in  France and England, though a translation of " Hipolite " was  published in 1741, and of the " Voyage en Espagne," under  the title of "Ingenious and diverting Letters of a Lady"s  Travels into Spain," which had reached its eighth edition in  1717, and was reprinted in two volumes, with corrections  (much needed), in 1808.
