PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
7	PERSON	CHARLES WELSH ARTHUR T. HADLEY				4.53	4.0	4.89	CHARLES WELSH  ARTHUR T. HADLEY
9	PERSON	EDWIN ARNOLD		sr		5.0	5.0	5.0	SR EDWIN ARNOLD
11	PERSON	BUSS CARMAN				5.0	5.0	5.0	BUSS CARMAN
12	PERSON	ALDEN	cynima;westover			5.0	5.0	5.0	CyNimA WESTOVER ALDEN
14	PERSON	EDWIN KIRK RAWSON				5.0	5.0	5.0	EDWIN KIRK RAWSON
17	PERSON	ROBERT E. PEARY		ueutenant		5.0	5.0	5.0	UEUTENANT ROBERT E. PEARY
18	PERSON	EDWARD BROOKS				5.0	5.0	5.0	EDWARD BROOKS
19	PERSON	W. P. TRENT	professor			5.72	3.85	4.44	PROFESSOR W. P. TRENT
21	PERSON	HENRY S. PRITCHETT				5.0	5.0	5.0	HENRY S. PRITCHETT
23	PERSON	ABBIE FARWELL BROWN				5.52	3.32	4.65	ABBIE FARWELL BROWN
24	PERSON	NATHAN H. DOLE				4.95	4.4	4.82	NATHAN H. DOLE
34	LOCATION	DEWEY	director;melvil			6.1725	3.675	6.0275	MELVIL DEWEY, Director of New York State Library. "
36	PERSON	G. D. ROBERTS	c;editor			5.47666666667	3.95	5.18	C G. D. ROBERTS, Editor and Historian.
38	PERSON	ARTHUR T. HADLEY	president			6.07	4.035	5.11	ARTHUR T. HADLEY, President Yale University.
39	LOCATION	California	benjamin;president;wheeler;ide;university			6.07	4.035	5.11	BENJAMIN IDE WHEELER, President University of California.
40	LOCATION	Asia	light;author			6.44	3.125	6.135	Author of  "The Light of Asia," etc.
42	PERSON	Interna	founder	tional		6.27666666667	4.60666666667	5.81333333333	Founder Interna-  tional Sunshine Society.
45	PERSON	BLISS CARMAN	poet;journalist			6.59	3.63333333333	6.11666666667	BLISS CARMAN, Journalist and Poet
46	PERSON	HENRY S. PRITCHETT	nology;president			5.30333333333	3.81	5.06	HENRY S. PRITCHETT, President Massachusetts Institute of Tech-  nology.
47	PERSON	RICHARD HENRY DANA	lecturer;lawyer;author			4.89666666667	3.38666666667	4.94	RICHARD HENRY DANA, Lawyer, Author and Lecturer.
48	PERSON	ROBERT E. PEARY	lieutenant;inventor;author;engineer	civil		5.62714285714	3.96285714286	5.83	ROBERT E. PEARY, Lieutenant and Civil Engineer, U. S. N. Arctic  Explorer, Author and Inventor.
48	PERSON	U. S. N. Arctic Explorer	lieutenant;inventor;author;engineer	civil		5.62714285714	3.96285714286	5.83	ROBERT E. PEARY, Lieutenant and Civil Engineer, U. S. N. Arctic  Explorer, Author and Inventor.
49	PERSON	W. P. TRENT	professor			6.36666666667	3.93	5.4	W. P. TRENT, Professor of English Literature, Columbia University.
50	PERSON	ABBIE FARWELL BROWN	s;stories;children;author			5.8025	4.035	5.495	ABBIE FARWELL BROWN, Author of Children"s Stories.
51	PERSON	EDWARD BROOKS	schools;superintendent;public;delphium;author			5.50666666667	3.10666666667	5.49333333333	EDWARD BROOKS, Author, Superintendent Public Schools of Phila-  delphia.
51	LOCATION	Phila	schools;superintendent;public;delphium;author			5.50666666667	3.10666666667	5.49333333333	EDWARD BROOKS, Author, Superintendent Public Schools of Phila-  delphia.
52	PERSON	THOMAS WENTWORTH HIGGINSON	author			6.33	2.73	6.38	THOMAS WENTWORTH HIGGINSON, Author.
54	PERSON	NATHAN H. DOLE	translator;writer			5.58	4.38	5.19333333333	NATHAN H. DOLE, Writer and Translator.
72	PERSON	BEATRICE STEVENS				5.0	5.0	5.0	BEATRICE STEVENS
100	PERSON	Princess	mountain;giant;end;beauty;joy;life;back;fruit;dragon;water;glass;s;courage;resurrection;happiness	marvellous;distressed;>;cunning	restore;devdop;rescue;sla3r;conquer;clind;go;fetch	6.10038461538	4.72115384615	5.79	He unexpectedly devdops a marvellous cunning and  courage; he sla3rs dragons; he conquers giants; he  clind&gt;s mountains of glass; he rescues the distressed  Princess ; he even goes to the end of the earth to fetch  her back the Fruit of Happiness or the Water of  Life so that he may restore her into a resurrection of  joy and beauty.
100	LOCATION	the earth	mountain;giant;end;beauty;joy;life;back;fruit;dragon;water;glass;s;courage;resurrection;happiness	marvellous;distressed;>;cunning	restore;devdop;rescue;sla3r;conquer;clind;go;fetch	6.10038461538	4.72115384615	5.79	He unexpectedly devdops a marvellous cunning and  courage; he sla3rs dragons; he conquers giants; he  clind&gt;s mountains of glass; he rescues the distressed  Princess ; he even goes to the end of the earth to fetch  her back the Fruit of Happiness or the Water of  Life so that he may restore her into a resurrection of  joy and beauty.
102	PERSON	David	shepherd;story;significance	spiritual;same	be;tell	6.09714285714	3.73	5.60714285714	The spiritual significance of the story is the same  whether it be told of David, the Hebrew shepherd
108	LOCATION	Germany	king;giant;obscurity;bench;rope;tailor;unicorn;boar;home	beautiful;little	be;slay;marry;ravage;bring;tie;go;destroy;come;tell	5.65068965517	4.30862068966	5.45344827586	be a king; or whether it be told of the little Tailor of  Germany, who went forth from the obscurity of his  bench to slay the giants, to destroy the wild boar that  ravaged the land, to bring home the unicorn, tied  with ropes, to marry the beautiful Princess, to be-  come a king.
108	LOCATION	the wild	king;giant;obscurity;bench;rope;tailor;unicorn;boar;home	beautiful;little	be;slay;marry;ravage;bring;tie;go;destroy;come;tell	5.65068965517	4.30862068966	5.45344827586	be a king; or whether it be told of the little Tailor of  Germany, who went forth from the obscurity of his  bench to slay the giants, to destroy the wild boar that  ravaged the land, to bring home the unicorn, tied  with ropes, to marry the beautiful Princess, to be-  come a king.
