PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
0	PERSON	Fairy	tale;folk			6.27666666667	3.52666666667	6.19	Folk and Fairy Tales.
2	PERSON	ASBJORNSEN				5.0	5.0	5.0	ASBJORNSEN.
5	PERSON	H. L. BR	kstad		^	5.0	5.0	5.0	H. L. BR^KSTAD,
7	PERSON	Edmund W. Gosse	introduction			5.405	4.45	5.18	With an Introduction by Edmund W. Gosse.
10	LOCATION	NEW YORK				7.68	5.14	5.22	NEW YORK :
30	PERSON	Matthias	stories;s;hunter			5.0	5.0	5.0	Matthias the Hunter"s Stories
51	PERSON	Mother Bertha	s;stories			6.265	4.865	5.555	Mother Bertha"s Stories 114
53	PERSON	Billy Goats	hills		go	5.875	4.12	5.39	The Three Billy Goats who went up into the Hills to
58	PERSON	Peter Gynt				5.0	5.0	5.0	Peter Gynt 145
61	PERSON	the king	s;l68;ashiefattle		hare	5.87	4.06333333333	5.19	ashiefattle and the king"s hares l68
63	PERSON	Peik				5.0	5.0	5.0	Peik 194
66	PERSON	Johannes Blessom	giant			5.41	5.1	6.68	The Giant and Johannes Blessom 209
72	PERSON	Hans	laugh		make	7.09666666667	5.23666666667	6.45	Hans who made the Princess Laugh 269
72	PERSON	Princess	laugh		make	7.09666666667	5.23666666667	6.45	Hans who made the Princess Laugh 269
74	PERSON	Witch				3.14	5.3	4.79	The Witch 295
86	LOCATION	England	literature;language;idiom;people;writer;well;thing;speech;way;dare	startling;great;own;ripe;classical;vulgar;bright;poetical;enriched;fresh;vernacular	be;have;write;renew;realise;speak	5.89620689655	4.08620689655	5.72482758621	Here in  England, where our poetical language has been repeatedly  renewed at the fresh wells of the vernacular, where Chaucer  and the Elizabethans, Butler, and Burns, and Dickens, each in  his own way, have constantly enriched our classical speech  with the bright idioms of the vulgar, we can scarcely realise  how startling a thing it is when a great writer first dares, in  a ripe literature, to write exactly as people commonly speak
86	PERSON	Chaucer	literature;language;idiom;people;writer;well;thing;speech;way;dare	startling;great;own;ripe;classical;vulgar;bright;poetical;enriched;fresh;vernacular	be;have;write;renew;realise;speak	5.89620689655	4.08620689655	5.72482758621	Here in  England, where our poetical language has been repeatedly  renewed at the fresh wells of the vernacular, where Chaucer  and the Elizabethans, Butler, and Burns, and Dickens, each in  his own way, have constantly enriched our classical speech  with the bright idioms of the vulgar, we can scarcely realise  how startling a thing it is when a great writer first dares, in  a ripe literature, to write exactly as people commonly speak
86	PERSON	Butler	literature;language;idiom;people;writer;well;thing;speech;way;dare	startling;great;own;ripe;classical;vulgar;bright;poetical;enriched;fresh;vernacular	be;have;write;renew;realise;speak	5.89620689655	4.08620689655	5.72482758621	Here in  England, where our poetical language has been repeatedly  renewed at the fresh wells of the vernacular, where Chaucer  and the Elizabethans, Butler, and Burns, and Dickens, each in  his own way, have constantly enriched our classical speech  with the bright idioms of the vulgar, we can scarcely realise  how startling a thing it is when a great writer first dares, in  a ripe literature, to write exactly as people commonly speak
86	PERSON	Burns	literature;language;idiom;people;writer;well;thing;speech;way;dare	startling;great;own;ripe;classical;vulgar;bright;poetical;enriched;fresh;vernacular	be;have;write;renew;realise;speak	5.89620689655	4.08620689655	5.72482758621	Here in  England, where our poetical language has been repeatedly  renewed at the fresh wells of the vernacular, where Chaucer  and the Elizabethans, Butler, and Burns, and Dickens, each in  his own way, have constantly enriched our classical speech  with the bright idioms of the vulgar, we can scarcely realise  how startling a thing it is when a great writer first dares, in  a ripe literature, to write exactly as people commonly speak
86	PERSON	Dickens	literature;language;idiom;people;writer;well;thing;speech;way;dare	startling;great;own;ripe;classical;vulgar;bright;poetical;enriched;fresh;vernacular	be;have;write;renew;realise;speak	5.89620689655	4.08620689655	5.72482758621	Here in  England, where our poetical language has been repeatedly  renewed at the fresh wells of the vernacular, where Chaucer  and the Elizabethans, Butler, and Burns, and Dickens, each in  his own way, have constantly enriched our classical speech  with the bright idioms of the vulgar, we can scarcely realise  how startling a thing it is when a great writer first dares, in  a ripe literature, to write exactly as people commonly speak
95	PERSON	Jj	ia;t			5.0	5.0	5.0	t^ia^-Jj
110	PERSON	Asbjornsen	duty;chance;restoration;legend;probability	ancient	preserve;be;neglect;have;lose	5.31833333333	3.98166666667	5.2475	Had  Asbjornsen and Moe neglected the duty of preserving the  ancient legends, they would now, in all probability, be lost  beyond the chance of restoration.
110	PERSON	Moe	duty;chance;restoration;legend;probability	ancient	preserve;be;neglect;have;lose	5.31833333333	3.98166666667	5.2475	Had  Asbjornsen and Moe neglected the duty of preserving the  ancient legends, they would now, in all probability, be lost  beyond the chance of restoration.
119	PERSON	Asbjornsen	genius;tale;quintessence;s;peasant;reader;temper		find	5.65875	4.2575	5.98625	In Asbjornsen"s  tales the English reader will find, in its quintessence, the genius  and temper of the Norwegian peasant
121	PERSON	EDMUND W. GOSSE				5.0	5.0	5.0	EDMUND W. GOSSE.
129	LOCATION	the town	story;people;age;custom;thought;way;contents	simple;unaffected;related	dwell;be;occur;render;remind	5.68619047619	3.94285714286	5.42380952381	Their thoughts dwelt mostly on the past, and when they,  as often might occur, related to me some stories of the town, its  people and its customs, these stories reminded me, not only by their  contents, but also by the simple unaffected way in which they were  rendered, of a past age.
137	PERSON	Miss Mcttc	style;land;visitor;courtesy;health;lady	elder;good;old	inquire;come;request;invite;enter	5.81444444444	4.015	5.76277777778	On my requesting the visitor to come in, the elder of my land-  ladies, Miss Mcttc, entered the room with a courtesy in the good  old style; she inquired after my health, and invited me without
137	LOCATION	the room	style;land;visitor;courtesy;health;lady	elder;good;old	inquire;come;request;invite;enter	5.81444444444	4.015	5.76277777778	On my requesting the visitor to come in, the elder of my land-  ladies, Miss Mcttc, entered the room with a courtesy in the good  old style; she inquired after my health, and invited me without
143	PERSON	Miss Cicely	sister;cilly;dusk;courtesy;lieutenant;s;chat;child;candle	younger;little;quiet	enjoy;be;do;light;drop;tumble;excuse;say;call;have;come	5.79617647059	4.04970588235	5.55558823529	" You must really excuse us, lieutenant, for not having lighted  the candles yet," said Miss Cicely, the younger sister, who was  generally called "Cilly," and who came towards me and dropped  a courtesy, exactly like her sister"s ; " but the children do so like  to tumble about here before the fire in the dusk of the evening,  and Madam Skau does also enjoy a quiet little chat in the chimney
143	LOCATION	the fire	sister;cilly;dusk;courtesy;lieutenant;s;chat;child;candle	younger;little;quiet	enjoy;be;do;light;drop;tumble;excuse;say;call;have;come	5.79617647059	4.04970588235	5.55558823529	" You must really excuse us, lieutenant, for not having lighted  the candles yet," said Miss Cicely, the younger sister, who was  generally called "Cilly," and who came towards me and dropped  a courtesy, exactly like her sister"s ; " but the children do so like  to tumble about here before the fire in the dusk of the evening,  and Madam Skau does also enjoy a quiet little chat in the chimney
143	PERSON	Madam Skau	sister;cilly;dusk;courtesy;lieutenant;s;chat;child;candle	younger;little;quiet	enjoy;be;do;light;drop;tumble;excuse;say;call;have;come	5.79617647059	4.04970588235	5.55558823529	" You must really excuse us, lieutenant, for not having lighted  the candles yet," said Miss Cicely, the younger sister, who was  generally called "Cilly," and who came towards me and dropped  a courtesy, exactly like her sister"s ; " but the children do so like  to tumble about here before the fire in the dusk of the evening,  and Madam Skau does also enjoy a quiet little chat in the chimney
143	LOCATION	the chimney	sister;cilly;dusk;courtesy;lieutenant;s;chat;child;candle	younger;little;quiet	enjoy;be;do;light;drop;tumble;excuse;say;call;have;come	5.79617647059	4.04970588235	5.55558823529	" You must really excuse us, lieutenant, for not having lighted  the candles yet," said Miss Cicely, the younger sister, who was  generally called "Cilly," and who came towards me and dropped  a courtesy, exactly like her sister"s ; " but the children do so like  to tumble about here before the fire in the dusk of the evening,  and Madam Skau does also enjoy a quiet little chat in the chimney
147	PERSON	Mother Skau	cilly;dusk;blame;nothing;gossip;bit;lady	better;little;old;asthmatic	be;like;get;arc;call;chat;answer	5.4785	4.1185	5.247	" Oh, chat me here and chat me there, there is nothing you like  yourself better than a little bit of gossip in the dusk of the evening,  Cilly, and then we arc to get the blame of it," answered the old  asthmatic lady whom they called Mother Skau.
