PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
7	LOCATION	New York	company			6.66	4.215	5.11	New York  FREDERICK A. STOKES COMPANY
7	PERSON	FREDERICK A. STOKES	company			6.66	4.215	5.11	New York  FREDERICK A. STOKES COMPANY
10	PERSON	FREDERICK A. STOKES	company;ibqa;copyright			5.035	3.125	5.25	Copyright, iBQa,  By FREDERICK A. STOKES COMPANY.
17	PERSON	Fairy	bishop			5.41333333333	4.60333333333	5.4	The Fairy Bishop, 3
18	PERSON	Rody	uncle			6.5	4.05	5.24	Uncle Rody, 16
19	PERSON	Westwind	^	fine		6.5	3.86	5.78	The Westwind and the Fine^ . . . 23
21	PERSON	Belle	blind;horse;seal;t;wasn;c2;wedding			5.51	4.11833333333	4.97	The Wedding That Wasn"t, ... 37  The Fious Nobleman and the Blind Horse, 44  The Belle and the Seal, . . . . C2
32	PERSON	M. H. M.				5.0	5.0	5.0	M. H. M.,
46	LOCATION	the house	son		swer;speak	6.2525	4.3925	5.575	He spoke of  this to the son of the house, who an-  swered :
54	PERSON	Jon	good-night;poppy		bid;say;hand	5.4925	4.3525	5.8575	and when Jon finally bade her good-night,  she handed him a poppy, saying:
68	LOCATION	the gate	todian;hand;cus;poppy	high;alarmed	be;notice;cry;work;turn;see;become;hold	5.58818181818	4.07636363636	5.51	Seeing how  beautifully it worked, and noticing the cus-  todians about the gate were becoming  alarmed, he held the poppy high in his hand,  and turning completely around, he cried :
75	PERSON	the lady	carriage;_		j	6.00333333333	3.85666666667	5.62333333333	_ j the lady in the carriage, for
81	PERSON	Jon	duty;maiden	younger	know	5.7	4.0	5.115	a younger maiden, but Jon knew his duty.
93	LOCATION	the door	moment;gentleman	open	be;cry;jerk;get	5.34333333333	4.42333333333	5.32	At that  moment the door was jerked open behind  him and a gentleman cried : ** Get away,
112	PERSON	Hightime	air;dent;bishop;despon		assume;say	5.01333333333	4.01833333333	5.59666666667	Bishop Hightime also assumed a despon-  dent air, and said:
129	LOCATION	the floor	doorway;mouse;bow	polite	stop;step;run;say	5.538	3.945	5.799	The mouse stepped quickly out  and ran across the floor, but stopped  in the doorway and said with a polite  bow :
139	PERSON	Uncle Rody	time		call;find	5.93375	3.56875	5.78375	Call three times for Uncle Rody ;  You will find him just the boy,  Just the boy !
139	PERSON	the boy	time		call;find	5.93375	3.56875	5.78375	Call three times for Uncle Rody ;  You will find him just the boy,  Just the boy !
139	PERSON	the boy	time		call;find	5.93375	3.56875	5.78375	Call three times for Uncle Rody ;  You will find him just the boy,  Just the boy !
153	PERSON	Uncle Rody	advice		remedy;say;take	5.795	3.9275	5.95625	" I can easily remedy that," said Uncle  Rody, " if you will only take my advice."
164	PERSON	Rody	uncle		smile	7.195	4.335	6.48	Uncle Rody smiled wearily.
237	LOCATION	the town	east;railway;train;capitalist		know;bear;enter	5.79777777778	3.74777777778	5.31333333333	A railway  train, just entering the town and bearing  some well known capitalists from the East,
240	LOCATION	the house	eye;family;fence;outbuilding;cart;cattle;hen		shoot;ail;run	5.80222222222	3.90111111111	5.36888888889	Before his eyes, as he  ran, the house and family, the outbuildings,  fences, cattle, carts, and hens, ail shot into
245	LOCATION	the window	eagle;school;mountain;house;boot;mile;foot	other	fly;be;discover;enter;go;stock	5.84473684211	4.05526315789	5.62894736842	If so, he  entered in his stocking feet, as one boot  went flying through the window of a school  house fifteen miles away, and the other  was discovered on the summit of Eagle  mountain.
245	LOCATION	the summit	eagle;school;mountain;house;boot;mile;foot	other	fly;be;discover;enter;go;stock	5.84473684211	4.05526315789	5.62894736842	If so, he  entered in his stocking feet, as one boot  went flying through the window of a school  house fifteen miles away, and the other  was discovered on the summit of Eagle  mountain.
248	PERSON	Westwind	story;hero;branch;protest;murmur;foot;carpet	brown;sure	fool;lie;tell;figure;be	5.31277777778	3.89444444444	5.19166666667	If you lie upon the brown carpet at  her feet she will tell you the story, while  the Westwind, who is sure to be fooling  among the branches, murmurs a protest  against figuring as a hero.
251	PERSON	Stillabel			be;pen;godchild	5.60333333333	3.72666666667	5.55666666667	Now it hap-  pened that Stillabel was godchild to an en-
254	PERSON	Chipper	bride;man	angry;old;youthful;merry	be;see;make;have;do	5.46666666667	4.366	5.592	Although she was  very angry with the merry Chipper, she saw  it would never do to make him an old man  again, as his youthful bride had done noth-
258	PERSON	Stillabel	poor;heart;fairy	broken;enterprising;evident	be;begin;fade;die	5.06833333333	4.37833333333	5.13	Poor  Stillabel began to fade away  and it was  very evident to the enterprising fairy that  she was dying of a broken heart.
