PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
6	LOCATION	GOULD	s.;baring			5.0	5.0	5.0	S. BARING GOULD, M.A.
6	PERSON	M.A.	s.;baring			5.0	5.0	5.0	S. BARING GOULD, M.A.
9	PERSON	F. D. BEDFORD	by		illustrate	6.24	3.78	5.73	ILLUSTRATED BY F. D. BEDFORD
13	LOCATION	LONDON				5.0	5.0	5.0	LONDON
25	LOCATION	the spring	tale;child	wherewith;native-grown	exhaust;supply;assure;let;have;be	5.90166666667	4.03166666667	5.64333333333	If English children like native-grown  tales, then let me assure them the spring is not  exhausted ; I have more wherewith to supply them.
26	PERSON	S. BARING GOULD				5.0	5.0	5.0	S. BARING GOULD.
27	PERSON	Lew Trenchard				5.0	5.0	5.0	Lew Trenchard, N. Devon.
27	PERSON	N. Devon				5.0	5.0	5.0	Lew Trenchard, N. Devon.
46	PERSON	I. Catskin				5.0	5.0	5.0	I. Catskin
48	PERSON	Prince	gardener			5.895	4.05	5.58	The Gardener Prince
51	PERSON	Princess	front;lady;con		step	5.425	4.24375	5.46	The Princess steps out of the Golden Bull and con-  fronts the three ladies of the court . . .60
51	LOCATION	the court	front;lady;con		step	5.425	4.24375	5.46	The Princess steps out of the Golden Bull and con-  fronts the three ladies of the court . . .60
53	PERSON	Southernwood		true	discover	7.345	5.34	6.895	Southernwood discovers the true Reeve of Lynn, when
53	PERSON	Reeve		true	discover	7.345	5.34	6.895	Southernwood discovers the true Reeve of Lynn, when
53	PERSON	Lynn		true	discover	7.345	5.34	6.895	Southernwood discovers the true Reeve of Lynn, when
56	PERSON	William	justice;sweetpea		follow	5.81	4.58	5.56	Sweetpea follows William to London for justice for
56	LOCATION	London	justice;sweetpea		follow	5.81	4.58	5.56	Sweetpea follows William to London for justice for
58	LOCATION	Turkey	factor			5.4	3.525	5.135	The Turkey Factor
63	LOCATION	Salisbury Plain	shepherds			5.08	2.68	5.56	The Shepherds of Salisbury Plain
64	PERSON	Raymond	shepherd;shep;herdess			5.25	4.35	5.24	Raymond as a shepherd and Imogen as a shep-  herdess . . . . . .15^
64	PERSON	Imogen	shepherd;shep;herdess			5.25	4.35	5.24	Raymond as a shepherd and Imogen as a shep-  herdess . . . . . .15^
69	PERSON	King	horn			5.5	4.335	5.605	King Horn
70	PERSON	Horn	palmer;place		disguise;take	5.098	4.324	5.36	Horn, disguised as a palmer, takes his place among the
72	PERSON	X. Havelock	argentile			5.0	5.0	5.0	X. Havelock and Argentile
73	PERSON	Havelock	flame;s;wake	argentile	see;issue	5.538	4.77	5.364	Argentile wakes to see flames issuing from Havelock"s
77	PERSON	Cadwallon				5.0	5.0	5.0	Cadwallon
78	PERSON	Brian	horse;bough		set;hide;brazen	5.295	4.1125	5.5025	Brian hides the brazen horse with boughs, and sets out
79	LOCATION	York	beggar			3.96	4.645	4.58	for York as a beggar .... 246
80	PERSON	King	story;edmund			6.635	3.985	5.43	The Story of King Edmund
81	PERSON	Thora	snake;milk	little	feed	5.9075	4.58	5.4825	Thora feeds the little snake with milk . . . 255
83	PERSON	Desideratus	maid	golden;fair	discover;fill	6.61	3.956	6.312	Desideratus discovers the fair maid filling the golden
85	PERSON	Grey	sir			5.45	4.33	5.11	Sir Grey, Sir Graham, and Sir Greyskin
85	PERSON	Graham	sir			5.45	4.33	5.11	Sir Grey, Sir Graham, and Sir Greyskin
85	PERSON	Greyskin	sir			5.45	4.33	5.11	Sir Grey, Sir Graham, and Sir Greyskin
86	PERSON	Greyskin	sir		conquer	5.06333333333	4.63	5.29666666667	Sir Greyskin conquers Sir Graham . . . 292
86	PERSON	Graham	sir		conquer	5.06333333333	4.63	5.29666666667	Sir Greyskin conquers Sir Graham . . . 292
88	PERSON	Robert	voice;heaven		hear	6.586	3.962	5.856	Robert, in the garden, hears a voice from heaven, and
88	LOCATION	the garden	voice;heaven		hear	6.586	3.962	5.856	Robert, in the garden, hears a voice from heaven, and
94	PERSON	Powel	knight		leave;clothe	5.3925	4.245	5.395	Powel leaves his knights in the orchard, and, clad as a
94	LOCATION	the orchard	knight		leave;clothe	5.3925	4.245	5.395	Powel leaves his knights in the orchard, and, clad as a
95	LOCATION	the palace	beggar		set	4.75	4.02	5.12333333333	beggar, sets out for the palace . . . 366
105	LOCATION	the house	girl	next	be;say;come;turn	5.87111111111	4.11	5.83222222222	If," said he, " the  next that comes be a girl, I will turn her out of the  house."
111	LOCATION	the country	encumbrance;money;father;birthday;mother;home;friend	good	feed;be;educate;oblige;confide;regard;see;have;pay;go;seem;dress;care	6.3775	3.99464285714	5.9075	She was confided to one who  had ever been a good friend to her mother in the  country far away from home, and her father never  went to see her, never seemed to care when was her  birthday ; he regarded her as an encumbrance, for  whom he was obliged to pay money to have her  properly dressed and fed and educated.
116	LOCATION	The land				6.61	3.05	5.94	The land up and down."
131	PERSON	the girl	hair;shoulder;girl;cap;beast	beautiful;brown	be;see;fall;stand;take	5.624	4.252	5.20666666667	Then the  girl stood up and took off her cap, and her beautiful  brown hair fell down over her shoulders, and the  lady saw that this was no beast, but a girl.
131	PERSON	the lady	hair;shoulder;girl;cap;beast	beautiful;brown	be;see;fall;stand;take	5.624	4.252	5.20666666667	Then the  girl stood up and took off her cap, and her beautiful  brown hair fell down over her shoulders, and the  lady saw that this was no beast, but a girl.
135	PERSON	The lady			say	6.41	4.24	6.375	The lady said to her,
136	LOCATION	the kitchen			come	5.905	3.545	5.915	Come into the kitchen,
139	PERSON	Fairy				5.28333333333	4.20333333333	5.59666666667	The Old English Fairy Tales
140	PERSON	the lady			thank	7.34	3.69	6.38	Then she thanked the lady,
150	PERSON	the girl	service		ask;do;come	6.19166666667	3.73666666667	5.845	Then the girl came into the kitchen, and asked if  she might do some service there.
150	LOCATION	the kitchen	service		ask;do;come	6.19166666667	3.73666666667	5.845	Then the girl came into the kitchen, and asked if  she might do some service there.
155	PERSON	Catskin	cook;servant;lady;name;lord	other	call	5.83285714286	3.68142857143	5.61857142857	So the cook and the servants, and also the lord  and his lady, called her by no other name than  Catskin.
156	PERSON	Catskin	obliging;time	gentle;obedient	be;work;pass	5.81875	3.695	5.4125	Time passed, and Catskin worked hard in the  kitchen, and was gentle and obedient and obliging.
156	LOCATION	the kitchen	obliging;time	gentle;obedient	be;work;pass	5.81875	3.695	5.4125	Time passed, and Catskin worked hard in the  kitchen, and was gentle and obedient and obliging.
160	LOCATION	the castle	lord;man;a-hunting;son	wont;young;only;tall;aged;handsome	be;play;bowl;notice;see;have;go	5.91833333333	4.10888888889	5.54833333333	Now the lord of the castle had an only son, a  tall and handsome young man, aged twenty, and he  was wont to go a-hunting and to play bowls ; and  Catskin often saw him, though he never noticed  her.
160	PERSON	Catskin	lord;man;a-hunting;son	wont;young;only;tall;aged;handsome	be;play;bowl;notice;see;have;go	5.91833333333	4.10888888889	5.54833333333	Now the lord of the castle had an only son, a  tall and handsome young man, aged twenty, and he  was wont to go a-hunting and to play bowls ; and  Catskin often saw him, though he never noticed  her.
162	PERSON	Catskin	madam;ball;twelvemonth;to-night;courage;pleasure;holiday		pray;work;pluck;say;have;go;suffer	5.63454545455	4.38727272727	5.61363636364	Then Catskin plucked up courage, and said to  the lady, " I pray you, madam, suffer me to go  to the ball to-night ; I have worked hard for a  twelvemonth and a day, and have had no holiday  pleasure."
162	PERSON	the lady	madam;ball;twelvemonth;to-night;courage;pleasure;holiday		pray;work;pluck;say;have;go;suffer	5.63454545455	4.38727272727	5.61363636364	Then Catskin plucked up courage, and said to  the lady, " I pray you, madam, suffer me to go  to the ball to-night ; I have worked hard for a  twelvemonth and a day, and have had no holiday  pleasure."
163	PERSON	Catskin	barn;thereupon		hide;cry;run	5.372	4.26	4.878	Thereupon, crying,  Catskin ran out of the kitchen, and hid herself in  the barn.
163	LOCATION	the kitchen	barn;thereupon		hide;cry;run	5.372	4.26	4.878	Thereupon, crying,  Catskin ran out of the kitchen, and hid herself in  the barn.
167	PERSON	Fairy				5.28333333333	4.20333333333	5.59666666667	The Old English Fairy Tales
172	LOCATION	the town	nobleman;hall	great;young	dance;be;admit;dress;trip	6.51545454545	4.00272727273	5.60090909091	And when thus dressed, she  tripped away to the town, and was admitted into  the great hall, and danced that evening with the  young nobleman.
186	PERSON	the lady	skimmer;back;foolishness;thereat;scullion;girl	wroth	catch;be;strike;break;shame	5.15545454545	4.24454545455	4.80363636364	Thereat the lady was so wroth and  shamed at the foolishness of the scullion girl, that  she caught up a skimmer and struck her on the  back with it, and broke it in two.
