PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
11	PERSON	HENRY W. DULCKEN				5.0	5.0	5.0	HENRY W. DULCKEN.
16	PERSON	DALZIEL	brothers			5.0	5.0	5.0	THE BROTHERS DALZIEL,
19	LOCATION	LONDON	lock;ward;street;fleet			4.865	3.54	4.9925	LONDON :  WARD &amp; LOCK, 158, FLEET STREET.
24	PERSON	Tom TntTira				5.0	5.0	5.0	, Tom TntTira
26	PERSON	Baba	at.t			5.0	5.0	5.0	- At.t Baba
31	PERSON	Jack	ou.kt-killkb			5.0	5.0	5.0	-Jack the Ou.kt-Killkb
32	PERSON	Bbaott	cntdbxixa		akd	6.09	3.45	5.72	-CntDBXiXA  ,  Bbaott akd the Beabt  GooDi Two Shoes
35	PERSON	Jack	beak-stalk			5.0	5.0	5.0	Jack and the Beak-Stalk 22
42	PERSON	Habtet	w			5.0	5.0	5.0	W, Habtet.
44	PERSON	T. B. Dalziel				5.0	5.0	5.0	T. B. Dalziel.
46	PERSON	T. B. Dalbiel				5.0	5.0	5.0	T. B. Dalbiel.
47	PERSON	T. B. Daleiel				5.0	5.0	5.0	T. B. Daleiel.
59	PERSON	Merlin	pity;fortune;enchanter;something;time;conjuring;party	juvenile;only;dead;long	be;live;come;make;choose	5.72352941176	4.03294117647	5.37882352941	He was something like an  enchanter, was Merlin; and the only pity is that he lived so very  long ago; for if he were not dead he might make his fortune  any winter he choose by conjuring, when the time came for the  juvenile parties.
60	PERSON	Merlin	pocket;herb		begin;trudge	6.27666666667	3.53666666667	5.71333333333	Well, Merlin trudged on with the herb in his pocket, but he began
64	PERSON	Aferlin	respect;people;beard	good;long	be;inspire;walk	6.43625	3.8825	6.0775	Aferlin walked in; and whether it was that his long beard  inspired respect, or whether it was that the good people of the
70	PERSON	Merlin	wish;farewell;friend;smile		say;depart;bid;have	5.709	4.086	5.872	" You shall have your wish, my friend," said Merlin with a  smile; and he bade them farewell, and departed.
71	PERSON	The queen	thumb;wife;doll;heir;ploughman;hand;matter;s;peasant;time;baby;surprise;fairy;son;respect;man	prettiest;little;due;bigger;worthy	be;wish;see;s;take;have	5.90176470588	4.35852941176	5.41088235294	The queen  of the fairies took the matter in hand  and in due time the  peasant"s wife had a son; but what was that worthy man"s  surprise when for the first time he saw his son and heir I The  by was no bigger than the ploughman"s thumb  ^though in  7 respect it was the prettiest little doll baby you could wish
74	PERSON	The fairy	verse		tell	5.99333333333	4.18333333333	5.89	The fairy verse tells as :
83	PERSON	Tonmiy	strength;urchin;process;plough;place;punching;fear;^;quality;match;man	latter;whole;cunning	be;make;lack;have	5.47176470588	3.97058823529	5.76588235294	^" But the plough-  man need have been under no fear as to the punching process ;  for what Tonmiy lacked in strength he made up for in cunning,  and this latter quality made him a match for any urchin in the  whole place.
85	PERSON	Tom Thumb	tve;master;t	last	catch;win;thieve;give	5.835	4.6775	5.50125	Master Tom Thumb, Tve caught  you at last  and now won"t I give it you for thieving 1" and he
